"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.000259117,0.000179322,0.00164327,5.2363e-06,0
238,0.000262908,0.000179381,0.00164417,5.20358e-06,0
239,0.000266711,0.00017967,0.00164505,5.18042e-06,0
240,0.00027053,0.000180168,0.00164594,5.16597e-06,0
241,0.000274365,0.000180859,0.00164682,5.15948e-06,0
242,0.000278219,0.000181726,0.0016477,5.16026e-06,0
243,0.000282095,0.000182754,0.00164858,5.16768e-06,0
244,0.000285995,0.00018393,0.00164946,5.18119e-06,0
245,0.000289922,0.000185243,0.00165034,5.20026e-06,0
246,0.000293858,0.000186683,0.00165123,5.22443e-06,0
247,0.000297758,0.000188237,0.00165212,5.25328e-06,0
248,0.000301671,0.000189895,0.00165301,5.28644e-06,0
249,0.000305597,0.000191647,0.00165391,5.32351e-06,0
250,0.000309539,0.000193486,0.00165482,5.36416e-06,0
251,0.000313496,0.000195406,0.00165574,5.40809e-06,0
252,0.000317469,0.000197399,0.00165666,5.45502e-06,0
253,0.000321459,0.000199461,0.00165759,5.50469e-06,0
254,0.000325468,0.000201585,0.00165853,5.5569e-06,0
255,0.000329495,0.000203769,0.00165948,5.61144e-06,0
256,0.000333542,0.000206008,0.00166043,5.66812e-06,0
257,0.000337611,0.000208297,0.0016614,5.72678e-06,0
258,0.000341702,0.000210635,0.00166238,5.78728e-06,0
259,0.000345816,0.000213017,0.00166337,5.84949e-06,0
260,0.000349946,0.000215442,0.00166437,5.91329e-06,0
261,0.000354083,0.000217906,0.00166538,5.97856e-06,0
262,0.00035824,0.000220407,0.0016664,6.04522e-06,0
263,0.000362418,0.000222942,0.00166743,6.11317e-06,0
264,0.000366618,0.00022551,0.00166848,6.18232e-06,0
265,0.00037084,0.000228109,0.00166953,6.2526e-06,0
266,0.000375085,0.000230738,0.0016706,6.32394e-06,0
267,0.000379352,0.000233396,0.00167168,6.39628e-06,0
268,0.000383643,0.00023608,0.00167278,6.46957e-06,0
269,0.000387958,0.000238791,0.00167388,6.54375e-06,0
270,0.000392298,0.000241528,0.001675,6.6188e-06,0
271,0.000396663,0.00024429,0.00167614,6.69467e-06,0
272,0.000401053,0.000247075,0.00167728,6.77133e-06,0
273,0.000405469,0.000249884,0.00167844,6.84875e-06,0
274,0.000409912,0.000252716,0.00167961,6.9269e-06,0
275,0.000414374,0.000255571,0.0016808,7.00577e-06,0
276,0.000418855,0.000258448,0.001682,7.08532e-06,0
277,0.000423363,0.000261345,0.00168322,7.16556e-06,0
278,0.000427899,0.000264264,0.00168444,7.24644e-06,0
