"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,3.7312e-08,4.24283e-08,0.00115166,1.38551e-09,1
238,3.6015e-08,4.0956e-08,0.00115166,1.33746e-09,1
239,3.47631e-08,3.95346e-08,0.00115166,1.29106e-09,1
240,3.35547e-08,3.81625e-08,0.00115166,1.24627e-09,1
241,3.23882e-08,3.68379e-08,0.00115166,1.20303e-09,1
242,3.12623e-08,3.55591e-08,0.00115166,1.16129e-09,1
243,3.01755e-08,3.43246e-08,0.00115166,1.12099e-09,1
244,2.91265e-08,3.31329e-08,0.00115166,1.08208e-09,1
245,2.8114e-08,3.19825e-08,0.00115166,1.04452e-09,1
246,2.71366e-08,3.08719e-08,0.00115166,1.00826e-09,1
247,2.61932e-08,2.97999e-08,0.00115167,9.73262e-10,1
248,2.52825e-08,2.8765e-08,0.00115167,9.39472e-10,1
249,2.44035e-08,2.7766e-08,0.00115167,9.06853e-10,1
250,2.35551e-08,2.68016e-08,0.00115167,8.75365e-10,1
251,2.27362e-08,2.58706e-08,0.00115167,8.44967e-10,1
252,2.19457e-08,2.4972e-08,0.00115167,8.15623e-10,1
253,2.11827e-08,2.41045e-08,0.00115167,7.87297e-10,1
254,2.04462e-08,2.32671e-08,0.00115167,7.59953e-10,1
255,1.97353e-08,2.24588e-08,0.00115167,7.33556e-10,1
256,1.90491e-08,2.16785e-08,0.00115167,7.08076e-10,1
257,1.83868e-08,2.09253e-08,0.00115167,6.83479e-10,1
258,1.77475e-08,2.01982e-08,0.00115167,6.59735e-10,1
259,1.71304e-08,1.94964e-08,0.00115167,6.36816e-10,1
260,1.65348e-08,1.88189e-08,0.00115167,6.14691e-10,1
261,1.59598e-08,1.8165e-08,0.00115167,5.93334e-10,1
262,1.54049e-08,1.75337e-08,0.00115167,5.72719e-10,1
263,1.48692e-08,1.69244e-08,0.00115167,5.52818e-10,1
264,1.43522e-08,1.63362e-08,0.00115167,5.33609e-10,1
265,1.38532e-08,1.57685e-08,0.00115167,5.15066e-10,1
266,1.33715e-08,1.52204e-08,0.00115167,4.97168e-10,1
267,1.29065e-08,1.46914e-08,0.00115167,4.7989e-10,1
268,1.24577e-08,1.41808e-08,0.00115167,4.63213e-10,1
269,1.20245e-08,1.36879e-08,0.00115167,4.47114e-10,1
270,1.16064e-08,1.32121e-08,0.00115167,4.31575e-10,1
271,1.12028e-08,1.27529e-08,0.00115167,4.16575e-10,1
272,1.08133e-08,1.23096e-08,0.00115167,4.02096e-10,1
273,1.04372e-08,1.18817e-08,0.00115167,3.8812e-10,1
274,1.00743e-08,1.14687e-08,0.00115167,3.7463e-10,1
275,9.72399e-09,1.107e-08,0.00115167,3.61608e-10,1
276,9.38585e-09,1.06852e-08,0.00115167,3.49039e-10,1
277,9.05947e-09,1.03137e-08,0.00115167,3.36906e-10,1
278,8.74444e-09,9.95517e-09,0.00115167,3.25194e-10,1
279,8.44036e-09,9.60908e-09,0.00115167,3.1389e-10,1
280,8.14685e-09,9.27502e-09,0.00115167,3.02978e-10,1
281,7.86355e-09,8.95256e-09,0.00115167,2.92446e-10,1
282,7.5901e-09,8.64132e-09,0.00115167,2.82279e-10,1
283,7.32616e-09,8.34089e-09,0.00115167,2.72466e-10,1
284,7.0714e-09,8.0509e-09,0.00115167,2.62994e-10,1
285,6.82549e-09,7.77099e-09,0.00115167,2.5385e-10,1
286,6.58814e-09,7.50081e-09,0.00115167,2.45025e-10,1
287,6.35904e-09,7.24002e-09,0.00115167,2.36506e-10,1
288,6.1379e-09,6.98829e-09,0.00115167,2.28284e-10,1
289,5.92446e-09,6.74532e-09,0.00115167,2.20347e-10,1
290,5.71844e-09,6.51079e-09,0.00115167,2.12686e-10,1
291,5.51958e-09,6.28441e-09,0.00115167,2.05291e-10,1
292,5.32763e-09,6.0659e-09,0.00115167,1.98154e-10,1
293,5.14237e-09,5.85499e-09,0.00115167,1.91264e-10,1
294,4.96354e-09,5.65141e-09,0.00115167,1.84614e-10,1
295,4.79093e-09,5.4549e-09,0.00115167,1.78195e-10,1
296,4.62433e-09,5.26523e-09,0.00115167,1.71999e-10,1
297,4.46352e-09,5.08215e-09,0.00115167,1.66019e-10,1
298,4.3083e-09,4.90544e-09,0.00115167,1.60246e-10,1
299,4.15848e-09,4.73487e-09,0.00115167,1.54674e-10,1
300,4.01386e-09,4.57023e-09,0.00115167,1.49296e-10,1
301,3.87428e-09,4.41131e-09,0.00115167,1.44105e-10,1
302,3.73955e-09,4.25792e-09,0.00115167,1.39094e-10,1
303,3.60951e-09,4.10986e-09,0.00115167,1.34258e-10,1
304,3.48399e-09,3.96695e-09,0.00115167,1.29589e-10,1
305,3.36283e-09,3.82901e-09,0.00115167,1.25083e-10,1
306,3.24589e-09,3.69587e-09,0.00115167,1.20734e-10,1
307,3.13301e-09,3.56735e-09,0.00115167,1.16536e-10,1
308,3.02406e-09,3.4433e-09,0.00115167,1.12483e-10,1
309,2.9189e-09,3.32357e-09,0.00115167,1.08572e-10,1
310,2.8174e-09,3.208e-09,0.00115167,1.04797e-10,1
311,2.71942e-09,3.09644e-09,0.00115167,1.01153e-10,1
312,2.62485e-09,2.98877e-09,0.00115167,9.76352e-11,1
313,2.53357e-09,2.88484e-09,0.00115167,9.42401e-11,1
314,2.44547e-09,2.78452e-09,0.00115167,9.09631e-11,1
315,2.36043e-09,2.68769e-09,0.00115167,8.78e-11,1
316,2.27835e-09,2.59423e-09,0.00115167,8.47469e-11,1
317,2.19912e-09,2.50402e-09,0.00115167,8.18e-11,1
318,2.12264e-09,2.41695e-09,0.00115167,7.89555e-11,1
319,2.04883e-09,2.3329e-09,0.00115167,7.62099e-11,1
320,1.97758e-09,2.25178e-09,0.00115167,7.35598e-11,1
321,1.90881e-09,2.17347e-09,0.00115167,7.10019e-11,1
322,1.84244e-09,2.09789e-09,0.00115167,6.85329e-11,1
323,1.77837e-09,2.02494e-09,0.00115167,6.61497e-11,1
324,1.71652e-09,1.95453e-09,0.00115167,6.38494e-11,1
325,1.65683e-09,1.88656e-09,0.00115167,6.16291e-11,1
326,1.59922e-09,1.82096e-09,0.00115167,5.9486e-11,1
327,1.54361e-09,1.75763e-09,0.00115167,5.74175e-11,1
328,1.48993e-09,1.69651e-09,0.00115167,5.54208e-11,1
329,1.43812e-09,1.63752e-09,0.00115167,5.34936e-11,1
330,1.38811e-09,1.58058e-09,0.00115167,5.16334e-11,1
331,1.33984e-09,1.52561e-09,0.00115167,4.98379e-11,1
332,1.29325e-09,1.47256e-09,0.00115167,4.81049e-11,1
333,1.24828e-09,1.42135e-09,0.00115167,4.64321e-11,1
334,1.20487e-09,1.37193e-09,0.00115167,4.48174e-11,1
335,1.16297e-09,1.32422e-09,0.00115167,4.3259e-11,1
336,1.12253e-09,1.27817e-09,0.00115167,4.17547e-11,1
337,1.0835e-09,1.23373e-09,0.00115167,4.03027e-11,1
338,1.04582e-09,1.19082e-09,0.00115167,3.89012e-11,1
339,1.00946e-09,1.14941e-09,0.00115167,3.75485e-11,1
340,9.74354e-10,1.10944e-09,0.00115167,3.62428e-11,1
341,9.40473e-10,1.07087e-09,0.00115167,3.49825e-11,1
342,9.0777e-10,1.03363e-09,0.00115167,3.3766e-11,1
343,8.76205e-10,9.97684e-10,0.00115167,3.25918e-11,1
344,8.45737e-10,9.62991e-10,0.00115167,3.14585e-11,1
345,8.16329e-10,9.29505e-10,0.00115167,3.03645e-11,1
346,7.87943e-10,8.97183e-10,0.00115167,2.93087e-11,1
347,7.60544e-10,8.65985e-10,0.00115167,2.82895e-11,1
348,7.34099e-10,8.35871e-10,0.00115167,2.73058e-11,1
349,7.08573e-10,8.06805e-10,0.00115167,2.63562e-11,1
350,6.83934e-10,7.7875e-10,0.00115167,2.54397e-11,1
351,6.60153e-10,7.51671e-10,0.00115167,2.45551e-11,1
352,6.37198e-10,7.25533e-10,0.00115167,2.37013e-11,1
353,6.15042e-10,7.00304e-10,0.00115167,2.28771e-11,1
354,5.93656e-10,6.75952e-10,0.00115167,2.20816e-11,1
355,5.73014e-10,6.52448e-10,0.00115167,2.13137e-11,1
356,5.53089e-10,6.2976e-10,0.00115167,2.05726e-11,1
357,5.33858e-10,6.07862e-10,0.00115167,1.98572e-11,1
358,5.15295e-10,5.86725e-10,0.00115167,1.91667e-11,1
359,4.97378e-10,5.66323e-10,0.00115167,1.85003e-11,1
360,4.80084e-10,5.46631e-10,0.00115167,1.78569e-11,1
361,4.63391e-10,5.27623e-10,0.00115167,1.7236e-11,1
362,4.47279e-10,5.09277e-10,0.00115167,1.66367e-11,1
363,4.31727e-10,4.91568e-10,0.00115167,1.60582e-11,1
364,4.16715e-10,4.74475e-10,0.00115167,1.54998e-11,1
365,4.02226e-10,4.57977e-10,0.00115167,1.49608e-11,1
