"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,9.49898e-09,8.49787e-05,0.000180971,2.11805e-07,1
238,9.14795e-09,8.4107e-05,0.000181006,2.09613e-07,1
239,8.81001e-09,8.32443e-05,0.000181041,2.07443e-07,1
240,8.48468e-09,8.23904e-05,0.000181076,2.05297e-07,1
241,8.17147e-09,8.15452e-05,0.000181111,2.03173e-07,1
242,7.86993e-09,8.07087e-05,0.000181145,2.01071e-07,1
243,7.57962e-09,7.98807e-05,0.000181179,1.98992e-07,1
244,7.30012e-09,7.90612e-05,0.000181212,1.96935e-07,1
245,7.03102e-09,7.82502e-05,0.000181245,1.94899e-07,1
246,6.77193e-09,7.74474e-05,0.000181278,1.92885e-07,1
247,6.52247e-09,7.66528e-05,0.000181311,1.90891e-07,1
248,6.28228e-09,7.58664e-05,0.000181343,1.88919e-07,1
249,6.05102e-09,7.5088e-05,0.000181374,1.86968e-07,1
250,5.82835e-09,7.43176e-05,0.000181406,1.85037e-07,1
251,5.61395e-09,7.35551e-05,0.000181437,1.83126e-07,1
252,5.4075e-09,7.28004e-05,0.000181468,1.81235e-07,1
253,5.20871e-09,7.20534e-05,0.000181498,1.79365e-07,1
254,5.0173e-09,7.13141e-05,0.000181528,1.77513e-07,1
255,4.83298e-09,7.05824e-05,0.000181558,1.75681e-07,1
256,4.65549e-09,6.98581e-05,0.000181588,1.73869e-07,1
257,4.48457e-09,6.91413e-05,0.000181617,1.72075e-07,1
258,4.31999e-09,6.84318e-05,0.000181646,1.703e-07,1
259,4.16149e-09,6.77296e-05,0.000181674,1.68543e-07,1
260,4.00887e-09,6.70346e-05,0.000181703,1.66805e-07,1
261,3.86188e-09,6.63467e-05,0.000181731,1.65085e-07,1
262,3.72034e-09,6.56659e-05,0.000181759,1.63383e-07,1
263,3.58402e-09,6.4992e-05,0.000181786,1.61699e-07,1
264,3.45274e-09,6.43251e-05,0.000181813,1.60032e-07,1
265,3.32632e-09,6.3665e-05,0.00018184,1.58383e-07,1
266,3.20455e-09,6.30116e-05,0.000181867,1.5675e-07,1
267,3.08729e-09,6.2365e-05,0.000181893,1.55135e-07,1
268,2.97435e-09,6.17249e-05,0.000181919,1.53537e-07,1
269,2.86557e-09,6.10915e-05,0.000181945,1.51955e-07,1
270,2.76081e-09,6.04645e-05,0.00018197,1.5039e-07,1
271,2.65991e-09,5.9844e-05,0.000181996,1.4884e-07,1
272,2.56273e-09,5.92298e-05,0.000182021,1.47307e-07,1
273,2.46912e-09,5.86219e-05,0.000182046,1.4579e-07,1
274,2.37896e-09,5.80203e-05,0.00018207,1.44289e-07,1
275,2.29212e-09,5.74248e-05,0.000182094,1.42803e-07,1
276,2.20848e-09,5.68354e-05,0.000182118,1.41333e-07,1
277,2.12791e-09,5.62521e-05,0.000182142,1.39878e-07,1
278,2.05031e-09,5.56747e-05,0.000182166,1.38438e-07,1
279,1.97556e-09,5.51033e-05,0.000182189,1.37013e-07,1
280,1.90355e-09,5.45378e-05,0.000182212,1.35603e-07,1
281,1.83419e-09,5.3978e-05,0.000182235,1.34207e-07,1
282,1.76738e-09,5.3424e-05,0.000182257,1.32826e-07,1
283,1.70302e-09,5.28756e-05,0.00018228,1.31459e-07,1
284,1.64102e-09,5.23329e-05,0.000182302,1.30106e-07,1
285,1.58129e-09,5.17958e-05,0.000182323,1.28767e-07,1
286,1.52376e-09,5.12641e-05,0.000182345,1.27443e-07,1
287,1.46833e-09,5.0738e-05,0.000182367,1.26131e-07,1
288,1.41494e-09,5.02172e-05,0.000182388,1.24834e-07,1
289,1.3635e-09,4.97017e-05,0.000182409,1.2355e-07,1
290,1.31395e-09,4.91916e-05,0.000182429,1.22279e-07,1
291,1.26621e-09,4.86866e-05,0.00018245,1.21021e-07,1
292,1.22022e-09,4.81869e-05,0.00018247,1.19776e-07,1
293,1.17591e-09,4.76923e-05,0.00018249,1.18544e-07,1
294,1.13322e-09,4.72027e-05,0.00018251,1.17325e-07,1
295,1.09209e-09,4.67182e-05,0.00018253,1.16119e-07,1
296,1.05247e-09,4.62387e-05,0.00018255,1.14925e-07,1
297,1.01429e-09,4.57641e-05,0.000182569,1.13743e-07,1
298,9.77513e-10,4.52943e-05,0.000182588,1.12573e-07,1
299,9.42076e-10,4.48294e-05,0.000182607,1.11416e-07,1
300,9.07932e-10,4.43692e-05,0.000182626,1.1027e-07,1
301,8.75034e-10,4.39137e-05,0.000182644,1.09136e-07,1
