"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,5.76303e-05,0.0017414,0.00125445,1.8716e-05,0
238,5.39706e-05,0.00172307,0.00125776,1.81711e-05,0
239,5.05474e-05,0.00170454,0.00126097,1.76477e-05,0
240,4.7347e-05,0.00168582,0.00126408,1.71452e-05,0
241,4.43548e-05,0.00166696,0.0012671,1.66626e-05,0
242,4.15579e-05,0.00164797,0.00127003,1.61992e-05,0
243,3.89444e-05,0.00162889,0.00127288,1.57542e-05,0
244,3.65033e-05,0.00160973,0.00127564,1.53268e-05,0
245,3.42329e-05,0.00159053,0.00127833,1.49163e-05,0
246,3.21057e-05,0.00157129,0.00128094,1.4522e-05,0
247,3.01212e-05,0.00155205,0.00128348,1.41431e-05,0
248,2.82716e-05,0.00153282,0.00128595,1.3779e-05,0
249,3.26714e-05,0.00151361,0.00128836,1.34291e-05,0
250,3.7903e-05,0.00149471,0.0012907,1.31291e-05,0
251,4.39656e-05,0.00147618,0.00129298,1.28793e-05,0
252,5.09946e-05,0.00145808,0.00129523,1.268e-05,0
253,5.91475e-05,0.0014405,0.00129743,1.25322e-05,0
254,6.86082e-05,0.0014235,0.00129961,1.2438e-05,0
255,7.95915e-05,0.00140718,0.00130177,1.24001e-05,0
256,9.23483e-05,0.00139163,0.00130393,1.24227e-05,0
257,0.000107172,0.00137695,0.00130609,1.25106e-05,0
258,0.000124406,0.00136327,0.00130827,1.26705e-05,0
259,0.000144236,0.00135073,0.00131047,1.29102e-05,0
260,0.000166906,0.00133947,0.00131272,1.32379e-05,0
261,0.00019303,0.00132966,0.00131503,1.36628e-05,0
262,0.000223236,0.00132149,0.00131741,1.41967e-05,0
263,0.00025817,0.00131519,0.00131989,1.48542e-05,0
264,0.000298579,0.00131102,0.00132249,1.56522e-05,0
265,0.000345332,0.00130928,0.00132523,1.66109e-05,0
266,0.000398268,0.00131031,0.00132816,1.77536e-05,0
267,0.000458399,0.00131447,0.00133129,1.91005e-05,0
268,0.000527454,0.00132215,0.00133467,2.0676e-05,0
269,0.000606758,0.00133385,0.00133834,2.25126e-05,0
270,0.000697828,0.00135012,0.00134237,2.46475e-05,0
271,0.000802405,0.0013716,0.00134679,2.71237e-05,0
272,0.000922487,0.00139903,0.0013517,2.99903e-05,0
273,0.00106032,0.00143325,0.00135716,3.33035e-05,0
274,0.000991805,0.00147523,0.00136328,3.71277e-05,0
