"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,1.8219e-09,1.07422e-05,8.03289e-05,7.0628e-08,1
238,1.75802e-09,1.05789e-05,8.03408e-05,6.95509e-08,1
239,1.69637e-09,1.0418e-05,8.03525e-05,6.84902e-08,1
240,1.63689e-09,1.02595e-05,8.0364e-05,6.74457e-08,1
241,1.57949e-09,1.01035e-05,8.03753e-05,6.64172e-08,1
242,1.52411e-09,9.94985e-06,8.03865e-05,6.54044e-08,1
243,1.47066e-09,9.79852e-06,8.03974e-05,6.44071e-08,1
244,1.41909e-09,9.64949e-06,8.04083e-05,6.3425e-08,1
245,1.36933e-09,9.50272e-06,8.04189e-05,6.2458e-08,1
246,1.32131e-09,9.35819e-06,8.04294e-05,6.15057e-08,1
247,1.27498e-09,9.21584e-06,8.04398e-05,6.05679e-08,1
248,1.23027e-09,9.07566e-06,8.04499e-05,5.96445e-08,1
249,1.18713e-09,8.93761e-06,8.046e-05,5.87351e-08,1
250,1.1455e-09,8.80166e-06,8.04698e-05,5.78397e-08,1
251,1.10534e-09,8.66777e-06,8.04795e-05,5.69579e-08,1
252,1.06658e-09,8.53591e-06,8.04891e-05,5.60896e-08,1
253,1.02918e-09,8.40606e-06,8.04985e-05,5.52346e-08,1
254,9.93091e-10,8.27818e-06,8.05078e-05,5.43926e-08,1
255,9.58269e-10,8.15225e-06,8.0517e-05,5.35634e-08,1
256,9.24668e-10,8.02823e-06,8.0526e-05,5.2747e-08,1
257,8.92246e-10,7.90609e-06,8.05348e-05,5.19429e-08,1
258,8.60961e-10,7.78581e-06,8.05435e-05,5.11512e-08,1
259,8.30773e-10,7.66736e-06,8.05521e-05,5.03716e-08,1
260,8.01644e-10,7.5507e-06,8.05606e-05,4.96038e-08,1
261,7.73537e-10,7.43583e-06,8.05689e-05,4.88478e-08,1
262,7.46416e-10,7.32269e-06,8.05771e-05,4.81033e-08,1
263,7.20246e-10,7.21128e-06,8.05852e-05,4.73701e-08,1
264,6.94994e-10,7.10156e-06,8.05932e-05,4.66482e-08,1
265,6.70627e-10,6.99351e-06,8.0601e-05,4.59372e-08,1
266,6.47115e-10,6.8871e-06,8.06087e-05,4.52372e-08,1
267,6.24428e-10,6.7823e-06,8.06163e-05,4.45477e-08,1
268,6.02537e-10,6.6791e-06,8.06238e-05,4.38689e-08,1
269,5.81413e-10,6.57747e-06,8.06312e-05,4.32003e-08,1
270,5.6103e-10,6.47739e-06,8.06385e-05,4.2542e-08,1
271,5.41363e-10,6.37883e-06,8.06456e-05,4.18937e-08,1
272,5.22385e-10,6.28176e-06,8.06526e-05,4.12553e-08,1
273,5.04072e-10,6.18617e-06,8.06596e-05,4.06267e-08,1
274,4.86402e-10,6.09204e-06,8.06664e-05,4.00076e-08,1
275,4.69352e-10,5.99933e-06,8.06731e-05,3.9398e-08,1
276,4.529e-10,5.90804e-06,8.06797e-05,3.87977e-08,1
277,4.37024e-10,5.81813e-06,8.06863e-05,3.82065e-08,1
278,4.21706e-10,5.72959e-06,8.06927e-05,3.76244e-08,1
279,4.06924e-10,5.6424e-06,8.0699e-05,3.70511e-08,1
280,3.92662e-10,5.55653e-06,8.07052e-05,3.64865e-08,1
281,3.78899e-10,5.47197e-06,8.07114e-05,3.59306e-08,1
282,3.65619e-10,5.3887e-06,8.07174e-05,3.53832e-08,1
