"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,4.02998e-05,0.000387128,6.18785e-05,8.73883e-06,0
2,3.7774e-05,0.000367865,6.33827e-05,1.01538e-05,0
3,4.20011e-05,0.000349629,6.51374e-05,1.14546e-05,0
4,4.67026e-05,0.000332804,6.71238e-05,1.26605e-05,0
5,5.19193e-05,0.000317335,6.93266e-05,1.37799e-05,0
6,5.77084e-05,0.000303172,7.17314e-05,1.48212e-05,0
7,6.41337e-05,0.000290274,7.43253e-05,1.57924e-05,0
8,7.1266e-05,0.000278605,7.70964e-05,1.67012e-05,0
9,7.91839e-05,0.000268139,8.00342e-05,1.75554e-05,0
10,8.79752e-05,0.000258855,8.31292e-05,1.83623e-05,0
11,9.77376e-05,0.00025074,8.63736e-05,1.91294e-05,0
12,0.00010858,0.000243788,8.97604e-05,1.9864e-05,0
13,0.000120623,0.000238003,9.32842e-05,2.05736e-05,0
14,0.000134002,0.000233396,9.69408e-05,2.12655e-05,0
15,0.000148867,0.000229986,0.000100727,2.19474e-05,0
16,0.000165386,0.000227802,0.000104642,2.2627e-05,0
17,0.000183747,0.000226884,0.000108686,2.33122e-05,0
18,0.000204069,0.000227281,0.000112859,2.40115e-05,0
19,0.000226511,0.000229048,0.000117166,2.47332e-05,0
20,0.00025141,0.000232249,0.000121611,2.54863e-05,0
21,0.000279038,0.000236967,0.0001262,2.62802e-05,0
22,0.000309661,0.000243296,0.000130941,2.7125e-05,0
23,0.0003436,0.000251347,0.000135846,2.80314e-05,0
24,0.000381243,0.000261244,0.000140927,2.90107e-05,0
25,0.000422998,0.000273131,0.000146199,3.00756e-05,0
26,0.00039478,0.000287172,0.00015168,3.12392e-05,0
27,0.000368344,0.000298582,0.00015739,3.23762e-05,0
28,0.0003437,0.000307633,0.000163325,3.34802e-05,0
29,0.000320704,0.000314578,0.00016948,3.45457e-05,0
30,0.000299263,0.000319647,0.000175848,3.55684e-05,0
31,0.000279258,0.000323051,0.000182422,3.65448e-05,0
32,0.000260604,0.000324978,0.000189193,3.74719e-05,0
33,0.000243209,0.000325601,0.000196153,3.83478e-05,0
34,0.00022699,0.000325078,0.000203291,3.91707e-05,0
35,0.000211869,0.00032355,0.000210597,3.99397e-05,0
36,0.000197773,0.000321145,0.000218062,4.06542e-05,0
37,0.000184633,0.00031798,0.000225673,4.1314e-05,0
38,0.000172385,0.000314159,0.000233421,4.19192e-05,0
39,0.000160972,0.000309777,0.000241295,4.24703e-05,0
40,0.000150338,0.000304919,0.000249283,4.29681e-05,0
41,0.000140432,0.000299661,0.000257375,4.34135e-05,0
42,0.000131206,0.000294073,0.00026556,4.38076e-05,0
43,0.000122615,0.000288215,0.000273828,4.41517e-05,0
44,0.00011462,0.000282144,0.000282167,4.44473e-05,0
45,0.000107144,0.000275908,0.000290569,4.46959e-05,0
46,0.00010008,0.000269549,0.000299023,4.48991e-05,0
47,9.34834e-05,0.000263098,0.00030752,4.50584e-05,0
48,8.73236e-05,0.000256591,0.00031605,4.51754e-05,0
49,8.15714e-05,0.000250057,0.000324605,4.52519e-05,0
50,7.61998e-05,0.000243523,0.000333176,4.52896e-05,0
51,7.11838e-05,0.000237011,0.000341755,4.52902e-05,0
52,6.64997e-05,0.000230542,0.000350334,4.52555e-05,0
53,6.21255e-05,0.000224134,0.000358905,4.51873e-05,0
54,5.80409e-05,0.000217802,0.000367463,4.50872e-05,0
55,5.42392e-05,0.000211559,0.000375999,4.49569e-05,0
56,5.06944e-05,0.000205418,0.000384508,4.47982e-05,0
57,4.73908e-05,0.000199387,0.000392983,4.46126e-05,0
58,4.43139e-05,0.000193475,0.00040142,4.44018e-05,0
59,4.14507e-05,0.000187689,0.000409812,4.41673e-05,0
60,3.87869e-05,0.000182034,0.000418155,4.39107e-05,0
61,3.63134e-05,0.000176516,0.000426444,4.36334e-05,0
62,3.40208e-05,0.000171136,0.000434675,4.33369e-05,0
63,3.19014e-05,0.000165899,0.000442844,4.30226e-05,0
64,2.99485e-05,0.000160807,0.000450947,4.26918e-05,0
65,2.81573e-05,0.000155862,0.000458982,4.23459e-05,0
66,2.65247e-05,0.000151064,0.000466944,4.1986e-05,0
67,2.50494e-05,0.000146416,0.000474832,4.16136e-05,0
68,2.37324e-05,0.000141918,0.000482642,4.12296e-05,0
