"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.000166721,0.00116576,0.00165267,1.59285e-05,0
238,0.000159472,0.00113513,0.00165547,1.55097e-05,0
239,0.00015254,0.00110518,0.00165819,1.51003e-05,0
240,0.000145912,0.0010759,0.00166083,1.47002e-05,0
241,0.000139574,0.00104728,0.0016634,1.43092e-05,0
242,0.000133515,0.00101931,0.0016659,1.39271e-05,0
243,0.000148232,0.000991989,0.00166833,1.3554e-05,0
244,0.000164581,0.000966208,0.0016707,1.32035e-05,0
245,0.0001827,0.000941992,0.001673,1.28758e-05,0
246,0.000202915,0.000919368,0.00167524,1.25714e-05,0
247,0.000225586,0.000898377,0.00167743,1.22908e-05,0
248,0.00025095,0.000879075,0.00167956,1.20348e-05,0
249,0.000279359,0.000861525,0.00168165,1.18044e-05,0
250,0.000311216,0.000845806,0.0016837,1.16006e-05,0
251,0.000346985,0.00083201,0.00168571,1.14249e-05,0
252,0.000387202,0.000820249,0.00168769,1.12789e-05,0
253,0.000432481,0.000810652,0.00168965,1.11646e-05,0
254,0.000483537,0.000803374,0.00169158,1.10841e-05,0
255,0.000541194,0.000798594,0.0016935,1.10403e-05,0
256,0.000606411,0.000796524,0.00169542,1.10363e-05,0
257,0.000680303,0.00079741,0.00169733,1.10757e-05,0
258,0.000764167,0.000801539,0.00169925,1.11628e-05,0
259,0.000859373,0.000809248,0.00170118,1.13028e-05,0
260,0.000959534,0.000820923,0.00170314,1.15012e-05,0
261,0.001066,0.000836653,0.00170514,1.17595e-05,0
262,0.00118369,0.000856586,0.00170718,1.20797e-05,0
263,0.00131382,0.000881081,0.00170927,1.2467e-05,0
264,0.00145771,0.000910541,0.00171144,1.29276e-05,0
265,0.0016168,0.000945414,0.00171369,1.3468e-05,0
266,0.0017927,0.000986195,0.00171604,1.40957e-05,0
267,0.00198719,0.00103344,0.0017185,1.48187e-05,0
268,0.00220221,0.00108775,0.0017211,1.56461e-05,0
269,0.00243992,0.00114982,0.00172384,1.6588e-05,0
270,0.00270266,0.00122039,0.00172676,1.76554e-05,0
271,0.00299304,0.0013003,0.00172987,1.88606e-05,0
272,0.0033139,0.00139047,0.00173321,2.02172e-05,0
273,0.00366836,0.0014919,0.0017368,2.17399e-05,0
274,0.00405986,0.00160573,0.00174067,2.34451e-05,0
275,0.00449214,0.00173318,0.00174487,2.5351e-05,0
276,0.00496935,0.00187563,0.00174943,2.74773e-05,0
277,0.00549596,0.00203456,0.00175441,2.98458e-05,0
278,0.00607687,0.00221164,0.00175984,3.24804e-05,0
279,0.00580032,0.00240867,0.00176579,3.54072e-05,0
280,0.00553627,0.00258703,0.00177234,3.80343e-05,0
281,0.00528413,0.00274788,0.00177941,4.03818e-05,0
282,0.00504337,0.00289232,0.00178696,4.24685e-05,0
283,0.00481349,0.00302138,0.00179495,4.43124e-05,0
284,0.00459399,0.00313605,0.00180332,4.59305e-05,0
285,0.00438443,0.00323726,0.00181203,4.73388e-05,0
286,0.00418434,0.00332589,0.00182104,4.85523e-05,0
287,0.0039933,0.00340277,0.00183031,4.95854e-05,0
288,0.00381092,0.00346868,0.00183981,5.04513e-05,0
289,0.00363681,0.00352437,0.00184948,5.11627e-05,0
290,0.00347058,0.00357052,0.00185931,5.17313e-05,0
291,0.00331189,0.00360781,0.00186927,5.21682e-05,0
292,0.0031604,0.00363685,0.00187932,5.24837e-05,0
293,0.00301579,0.00365824,0.00188944,5.26876e-05,0
294,0.00287774,0.00367253,0.0018996,5.27889e-05,0
295,0.00274597,0.00368023,0.00190978,5.27961e-05,0
296,0.00262019,0.00368185,0.00191997,5.27172e-05,0
297,0.00250013,0.00367784,0.00193014,5.25595e-05,0
298,0.00238554,0.00366865,0.00194027,5.23298e-05,0
299,0.00227616,0.00365468,0.00195036,5.20347e-05,0
300,0.00217176,0.00363633,0.00196038,5.16801e-05,0
301,0.00207212,0.00361394,0.00197032,5.12717e-05,0
302,0.00197702,0.00358788,0.00198018,5.08145e-05,0
303,0.00188626,0.00355845,0.00198993,5.03134e-05,0
304,0.00179964,0.00352596,0.00199958,4.97729e-05,0
305,0.00171698,0.0034907,0.00200911,4.91972e-05,0
306,0.00163809,0.00345292,0.00201852,4.85901e-05,0
307,0.00156281,0.00341288,0.0020278,4.79553e-05,0
308,0.00149097,0.00337082,0.00203694,4.7296e-05,0
309,0.00142242,0.00332694,0.00204594,4.66154e-05,0
310,0.001357,0.00328145,0.0020548,4.59163e-05,0
311,0.00129458,0.00323456,0.00206351,4.52014e-05,0
312,0.00123501,0.00318642,0.00207207,4.44731e-05,0
313,0.00117818,0.00313722,0.00208047,4.37336e-05,0
314,0.00112395,0.00308711,0.00208872,4.29851e-05,0
315,0.00107221,0.00303623,0.00209682,4.22295e-05,0
316,0.00102284,0.00298471,0.00210475,4.14686e-05,0
317,0.000975743,0.00293269,0.00211253,4.0704e-05,0
318,0.000930809,0.00288028,0.00212015,3.99372e-05,0
319,0.000887942,0.00282759,0.00212762,3.91697e-05,0
320,0.000847049,0.00277471,0.00213492,3.84025e-05,0
321,0.000808207,0.00272176,0.00214207,3.76371e-05,0
322,0.000771232,0.0026688,0.00214906,3.68744e-05,0
