"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,2.16248e-05,0.000378193,0.00182001,1.4497e-05,0
238,2.12286e-05,0.000372904,0.00182254,1.42933e-05,0
239,2.08358e-05,0.000367685,0.00182504,1.4092e-05,0
240,2.61174e-05,0.000362536,0.0018275,1.38933e-05,0
241,3.27359e-05,0.000357594,0.00182993,1.37346e-05,0
242,4.08683e-05,0.000352921,0.00183232,1.36205e-05,0
243,5.08663e-05,0.000348582,0.0018347,1.35565e-05,0
244,6.3166e-05,0.000344657,0.00183706,1.355e-05,0
245,7.82979e-05,0.000341237,0.00183943,1.36106e-05,0
246,9.6813e-05,0.00033843,0.0018418,1.37506e-05,0
247,0.000119462,0.000336366,0.0018442,1.39848e-05,0
248,0.000147277,0.0003352,0.00184664,1.43316e-05,0
249,0.000181437,0.000335123,0.00184915,1.48145e-05,0
250,0.000223374,0.000336366,0.00185174,1.54628e-05,0
251,0.000274879,0.000339215,0.00185445,1.63121e-05,0
252,0.000338132,0.000344018,0.00185732,1.74068e-05,0
253,0.000415813,0.000351201,0.00186038,1.88013e-05,0
254,0.00051121,0.00036129,0.00186371,2.05625e-05,0
255,0.000628353,0.000374927,0.00186736,2.27725e-05,0
256,0.00077219,0.000392901,0.00187144,2.5532e-05,0
257,0.000948781,0.000416181,0.00187603,2.89647e-05,0
258,0.00116556,0.000445955,0.0018813,3.32217e-05,0
259,0.00112967,0.000483678,0.0018874,3.84884e-05,0
260,0.00109502,0.000523766,0.00189457,4.299e-05,0
261,0.00106144,0.000565356,0.00190266,4.68397e-05,0
262,0.0010289,0.000607741,0.00191157,5.01325e-05,0
263,0.000997365,0.000650348,0.00192118,5.29491e-05,0
264,0.000966815,0.000692713,0.0019314,5.53576e-05,0
265,0.000937221,0.000734465,0.00194215,5.74159e-05,0
266,0.000908486,0.00077531,0.00195336,5.91728e-05,0
267,0.000880631,0.000815017,0.00196496,6.06694e-05,0
268,0.000853629,0.000853407,0.00197689,6.19407e-05,0
269,0.000827455,0.000890348,0.00198911,6.30163e-05,0
270,0.000802085,0.00092574,0.00200158,6.39216e-05,0
271,0.000777496,0.000959518,0.00201425,6.4678e-05,0
272,0.000753677,0.000991638,0.00202709,6.53038e-05,0
273,0.0007306,0.00102208,0.00204008,6.58146e-05,0
274,0.000708228,0.00105083,0.00205319,6.62239e-05,0
275,0.000686552,0.0010779,0.00206639,6.6543e-05,0
276,0.000665551,0.0011033,0.00207966,6.67818e-05,0
277,0.000645208,0.00112707,0.00209299,6.69488e-05,0
278,0.000625506,0.00114923,0.00210636,6.70513e-05,0
279,0.000606398,0.00116982,0.00211975,6.70959e-05,0
280,0.00058789,0.00118889,0.00213315,6.7088e-05,0
281,0.000569967,0.00120647,0.00214655,6.70325e-05,0
282,0.000552615,0.00122261,0.00215994,6.69337e-05,0
283,0.000535811,0.00123737,0.00217331,6.67954e-05,0
284,0.000519548,0.00125078,0.00218664,6.66212e-05,0
285,0.000503816,0.0012629,0.00219993,6.64141e-05,0
286,0.000488606,0.00127378,0.00221318,6.61768e-05,0
