"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000124531,0.000505011,8.19856e-05,2.5123e-05,0
2,0.000121031,0.000506048,8.65049e-05,2.47505e-05,0
3,0.000117584,0.000506572,9.09528e-05,2.44061e-05,0
4,0.000114241,0.000506638,9.53348e-05,2.40845e-05,0
5,0.000110998,0.000506299,9.96554e-05,2.37819e-05,0
6,0.000107855,0.000505595,0.000103918,2.34948e-05,0
7,0.00010481,0.000504566,0.000108127,2.32205e-05,0
8,0.00010186,0.000503243,0.000112283,2.29569e-05,0
9,9.9005e-05,0.000501656,0.000116389,2.27019e-05,0
10,9.62435e-05,0.000499829,0.000120447,2.24542e-05,0
11,9.35874e-05,0.000497785,0.000124457,2.22124e-05,0
12,9.1029e-05,0.000495545,0.000128423,2.19757e-05,0
13,8.8569e-05,0.000493126,0.000132343,2.17434e-05,0
14,8.62088e-05,0.000490544,0.00013622,2.15147e-05,0
15,8.39504e-05,0.000487814,0.000140053,2.12894e-05,0
16,8.17967e-05,0.000484951,0.000143844,2.10669e-05,0
17,7.97558e-05,0.000481967,0.000147593,2.08473e-05,0
18,7.77892e-05,0.000478873,0.000151301,2.06303e-05,0
19,7.59278e-05,0.00047568,0.000154968,2.04157e-05,0
20,7.41772e-05,0.000472399,0.000158596,2.02035e-05,0
21,7.25444e-05,0.00046904,0.000162183,1.99939e-05,0
22,7.0944e-05,0.000465611,0.000165731,1.97868e-05,0
23,6.94416e-05,0.00046212,0.00016924,1.9582e-05,0
24,6.80441e-05,0.000458576,0.000172712,1.93796e-05,0
25,6.67597e-05,0.000454985,0.000176145,1.91798e-05,0
26,6.55472e-05,0.000451356,0.000179541,1.89827e-05,0
27,6.44496e-05,0.000447695,0.000182901,1.87884e-05,0
28,6.34809e-05,0.00044401,0.000186224,1.85972e-05,0
29,6.23186e-05,0.000440307,0.000189512,1.84094e-05,0
30,6.1179e-05,0.000436588,0.000192765,1.82232e-05,0
31,6.00114e-05,0.000432854,0.000195984,1.80386e-05,0
32,5.88553e-05,0.000429108,0.000199168,1.7855e-05,0
33,5.7713e-05,0.000425351,0.000202319,1.76724e-05,0
34,5.65863e-05,0.000421585,0.000205436,1.74907e-05,0
35,5.54771e-05,0.000417813,0.000208519,1.73098e-05,0
36,5.43874e-05,0.000414035,0.000211569,1.71298e-05,0
37,5.33188e-05,0.000410253,0.000214585,1.69505e-05,0
38,5.22733e-05,0.00040647,0.000217569,1.67722e-05,0
39,5.12527e-05,0.000402685,0.00022052,1.65947e-05,0
40,5.02586e-05,0.000398902,0.000223438,1.64181e-05,0
41,4.9293e-05,0.00039512,0.000226324,1.62425e-05,0
42,4.83578e-05,0.000391343,0.000229177,1.6068e-05,0
43,4.74549e-05,0.000387571,0.000231999,1.58946e-05,0
44,4.65864e-05,0.000383807,0.000234789,1.57224e-05,0
45,4.57552e-05,0.000380051,0.000237547,1.55516e-05,0
46,4.48389e-05,0.000376306,0.000240274,1.53822e-05,0
47,4.39266e-05,0.00037257,0.00024297,1.52135e-05,0
48,4.30194e-05,0.000368844,0.000245635,1.50456e-05,0
49,4.21188e-05,0.000365128,0.00024827,1.48783e-05,0
50,4.12261e-05,0.000361423,0.000250875,1.47117e-05,0
51,4.03425e-05,0.000357728,0.000253448,1.45457e-05,0
52,3.94692e-05,0.000354044,0.000255992,1.43805e-05,0
53,3.86074e-05,0.000350371,0.000258506,1.4216e-05,0
54,3.77581e-05,0.00034671,0.00026099,1.40522e-05,0
55,4.71246e-05,0.000343061,0.000263444,1.38892e-05,0
56,5.86998e-05,0.000339674,0.000265869,1.37946e-05,0
57,7.2943e-05,0.000336656,0.000268276,1.37755e-05,0
58,9.04766e-05,0.00033413,0.00027068,1.38414e-05,0
59,0.000112067,0.000332233,0.000273096,1.40055e-05,0
60,0.000138583,0.000331129,0.000275542,1.42846e-05,0
61,0.000171117,0.000331011,0.000278038,1.47001e-05,0
62,0.000211144,0.000332109,0.00028061,1.52784e-05,0
63,0.000260397,0.000334704,0.000283287,1.60534e-05,0
64,0.000321003,0.000339136,0.000286106,1.70672e-05,0
65,0.000395581,0.000345824,0.000289111,1.83721e-05,0
66,0.000487354,0.000355279,0.000292358,2.00325e-05,0
67,0.000600281,0.000368126,0.000295913,2.2128e-05,0
68,0.00073923,0.000385136,0.000299862,2.47568e-05,0
69,0.000910185,0.000407253,0.000304311,2.80392e-05,0
70,0.00112049,0.000435638,0.000309394,3.21235e-05,0
71,0.00137917,0.000471718,0.000315279,3.71916e-05,0
72,0.00133753,0.000517242,0.000322181,4.34664e-05,0
73,0.00129752,0.000565579,0.000330378,4.88367e-05,0
74,0.0012587,0.000615713,0.000339711,5.34372e-05,0
75,0.00122103,0.000666807,0.000350039,5.738e-05,0
76,0.00118449,0.00071818,0.000361237,6.07599e-05,0
77,0.00114904,0.00076928,0.000373191,6.36572e-05,0
78,0.00111466,0.000819668,0.000385802,6.61402e-05,0
79,0.00108131,0.000868992,0.000398984,6.82664e-05,0
80,0.00104898,0.00091698,0.000412657,7.00849e-05,0
81,0.00101762,0.000963418,0.000426755,7.1637e-05,0
82,0.000987217,0.00100815,0.000441218,7.29578e-05,0
83,0.000957748,0.00105106,0.000455993,7.40773e-05,0
84,0.000929188,0.00109206,0.000471035,7.50209e-05,0
85,0.000901519,0.0011311,0.000486301,7.58103e-05,0
86,0.00087472,0.00116817,0.000501756,7.64638e-05,0
87,0.00084878,0.00120324,0.000517368,7.69976e-05,0
88,0.000823576,0.00123633,0.000533109,7.74253e-05,0
89,0.000799158,0.00126745,0.000548952,7.7758e-05,0
90,0.000775509,0.00129664,0.000564876,7.80058e-05,0
91,0.000752614,0.00132393,0.00058086,7.81775e-05,0
92,0.00073046,0.00134937,0.000596885,7.82808e-05,0
93,0.000709037,0.001373,0.000612935,7.83223e-05,0
94,0.000688336,0.00139488,0.000628996,7.83082e-05,0
95,0.000668087,0.00141507,0.000645053,7.82436e-05,0
96,0.000648444,0.00143362,0.000661094,7.81318e-05,0
97,0.000629364,0.00145058,0.000677108,7.79765e-05,0
98,0.000610849,0.001466,0.000693085,7.77811e-05,0
99,0.000592886,0.00147995,0.000709015,7.75486e-05,0
100,0.000575465,0.00149248,0.000724888,7.72819e-05,0
101,0.000558571,0.00150364,0.000740697,7.69836e-05,0
102,0.000542178,0.0015135,0.000756434,7.66559e-05,0
103,0.000526282,0.00152209,0.000772092,7.6301e-05,0
