"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.00126539,0.000751187,0.00238628,4.38311e-05,0
238,0.00124182,0.000782243,0.00239455,4.98108e-05,0
239,0.00121866,0.00081787,0.00240409,5.47902e-05,0
240,0.00119591,0.000856905,0.00241471,5.89016e-05,0
241,0.00117356,0.000898361,0.00242625,6.22611e-05,0
242,0.0011516,0.000941402,0.00243854,6.49705e-05,0
243,0.00113003,0.000985324,0.00245145,6.71187e-05,0
244,0.00110884,0.00102954,0.00246486,6.87833e-05,0
245,0.00108804,0.00107356,0.00247865,7.00318e-05,0
246,0.00106758,0.00111697,0.00249274,7.09228e-05,0
247,0.00104748,0.00115946,0.00250703,7.15072e-05,0
248,0.00102774,0.00120074,0.00252146,7.1829e-05,0
249,0.00100834,0.0012406,0.00253597,7.19265e-05,0
250,0.000989291,0.00127888,0.0025505,7.18328e-05,0
251,0.000970582,0.00131545,0.002565,7.15767e-05,0
252,0.000952208,0.00135021,0.00257945,7.11828e-05,0
253,0.000934168,0.00138308,0.00259381,7.06728e-05,0
254,0.000916455,0.00141404,0.00260804,7.00651e-05,0
255,0.000899068,0.00144306,0.00262213,6.93758e-05,0
256,0.000882004,0.00147012,0.00263606,6.86186e-05,0
257,0.000865259,0.00149524,0.00264982,6.78055e-05,0
258,0.000848833,0.00151843,0.00266338,6.69468e-05,0
259,0.000832676,0.00153973,0.00267675,6.60515e-05,0
260,0.000816803,0.00155916,0.00268991,6.51269e-05,0
261,0.000801216,0.00157677,0.00270286,6.41793e-05,0
262,0.00078591,0.00159262,0.00271559,6.32143e-05,0
263,0.000770882,0.00160674,0.0027281,6.22369e-05,0
264,0.000756127,0.00161919,0.00274038,6.1251e-05,0
265,0.000741641,0.00163003,0.00275245,6.02602e-05,0
266,0.00072741,0.00163932,0.00276429,5.92675e-05,0
267,0.000713437,0.00164711,0.00277591,5.82755e-05,0
268,0.000699716,0.00165346,0.0027873,5.72863e-05,0
269,0.000686245,0.00165843,0.00279848,5.63018e-05,0
270,0.000673019,0.00166208,0.00280944,5.53235e-05,0
271,0.000660034,0.00166446,0.00282018,5.43529e-05,0
272,0.000647314,0.00166563,0.00283071,5.33909e-05,0
273,0.00063484,0.00166565,0.00284102,5.24389e-05,0
274,0.000622611,0.00166458,0.00285113,5.14976e-05,0
275,0.000610623,0.00166246,0.00286104,5.05679e-05,0
276,0.000598877,0.00165935,0.00287074,4.96503e-05,0
277,0.00058737,0.00165529,0.00288025,4.87454e-05,0
278,0.000576105,0.00165035,0.00288956,4.78537e-05,0
279,0.000565081,0.00164457,0.00289868,4.69755e-05,0
280,0.0005543,0.00163799,0.00290762,4.61112e-05,0
281,0.000543765,0.00163066,0.00291637,4.52612e-05,0
282,0.000533478,0.00162263,0.00292494,4.44257e-05,0
283,0.000523446,0.00161394,0.00293334,4.36052e-05,0
284,0.000513675,0.00160463,0.00294157,4.27998e-05,0
285,0.000504173,0.00159474,0.00294962,4.201e-05,0
286,0.000494951,0.00158431,0.00295751,4.12362e-05,0
287,0.000486022,0.00157338,0.00296525,4.04786e-05,0
288,0.000477402,0.00156199,0.00297282,3.9738e-05,0
289,0.000469111,0.00155017,0.00298024,3.90148e-05,0
290,0.000460608,0.00153797,0.00298752,3.83098e-05,0
291,0.000452218,0.00152541,0.00299465,3.76185e-05,0
292,0.000443942,0.00151252,0.00300164,3.69402e-05,0
293,0.00043578,0.00149933,0.00300849,3.62742e-05,0
294,0.000427735,0.00148586,0.0030152,3.56199e-05,0
295,0.000419806,0.00147213,0.00302179,3.49768e-05,0
296,0.000411993,0.00145817,0.00302824,3.43445e-05,0
297,0.000404298,0.001444,0.00303457,3.37226e-05,0
298,0.000396719,0.00142964,0.00304077,3.31108e-05,0
299,0.000389257,0.0014151,0.00304686,3.25088e-05,0
300,0.000381913,0.0014004,0.00305282,3.19164e-05,0
301,0.000374684,0.00138556,0.00305866,3.13334e-05,0
302,0.000367572,0.0013706,0.00306439,3.07596e-05,0
303,0.000360574,0.00135553,0.00307,3.01948e-05,0
304,0.000353692,0.00134036,0.00307551,2.96389e-05,0
305,0.000346924,0.00132511,0.0030809,2.90918e-05,0
306,0.00034027,0.00130979,0.00308619,2.85533e-05,0
307,0.000333728,0.00129442,0.00309137,2.80234e-05,0
308,0.000327298,0.00127901,0.00309645,2.75019e-05,0
309,0.000320989,0.00126356,0.00310143,2.69888e-05,0
310,0.000314795,0.00124809,0.00310631,2.64841e-05,0
311,0.000308711,0.0012326,0.00311109,2.59877e-05,0
312,0.000302789,0.00121712,0.00311577,2.54995e-05,0
313,0.000297007,0.00120165,0.00312037,2.502e-05,0
314,0.000291372,0.00118619,0.00312486,2.45492e-05,0
315,0.00028589,0.00117077,0.00312927,2.40874e-05,0
