"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.000736059,0.00244506,0.0033335,6.79097e-05,0
238,0.000717369,0.00245238,0.00334709,6.68519e-05,0
239,0.000699193,0.002459,0.00336043,6.57737e-05,0
240,0.000681528,0.00246493,0.00337353,6.46794e-05,0
241,0.000664371,0.00247019,0.00338638,6.35731e-05,0
242,0.000647721,0.00247477,0.00339897,6.24585e-05,0
243,0.00063158,0.00247871,0.00341131,6.13388e-05,0
244,0.000615954,0.00248201,0.00342339,6.02172e-05,0
245,0.00060085,0.00248468,0.00343522,5.90966e-05,0
246,0.000585859,0.00248676,0.0034468,5.79798e-05,0
247,0.000571244,0.00248823,0.00345814,5.68668e-05,0
248,0.000556997,0.00248912,0.00346922,5.57595e-05,0
249,0.000543114,0.00248945,0.00348006,5.46592e-05,0
250,0.00052959,0.00248922,0.00349065,5.35674e-05,0
251,0.000516419,0.00248845,0.00350101,5.24853e-05,0
252,0.0005036,0.00248715,0.00351113,5.14139e-05,0
253,0.00049113,0.00248535,0.00352102,5.03543e-05,0
254,0.000479008,0.00248305,0.00353068,4.93075e-05,0
255,0.000467235,0.00248027,0.00354011,4.82742e-05,0
256,0.000455814,0.00247702,0.00354933,4.72553e-05,0
257,0.00044475,0.00247332,0.00355832,4.62514e-05,0
258,0.000434049,0.00246918,0.0035671,4.52634e-05,0
259,0.000423677,0.00246463,0.00357568,4.4292e-05,0
260,0.000413328,0.00245966,0.00358405,4.33375e-05,0
261,0.000403227,0.0024543,0.00359221,4.23988e-05,0
262,0.000393369,0.00244856,0.00360019,4.14759e-05,0
263,0.000383749,0.00244245,0.00360797,4.05689e-05,0
264,0.000374364,0.00243597,0.00361556,3.96778e-05,0
265,0.000365211,0.00242915,0.00362298,3.88026e-05,0
266,0.000356257,0.00242199,0.00363021,3.79433e-05,0
267,0.000347516,0.00241451,0.00363726,3.70998e-05,0
268,0.000338985,0.00240672,0.00364415,3.62719e-05,0
269,0.000330658,0.00239863,0.00365086,3.54596e-05,0
270,0.000322533,0.00239024,0.00365741,3.46628e-05,0
271,0.000314604,0.00238158,0.00366381,3.38813e-05,0
272,0.00030687,0.00237265,0.00367004,3.31151e-05,0
273,0.000299325,0.00236345,0.00367612,3.23639e-05,0
274,0.000291959,0.00235401,0.00368206,3.16276e-05,0
275,0.000284751,0.00234433,0.00368784,3.09061e-05,0
276,0.000277715,0.00233443,0.00369349,3.01991e-05,0
277,0.000270848,0.0023243,0.00369899,2.95063e-05,0
278,0.000264147,0.00231396,0.00370436,2.88277e-05,0
279,0.000257597,0.00230342,0.0037096,2.81629e-05,0
280,0.000251205,0.00229268,0.0037147,2.75118e-05,0
281,0.000244965,0.00228176,0.00371968,2.68742e-05,0
282,0.000238875,0.00227066,0.00372454,2.62498e-05,0
283,0.000232931,0.0022594,0.00372928,2.56385e-05,0
284,0.000227132,0.00224797,0.00373389,2.50401e-05,0
285,0.000221473,0.00223639,0.0037384,2.44543e-05,0
286,0.000215952,0.00222467,0.00374279,2.3881e-05,0
287,0.000210567,0.0022128,0.00374707,2.33199e-05,0
288,0.000205314,0.00220081,0.00375125,2.27709e-05,0
289,0.000200191,0.00218869,0.00375532,2.22338e-05,0
290,0.000195185,0.00217646,0.00375929,2.17083e-05,0
291,0.000190299,0.00216411,0.00376316,2.11943e-05,0
292,0.000185531,0.00215166,0.00376693,2.06915e-05,0
293,0.000180879,0.00213911,0.00377061,2.01997e-05,0
294,0.00017634,0.00212647,0.00377419,1.97187e-05,0
295,0.000171913,0.00211374,0.00377769,1.92483e-05,0
296,0.000167594,0.00210093,0.0037811,1.87883e-05,0
297,0.000163382,0.00208805,0.00378442,1.83386e-05,0
298,0.000159274,0.0020751,0.00378766,1.78989e-05,0
299,0.000155267,0.00206208,0.00379082,1.74691e-05,0
300,0.00015136,0.00204901,0.0037939,1.70489e-05,0
301,0.00014755,0.00203588,0.0037969,1.66382e-05,0
302,0.000143836,0.0020227,0.00379983,1.62368e-05,0
303,0.000140215,0.00200948,0.00380268,1.58445e-05,0
304,0.000136686,0.00199621,0.00380546,1.54612e-05,0
305,0.000133246,0.00198292,0.00380817,1.50867e-05,0
306,0.000129897,0.00196959,0.00381081,1.47208e-05,0
307,0.000126635,0.00195623,0.00381339,1.43634e-05,0
308,0.000123459,0.00194286,0.0038159,1.40143e-05,0
309,0.000149552,0.00192946,0.00381835,1.36734e-05,0
310,0.000181203,0.00191659,0.00382073,1.3503e-05,0
311,0.000219389,0.00190438,0.00382309,1.35215e-05,0
312,0.000265455,0.00189301,0.00382545,1.37512e-05,0
313,0.000321148,0.00188265,0.00382785,1.42205e-05,0
314,0.000388471,0.00187355,0.00383033,1.49652e-05,0
315,0.000469851,0.00186598,0.00383295,1.60296e-05,0
316,0.000568222,0.00186027,0.00383577,1.74681e-05,0
317,0.000687123,0.00185682,0.00383885,1.93476e-05,0
318,0.000830832,0.00185609,0.00384227,2.17493e-05,0
319,0.00100451,0.00185866,0.00384615,2.47719e-05,0
320,0.00121438,0.00186521,0.0038506,2.85351e-05,0
321,0.00146799,0.00187657,0.00385578,3.31839e-05,0
322,0.00177033,0.00189373,0.00386188,3.88934e-05,0
323,0.00172219,0.00191782,0.00386913,4.58518e-05,0
324,0.00167647,0.00194264,0.00387782,5.20082e-05,0
325,0.00163197,0.00196803,0.00388784,5.74337e-05,0
326,0.00158869,0.0019938,0.00389905,6.21889e-05,0
327,0.00154658,0.0020198,0.00391133,6.63303e-05,0
328,0.00150564,0.00204587,0.00392455,6.99109e-05,0
329,0.00146584,0.00207188,0.00393861,7.29801e-05,0
330,0.00142717,0.00209773,0.00395339,7.55837e-05,0
331,0.00138962,0.00212331,0.00396879,7.77643e-05,0
332,0.00135317,0.00214852,0.00398472,7.95614e-05,0
333,0.00131783,0.00217329,0.00400108,8.10114e-05,0
334,0.00128359,0.00219756,0.00401779,8.21482e-05,0
335,0.00125012,0.00222125,0.00403479,8.30029e-05,0
336,0.00121764,0.00224432,0.00405199,8.36023e-05,0
337,0.00118572,0.00226673,0.00406934,8.39726e-05,0
338,0.00115462,0.00228842,0.00408679,8.41353e-05,0
339,0.00112432,0.00230937,0.00410427,8.41117e-05,0
340,0.0010948,0.00232954,0.00412175,8.39212e-05,0
341,0.00106603,0.00234892,0.00413918,8.35817e-05,0
342,0.00103801,0.00236748,0.00415653,8.31094e-05,0
343,0.00101072,0.00238521,0.00417376,8.25192e-05,0
344,0.00098413,0.00240211,0.00419084,8.18245e-05,0
345,0.000958234,0.00241816,0.00420776,8.10376e-05,0
346,0.000932988,0.00243336,0.00422448,8.01699e-05,0
347,0.000908394,0.00244772,0.00424099,7.92312e-05,0
348,0.000884417,0.00246122,0.00425727,7.8231e-05,0
349,0.000861058,0.00247388,0.00427331,7.71774e-05,0
350,0.000838304,0.0024857,0.00428909,7.60781e-05,0
351,0.00081614,0.00249669,0.00430461,7.494e-05,0
352,0.000794553,0.00250686,0.00431986,7.37694e-05,0
353,0.000773524,0.00251621,0.00433482,7.25719e-05,0
354,0.000753043,0.00252476,0.00434951,7.13527e-05,0
355,0.000733088,0.00253252,0.0043639,7.01165e-05,0
356,0.000713643,0.0025395,0.00437801,6.88672e-05,0
357,0.000694701,0.00254572,0.00439182,6.76088e-05,0
358,0.00067625,0.0025512,0.00440534,6.63445e-05,0
359,0.000658279,0.00255594,0.00441857,6.50774e-05,0
360,0.000640774,0.00255996,0.00443151,6.38103e-05,0
361,0.000623725,0.00256328,0.00444415,6.25455e-05,0
