"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,3.1944e-07,0.000456684,0.00192568,4.74475e-08,1
238,3.08186e-07,0.000452136,0.00192569,4.5776e-08,1
239,2.97329e-07,0.000447632,0.0019257,4.41634e-08,1
240,2.86855e-07,0.000443173,0.00192571,4.26076e-08,1
241,2.7675e-07,0.000438758,0.00192571,4.11066e-08,1
242,2.67001e-07,0.000434387,0.00192572,3.96585e-08,1
243,2.57596e-07,0.000430058,0.00192573,3.82615e-08,1
244,2.48523e-07,0.000425773,0.00192573,3.69136e-08,1
245,2.39769e-07,0.00042153,0.00192574,3.56133e-08,1
246,2.31324e-07,0.000417328,0.00192575,3.43588e-08,1
247,2.23176e-07,0.000413168,0.00192575,3.31484e-08,1
248,2.15316e-07,0.00040905,0.00192576,3.19808e-08,1
249,2.07733e-07,0.000404972,0.00192576,3.08542e-08,1
250,2.00417e-07,0.000400934,0.00192577,2.97674e-08,1
251,1.93359e-07,0.000396937,0.00192577,2.87189e-08,1
252,1.86549e-07,0.000392978,0.00192578,2.77073e-08,1
253,1.7998e-07,0.000389059,0.00192578,2.67313e-08,1
254,1.73642e-07,0.000385179,0.00192579,2.57898e-08,1
255,1.67528e-07,0.000381338,0.00192579,2.48814e-08,1
256,1.61629e-07,0.000377534,0.00192579,2.4005e-08,1
257,1.55938e-07,0.000373768,0.0019258,2.31596e-08,1
258,1.50447e-07,0.00037004,0.0019258,2.23439e-08,1
259,1.4515e-07,0.000366348,0.00192581,2.15569e-08,1
260,1.40039e-07,0.000362693,0.00192581,2.07977e-08,1
261,1.35109e-07,0.000359074,0.00192581,2.00652e-08,1
262,1.30352e-07,0.000355491,0.00192582,1.93586e-08,1
263,1.25763e-07,0.000351944,0.00192582,1.86768e-08,1
264,1.21336e-07,0.000348432,0.00192582,1.80191e-08,1
265,1.17064e-07,0.000344955,0.00192583,1.73845e-08,1
266,1.12943e-07,0.000341512,0.00192583,1.67723e-08,1
267,1.08968e-07,0.000338103,0.00192583,1.61817e-08,1
268,1.05132e-07,0.000334729,0.00192583,1.56119e-08,1
269,1.01431e-07,0.000331387,0.00192584,1.50622e-08,1
270,9.78613e-08,0.000328079,0.00192584,1.45318e-08,1
271,9.44169e-08,0.000324804,0.00192584,1.40201e-08,1
272,9.10937e-08,0.000321562,0.00192584,1.35264e-08,1
273,8.78877e-08,0.000318352,0.00192585,1.30502e-08,1
274,8.47946e-08,0.000315173,0.00192585,1.25907e-08,1
275,8.18104e-08,0.000312026,0.00192585,1.21474e-08,1
276,7.89313e-08,0.000308911,0.00192585,1.17197e-08,1
277,7.61536e-08,0.000305826,0.00192586,1.13071e-08,1
278,7.34738e-08,0.000302773,0.00192586,1.09091e-08,1
279,7.08883e-08,0.000299749,0.00192586,1.0525e-08,1
280,6.83939e-08,0.000296756,0.00192586,1.01545e-08,1
281,6.59873e-08,0.000293792,0.00192586,9.79704e-09,1
282,6.36655e-08,0.000290858,0.00192586,9.45217e-09,1
283,6.14254e-08,0.000287953,0.00192587,9.11945e-09,1
284,5.92643e-08,0.000285077,0.00192587,8.79845e-09,1
285,5.71792e-08,0.00028223,0.00192587,8.48875e-09,1
286,5.51675e-08,0.000279411,0.00192587,8.18997e-09,1
287,5.32267e-08,0.00027662,0.00192587,7.90171e-09,1
288,5.13542e-08,0.000273857,0.00192587,7.6236e-09,1
289,4.95476e-08,0.000271121,0.00192587,7.3553e-09,1
290,4.78046e-08,0.000268413,0.00192588,7.09644e-09,1
291,4.6123e-08,0.000265732,0.00192588,6.84669e-09,1
292,4.45006e-08,0.000263077,0.00192588,6.60575e-09,1
293,4.29354e-08,0.000260449,0.00192588,6.37329e-09,1
294,4.14252e-08,0.000257847,0.00192588,6.14902e-09,1
295,3.99681e-08,0.000255271,0.00192588,5.93264e-09,1
296,3.85624e-08,0.00025272,0.00192588,5.72389e-09,1
297,3.72062e-08,0.000250195,0.00192588,5.52249e-09,1
298,3.58976e-08,0.000247696,0.00192588,5.32818e-09,1
299,3.46352e-08,0.000245221,0.00192588,5.14072e-09,1
300,3.34172e-08,0.000242771,0.00192589,4.95985e-09,1
301,3.2242e-08,0.000240345,0.00192589,4.78536e-09,1
302,3.11082e-08,0.000237943,0.00192589,4.617e-09,1
303,3.00143e-08,0.000235566,0.00192589,4.45458e-09,1
304,2.89589e-08,0.000233212,0.00192589,4.29788e-09,1
305,2.79407e-08,0.000230881,0.00192589,4.14669e-09,1
