"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000669049,0.00291057,0.00137765,7.1477e-05,1
2,0.000653385,0.00291296,0.00139208,6.97631e-05,1
3,0.000638173,0.00291458,0.0014061,6.80981e-05,1
4,0.000623309,0.00291545,0.00141974,6.64803e-05,1
5,0.000608784,0.00291561,0.001433,6.49077e-05,1
6,0.000594591,0.00291508,0.00144589,6.33783e-05,1
7,0.000580723,0.00291388,0.00145844,6.18904e-05,1
8,0.000567173,0.00291204,0.00147065,6.04423e-05,1
9,0.000553933,0.00290958,0.00148254,5.90324e-05,1
10,0.000540997,0.00290652,0.0014941,5.76593e-05,1
11,0.000528358,0.00290288,0.00150536,5.63216e-05,1
12,0.000516009,0.00289869,0.00151632,5.5018e-05,1
13,0.000503944,0.00289397,0.001527,5.37473e-05,1
14,0.000492157,0.00288873,0.0015374,5.25084e-05,1
15,0.000480642,0.00288299,0.00154752,5.13001e-05,1
16,0.000469391,0.00287677,0.00155738,5.01215e-05,1
17,0.000458399,0.0028701,0.00156699,4.89717e-05,1
18,0.00044766,0.00286297,0.00157636,4.78496e-05,1
19,0.000437169,0.00285542,0.00158548,4.67545e-05,1
20,0.000426921,0.00284746,0.00159437,4.56855e-05,1
21,0.000416909,0.00283911,0.00160303,4.46418e-05,1
22,0.000407128,0.00283037,0.00161147,4.36227e-05,1
23,0.000397574,0.00282127,0.0016197,4.26276e-05,1
24,0.000388241,0.00281181,0.00162772,4.16556e-05,1
25,0.000379125,0.00280202,0.00163554,4.07063e-05,1
26,0.000370219,0.0027919,0.00164316,3.97789e-05,1
27,0.000361521,0.00278147,0.00165059,3.88729e-05,1
28,0.000353024,0.00277074,0.00165784,3.79877e-05,1
29,0.000344725,0.00275972,0.00166491,3.71228e-05,1
30,0.000336618,0.00274843,0.00167179,3.62776e-05,1
31,0.0003287,0.00273688,0.00167851,3.54517e-05,1
32,0.000320967,0.00272507,0.00168506,3.46446e-05,1
33,0.000313413,0.00271303,0.00169145,3.38558e-05,1
34,0.000306035,0.00270075,0.00169768,3.30848e-05,1
35,0.00029883,0.00268826,0.00170376,3.23313e-05,1
36,0.000291792,0.00267555,0.00170968,3.15947e-05,1
37,0.000284919,0.00266264,0.00171546,3.08748e-05,1
38,0.000278206,0.00264955,0.0017211,3.01711e-05,1
39,0.000271649,0.00263627,0.0017266,2.94832e-05,1
40,0.000265246,0.00262282,0.00173196,2.88107e-05,1
41,0.000258993,0.0026092,0.0017372,2.81534e-05,1
42,0.000252885,0.00259543,0.0017423,2.75108e-05,1
43,0.000246921,0.00258152,0.00174728,2.68826e-05,1
44,0.000241095,0.00256746,0.00175214,2.62685e-05,1
45,0.000235405,0.00255327,0.00175688,2.56681e-05,1
46,0.000229849,0.00253896,0.0017615,2.50812e-05,1
47,0.000224422,0.00252453,0.00176601,2.45075e-05,1
48,0.000219123,0.00250999,0.00177042,2.39466e-05,1
49,0.000213947,0.00249535,0.00177471,2.33983e-05,1
50,0.000208893,0.00248062,0.0017789,2.28622e-05,1
51,0.000203957,0.00246579,0.00178299,2.23382e-05,1
52,0.000199137,0.00245088,0.00178698,2.18259e-05,1
53,0.00019443,0.0024359,0.00179087,2.13251e-05,1
54,0.000189834,0.00242084,0.00179467,2.08355e-05,1
55,0.000185345,0.00240571,0.00179837,2.03569e-05,1
56,0.000180962,0.00239053,0.00180199,1.9889e-05,1
57,0.000176682,0.00237529,0.00180552,1.94317e-05,1
58,0.000172503,0.00236001,0.00180896,1.89846e-05,1
59,0.000168422,0.00234468,0.00181232,1.85476e-05,1
60,0.000164437,0.00232931,0.0018156,1.81204e-05,1
61,0.000160546,0.0023139,0.0018188,1.77028e-05,1
62,0.000156746,0.00229847,0.00182192,1.72946e-05,1
63,0.000153036,0.00228301,0.00182497,1.68957e-05,1
64,0.000149413,0.00226753,0.00182794,1.65057e-05,1
65,0.000145876,0.00225204,0.00183084,1.61245e-05,1
66,0.000142422,0.00223653,0.00183368,1.5752e-05,1
67,0.00013905,0.00222101,0.00183644,1.53878e-05,1
68,0.000135757,0.00220549,0.00183914,1.50319e-05,1
69,0.000132542,0.00218997,0.00184177,1.46841e-05,1
70,0.000129402,0.00217445,0.00184434,1.43441e-05,1
71,0.000126337,0.00215894,0.00184684,1.40119e-05,1
72,0.000121827,0.00214343,0.00184929,1.36872e-05,1
73,0.000117371,0.00212791,0.00185168,1.33614e-05,1
74,0.000113078,0.00211238,0.00185401,1.30349e-05,1
75,0.000108943,0.00209683,0.00185628,1.27086e-05,1
76,0.00010496,0.00208128,0.00185849,1.23834e-05,1
77,0.000101124,0.00206572,0.00186064,1.20601e-05,1
78,9.74283e-05,0.00205016,0.00186274,1.17394e-05,1
79,9.38689e-05,0.00203461,0.00186478,1.14217e-05,1
80,9.04404e-05,0.00201905,0.00186676,1.11076e-05,1
81,8.7138e-05,0.00200351,0.00186868,1.07977e-05,1
82,8.3957e-05,0.00198797,0.00187055,1.04922e-05,1
83,8.0893e-05,0.00197246,0.00187236,1.01915e-05,1
84,7.79416e-05,0.00195695,0.00187413,9.89592e-06,1
85,7.50987e-05,0.00194148,0.00187584,9.60567e-06,1
86,7.23577e-05,0.00192602,0.00187749,9.32097e-06,1
87,6.98026e-05,0.00191059,0.0018791,9.04197e-06,1
88,6.73376e-05,0.0018952,0.00188066,8.76926e-06,1
89,6.49624e-05,0.00187984,0.00188217,8.5029e-06,1
90,6.26709e-05,0.00186452,0.00188363,8.24289e-06,1
91,6.04601e-05,0.00184924,0.00188505,7.98924e-06,1
92,5.83273e-05,0.001834,0.00188642,7.74192e-06,1
93,5.62696e-05,0.00181881,0.00188775,7.50088e-06,1
94,5.42845e-05,0.00180367,0.00188903,7.2661e-06,1
95,5.23694e-05,0.00178859,0.00189028,7.03749e-06,1
96,5.05218e-05,0.00177355,0.00189149,6.81501e-06,1
97,4.87393e-05,0.00175858,0.00189265,6.59855e-06,1
98,4.70197e-05,0.00174366,0.00189378,6.38805e-06,1
99,4.53607e-05,0.0017288,0.00189487,6.18341e-06,1
100,4.37602e-05,0.00171401,0.00189593,5.98454e-06,1
101,4.22162e-05,0.00169928,0.00189695,5.79133e-06,1
102,4.07266e-05,0.00168462,0.00189794,5.60368e-06,1
103,3.92895e-05,0.00167003,0.0018989,5.42148e-06,1
104,3.79031e-05,0.0016555,0.00189982,5.24463e-06,1
105,3.65656e-05,0.00164105,0.00190072,5.073e-06,1
106,3.52753e-05,0.00162668,0.00190158,4.90649e-06,1
107,3.40305e-05,0.00161238,0.00190242,4.74498e-06,1
108,3.28296e-05,0.00159815,0.00190323,4.58836e-06,1
109,3.16711e-05,0.00158401,0.00190401,4.43651e-06,1
110,3.05534e-05,0.00156994,0.00190476,4.28932e-06,1
111,2.94752e-05,0.00155595,0.00190549,4.14667e-06,1
112,2.8435e-05,0.00154205,0.0019062,4.00844e-06,1
113,2.74315e-05,0.00152823,0.00190688,3.87453e-06,1
114,2.64634e-05,0.00151449,0.00190753,3.74482e-06,1
115,2.55295e-05,0.00150084,0.00190817,3.61919e-06,1
116,2.46285e-05,0.00148727,0.00190878,3.49755e-06,1
117,2.37593e-05,0.00147379,0.00190938,3.37977e-06,1
118,2.29208e-05,0.0014604,0.00190995,3.26576e-06,1
119,2.21118e-05,0.00144709,0.0019105,3.1554e-06,1
120,2.13315e-05,0.00143387,0.00191104,3.0486e-06,1
121,2.05786e-05,0.00142074,0.00191156,2.94525e-06,1
122,1.98523e-05,0.00140771,0.00191205,2.84526e-06,1
123,1.91517e-05,0.00139476,0.00191254,2.74852e-06,1
124,1.84757e-05,0.0013819,0.001913,2.65493e-06,1
125,1.78237e-05,0.00136913,0.00191345,2.56442e-06,1
126,1.71946e-05,0.00135646,0.00191389,2.47687e-06,1
127,1.65877e-05,0.00134388,0.0019143,2.39221e-06,1
128,1.60023e-05,0.00133138,0.00191471,2.31035e-06,1
129,1.54375e-05,0.00131898,0.0019151,2.2312e-06,1
130,1.48926e-05,0.00130668,0.00191548,2.15467e-06,1
131,1.4367e-05,0.00129446,0.00191584,2.0807e-06,1
132,1.386e-05,0.00128234,0.00191619,2.00919e-06,1
133,1.33708e-05,0.00127031,0.00191653,1.94007e-06,1
134,1.28989e-05,0.00125838,0.00191686,1.87326e-06,1
135,1.24436e-05,0.00124653,0.00191718,1.8087e-06,1
136,1.20044e-05,0.00123478,0.00191748,1.74631e-06,1
137,1.15808e-05,0.00122312,0.00191778,1.68602e-06,1
138,1.1172e-05,0.00121156,0.00191806,1.62777e-06,1
139,1.07777e-05,0.00120008,0.00191834,1.57148e-06,1
140,1.03974e-05,0.0011887,0.0019186,1.51711e-06,1
141,1.00304e-05,0.00117741,0.00191886,1.46457e-06,1
142,9.6764e-06,0.00116622,0.0019191,1.41382e-06,1
143,9.33489e-06,0.00115511,0.00191934,1.3648e-06,1
144,9.00544e-06,0.0011441,0.00191957,1.31744e-06,1
145,8.68762e-06,0.00113318,0.00191979,1.2717e-06,1
146,8.38102e-06,0.00112235,0.00192001,1.22753e-06,1
147,8.08524e-06,0.00111161,0.00192022,1.18486e-06,1
148,7.7999e-06,0.00110096,0.00192042,1.14365e-06,1
149,7.52463e-06,0.0010904,0.00192061,1.10386e-06,1
150,7.25908e-06,0.00107993,0.00192079,1.06543e-06,1
151,7.0029e-06,0.00106955,0.00192097,1.02832e-06,1
152,6.75577e-06,0.00105926,0.00192115,9.92488e-07,1
153,6.51736e-06,0.00104906,0.00192131,9.57887e-07,1
154,6.28736e-06,0.00103894,0.00192148,9.24479e-07,1
155,6.06549e-06,0.00102892,0.00192163,8.92222e-07,1
156,5.85145e-06,0.00101898,0.00192178,8.61078e-07,1
157,5.64496e-06,0.00100913,0.00192193,8.3101e-07,1
158,5.44576e-06,0.000999365,0.00192207,8.0198e-07,1
159,5.25359e-06,0.000989687,0.0019222,7.73955e-07,1
160,5.06821e-06,0.000980095,0.00192233,7.469e-07,1
161,4.88937e-06,0.000970588,0.00192246,7.20782e-07,1
162,4.71684e-06,0.000961165,0.00192258,6.95569e-07,1
163,4.5504e-06,0.000951827,0.0019227,6.7123e-07,1
164,4.38984e-06,0.000942573,0.00192281,6.47736e-07,1
165,4.23494e-06,0.000933401,0.00192292,6.25058e-07,1
166,4.08552e-06,0.000924313,0.00192302,6.03168e-07,1
167,3.94136e-06,0.000915307,0.00192312,5.82039e-07,1
168,3.8023e-06,0.000906383,0.00192322,5.61645e-07,1
169,3.66814e-06,0.00089754,0.00192332,5.41961e-07,1
170,3.53872e-06,0.000888777,0.00192341,5.22962e-07,1
171,3.41387e-06,0.000880095,0.0019235,5.04625e-07,1
172,3.29343e-06,0.000871492,0.00192358,4.86927e-07,1
173,3.17723e-06,0.000862968,0.00192366,4.69847e-07,1
174,3.06514e-06,0.000854523,0.00192374,4.53362e-07,1
175,2.957e-06,0.000846156,0.00192382,4.37452e-07,1
176,2.85268e-06,0.000837866,0.00192389,4.22098e-07,1
177,2.75204e-06,0.000829654,0.00192396,4.0728e-07,1
178,2.65496e-06,0.000821517,0.00192403,3.9298e-07,1
179,2.5613e-06,0.000813456,0.0019241,3.7918e-07,1
180,2.47095e-06,0.00080547,0.00192416,3.65862e-07,1
181,2.38378e-06,0.000797559,0.00192422,3.5301e-07,1
182,2.29969e-06,0.000789722,0.00192428,3.40608e-07,1
183,2.21857e-06,0.000781959,0.00192434,3.28639e-07,1
184,2.14031e-06,0.000774268,0.0019244,3.1709e-07,1
185,2.06482e-06,0.00076665,0.00192445,3.05945e-07,1
186,1.99199e-06,0.000759104,0.0019245,2.95191e-07,1
187,1.92173e-06,0.000751629,0.00192455,2.84813e-07,1
188,1.85394e-06,0.000744224,0.0019246,2.74799e-07,1
189,1.78855e-06,0.00073689,0.00192464,2.65136e-07,1
190,1.72547e-06,0.000729625,0.00192469,2.55812e-07,1
191,1.66462e-06,0.000722429,0.00192473,2.46815e-07,1
192,1.60591e-06,0.000715302,0.00192477,2.38133e-07,1
193,1.54927e-06,0.000708242,0.00192481,2.29756e-07,1
194,1.49463e-06,0.00070125,0.00192485,2.21673e-07,1
195,1.44192e-06,0.000694324,0.00192489,2.13874e-07,1
196,1.39107e-06,0.000687465,0.00192492,2.06349e-07,1
197,1.34202e-06,0.000680671,0.00192496,1.99087e-07,1
198,1.29469e-06,0.000673943,0.00192499,1.92081e-07,1
199,1.24904e-06,0.000667279,0.00192502,1.85321e-07,1
200,1.20499e-06,0.000660679,0.00192506,1.78799e-07,1
201,1.1625e-06,0.000654142,0.00192509,1.72505e-07,1
202,1.12151e-06,0.000647668,0.00192512,1.66433e-07,1
203,1.08197e-06,0.000641257,0.00192514,1.60574e-07,1
204,1.04382e-06,0.000634907,0.00192517,1.54921e-07,1
205,1.00702e-06,0.000628619,0.0019252,1.49467e-07,1
206,9.7151e-07,0.000622391,0.00192522,1.44204e-07,1
207,9.37258e-07,0.000616224,0.00192525,1.39127e-07,1
208,9.04214e-07,0.000610116,0.00192527,1.34228e-07,1
209,8.72335e-07,0.000604068,0.00192529,1.29502e-07,1
210,8.41582e-07,0.000598078,0.00192531,1.24941e-07,1
211,8.11913e-07,0.000592146,0.00192533,1.20541e-07,1
212,7.83291e-07,0.000586272,0.00192535,1.16296e-07,1
213,7.55678e-07,0.000580455,0.00192537,1.12201e-07,1
214,7.2904e-07,0.000574694,0.00192539,1.08249e-07,1
215,7.03341e-07,0.00056899,0.00192541,1.04437e-07,1
216,6.78548e-07,0.000563341,0.00192543,1.00758e-07,1
217,6.54631e-07,0.000557747,0.00192545,9.72093e-08,1
218,6.31556e-07,0.000552208,0.00192546,9.37853e-08,1
219,6.09296e-07,0.000546723,0.00192548,9.04819e-08,1
