"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,4.35958e-10,3.03353e-05,8.83192e-05,4.62217e-11,1
238,4.20068e-10,2.99381e-05,8.83192e-05,4.46274e-11,1
239,4.04763e-10,2.95461e-05,8.83192e-05,4.30954e-11,1
240,3.9002e-10,2.91592e-05,8.83192e-05,4.16231e-11,1
241,3.7582e-10,2.87774e-05,8.83192e-05,4.02079e-11,1
242,3.62141e-10,2.84006e-05,8.83192e-05,3.88476e-11,1
243,3.48965e-10,2.80287e-05,8.83192e-05,3.75396e-11,1
244,3.36273e-10,2.76617e-05,8.83192e-05,3.62819e-11,1
245,3.24047e-10,2.72995e-05,8.83192e-05,3.50724e-11,1
246,3.12269e-10,2.6942e-05,8.83192e-05,3.3909e-11,1
247,3.00923e-10,2.65892e-05,8.83192e-05,3.27899e-11,1
248,2.89994e-10,2.62411e-05,8.83192e-05,3.17131e-11,1
249,2.79465e-10,2.58975e-05,8.83192e-05,3.0677e-11,1
250,2.69321e-10,2.55583e-05,8.83192e-05,2.96799e-11,1
251,2.59549e-10,2.52237e-05,8.83193e-05,2.87202e-11,1
252,2.50135e-10,2.48934e-05,8.83193e-05,2.77963e-11,1
253,2.41065e-10,2.45674e-05,8.83193e-05,2.69068e-11,1
254,2.32327e-10,2.42457e-05,8.83193e-05,2.60503e-11,1
255,2.23908e-10,2.39282e-05,8.83193e-05,2.52254e-11,1
256,2.15797e-10,2.36149e-05,8.83193e-05,2.44309e-11,1
257,2.07982e-10,2.33057e-05,8.83193e-05,2.36656e-11,1
258,2.00453e-10,2.30005e-05,8.83193e-05,2.29282e-11,1
259,1.93199e-10,2.26993e-05,8.83193e-05,2.22177e-11,1
260,1.86209e-10,2.24021e-05,8.83193e-05,2.1533e-11,1
261,1.79474e-10,2.21088e-05,8.83193e-05,2.0873e-11,1
262,1.72985e-10,2.18192e-05,8.83193e-05,2.02367e-11,1
263,1.66733e-10,2.15335e-05,8.83193e-05,1.96233e-11,1
264,1.60708e-10,2.12516e-05,8.83193e-05,1.90319e-11,1
265,1.54903e-10,2.09733e-05,8.83193e-05,1.84614e-11,1
266,1.49309e-10,2.06986e-05,8.83193e-05,1.79113e-11,1
267,1.43919e-10,2.04276e-05,8.83193e-05,1.73805e-11,1
268,1.38725e-10,2.01601e-05,8.83193e-05,1.68684e-11,1
269,1.3372e-10,1.98961e-05,8.83193e-05,1.63743e-11,1
270,1.28897e-10,1.96356e-05,8.83193e-05,1.58975e-11,1
271,1.24249e-10,1.93785e-05,8.83193e-05,1.54372e-11,1
272,1.1977e-10,1.91247e-05,8.83193e-05,1.49929e-11,1
273,1.15454e-10,1.88743e-05,8.83193e-05,1.45639e-11,1
274,1.11295e-10,1.86271e-05,8.83193e-05,1.41496e-11,1
275,1.07286e-10,1.83832e-05,8.83193e-05,1.37495e-11,1
276,1.03423e-10,1.81425e-05,8.83193e-05,1.33631e-11,1
277,9.97004e-11,1.79049e-05,8.83193e-05,1.29898e-11,1
278,9.61126e-11,1.76704e-05,8.83193e-05,1.26291e-11,1
279,9.26549e-11,1.7439e-05,8.83193e-05,1.22805e-11,1
280,8.93225e-11,1.72107e-05,8.83193e-05,1.19437e-11,1
281,8.61108e-11,1.69853e-05,8.83193e-05,1.1618e-11,1
282,8.30155e-11,1.67629e-05,8.83193e-05,1.13032e-11,1
283,8.00322e-11,1.65434e-05,8.83194e-05,1.09989e-11,1
284,7.71569e-11,1.63268e-05,8.83194e-05,1.07045e-11,1
285,7.43856e-11,1.6113e-05,8.83194e-05,1.04198e-11,1
286,7.17146e-11,1.5902e-05,8.83194e-05,1.01444e-11,1
287,6.91402e-11,1.56937e-05,8.83194e-05,9.87799e-12,1
288,6.66588e-11,1.54882e-05,8.83194e-05,9.62018e-12,1
289,6.42672e-11,1.52854e-05,8.83194e-05,9.37069e-12,1
290,6.19619e-11,1.50852e-05,8.83194e-05,9.1292e-12,1
291,5.97399e-11,1.48877e-05,8.83194e-05,8.89542e-12,1
292,5.75981e-11,1.46927e-05,8.83194e-05,8.66907e-12,1
293,5.55336e-11,1.45003e-05,8.83194e-05,8.44989e-12,1
294,5.35437e-11,1.43105e-05,8.83194e-05,8.23762e-12,1
295,5.16255e-11,1.41231e-05,8.83194e-05,8.03199e-12,1
296,4.97765e-11,1.39381e-05,8.83194e-05,7.83279e-12,1
297,4.79941e-11,1.37556e-05,8.83194e-05,7.63977e-12,1
298,4.6276e-11,1.35755e-05,8.83194e-05,7.45271e-12,1
299,4.46198e-11,1.33977e-05,8.83194e-05,7.27141e-12,1
300,4.30233e-11,1.32222e-05,8.83194e-05,7.09565e-12,1
301,4.14842e-11,1.30491e-05,8.83194e-05,6.92525e-12,1
302,4.00006e-11,1.28782e-05,8.83194e-05,6.76001e-12,1
303,3.85704e-11,1.27096e-05,8.83194e-05,6.59975e-12,1
304,3.71916e-11,1.25431e-05,8.83194e-05,6.4443e-12,1
305,3.58624e-11,1.23789e-05,8.83194e-05,6.29349e-12,1
306,3.45811e-11,1.22168e-05,8.83194e-05,6.14716e-12,1
307,3.33457e-11,1.20568e-05,8.83194e-05,6.00515e-12,1
308,3.21548e-11,1.18989e-05,8.83194e-05,5.86731e-12,1
309,3.10067e-11,1.17431e-05,8.83194e-05,5.7335e-12,1
310,2.98999e-11,1.15893e-05,8.83194e-05,5.60359e-12,1
311,2.88327e-11,1.14376e-05,8.83194e-05,5.47743e-12,1
312,2.78039e-11,1.12878e-05,8.83194e-05,5.3549e-12,1
313,2.68121e-11,1.114e-05,8.83194e-05,5.23587e-12,1
314,2.58558e-11,1.09941e-05,8.83194e-05,5.12024e-12,1
315,2.49338e-11,1.08501e-05,8.83194e-05,5.00788e-12,1
