"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,4.36952e-05,0.000562796,6.87135e-05,5.88972e-06,1
2,4.09643e-05,0.00056092,6.97193e-05,5.61133e-06,1
3,3.78788e-05,0.000558765,7.06769e-05,5.34498e-06,1
4,3.50611e-05,0.000556314,7.15883e-05,5.08933e-06,1
5,3.24562e-05,0.000553595,7.24556e-05,4.84419e-06,1
6,3.00479e-05,0.00055063,7.32805e-05,4.60929e-06,1
7,2.78212e-05,0.00054744,7.40649e-05,4.38435e-06,1
8,2.57624e-05,0.000544045,7.48105e-05,4.1691e-06,1
9,2.38586e-05,0.000540461,7.55192e-05,3.96323e-06,1
10,2.20981e-05,0.000536708,7.61924e-05,3.76644e-06,1
11,2.04699e-05,0.000532799,7.68319e-05,3.57845e-06,1
12,1.89641e-05,0.000528751,7.74391e-05,3.39894e-06,1
13,1.75713e-05,0.000524576,7.80156e-05,3.22761e-06,1
14,1.6283e-05,0.000520288,7.85627e-05,3.06418e-06,1
15,1.50912e-05,0.000515899,7.90819e-05,2.90834e-06,1
16,1.39886e-05,0.00051142,7.95745e-05,2.7598e-06,1
17,1.29685e-05,0.00050686,8.00418e-05,2.61829e-06,1
18,1.20245e-05,0.00050223,8.04849e-05,2.48351e-06,1
19,1.1151e-05,0.000497539,8.0905e-05,2.35519e-06,1
20,1.03428e-05,0.000492795,8.13033e-05,2.23308e-06,1
21,9.59469e-06,0.000488005,8.16808e-05,2.1169e-06,1
22,8.90223e-06,0.000483178,8.20386e-05,2.0064e-06,1
23,8.2612e-06,0.000478319,8.23776e-05,1.90135e-06,1
24,7.66773e-06,0.000473436,8.26987e-05,1.80149e-06,1
25,7.11821e-06,0.000468533,8.30029e-05,1.70661e-06,1
26,6.60935e-06,0.000463616,8.3291e-05,1.61648e-06,1
27,6.13809e-06,0.00045869,8.35638e-05,1.53087e-06,1
28,5.70158e-06,0.00045376,8.38221e-05,1.44959e-06,1
29,5.29724e-06,0.000448829,8.40666e-05,1.37244e-06,1
30,4.92263e-06,0.000443903,8.4298e-05,1.29922e-06,1
31,4.57553e-06,0.000438984,8.45171e-05,1.22975e-06,1
32,4.25387e-06,0.000434077,8.47244e-05,1.16385e-06,1
33,3.95576e-06,0.000429183,8.49206e-05,1.10135e-06,1
34,3.67943e-06,0.000424306,8.51062e-05,1.04208e-06,1
35,3.42325e-06,0.000419449,8.52818e-05,9.85899e-07,1
36,3.18571e-06,0.000414614,8.54479e-05,9.32645e-07,1
37,2.96544e-06,0.000409803,8.5605e-05,8.82177e-07,1
38,2.76113e-06,0.000405018,8.57535e-05,8.34357e-07,1
39,2.5716e-06,0.000400261,8.5894e-05,7.89054e-07,1
40,2.39576e-06,0.000395535,8.60269e-05,7.46143e-07,1
41,2.23259e-06,0.00039084,8.61525e-05,7.05504e-07,1
42,2.08115e-06,0.000386177,8.62713e-05,6.67022e-07,1
43,1.94056e-06,0.000381549,8.63835e-05,6.30588e-07,1
44,1.81003e-06,0.000376957,8.64897e-05,5.96097e-07,1
45,1.6889e-06,0.0003724,8.659e-05,5.63452e-07,1
46,1.57638e-06,0.000367881,8.66848e-05,5.32556e-07,1
47,1.47168e-06,0.000363401,8.67744e-05,5.0332e-07,1
48,1.37724e-06,0.000358959,8.68591e-05,4.75658e-07,1
49,1.2892e-06,0.000354557,8.69391e-05,4.49493e-07,1
50,1.20672e-06,0.000350195,8.70147e-05,4.24746e-07,1
51,1.13947e-06,0.000345875,8.70861e-05,4.01342e-07,1
52,1.07619e-06,0.000341596,8.71536e-05,3.79227e-07,1
53,1.01664e-06,0.000337359,8.72174e-05,3.5833e-07,1
54,9.60593e-07,0.000333165,8.72777e-05,3.38585e-07,1
55,9.07826e-07,0.000329013,8.73346e-05,3.19928e-07,1
56,8.58143e-07,0.000324905,8.73884e-05,3.02301e-07,1
57,8.11355e-07,0.000320839,8.74392e-05,2.85645e-07,1
58,7.67285e-07,0.000316815,8.74873e-05,2.69908e-07,1
59,7.25767e-07,0.000312835,8.75326e-05,2.5504e-07,1
60,6.86647e-07,0.000308898,8.75755e-05,2.40993e-07,1
61,6.49779e-07,0.000305003,8.7616e-05,2.27721e-07,1
62,6.15026e-07,0.000301151,8.76543e-05,2.15182e-07,1
63,5.82261e-07,0.000297342,8.76905e-05,2.03336e-07,1
64,5.51363e-07,0.000293576,8.77247e-05,1.92144e-07,1
65,5.22221e-07,0.000289852,8.7757e-05,1.8157e-07,1
66,4.94729e-07,0.00028617,8.77875e-05,1.71581e-07,1
67,4.68788e-07,0.00028253,8.78163e-05,1.62143e-07,1
68,4.44305e-07,0.000278932,8.78436e-05,1.53227e-07,1
69,4.21194e-07,0.000275375,8.78693e-05,1.44804e-07,1
70,3.99374e-07,0.00027186,8.78937e-05,1.36847e-07,1
71,3.78766e-07,0.000268386,8.79167e-05,1.29329e-07,1
72,3.593e-07,0.000264953,8.79384e-05,1.22227e-07,1
73,3.41007e-07,0.000261561,8.79589e-05,1.15518e-07,1
74,3.23742e-07,0.000258208,8.79784e-05,1.09179e-07,1
75,3.0744e-07,0.000254896,8.79967e-05,1.03191e-07,1
76,2.92043e-07,0.000251623,8.8014e-05,9.75342e-08,1
77,2.77495e-07,0.00024839,8.80304e-05,9.21903e-08,1
78,2.63746e-07,0.000245196,8.80459e-05,8.71419e-08,1
79,2.50747e-07,0.000242041,8.80606e-05,8.23726e-08,1
80,2.38454e-07,0.000238924,8.80744e-05,7.78671e-08,1
81,2.26823e-07,0.000235845,8.80875e-05,7.36107e-08,1
82,2.15816e-07,0.000232803,8.80999e-05,6.95896e-08,1
83,2.05397e-07,0.000229799,8.81116e-05,6.57907e-08,1
84,1.9553e-07,0.000226832,8.81226e-05,6.22018e-08,1
85,1.86183e-07,0.000223902,8.81331e-05,5.88112e-08,1
86,1.77326e-07,0.000221008,8.81429e-05,5.56078e-08,1
87,1.68956e-07,0.00021815,8.81523e-05,5.25813e-08,1
88,1.61031e-07,0.000215327,8.81611e-05,4.9722e-08,1
89,1.5353e-07,0.000212539,8.81695e-05,4.70205e-08,1
90,1.46424e-07,0.000209787,8.81774e-05,4.44681e-08,1
91,1.39688e-07,0.000207069,8.81849e-05,4.20566e-08,1
92,1.33302e-07,0.000204385,8.81919e-05,3.97781e-08,1
93,1.27243e-07,0.000201734,8.81986e-05,3.76252e-08,1
94,1.21494e-07,0.000199117,8.82049e-05,3.55911e-08,1
95,1.16036e-07,0.000196533,8.82109e-05,3.3669e-08,1
96,1.10852e-07,0.000193982,8.82166e-05,3.18528e-08,1
97,1.05926e-07,0.000191463,8.82219e-05,3.01365e-08,1
98,1.01244e-07,0.000188976,8.8227e-05,2.85148e-08,1
99,9.67927e-08,0.00018652,8.82318e-05,2.69821e-08,1
100,9.25581e-08,0.000184096,8.82363e-05,2.55338e-08,1
101,8.85286e-08,0.000181703,8.82406e-05,2.4165e-08,1
102,8.46929e-08,0.000179339,8.82447e-05,2.28713e-08,1
103,8.10405e-08,0.000177007,8.82485e-05,2.16485e-08,1
104,7.75615e-08,0.000174703,8.82521e-05,2.04928e-08,1
