"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.00105321,0.00295611,0.000710907,6.16104e-05,0
2,0.00103368,0.00297602,0.000723054,6.08227e-05,0
3,0.00101559,0.00299429,0.000735023,6.00044e-05,0
4,0.0009978,0.00301097,0.000746807,5.917e-05,0
5,0.000980299,0.00302607,0.000758405,5.83236e-05,0
6,0.000963086,0.00303963,0.000769813,5.74689e-05,0
7,0.000946155,0.00305168,0.00078103,5.66089e-05,0
8,0.000929504,0.00306224,0.000792057,5.57463e-05,0
9,0.000913129,0.00307136,0.000802893,5.48833e-05,0
10,0.000897026,0.00307907,0.000813539,5.40219e-05,0
11,0.000881192,0.00308541,0.000823996,5.31638e-05,0
12,0.000865624,0.00309042,0.000834265,5.23102e-05,0
13,0.000850317,0.00309414,0.000844348,5.14624e-05,0
14,0.000835269,0.0030966,0.000854247,5.06215e-05,0
15,0.000820475,0.00309785,0.000863964,4.97881e-05,0
16,0.000805933,0.00309793,0.000873501,4.8963e-05,0
17,0.000791642,0.00309687,0.000882861,4.81469e-05,0
18,0.000777592,0.00309471,0.000892047,4.73401e-05,0
19,0.000763784,0.0030915,0.000901061,4.65432e-05,0
20,0.000750216,0.00308726,0.000909905,4.57563e-05,0
21,0.000736886,0.00308204,0.000918583,4.49799e-05,0
22,0.00072377,0.00307588,0.000927097,4.4214e-05,0
23,0.00071088,0.0030688,0.00093545,4.34587e-05,0
24,0.000698211,0.00306085,0.000943645,4.27142e-05,0
25,0.000685763,0.00305206,0.000951684,4.19805e-05,0
26,0.000673529,0.00304246,0.000959571,4.12577e-05,0
27,0.000661511,0.00303208,0.000967308,4.05456e-05,0
28,0.000649706,0.00302097,0.000974897,3.98445e-05,0
29,0.000638087,0.00300914,0.000982343,3.91542e-05,0
30,0.000626666,0.00299663,0.000989646,3.84746e-05,0
31,0.000615436,0.00298347,0.00099681,3.78056e-05,0
32,0.000604396,0.00296969,0.00100384,3.71471e-05,0
33,0.000593544,0.00295532,0.00101073,3.64989e-05,0
