"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,5.41944e-05,0.000348408,4.7401e-05,8.58019e-06,0
2,5.23571e-05,0.000348528,4.88773e-05,8.36695e-06,0
3,6.2731e-05,0.000348401,5.03161e-05,8.1664e-06,0
4,7.51007e-05,0.000348252,5.17196e-05,8.0601e-06,0
5,8.98737e-05,0.000348209,5.31044e-05,8.05059e-06,0
6,0.000107518,0.000348406,5.44875e-05,8.14301e-06,0
7,0.000128591,0.000348988,5.58869e-05,8.34528e-06,0
8,0.00015376,0.000350111,5.73218e-05,8.66836e-06,0
9,0.00018382,0.000351951,5.88137e-05,9.12666e-06,0
10,0.000219723,0.000354707,6.03863e-05,9.73854e-06,0
11,0.000262603,0.000358605,6.20672e-05,1.05269e-05,0
12,0.000313795,0.000363909,6.38882e-05,1.15199e-05,0
13,0.000374928,0.000370926,6.58863e-05,1.27519e-05,0
14,0.000447928,0.000380016,6.81055e-05,1.42645e-05,0
15,0.000535095,0.000391604,7.05981e-05,1.6108e-05,0
16,0.000639171,0.000406193,7.3427e-05,1.83427e-05,0
17,0.000763431,0.000424377,7.66676e-05,2.10411e-05,0
18,0.000911685,0.000446864,8.04119e-05,2.42898e-05,0
19,0.00108863,0.000474492,8.47716e-05,2.81917e-05,0
20,0.00129978,0.000508261,8.98836e-05,3.28698e-05,0
21,0.00155173,0.000549356,9.59166e-05,3.84707e-05,0
22,0.00149165,0.000599192,0.00010308,4.51687e-05,0
23,0.00143416,0.000653373,0.000111633,5.0708e-05,0
24,0.00137891,0.000710667,0.000121367,5.52484e-05,0
25,0.00132581,0.000770029,0.000132093,5.89279e-05,0
26,0.0012748,0.000830579,0.000143635,6.18672e-05,0
27,0.00122579,0.00089158,0.000155838,6.41715e-05,0
28,0.00117871,0.000952418,0.000168566,6.59322e-05,0
29,0.00113342,0.00101259,0.000181698,6.72287e-05,0
30,0.00108989,0.00107167,0.00019513,6.81293e-05,0
31,0.00104796,0.00112933,0.000208771,6.86934e-05,0
32,0.00100763,0.0011853,0.000222543,6.89715e-05,0
33,0.000968842,0.00123936,0.000236379,6.90078e-05,0
34,0.000931541,0.00129135,0.000250224,6.88404e-05,0
35,0.000895667,0.00134115,0.00026403,6.85019e-05,0
36,0.000861168,0.00138866,0.000277758,6.80205e-05,0
37,0.000827991,0.00143383,0.000291373,6.74206e-05,0
38,0.000796085,0.00147663,0.000304849,6.67227e-05,0
39,0.000765403,0.00151704,0.000318164,6.59449e-05,0
40,0.000735898,0.00155507,0.000331299,6.51022e-05,0
41,0.000707525,0.00159074,0.00034424,6.42078e-05,0
42,0.000680241,0.00162407,0.000356977,6.32729e-05,0
43,0.000654005,0.00165511,0.0003695,6.23069e-05,0
44,0.000628777,0.00168391,0.000381803,6.1318e-05,0
45,0.00060452,0.00171053,0.000393882,6.0313e-05,0
46,0.000581193,0.00173501,0.000405735,5.92978e-05,0
47,0.000558763,0.00175742,0.00041736,5.82773e-05,0
48,0.000537196,0.00177784,0.000428756,5.72557e-05,0
49,0.00051646,0.00179631,0.000439925,5.62365e-05,0
50,0.000496523,0.00181293,0.000450869,5.52226e-05,0
51,0.000477355,0.00182774,0.000461588,5.42165e-05,0
52,0.000458928,0.00184083,0.000472086,5.32202e-05,0
53,0.000441212,0.00185226,0.000482367,5.22354e-05,0
54,0.000424183,0.0018621,0.000492432,5.12634e-05,0
55,0.000407818,0.00187042,0.000502287,5.03053e-05,0
56,0.00039209,0.00187728,0.000511935,4.93621e-05,0
57,0.000376978,0.00188274,0.00052138,4.84344e-05,0
58,0.000362459,0.00188688,0.000530627,4.75228e-05,0
59,0.000348514,0.00188975,0.000539678,4.66277e-05,0
60,0.000335085,0.00189141,0.00054854,4.57494e-05,0
61,0.000322176,0.00189192,0.000557216,4.48878e-05,0
