"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000129246,0.00126795,0.000228976,1.72671e-05,0
2,0.000122004,0.00126119,0.000232018,1.65042e-05,0
3,0.000114756,0.001254,0.00023492,1.57699e-05,0
4,0.000107949,0.00124638,0.000237687,1.50617e-05,0
5,0.000101556,0.00123838,0.000240325,1.43795e-05,0
6,9.5553e-05,0.00123002,0.000242838,1.37231e-05,0
7,8.99154e-05,0.00122133,0.000245233,1.30924e-05,0
8,8.46214e-05,0.00121235,0.000247514,1.24869e-05,0
9,7.96504e-05,0.00120311,0.000249685,1.19062e-05,0
10,7.4983e-05,0.00119362,0.000251752,1.13498e-05,0
11,8.96782e-05,0.00118392,0.00025372,1.08172e-05,0
12,0.000107156,0.00117522,0.000255593,1.04119e-05,0
13,0.00012794,0.00116771,0.000257393,1.01378e-05,0
14,0.000152658,0.00116158,0.000259145,1.00013e-05,0
15,0.000182056,0.00115708,0.000260873,1.00116e-05,0
16,0.000217022,0.00115449,0.000262602,1.01814e-05,0
17,0.000258612,0.00115415,0.000264361,1.05268e-05,0
18,0.000308042,0.00115648,0.000266182,1.10684e-05,0
19,0.000366769,0.00116193,0.0002681,1.18318e-05,0
20,0.000436574,0.00117108,0.000270154,1.2848e-05,0
21,0.000519563,0.00118459,0.00027239,1.4155e-05,0
22,0.0006181,0.00120327,0.000274863,1.57988e-05,0
23,0.000735084,0.00122806,0.000277636,1.78344e-05,0
24,0.000874063,0.00126008,0.000280782,2.03271e-05,0
25,0.00103916,0.00130065,0.000284393,2.3356e-05,0
26,0.00123524,0.00135136,0.000288575,2.7015e-05,0
27,0.00146811,0.00141408,0.000293458,3.14158e-05,0
28,0.00174459,0.00149103,0.000299203,3.6691e-05,0
29,0.00163579,0.00158487,0.000306004,4.29976e-05,0
30,0.00153419,0.00167114,0.000314103,4.81341e-05,0
31,0.00143889,0.0017503,0.000323286,5.22446e-05,0
32,0.00134951,0.00182277,0.000333354,5.54563e-05,0
33,0.00126568,0.00188893,0.000344126,5.78837e-05,0
34,0.00118706,0.00194914,0.000355436,5.96295e-05,0
35,0.00111331,0.00200375,0.000367136,6.07852e-05,0
36,0.00104415,0.00205311,0.000379096,6.14325e-05,0
37,0.000979282,0.00209752,0.000391203,6.16439e-05,0
38,0.000918445,0.00213729,0.000403357,6.14836e-05,0
39,0.000861387,0.00217269,0.000415475,6.10083e-05,0
40,0.000807875,0.002204,0.000427485,6.0268e-05,0
41,0.000757689,0.00223147,0.000439329,5.9307e-05,0
42,0.000710622,0.00225535,0.000450957,5.81637e-05,0
43,0.000666482,0.00227586,0.000462329,5.6872e-05,0
44,0.000625088,0.00229321,0.000473414,5.54615e-05,0
45,0.000586294,0.00230762,0.000484187,5.39581e-05,0
46,0.000549917,0.00231927,0.000494629,5.23841e-05,0
47,0.000515815,0.00232836,0.000504728,5.07592e-05,0
48,0.000483851,0.00233504,0.000514475,4.90999e-05,0
49,0.000453895,0.00233949,0.000523864,4.7421e-05,0
50,0.000425827,0.00234186,0.000532895,4.57346e-05,0
51,0.000399534,0.00234229,0.000541568,4.40515e-05,0
52,0.000374913,0.00234092,0.000549887,4.23807e-05,0
53,0.000351866,0.00233788,0.000557857,4.07298e-05,0
54,0.000330306,0.00233329,0.000565484,3.91052e-05,0
55,0.000310162,0.00232727,0.000572778,3.75122e-05,0
56,0.000291352,0.00231993,0.000579746,3.59555e-05,0
57,0.000273808,0.00231137,0.000586398,3.44385e-05,0
58,0.000257475,0.0023017,0.000592745,3.29643e-05,0
59,0.000242302,0.002291,0.000598797,3.15353e-05,0
60,0.000227777,0.00227936,0.000604565,3.01535e-05,0
61,0.000214152,0.00226685,0.000610061,2.88178e-05,0
62,0.000201374,0.00225353,0.000615296,2.75287e-05,0
63,0.000189396,0.00223947,0.000620279,2.62864e-05,0
64,0.000178173,0.00222474,0.000625022,2.50908e-05,0
65,0.000167665,0.00220939,0.000629535,2.39417e-05,0
66,0.000157835,0.00219348,0.000633829,2.28385e-05,0
67,0.000148652,0.00217707,0.000637912,2.17806e-05,0
68,0.000140085,0.00216021,0.000641796,2.07674e-05,0
69,0.000132111,0.00214294,0.000645489,1.9798e-05,0
70,0.000124711,0.00212531,0.000649,1.88716e-05,0
71,0.00011787,0.00210737,0.000652339,1.79873e-05,0
72,0.000111216,0.00208916,0.000655514,1.71443e-05,0
73,0.000104955,0.00207069,0.000658534,1.63399e-05,0
74,9.90627e-05,0.002052,0.000661405,1.55725e-05,0
75,9.35189e-05,0.00203312,0.000664136,1.48409e-05,0
76,8.83017e-05,0.00201407,0.000666733,1.41437e-05,0
77,8.33917e-05,0.00199488,0.000669204,1.34795e-05,0
78,0.000100186,0.00197557,0.000671555,1.28469e-05,0
79,0.000120117,0.00195753,0.000673791,1.23616e-05,0
80,0.000143744,0.00194093,0.00067594,1.20277e-05,0
81,0.000171757,0.00192601,0.000678029,1.18517e-05,0
82,0.00020498,0.00191303,0.000680087,1.18437e-05,0
83,0.000244385,0.00190232,0.000682143,1.20171e-05,0
84,0.00029113,0.00189424,0.00068423,1.23897e-05,0
85,0.000346585,0.00188924,0.000686384,1.29837e-05,0
86,0.000412378,0.00188786,0.000688645,1.38272e-05,0
87,0.000490438,0.00189071,0.000691059,1.49543e-05,0
88,0.00058296,0.00189854,0.000693677,1.64068e-05,0
89,0.000692591,0.00191222,0.000696561,1.82347e-05,0
90,0.000822569,0.00193279,0.000699781,2.04975e-05,0
91,0.000976675,0.00196148,0.000703424,2.32674e-05,0
92,0.00115939,0.00199974,0.000707589,2.66301e-05,0
93,0.00137495,0.00204931,0.000712398,3.06878e-05,0
94,0.00163027,0.00211216,0.000717999,3.55562e-05,0
95,0.00152744,0.00219071,0.000724571,4.13772e-05,0
96,0.0014318,0.00226222,0.000732332,4.61054e-05,0
97,0.00134218,0.00232716,0.000741084,4.98779e-05,0
98,0.00125824,0.00238592,0.000750641,5.28142e-05,0
99,0.00117961,0.00243887,0.000760833,5.50215e-05,0
100,0.00110597,0.00248635,0.000771509,5.65961e-05,0
101,0.00103704,0.0025287,0.000782533,5.76237e-05,0
102,0.00097228,0.00256624,0.000793785,5.81808e-05,0
103,0.000911581,0.00259926,0.000805161,5.8334e-05,0
104,0.000854691,0.00262803,0.000816571,5.81432e-05,0
105,0.000801372,0.00265283,0.000827939,5.76611e-05,0
106,0.000751403,0.00267392,0.000839199,5.69345e-05,0
107,0.000704574,0.00269152,0.000850298,5.60043e-05,0
108,0.000660664,0.00270586,0.000861191,5.49064e-05,0
109,0.000619507,0.00271716,0.000871841,5.36723e-05,0
110,0.000580932,0.00272562,0.000882221,5.23293e-05,0
111,0.000544777,0.00273143,0.000892308,5.09016e-05,0
112,0.000510891,0.00273477,0.000902086,4.94098e-05,0
113,0.000479129,0.00273581,0.000911542,4.7872e-05,0
114,0.000449361,0.00273471,0.000920669,4.63038e-05,0
115,0.000421451,0.00273162,0.000929462,4.47184e-05,0
116,0.000395291,0.00272668,0.000937921,4.31273e-05,0
117,0.000370768,0.00272003,0.000946046,4.15403e-05,0
118,0.00034778,0.00271178,0.000953842,3.99655e-05,0
119,0.000326231,0.00270207,0.000961312,3.841e-05,0
120,0.00030603,0.002691,0.000968463,3.68793e-05,0
121,0.000287094,0.00267867,0.000975302,3.53785e-05,0
122,0.000269343,0.00266518,0.000981838,3.39112e-05,0
123,0.000252703,0.00265063,0.000988079,3.24807e-05,0
124,0.000237104,0.0026351,0.000994035,3.10894e-05,0
125,0.000222481,0.00261868,0.000999715,2.97391e-05,0
126,0.000208773,0.00260144,0.00100513,2.84312e-05,0
127,0.000195922,0.00258344,0.00101029,2.71667e-05,0
128,0.000183875,0.00256477,0.0010152,2.5946e-05,0
129,0.000172578,0.00254548,0.00101988,2.47694e-05,0
130,0.000161987,0.00252563,0.00102433,2.36368e-05,0
131,0.000152057,0.00250527,0.00102857,2.25478e-05,0
132,0.000142748,0.00248447,0.00103259,2.15022e-05,0
133,0.000134021,0.00246326,0.00103643,2.0499e-05,0
134,0.000125838,0.00244169,0.00104007,1.95377e-05,0
135,0.000118167,0.0024198,0.00104353,1.86172e-05,0
136,0.000110974,0.00239764,0.00104682,1.77365e-05,0
137,0.000104255,0.00237524,0.00104995,1.68947e-05,0
138,9.79678e-05,0.00235263,0.00105293,1.60907e-05,0
139,9.20866e-05,0.00232986,0.00105575,1.53234e-05,0
140,8.6589e-05,0.00230694,0.00105844,1.45916e-05,0
141,8.14544e-05,0.00228391,0.00106099,1.38942e-05,0
142,7.66642e-05,0.0022608,0.00106341,1.323e-05,0
143,9.15399e-05,0.00223763,0.00106572,1.25979e-05,0
144,0.000109744,0.00221565,0.00106791,1.21024e-05,0
145,0.000131467,0.00219506,0.00107001,1.17494e-05,0
146,0.000157389,0.00217607,0.00107205,1.15455e-05,0
147,0.000188329,0.00215895,0.00107406,1.15004e-05,0
148,0.000225258,0.00214399,0.00107605,1.16273e-05,0
149,0.000269342,0.00213157,0.00107807,1.19438e-05,0
