"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000129246,0.00126795,0.000228976,1.72671e-05,1
2,0.000122004,0.00126119,0.000232018,1.65042e-05,1
3,0.000114752,0.001254,0.00023492,1.57699e-05,1
4,0.000107941,0.00124638,0.000237687,1.50617e-05,1
5,0.000101543,0.00123838,0.000240325,1.43794e-05,1
6,9.55332e-05,0.00123001,0.000242838,1.3723e-05,1
7,8.98875e-05,0.00122133,0.000245233,1.30921e-05,1
8,8.45838e-05,0.00121235,0.000247513,1.24865e-05,1
9,7.96013e-05,0.0012031,0.000249685,1.19057e-05,1
10,7.49203e-05,0.00119361,0.000251752,1.13491e-05,1
11,6.95698e-05,0.0011839,0.00025372,1.08162e-05,1
12,6.45944e-05,0.00117394,0.000255592,1.03011e-05,1
13,5.9985e-05,0.00116375,0.000257373,9.80439e-06,1
14,5.57143e-05,0.00115336,0.000259066,9.32627e-06,1
15,5.17573e-05,0.00114279,0.000260674,8.86691e-06,1
16,4.80908e-05,0.00113208,0.0002622,8.42634e-06,1
17,4.46929e-05,0.00112123,0.00026365,8.00442e-06,1
18,4.15468e-05,0.00111028,0.000265025,7.60095e-06,1
19,3.86309e-05,0.00109923,0.000266329,7.21563e-06,1
20,3.5928e-05,0.00108812,0.000267566,6.84808e-06,1
21,3.34225e-05,0.00107694,0.000268739,6.49786e-06,1
22,3.10996e-05,0.00106573,0.00026985,6.1645e-06,1
23,2.8946e-05,0.00105448,0.000270904,5.84748e-06,1
24,2.69491e-05,0.00104322,0.000271902,5.54625e-06,1
25,2.50972e-05,0.00103195,0.000272849,5.26027e-06,1
26,2.33798e-05,0.00102069,0.000273745,4.98896e-06,1
27,2.17868e-05,0.00100944,0.000274595,4.73174e-06,1
28,2.03091e-05,0.000998217,0.000275401,4.48803e-06,1
29,1.89382e-05,0.000987024,0.000276164,4.25727e-06,1
30,1.76661e-05,0.00097587,0.000276888,4.03887e-06,1
31,1.64857e-05,0.000964762,0.000277575,3.83229e-06,1
32,1.53902e-05,0.000953705,0.000278225,3.63697e-06,1
33,1.43732e-05,0.000942705,0.000278843,3.45237e-06,1
34,1.34291e-05,0.000931768,0.000279428,3.27797e-06,1
35,1.25525e-05,0.000920898,0.000279984,3.11327e-06,1
36,1.17385e-05,0.0009101,0.000280512,2.95778e-06,1
37,1.09823e-05,0.000899376,0.000281013,2.81102e-06,1
38,1.02799e-05,0.000888731,0.000281489,2.67254e-06,1
39,9.62716e-06,0.000878167,0.000281941,2.5419e-06,1
40,9.02056e-06,0.000867687,0.000282371,2.41867e-06,1
41,8.45671e-06,0.000857294,0.00028278,2.30247e-06,1
42,7.93246e-06,0.000846989,0.00028317,2.19289e-06,1
43,7.44494e-06,0.000836775,0.00028354,2.08959e-06,1
44,6.99014e-06,0.000826654,0.000283893,1.99219e-06,1
45,6.60809e-06,0.000816626,0.00028423,1.90037e-06,1
46,6.24988e-06,0.000806695,0.000284551,1.81404e-06,1
47,5.91393e-06,0.000796863,0.000284857,1.73283e-06,1
48,5.59877e-06,0.000787129,0.00028515,1.65643e-06,1
49,5.30302e-06,0.000777495,0.000285429,1.58453e-06,1
50,5.02501e-06,0.000767959,0.000285697,1.51683e-06,1
51,4.77718e-06,0.000758524,0.000285953,1.45308e-06,1
52,4.54359e-06,0.000749189,0.000286198,1.39308e-06,1
53,4.32335e-06,0.000739955,0.000286433,1.3366e-06,1
54,4.11565e-06,0.00073082,0.000286658,1.2834e-06,1
