"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,5.56039e-10,1.92773e-09,0.000101243,8.17544e-11,1
238,5.36484e-10,1.8584e-09,0.000101243,7.87982e-11,1
239,5.17622e-10,1.7916e-09,0.000101243,7.59508e-11,1
240,4.99426e-10,1.72724e-09,0.000101243,7.32082e-11,1
241,4.81874e-10,1.66523e-09,0.000101243,7.05664e-11,1
242,4.64942e-10,1.60548e-09,0.000101243,6.80215e-11,1
243,4.48608e-10,1.54791e-09,0.000101243,6.557e-11,1
244,4.32851e-10,1.49243e-09,0.000101243,6.32084e-11,1
245,4.17651e-10,1.43897e-09,0.000101243,6.09332e-11,1
246,4.02988e-10,1.38745e-09,0.000101243,5.87412e-11,1
247,3.88842e-10,1.3378e-09,0.000101243,5.66294e-11,1
248,3.75196e-10,1.28995e-09,0.000101243,5.45946e-11,1
249,3.62031e-10,1.24384e-09,0.000101243,5.26342e-11,1
250,3.4933e-10,1.19939e-09,0.000101243,5.07452e-11,1
251,3.37078e-10,1.15656e-09,0.000101243,4.8925e-11,1
252,3.25257e-10,1.11528e-09,0.000101243,4.7171e-11,1
253,3.13854e-10,1.07548e-09,0.000101243,4.54809e-11,1
254,3.02852e-10,1.03713e-09,0.000101243,4.38522e-11,1
255,2.92238e-10,1.00016e-09,0.000101243,4.22826e-11,1
256,2.81997e-10,9.64525e-10,0.000101243,4.077e-11,1
257,2.72118e-10,9.30175e-10,0.000101243,3.93123e-11,1
258,2.62586e-10,8.97062e-10,0.000101243,3.79074e-11,1
259,2.5339e-10,8.65142e-10,0.000101243,3.65533e-11,1
260,2.44518e-10,8.34371e-10,0.000101243,3.52483e-11,1
261,2.35958e-10,8.04707e-10,0.000101243,3.39905e-11,1
262,2.27699e-10,7.7611e-10,0.000101243,3.27781e-11,1
263,2.1973e-10,7.4854e-10,0.000101243,3.16095e-11,1
264,2.12042e-10,7.2196e-10,0.000101243,3.04831e-11,1
265,2.04624e-10,6.96334e-10,0.000101243,2.93973e-11,1
266,1.97467e-10,6.71628e-10,0.000101243,2.83506e-11,1
267,1.90561e-10,6.47807e-10,0.000101243,2.73417e-11,1
268,1.83898e-10,6.2484e-10,0.000101243,2.63691e-11,1
269,1.7747e-10,6.02695e-10,0.000101243,2.54315e-11,1
270,1.71267e-10,5.81343e-10,0.000101243,2.45276e-11,1
271,1.65281e-10,5.60756e-10,0.000101243,2.36561e-11,1
272,1.59506e-10,5.40904e-10,0.000101243,2.2816e-11,1
273,1.53934e-10,5.21762e-10,0.000101243,2.20061e-11,1
274,1.48557e-10,5.03304e-10,0.000101243,2.12252e-11,1
275,1.43369e-10,4.85504e-10,0.000101243,2.04723e-11,1
276,1.38363e-10,4.68341e-10,0.000101243,1.97464e-11,1
277,1.33532e-10,4.51789e-10,0.000101243,1.90465e-11,1
278,1.28871e-10,4.35828e-10,0.000101243,1.83716e-11,1
279,1.24373e-10,4.20436e-10,0.000101243,1.77209e-11,1
280,1.20033e-10,4.05592e-10,0.000101243,1.70935e-11,1
281,1.15845e-10,3.91276e-10,0.000101243,1.64885e-11,1
282,1.11804e-10,3.77471e-10,0.000101243,1.59052e-11,1
283,1.07904e-10,3.64156e-10,0.000101243,1.53426e-11,1
284,1.04141e-10,3.51315e-10,0.000101243,1.48002e-11,1
285,1.00509e-10,3.38931e-10,0.000101243,1.42771e-11,1
286,9.70052e-11,3.26987e-10,0.000101243,1.37726e-11,1
287,9.36237e-11,3.15467e-10,0.000101243,1.32862e-11,1
288,9.03605e-11,3.04356e-10,0.000101243,1.28171e-11,1
