"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,1.53993e-08,2.60371e-06,0.000410764,6.27213e-09,1
238,1.48472e-08,2.52544e-06,0.000410765,6.07832e-09,1
239,1.4315e-08,2.44951e-06,0.000410766,5.89052e-09,1
240,1.3802e-08,2.37585e-06,0.000410767,5.70854e-09,1
241,1.33076e-08,2.3044e-06,0.000410768,5.53221e-09,1
242,1.28311e-08,2.23509e-06,0.000410769,5.36133e-09,1
243,1.23718e-08,2.16786e-06,0.00041077,5.19575e-09,1
244,1.19291e-08,2.10264e-06,0.000410771,5.03529e-09,1
245,1.15023e-08,2.03938e-06,0.000410772,4.87981e-09,1
246,1.1091e-08,1.97801e-06,0.000410772,4.72914e-09,1
247,1.06944e-08,1.91848e-06,0.000410773,4.58313e-09,1
248,1.03122e-08,1.86073e-06,0.000410774,4.44165e-09,1
249,9.94372e-09,1.80472e-06,0.000410775,4.30454e-09,1
250,9.58852e-09,1.75038e-06,0.000410775,4.17167e-09,1
251,9.24611e-09,1.69768e-06,0.000410776,4.04292e-09,1
252,8.91601e-09,1.64655e-06,0.000410777,3.91815e-09,1
253,8.59779e-09,1.59696e-06,0.000410777,3.79724e-09,1
254,8.29101e-09,1.54886e-06,0.000410778,3.68007e-09,1
255,7.99525e-09,1.5022e-06,0.000410779,3.56652e-09,1
256,7.71012e-09,1.45694e-06,0.000410779,3.45649e-09,1
257,7.43523e-09,1.41304e-06,0.00041078,3.34985e-09,1
258,7.17021e-09,1.37046e-06,0.00041078,3.24652e-09,1
259,6.9147e-09,1.32916e-06,0.000410781,3.14638e-09,1
260,6.66835e-09,1.28909e-06,0.000410782,3.04933e-09,1
261,6.43084e-09,1.25023e-06,0.000410782,2.95528e-09,1
262,6.20184e-09,1.21254e-06,0.000410783,2.86414e-09,1
263,5.98105e-09,1.17598e-06,0.000410783,2.77581e-09,1
264,5.76817e-09,1.14052e-06,0.000410783,2.69022e-09,1
265,5.56291e-09,1.10612e-06,0.000410784,2.60727e-09,1
266,5.36501e-09,1.07276e-06,0.000410784,2.52688e-09,1
267,5.17418e-09,1.0404e-06,0.000410785,2.44897e-09,1
268,4.99018e-09,1.00902e-06,0.000410785,2.37347e-09,1
269,4.81277e-09,9.78574e-07,0.000410786,2.3003e-09,1
270,4.6417e-09,9.49047e-07,0.000410786,2.22939e-09,1
271,4.47674e-09,9.20408e-07,0.000410786,2.16068e-09,1
272,4.31768e-09,8.9263e-07,0.000410787,2.09408e-09,1
273,4.1643e-09,8.65688e-07,0.000410787,2.02954e-09,1
274,4.0164e-09,8.39557e-07,0.000410787,1.96699e-09,1
275,3.87378e-09,8.14211e-07,0.000410788,1.90637e-09,1
276,3.73625e-09,7.89629e-07,0.000410788,1.84762e-09,1
277,3.60363e-09,7.65787e-07,0.000410788,1.79069e-09,1
278,3.47574e-09,7.42662e-07,0.000410789,1.73551e-09,1
279,3.35241e-09,7.20233e-07,0.000410789,1.68203e-09,1
280,3.23348e-09,6.9848e-07,0.000410789,1.63021e-09,1
281,3.11879e-09,6.77381e-07,0.00041079,1.57998e-09,1
282,3.00819e-09,6.56918e-07,0.00041079,1.5313e-09,1
283,2.90152e-09,6.37072e-07,0.00041079,1.48413e-09,1
284,2.79866e-09,6.17823e-07,0.00041079,1.43841e-09,1
285,2.69946e-09,5.99154e-07,0.000410791,1.3941e-09,1
286,2.6038e-09,5.81048e-07,0.000410791,1.35116e-09,1
287,2.51153e-09,5.63487e-07,0.000410791,1.30954e-09,1
288,2.42256e-09,5.46455e-07,0.000410791,1.2692e-09,1
289,2.33675e-09,5.29937e-07,0.000410791,1.23011e-09,1
290,2.25399e-09,5.13917e-07,0.000410792,1.19223e-09,1
291,2.17417e-09,4.98379e-07,0.000410792,1.15551e-09,1
292,2.09719e-09,4.8331e-07,0.000410792,1.11992e-09,1
293,2.02295e-09,4.68696e-07,0.000410792,1.08543e-09,1
294,1.95135e-09,4.54522e-07,0.000410792,1.05201e-09,1
295,1.88229e-09,4.40775e-07,0.000410793,1.01961e-09,1
296,1.81569e-09,4.27444e-07,0.000410793,9.88218e-10,1
297,1.75145e-09,4.14514e-07,0.000410793,9.5779e-10,1
298,1.68949e-09,4.01974e-07,0.000410793,9.28299e-10,1
299,1.62974e-09,3.89813e-07,0.000410793,8.99717e-10,1
300,1.5721e-09,3.78019e-07,0.000410793,8.72016e-10,1
301,1.51651e-09,3.6658e-07,0.000410794,8.45169e-10,1
302,1.4629e-09,3.55487e-07,0.000410794,8.19149e-10,1
303,1.41118e-09,3.44729e-07,0.000410794,7.93931e-10,1
304,1.3613e-09,3.34295e-07,0.000410794,7.6949e-10,1
305,1.31319e-09,3.24177e-07,0.000410794,7.45802e-10,1
306,1.26679e-09,3.14364e-07,0.000410794,7.22844e-10,1
307,1.22203e-09,3.04847e-07,0.000410794,7.00593e-10,1
308,1.17885e-09,2.95617e-07,0.000410794,6.79028e-10,1
309,1.13721e-09,2.86667e-07,0.000410795,6.58127e-10,1
310,1.09705e-09,2.77986e-07,0.000410795,6.3787e-10,1
311,1.0583e-09,2.69568e-07,0.000410795,6.18237e-10,1
312,1.02093e-09,2.61404e-07,0.000410795,5.99209e-10,1
313,9.84885e-10,2.53487e-07,0.000410795,5.80766e-10,1
314,9.50115e-10,2.45809e-07,0.000410795,5.62892e-10,1
315,9.16576e-10,2.38363e-07,0.000410795,5.45568e-10,1
316,8.84224e-10,2.31142e-07,0.000410795,5.28778e-10,1
317,8.53018e-10,2.2414e-07,0.000410795,5.12505e-10,1
318,8.22916e-10,2.17349e-07,0.000410795,4.96733e-10,1
319,7.9388e-10,2.10763e-07,0.000410796,4.81447e-10,1
320,7.65871e-10,2.04376e-07,0.000410796,4.66632e-10,1
321,7.38853e-10,1.98183e-07,0.000410796,4.52273e-10,1
322,7.12791e-10,1.92177e-07,0.000410796,4.38356e-10,1
323,6.8765e-10,1.86352e-07,0.000410796,4.24867e-10,1
324,6.63399e-10,1.80703e-07,0.000410796,4.11794e-10,1
325,6.40005e-10,1.75226e-07,0.000410796,3.99123e-10,1
326,6.17438e-10,1.69914e-07,0.000410796,3.86843e-10,1
327,5.9567e-10,1.64762e-07,0.000410796,3.7494e-10,1
328,5.7467e-10,1.59767e-07,0.000410796,3.63404e-10,1
329,5.54413e-10,1.54922e-07,0.000410796,3.52223e-10,1
330,5.34872e-10,1.50225e-07,0.000410796,3.41386e-10,1
331,5.16021e-10,1.45669e-07,0.000410796,3.30883e-10,1
332,4.97836e-10,1.41251e-07,0.000410796,3.20703e-10,1
333,4.80293e-10,1.36967e-07,0.000410796,3.10837e-10,1
334,4.63371e-10,1.32813e-07,0.000410797,3.01274e-10,1
335,4.47045e-10,1.28784e-07,0.000410797,2.92006e-10,1
336,4.31297e-10,1.24877e-07,0.000410797,2.83023e-10,1
337,4.16104e-10,1.21089e-07,0.000410797,2.74316e-10,1
338,4.01448e-10,1.17415e-07,0.000410797,2.65878e-10,1
339,3.87309e-10,1.13853e-07,0.000410797,2.57699e-10,1
340,3.73669e-10,1.10398e-07,0.000410797,2.49771e-10,1
341,3.60511e-10,1.07048e-07,0.000410797,2.42088e-10,1
342,3.47817e-10,1.03799e-07,0.000410797,2.34642e-10,1
343,3.35571e-10,1.00649e-07,0.000410797,2.27424e-10,1
