"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000356462,0.00136408,0.000301477,2.21572e-05,1
2,0.000342729,0.00136087,0.000305431,2.15179e-05,1
3,0.000329442,0.00135638,0.000309265,2.08874e-05,1
4,0.000316669,0.00135068,0.000312981,2.02666e-05,1
5,0.00030439,0.00134385,0.00031658,1.96565e-05,1
6,0.000292587,0.00133597,0.000320065,1.90581e-05,1
7,0.000281242,0.00132711,0.000323439,1.8472e-05,1
8,0.000270336,0.00131734,0.000326704,1.78988e-05,1
9,0.000259853,0.00130672,0.000329862,1.73389e-05,1
10,0.000249776,0.00129532,0.000332917,1.67926e-05,1
11,0.00024009,0.0012832,0.000335872,1.62601e-05,1
12,0.00023078,0.00127042,0.000338729,1.57415e-05,1
13,0.00022183,0.00125704,0.000341491,1.52368e-05,1
14,0.000213228,0.0012431,0.00034416,1.47461e-05,1
15,0.00020496,0.00122867,0.00034674,1.42691e-05,1
16,0.000197012,0.00121378,0.000349234,1.38058e-05,1
17,0.000186743,0.00119848,0.000351644,1.33561e-05,1
18,0.000176931,0.00118268,0.000353972,1.29069e-05,1
19,0.000167639,0.00116641,0.000356219,1.24604e-05,1
20,0.000158837,0.00114973,0.000358386,1.20186e-05,1
21,0.000150501,0.00113267,0.000360473,1.15832e-05,1
22,0.000142606,0.00111529,0.000362483,1.11557e-05,1
23,0.000135128,0.00109761,0.000364416,1.07372e-05,1
24,0.000128045,0.0010797,0.000366274,1.03286e-05,1
25,0.000121336,0.00106157,0.00036806,9.93063e-06,1
26,0.000114982,0.00104328,0.000369775,9.54373e-06,1
27,0.000108963,0.00102486,0.000371421,9.1683e-06,1
28,0.000103263,0.00100634,0.000373001,8.80458e-06,1
29,9.78632e-05,0.000987754,0.000374517,8.4527e-06,1
30,9.27488e-05,0.000969131,0.000375971,8.11272e-06,1
31,8.79044e-05,0.000950502,0.000377365,7.78458e-06,1
32,8.33157e-05,0.000931892,0.000378702,7.46821e-06,1
33,7.89692e-05,0.000913327,0.000379983,7.16344e-06,1
34,7.48519e-05,0.000894829,0.00038121,6.8701e-06,1
35,7.09519e-05,0.000876422,0.000382387,6.58794e-06,1
