"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,2.92108e-06,0.00162971,0.00179857,3.10651e-05,0
238,2.84918e-06,0.00160572,0.00180425,3.0671e-05,0
239,2.78298e-06,0.00158208,0.00180984,3.02808e-05,0
240,2.7294e-06,0.00155879,0.00181536,2.98948e-05,0
241,2.68431e-06,0.00153584,0.00182081,2.95127e-05,0
242,2.64834e-06,0.00151323,0.00182618,2.91346e-05,0
243,2.62237e-06,0.00149095,0.00183147,2.87606e-05,0
244,2.6075e-06,0.001469,0.00183669,2.83905e-05,0
245,2.60517e-06,0.00144737,0.00184184,2.80244e-05,0
246,2.6052e-06,0.00142607,0.00184692,2.76623e-05,0
247,2.61534e-06,0.00140508,0.00185193,2.73041e-05,0
248,2.64345e-06,0.00138441,0.00185687,2.69499e-05,0
249,2.68784e-06,0.00136404,0.00186174,2.65996e-05,0
250,2.751e-06,0.00134398,0.00186654,2.62533e-05,0
251,2.83607e-06,0.00132422,0.00187128,2.59108e-05,0
252,2.94692e-06,0.00130477,0.00187595,2.55723e-05,0
253,3.08834e-06,0.00128561,0.00188055,2.52376e-05,0
254,3.26623e-06,0.00126675,0.00188509,2.49068e-05,0
255,3.48786e-06,0.00124818,0.00188957,2.45798e-05,0
256,3.76218e-06,0.0012299,0.00189398,2.42567e-05,0
257,4.10019e-06,0.00121192,0.00189834,2.39375e-05,0
258,4.51538e-06,0.00119423,0.00190263,2.36221e-05,0
259,4.66051e-06,0.00117684,0.00190686,2.33105e-05,0
260,4.79456e-06,0.00115972,0.00191103,2.30027e-05,0
261,4.91899e-06,0.00114286,0.00191515,2.26987e-05,0
262,5.03544e-06,0.00112626,0.0019192,2.23983e-05,0
263,5.14544e-06,0.00110992,0.0019232,2.21016e-05,0
264,5.2505e-06,0.00109382,0.00192715,2.18085e-05,0
265,5.35203e-06,0.00107798,0.00193103,2.15191e-05,0
266,5.44889e-06,0.00106238,0.00193487,2.12332e-05,0
267,5.54415e-06,0.00104702,0.00193865,2.09508e-05,0
268,5.63906e-06,0.00103189,0.00194238,2.0672e-05,0
269,5.73484e-06,0.001017,0.00194605,2.03967e-05,0
270,5.83267e-06,0.00100233,0.00194967,2.01248e-05,0
271,5.93374e-06,0.000987896,0.00195325,1.98563e-05,0
272,6.04027e-06,0.000973679,0.00195677,1.95912e-05,0
273,6.15266e-06,0.000959682,0.00196024,1.93295e-05,0
274,6.2721e-06,0.000945902,0.00196366,1.90711e-05,0
275,6.3999e-06,0.000932336,0.00196704,1.8816e-05,0
276,6.42487e-06,0.000918981,0.00197037,1.85643e-05,0
277,6.4534e-06,0.000905827,0.00197365,1.83157e-05,0
278,6.48791e-06,0.000892871,0.00197688,1.80703e-05,0
279,6.53082e-06,0.000880109,0.00198007,1.78281e-05,0
280,6.58447e-06,0.000867541,0.00198322,1.7589e-05,0
