"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000159842,0.00121838,0.00024703,2.38643e-05,0
2,0.000148115,0.00121275,0.000251308,2.36027e-05,0
3,0.000137234,0.0012063,0.000255536,2.33447e-05,0
4,0.000127157,0.00119908,0.000259715,2.30902e-05,0
5,0.000117826,0.00119119,0.000263846,2.28387e-05,0
6,0.000109185,0.00118269,0.000267929,2.25903e-05,0
7,0.000101185,0.00117364,0.000271965,2.23446e-05,0
8,9.37788e-05,0.0011641,0.000275955,2.21015e-05,0
9,8.69225e-05,0.00115413,0.000279898,2.18608e-05,0
10,8.05766e-05,0.00114376,0.000283796,2.16225e-05,0
11,7.47052e-05,0.00113306,0.00028765,2.13864e-05,0
12,6.92736e-05,0.00112205,0.000291458,2.11523e-05,0
13,6.42505e-05,0.00111079,0.000295223,2.09203e-05,0
14,5.96071e-05,0.0010993,0.000298944,2.06903e-05,0
15,5.53171e-05,0.00108762,0.000302622,2.04621e-05,0
16,5.13564e-05,0.00107577,0.000306257,2.02357e-05,0
17,4.77028e-05,0.0010638,0.00030985,2.00111e-05,0
18,4.43055e-05,0.00105171,0.000313401,1.97883e-05,0
19,4.11724e-05,0.00103955,0.00031691,1.95671e-05,0
20,3.8276e-05,0.00102731,0.000320378,1.93477e-05,0
21,3.55997e-05,0.00101504,0.000323805,1.91298e-05,0
22,3.31248e-05,0.00100273,0.000327192,1.89136e-05,0
23,3.08396e-05,0.000990417,0.000330538,1.8699e-05,0
24,2.87311e-05,0.000978108,0.000333845,1.8486e-05,0
25,2.67873e-05,0.000965817,0.000337111,1.82746e-05,0
26,2.49934e-05,0.000953556,0.000340339,1.80648e-05,0
27,2.33425e-05,0.000941338,0.000343528,1.78566e-05,0
28,2.18254e-05,0.000929172,0.000346678,1.765e-05,0
29,2.04105e-05,0.000917069,0.000349791,1.74449e-05,0
30,1.91079e-05,0.000905035,0.000352865,1.72415e-05,0
31,1.79101e-05,0.000893079,0.000355902,1.70396e-05,0
32,1.68108e-05,0.000881206,0.000358902,1.68393e-05,0
33,1.58037e-05,0.000869424,0.000361864,1.66407e-05,0
34,1.48835e-05,0.000857738,0.000364791,1.64436e-05,0
35,1.40451e-05,0.000846155,0.000367681,1.62481e-05,0
36,1.32841e-05,0.000834678,0.000370535,1.60543e-05,0
37,1.25966e-05,0.000823312,0.000373354,1.58621e-05,0
38,1.1979e-05,0.000812061,0.000376137,1.56716e-05,0
39,1.14281e-05,0.000800929,0.000378886,1.54827e-05,0
40,1.09414e-05,0.00078992,0.0003816,1.52955e-05,0
41,1.05165e-05,0.000779036,0.00038428,1.511e-05,0
42,1.01517e-05,0.000768281,0.000386927,1.49261e-05,0
43,9.84541e-06,0.000757657,0.000389539,1.4744e-05,0
44,9.59656e-06,0.000747167,0.000392119,1.45635e-05,0
45,9.40459e-06,0.000736814,0.000394666,1.43848e-05,0
46,9.10622e-06,0.000726599,0.00039718,1.42079e-05,0
47,1.06893e-05,0.000716513,0.000399662,1.40326e-05,0
48,1.25399e-05,0.0007067,0.000402113,1.38597e-05,0
49,1.44989e-05,0.000697178,0.000404532,1.36891e-05,0
50,1.65789e-05,0.00068795,0.00040692,1.3521e-05,0
51,1.87931e-05,0.000679022,0.000409278,1.33555e-05,0
52,2.11558e-05,0.000670399,0.000411605,1.31926e-05,0
53,2.36826e-05,0.000662089,0.000413904,1.30324e-05,0
54,2.639e-05,0.000654099,0.000416174,1.28751e-05,0
55,2.93086e-05,0.00064644,0.000418415,1.27206e-05,0
56,3.2496e-05,0.000639122,0.000420628,1.25692e-05,0
57,3.59517e-05,0.000632162,0.000422814,1.2421e-05,0
58,3.97074e-05,0.000625575,0.000424974,1.22761e-05,0
59,4.37988e-05,0.00061938,0.000427107,1.21345e-05,0
60,4.8231e-05,0.000613595,0.000429215,1.19966e-05,0
61,5.30282e-05,0.000608243,0.000431299,1.18624e-05,0
62,5.82652e-05,0.000603345,0.000433358,1.17321e-05,0
63,6.39949e-05,0.000598928,0.000435394,1.1606e-05,0
64,7.02782e-05,0.000595025,0.000437407,1.14842e-05,0
65,7.71855e-05,0.00059167,0.000439399,1.1367e-05,0
66,8.47988e-05,0.000588904,0.00044137,1.12546e-05,0
67,9.32138e-05,0.000586774,0.00044332,1.11475e-05,0
68,0.000102543,0.000585332,0.000445252,1.10458e-05,0
69,0.000112917,0.00058464,0.000447165,1.09501e-05,0
70,0.000124494,0.000584768,0.000449061,1.08608e-05,0
71,0.000137458,0.000585799,0.000450941,1.07783e-05,0
72,0.000150571,0.000587826,0.000452807,1.07034e-05,0
73,0.000163633,0.000590846,0.000454659,1.06362e-05,0
74,0.000177708,0.000594842,0.000456499,1.05768e-05,0
75,0.000192881,0.000599877,0.000458329,1.05258e-05,0
76,0.000209238,0.000606022,0.00046015,1.04837e-05,0
77,0.000226875,0.000613353,0.000461963,1.0451e-05,0
78,0.000245897,0.000621952,0.00046377,1.04284e-05,0
79,0.00026641,0.000631908,0.000465573,1.04164e-05,0
80,0.000288536,0.000643317,0.000467375,1.04157e-05,0
81,0.000312407,0.000656285,0.000469176,1.04272e-05,0
82,0.000338162,0.000670924,0.000470979,1.04517e-05,0
83,0.000365953,0.000687355,0.000472786,1.049e-05,0
84,0.000395946,0.000705713,0.0004746,1.0543e-05,0
85,0.000428319,0.000726139,0.000476424,1.06119e-05,0
86,0.000463266,0.000748789,0.00047826,1.06976e-05,0
87,0.000501,0.000773832,0.000480111,1.08015e-05,0
88,0.000541579,0.000801448,0.000481981,1.09249e-05,0
89,0.000585225,0.000831821,0.000483873,1.1069e-05,0
90,0.000632278,0.000865152,0.00048579,1.12354e-05,0
91,0.000683005,0.00090166,0.000487737,1.14256e-05,0
92,0.000737309,0.000941586,0.000489718,1.16414e-05,0
93,0.000796458,0.000985159,0.000491738,1.18845e-05,0
94,0.000859843,0.0010327,0.000493801,1.21571e-05,0
95,0.000928124,0.00108449,0.000495913,1.24612e-05,0
96,0.00100173,0.00114084,0.00049808,1.27993e-05,0
97,0.00108106,0.00120209,0.000500308,1.31737e-05,0
98,0.00116657,0.00126863,0.000502603,1.35871e-05,0
99,0.00125873,0.00134086,0.000504972,1.40425e-05,0
