"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,1.11174e-09,4.19262e-05,0.000563008,9.31721e-07,1
238,1.07231e-09,4.13033e-05,0.000563164,9.17978e-07,1
239,1.03429e-09,4.06896e-05,0.000563319,9.04437e-07,1
240,9.97614e-10,4.00851e-05,0.000563471,8.91093e-07,1
241,9.62248e-10,3.94895e-05,0.000563622,8.77946e-07,1
242,9.2814e-10,3.89028e-05,0.000563769,8.6499e-07,1
243,8.95246e-10,3.83248e-05,0.000563915,8.52225e-07,1
244,8.63523e-10,3.77553e-05,0.000564059,8.39647e-07,1
245,8.32928e-10,3.71944e-05,0.0005642,8.27253e-07,1
246,8.03421e-10,3.66417e-05,0.000564339,8.15041e-07,1
247,7.74963e-10,3.60973e-05,0.000564476,8.03008e-07,1
248,7.47517e-10,3.5561e-05,0.000564612,7.91151e-07,1
249,7.21047e-10,3.50326e-05,0.000564745,7.79469e-07,1
250,6.95518e-10,3.45121e-05,0.000564876,7.67958e-07,1
251,6.70895e-10,3.39993e-05,0.000565005,7.56615e-07,1
252,6.47148e-10,3.34942e-05,0.000565133,7.4544e-07,1
253,6.24244e-10,3.29965e-05,0.000565258,7.34428e-07,1
254,6.02154e-10,3.25062e-05,0.000565382,7.23578e-07,1
255,5.80848e-10,3.20232e-05,0.000565504,7.12887e-07,1
256,5.60299e-10,3.15474e-05,0.000565624,7.02354e-07,1
257,5.40479e-10,3.10787e-05,0.000565742,6.91975e-07,1
258,5.21363e-10,3.06169e-05,0.000565858,6.81749e-07,1
259,5.02925e-10,3.0162e-05,0.000565973,6.71673e-07,1
260,4.85141e-10,2.97138e-05,0.000566086,6.61745e-07,1
261,4.67989e-10,2.92723e-05,0.000566198,6.51963e-07,1
262,4.51445e-10,2.88374e-05,0.000566307,6.42325e-07,1
263,4.35487e-10,2.84089e-05,0.000566416,6.32829e-07,1
264,4.20096e-10,2.79868e-05,0.000566522,6.23473e-07,1
265,4.0525e-10,2.7571e-05,0.000566627,6.14254e-07,1
266,3.90931e-10,2.71613e-05,0.00056673,6.0517e-07,1
267,3.77119e-10,2.67577e-05,0.000566832,5.96221e-07,1
268,3.63797e-10,2.63602e-05,0.000566932,5.87403e-07,1
269,3.50946e-10,2.59685e-05,0.000567031,5.78715e-07,1
270,3.38551e-10,2.55826e-05,0.000567129,5.70155e-07,1
271,3.26596e-10,2.52025e-05,0.000567225,5.6172e-07,1
272,3.15064e-10,2.4828e-05,0.000567319,5.5341e-07,1
273,3.0394e-10,2.44591e-05,0.000567412,5.45223e-07,1
274,2.9321e-10,2.40957e-05,0.000567504,5.37156e-07,1
275,2.8286e-10,2.37377e-05,0.000567594,5.29208e-07,1
276,2.72876e-10,2.33849e-05,0.000567683,5.21377e-07,1
277,2.63246e-10,2.30375e-05,0.000567771,5.13661e-07,1
278,2.53957e-10,2.26952e-05,0.000567858,5.06059e-07,1
279,2.44997e-10,2.23579e-05,0.000567943,4.9857e-07,1
280,2.36353e-10,2.20257e-05,0.000568027,4.9119e-07,1
281,2.28016e-10,2.16985e-05,0.000568109,4.8392e-07,1
282,2.19973e-10,2.1376e-05,0.000568191,4.76756e-07,1
283,2.12215e-10,2.10584e-05,0.000568271,4.69698e-07,1
284,2.04731e-10,2.07455e-05,0.00056835,4.62745e-07,1
285,1.97512e-10,2.04373e-05,0.000568428,4.55894e-07,1
286,1.90548e-10,2.01336e-05,0.000568504,4.49144e-07,1
287,1.8383e-10,1.98344e-05,0.00056858,4.42493e-07,1
288,1.7735e-10,1.95397e-05,0.000568654,4.35941e-07,1
289,1.71099e-10,1.92494e-05,0.000568728,4.29485e-07,1
290,1.65069e-10,1.89633e-05,0.0005688,4.23125e-07,1
291,1.59251e-10,1.86816e-05,0.000568871,4.16858e-07,1
292,1.5364e-10,1.8404e-05,0.000568941,4.10684e-07,1
293,1.48227e-10,1.81305e-05,0.00056901,4.04601e-07,1
294,1.43004e-10,1.78611e-05,0.000569078,3.98608e-07,1
295,1.37967e-10,1.75957e-05,0.000569145,3.92704e-07,1
296,1.33107e-10,1.73343e-05,0.000569211,3.86886e-07,1
297,1.28419e-10,1.70767e-05,0.000569276,3.81155e-07,1
298,1.23896e-10,1.68229e-05,0.000569341,3.75508e-07,1
299,1.19533e-10,1.6573e-05,0.000569404,3.69945e-07,1
300,1.15324e-10,1.63267e-05,0.000569466,3.64464e-07,1
301,1.11264e-10,1.60841e-05,0.000569527,3.59063e-07,1
302,1.07347e-10,1.58451e-05,0.000569588,3.53743e-07,1
303,1.03568e-10,1.56097e-05,0.000569647,3.48501e-07,1
304,9.99229e-11,1.53777e-05,0.000569706,3.43337e-07,1
305,9.6406e-11,1.51492e-05,0.000569763,3.38249e-07,1
306,9.30133e-11,1.49241e-05,0.00056982,3.33236e-07,1
307,8.97402e-11,1.47024e-05,0.000569876,3.28297e-07,1
308,8.65825e-11,1.44839e-05,0.000569932,3.23431e-07,1
309,8.35363e-11,1.42687e-05,0.000569986,3.18637e-07,1
310,8.05974e-11,1.40567e-05,0.00057004,3.13914e-07,1
311,7.77622e-11,1.38478e-05,0.000570092,3.09261e-07,1
312,7.5027e-11,1.3642e-05,0.000570144,3.04677e-07,1
313,7.23881e-11,1.34393e-05,0.000570196,3.00161e-07,1
314,6.98423e-11,1.32396e-05,0.000570246,2.95711e-07,1
315,6.73863e-11,1.30429e-05,0.000570296,2.91327e-07,1
316,6.50167e-11,1.28491e-05,0.000570345,2.87008e-07,1
317,6.27307e-11,1.26581e-05,0.000570393,2.82753e-07,1
318,6.05253e-11,1.24701e-05,0.000570441,2.7856e-07,1
319,5.83975e-11,1.22848e-05,0.000570487,2.7443e-07,1
320,5.63447e-11,1.21022e-05,0.000570534,2.70361e-07,1
321,5.43643e-11,1.19224e-05,0.000570579,2.66352e-07,1
322,5.24535e-11,1.17452e-05,0.000570624,2.62402e-07,1
323,5.06101e-11,1.15707e-05,0.000570668,2.58511e-07,1
324,4.88316e-11,1.13988e-05,0.000570711,2.54678e-07,1
325,4.71158e-11,1.12294e-05,0.000570754,2.50901e-07,1
326,4.54603e-11,1.10625e-05,0.000570796,2.4718e-07,1
327,4.38631e-11,1.08982e-05,0.000570838,2.43514e-07,1
328,4.23222e-11,1.07362e-05,0.000570879,2.39903e-07,1
329,4.08355e-11,1.05767e-05,0.000570919,2.36344e-07,1
330,3.94011e-11,1.04195e-05,0.000570959,2.32839e-07,1
331,3.80173e-11,1.02647e-05,0.000570998,2.29385e-07,1
332,3.66821e-11,1.01122e-05,0.000571037,2.25983e-07,1
333,3.53939e-11,9.9619e-06,0.000571075,2.22631e-07,1
334,3.4151e-11,9.81387e-06,0.000571112,2.19329e-07,1
335,3.29519e-11,9.66805e-06,0.000571149,2.16075e-07,1
336,3.17949e-11,9.52439e-06,0.000571185,2.1287e-07,1
337,3.06787e-11,9.38286e-06,0.000571221,2.09712e-07,1
338,2.96017e-11,9.24344e-06,0.000571256,2.06601e-07,1
339,2.85625e-11,9.10608e-06,0.000571291,2.03536e-07,1
340,2.756e-11,8.97077e-06,0.000571325,2.00516e-07,1
341,2.65927e-11,8.83747e-06,0.000571359,1.97541e-07,1
342,2.56594e-11,8.70615e-06,0.000571392,1.9461e-07,1
343,2.47589e-11,8.57678e-06,0.000571425,1.91723e-07,1
344,2.38901e-11,8.44934e-06,0.000571457,1.88878e-07,1
345,2.30518e-11,8.32379e-06,0.000571489,1.86076e-07,1
346,2.2243e-11,8.2001e-06,0.00057152,1.83315e-07,1
347,2.14626e-11,8.07825e-06,0.000571551,1.80595e-07,1
348,2.07096e-11,7.95821e-06,0.000571581,1.77915e-07,1
349,1.99831e-11,7.83996e-06,0.000571611,1.75275e-07,1
350,1.92822e-11,7.72346e-06,0.000571641,1.72674e-07,1
351,1.86058e-11,7.60869e-06,0.00057167,1.70112e-07,1
352,1.79533e-11,7.49563e-06,0.000571698,1.67587e-07,1
353,1.73236e-11,7.38425e-06,0.000571726,1.651e-07,1
354,1.67161e-11,7.27453e-06,0.000571754,1.6265e-07,1
355,1.61299e-11,7.16643e-06,0.000571781,1.60236e-07,1
356,1.55643e-11,7.05994e-06,0.000571808,1.57858e-07,1
