"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000159842,0.00121838,0.00024703,2.38643e-05,1
2,0.000148115,0.00121275,0.000251308,2.36027e-05,1
3,0.000137229,0.0012063,0.000255536,2.33447e-05,1
4,0.000127145,0.00119908,0.000259715,2.30902e-05,1
5,0.000117804,0.00119119,0.000263846,2.28387e-05,1
6,0.000109151,0.00118269,0.000267929,2.25903e-05,1
7,0.000101137,0.00117364,0.000271965,2.23446e-05,1
8,9.37128e-05,0.00116409,0.000275955,2.21014e-05,1
9,8.68358e-05,0.00115411,0.000279898,2.18608e-05,1
10,8.04656e-05,0.00114374,0.000283796,2.16224e-05,1
11,7.45646e-05,0.00113303,0.00028765,2.13862e-05,1
12,6.90982e-05,0.00112201,0.000291458,2.11522e-05,1
13,6.40345e-05,0.00111074,0.000295223,2.09201e-05,1
14,5.93437e-05,0.00109923,0.000298944,2.06899e-05,1
15,5.49984e-05,0.00108753,0.000302622,2.04617e-05,1
16,5.09729e-05,0.00107566,0.000306257,2.02352e-05,1
17,4.72438e-05,0.00106366,0.00030985,2.00104e-05,1
18,4.37891e-05,0.00105154,0.000313401,1.97874e-05,1
19,4.05882e-05,0.00103933,0.00031691,1.95661e-05,1
20,3.76227e-05,0.00102706,0.000320377,1.93463e-05,1
21,3.48754e-05,0.00101473,0.000323804,1.91282e-05,1
22,3.23302e-05,0.00100238,0.00032719,1.89117e-05,1
23,2.99721e-05,0.000990007,0.000330536,1.86968e-05,1
24,2.77874e-05,0.000977636,0.000333842,1.84834e-05,1
25,2.57632e-05,0.000965278,0.000337109,1.82716e-05,1
26,2.38879e-05,0.000952946,0.000340336,1.80613e-05,1
27,2.21503e-05,0.00094065,0.000343524,1.78526e-05,1
28,2.05403e-05,0.000928402,0.000346674,1.76455e-05,1
29,1.90486e-05,0.000916209,0.000349785,1.74398e-05,1
30,1.76664e-05,0.000904082,0.000352859,1.72357e-05,1
31,1.63856e-05,0.000892027,0.000355894,1.70332e-05,1
