"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000325015,0.000135279,0.00109019,5.9682e-05,0
2,0.000299801,0.000143348,0.00110191,4.40443e-05,0
3,0.000275369,0.000149135,0.00111023,3.28811e-05,0
4,0.00025297,0.000152892,0.00111627,2.48982e-05,0
5,0.000232434,0.000154928,0.00112074,1.91792e-05,0
6,0.000213607,0.000155509,0.00112414,1.50732e-05,0
7,0.000196345,0.000154873,0.00112678,1.21164e-05,0
8,0.000180518,0.000153225,0.00112889,9.97776e-06,0
9,0.000166006,0.000150743,0.00113061,8.421e-06,0
10,0.000152699,0.000147583,0.00113206,7.27738e-06,0
11,0.000155647,0.000143881,0.00113331,6.42652e-06,0
12,0.000158612,0.000140692,0.0011344,5.78271e-06,0
13,0.000161595,0.00013797,0.00113539,5.29244e-06,0
14,0.000164597,0.000135676,0.00113629,4.91675e-06,0
15,0.000167619,0.000133773,0.00113713,4.6272e-06,0
16,0.00017066,0.000132227,0.00113792,4.40295e-06,0
17,0.000173722,0.000131006,0.00113867,4.2287e-06,0
18,0.000176806,0.000130085,0.00113939,4.09315e-06,0
19,0.000179913,0.000129436,0.00114008,3.98792e-06,0
20,0.000183043,0.000129038,0.00114076,3.90676e-06,0
21,0.000186197,0.000128869,0.00114142,3.84497e-06,0
22,0.000189377,0.000128911,0.00114208,3.79899e-06,0
23,0.000192583,0.000129145,0.00114272,3.7661e-06,0
24,0.000195816,0.000129558,0.00114336,3.74419e-06,0
25,0.000199077,0.000130134,0.001144,3.73163e-06,0
26,0.000202369,0.00013086,0.00114463,3.72711e-06,0
27,0.000205693,0.000131726,0.00114526,3.7296e-06,0
28,0.000209049,0.00013272,0.0011459,3.73825e-06,0
29,0.000212425,0.000133834,0.00114653,3.75238e-06,0
30,0.000215808,0.000135057,0.00114717,3.7714e-06,0
31,0.000219218,0.000136381,0.00114781,3.79483e-06,0
32,0.000222657,0.000137798,0.00114845,3.82223e-06,0
33,0.000226124,0.000139302,0.0011491,3.85326e-06,0
34,0.00022962,0.000140886,0.00114976,3.88757e-06,0
35,0.000233146,0.000142546,0.00115042,3.92491e-06,0
36,0.000236703,0.000144276,0.00115108,3.96503e-06,0
37,0.00024029,0.000146072,0.00115176,4.00771e-06,0
38,0.000243909,0.00014793,0.00115244,4.05276e-06,0
39,0.00024756,0.000149846,0.00115313,4.10003e-06,0
40,0.000251244,0.000151818,0.00115382,4.14935e-06,0
41,0.000254961,0.000153842,0.00115453,4.20059e-06,0
42,0.000258712,0.000155916,0.00115524,4.25364e-06,0
43,0.000262497,0.000158038,0.00115597,4.30838e-06,0
44,0.000266318,0.000160204,0.0011567,4.36473e-06,0
45,0.000270174,0.000162414,0.00115744,4.42259e-06,0
46,0.000274064,0.000164666,0.00115819,4.48189e-06,0
47,0.000277991,0.000166958,0.00115896,4.54255e-06,0
48,0.000281958,0.000169289,0.00115973,4.60453e-06,0
49,0.000285965,0.000171657,0.00116051,4.66776e-06,0
50,0.000290013,0.000174063,0.00116131,4.73219e-06,0
51,0.000294104,0.000176505,0.00116211,4.79778e-06,0
52,0.000298239,0.000178982,0.00116293,4.86449e-06,0
53,0.000302419,0.000181495,0.00116376,4.93231e-06,0
54,0.000306647,0.000184043,0.0011646,5.00119e-06,0
55,0.000310924,0.000186625,0.00116545,5.07112e-06,0
56,0.000315252,0.000189242,0.00116631,5.14208e-06,0
57,0.000319624,0.000191894,0.00116719,5.21406e-06,0
58,0.000324043,0.00019458,0.00116808,5.28705e-06,0
59,0.000328519,0.0001973,0.00116898,5.36104e-06,0
60,0.000333036,0.000200055,0.0011699,5.43602e-06,0
61,0.000337554,0.000202844,0.00117082,5.512e-06,0
62,0.000342116,0.000205664,0.00117176,5.58896e-06,0
63,0.000346723,0.000208515,0.00117272,5.66688e-06,0
64,0.000351376,0.000211397,0.00117368,5.74574e-06,0
65,0.000356075,0.000214311,0.00117467,5.82553e-06,0
66,0.000360821,0.000217256,0.00117566,5.90622e-06,0
67,0.000365614,0.000220232,0.00117667,5.98782e-06,0
68,0.000370455,0.00022324,0.00117769,6.07033e-06,0
69,0.000375346,0.000226279,0.00117873,6.15373e-06,0
70,0.000380285,0.00022935,0.00117978,6.23804e-06,0
71,0.000385275,0.000232453,0.00118085,6.32324e-06,0
72,0.000390316,0.000235589,0.00118193,6.40936e-06,0
73,0.000395408,0.000238757,0.00118303,6.49638e-06,0
74,0.000400552,0.000241958,0.00118414,6.58431e-06,0
75,0.000405755,0.000245193,0.00118526,6.67317e-06,0
76,0.000411003,0.000248461,0.00118641,6.76295e-06,0
77,0.000416315,0.000251763,0.00118756,6.85367e-06,0
78,0.000421694,0.000255099,0.00118874,6.94533e-06,0
79,0.000427142,0.000258471,0.00118993,7.03794e-06,0
80,0.000432664,0.00026188,0.00119113,7.13152e-06,0
81,0.000438264,0.000265327,0.00119236,7.2261e-06,0
82,0.00044395,0.000268813,0.00119359,7.32168e-06,0
83,0.000449727,0.000272341,0.00119485,7.41832e-06,0
84,0.000455603,0.000275912,0.00119612,7.51603e-06,0
85,0.000461588,0.000279528,0.00119741,7.61487e-06,0
86,0.000467694,0.000283193,0.00119872,7.71488e-06,0
87,0.000474096,0.000286909,0.00120004,7.81612e-06,0
88,0.000480503,0.000290691,0.00120138,7.91864e-06,0
89,0.000487266,0.000294531,0.00120274,8.02262e-06,0
90,0.000494595,0.000298449,0.00120412,8.12811e-06,0
91,0.000502613,0.000302471,0.00120552,8.23529e-06,0
92,0.00051147,0.000306631,0.00120694,8.34454e-06,0
93,0.00052135,0.000310968,0.00120837,8.45635e-06,0
94,0.000532479,0.000315531,0.00120983,8.57144e-06,0
95,0.000545129,0.000320376,0.0012113,8.69066e-06,0
96,0.00055964,0.000325573,0.0012128,8.8151e-06,0
