"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000325015,0.000135279,0.00109019,5.9682e-05,1
2,0.000299801,0.000143348,0.00110191,4.40443e-05,1
3,0.000275369,0.000149135,0.00111023,3.28811e-05,1
4,0.00025297,0.000152892,0.00111627,2.48982e-05,1
5,0.000232434,0.000154928,0.00112074,1.91792e-05,1
6,0.000213607,0.000155509,0.00112414,1.50732e-05,1
7,0.000196345,0.000154873,0.00112678,1.21164e-05,1
8,0.000180518,0.000153225,0.00112889,9.97776e-06,1
9,0.000166006,0.000150743,0.00113061,8.421e-06,1
10,0.000152699,0.000147583,0.00113206,7.27738e-06,1
11,0.000139738,0.000143881,0.00113331,6.42652e-06,1
12,0.000127916,0.000139706,0.0011344,5.78271e-06,1
13,0.000117131,0.000135171,0.00113539,5.28464e-06,1
14,0.000107292,0.000130373,0.00113629,4.88895e-06,1
15,9.83147e-05,0.000125393,0.00113713,4.56513e-06,1
16,9.01236e-05,0.000120301,0.0011379,4.29176e-06,1
17,8.26489e-05,0.000115156,0.00113863,4.05396e-06,1
18,7.58278e-05,0.000110007,0.00113932,3.84141e-06,1
19,6.9602e-05,0.000104894,0.00113997,3.64708e-06,1
20,6.39189e-05,9.98516e-05,0.00114059,3.4662e-06,1
21,5.87307e-05,9.49068e-05,0.00114118,3.29558e-06,1
22,5.39937e-05,9.00816e-05,0.00114174,3.13315e-06,1
23,4.96679e-05,8.53932e-05,0.00114227,2.97759e-06,1
24,4.57172e-05,8.0855e-05,0.00114278,2.82806e-06,1
25,4.21084e-05,7.64768e-05,0.00114325,2.68408e-06,1
26,3.88113e-05,7.22654e-05,0.00114371,2.54538e-06,1
27,3.57985e-05,6.82254e-05,0.00114414,2.41181e-06,1
28,3.3045e-05,6.4359e-05,0.00114455,2.2833e-06,1
29,3.05278e-05,6.06668e-05,0.00114493,2.15982e-06,1
30,2.82263e-05,5.71479e-05,0.0011453,2.04136e-06,1
31,2.61213e-05,5.38003e-05,0.00114564,1.92789e-06,1
32,2.41956e-05,5.06208e-05,0.00114597,1.81938e-06,1
33,2.24335e-05,4.76055e-05,0.00114628,1.71579e-06,1
34,2.08205e-05,4.475e-05,0.00114657,1.61706e-06,1
35,1.93437e-05,4.20492e-05,0.00114684,1.52309e-06,1
36,1.79909e-05,3.94977e-05,0.0011471,1.4338e-06,1
37,1.67515e-05,3.709e-05,0.00114734,1.34906e-06,1
38,1.56153e-05,3.48202e-05,0.00114757,1.26876e-06,1
39,1.45735e-05,3.26825e-05,0.00114778,1.19275e-06,1
40,1.36177e-05,3.06708e-05,0.00114798,1.12089e-06,1
41,1.27405e-05,2.87793e-05,0.00114817,1.05302e-06,1
42,1.19349e-05,2.70022e-05,0.00114835,9.88995e-07,1
43,1.11948e-05,2.53336e-05,0.00114851,9.28649e-07,1
44,1.05144e-05,2.3768e-05,0.00114867,8.71822e-07,1
45,9.88938e-06,2.22998e-05,0.00114882,8.18353e-07,1
46,9.31408e-06,2.09238e-05,0.00114895,7.68082e-07,1
47,8.78417e-06,1.96349e-05,0.00114908,7.20853e-07,1
48,8.29574e-06,1.84282e-05,0.0011492,6.76511e-07,1
49,7.8452e-06,1.72987e-05,0.00114932,6.34907e-07,1
50,7.42931e-06,1.62421e-05,0.00114943,5.95893e-07,1
51,7.04507e-06,1.52539e-05,0.00114953,5.59328e-07,1
52,6.68979e-06,1.43301e-05,0.00114962,5.25074e-07,1
53,6.36099e-06,1.34666e-05,0.00114971,4.93001e-07,1
54,6.05641e-06,1.26598e-05,0.00114979,4.62982e-07,1
55,5.774e-06,1.1906e-05,0.00114987,4.34895e-07,1
56,5.51188e-06,1.1202e-05,0.00114994,4.08625e-07,1
57,5.26833e-06,1.05445e-05,0.00115001,3.84063e-07,1
58,5.0418e-06,9.93055e-06,0.00115008,3.61103e-07,1
59,4.83086e-06,9.35731e-06,0.00115014,3.39646e-07,1
60,4.63421e-06,8.82213e-06,0.00115019,3.19598e-07,1
61,4.45067e-06,8.32249e-06,0.00115025,3.00869e-07,1
62,4.27914e-06,7.85603e-06,0.0011503,2.83376e-07,1
63,4.11866e-06,7.42055e-06,0.00115035,2.67037e-07,1
64,3.9683e-06,7.01396e-06,0.00115039,2.5178e-07,1
65,3.82725e-06,6.63431e-06,0.00115043,2.37532e-07,1
