"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000131424,0.000615529,0.000104491,1.15908e-05,0
2,0.000127314,0.00061989,0.000106502,1.12492e-05,0
3,0.000151588,0.000623843,0.000108452,1.09216e-05,0
4,0.000180344,0.000628024,0.000110343,1.07517e-05,0
5,0.000214527,0.00063265,0.000112204,1.07468e-05,0
6,0.00025516,0.000637964,0.000114064,1.09183e-05,0
7,0.00030346,0.000644234,0.000115955,1.12818e-05,0
8,0.000360869,0.000651765,0.00011791,1.18576e-05,0
9,0.000429105,0.000660906,0.000119969,1.26714e-05,0
10,0.000510203,0.000672059,0.000122174,1.37552e-05,0
11,0.000606583,0.000685689,0.000124574,1.51482e-05,0
12,0.000721095,0.00070234,0.000127228,1.68981e-05,0
13,0.00085716,0.00072265,0.000130202,1.90624e-05,0
14,0.00101882,0.000747365,0.000133576,2.17103e-05,0
15,0.00121086,0.000777367,0.000137446,2.49246e-05,0
16,0.00143896,0.000813695,0.000141928,2.88042e-05,0
17,0.00170986,0.000857576,0.000147159,3.34666e-05,0
18,0.00165413,0.00091046,0.000153312,3.90513e-05,0
19,0.00160072,0.000965816,0.000160594,4.37927e-05,0
20,0.00154903,0.00102301,0.000168859,4.77869e-05,0
21,0.00149902,0.00108147,0.000177967,5.11181e-05,0
22,0.00145062,0.00114071,0.000187792,5.38622e-05,0
23,0.00140378,0.00120031,0.000198213,5.60875e-05,0
24,0.00135847,0.00125987,0.000209124,5.78552e-05,0
25,0.00131463,0.0013191,0.000220428,5.92204e-05,0
26,0.00127221,0.0013777,0.000232037,6.0232e-05,0
27,0.00123118,0.00143544,0.000243872,6.0934e-05,0
28,0.00119149,0.00149213,0.000255866,6.13655e-05,0
29,0.00115306,0.0015476,0.000267957,6.15613e-05,0
30,0.00111587,0.0016017,0.000280093,6.15522e-05,0
31,0.00107988,0.00165432,0.000292226,6.13656e-05,0
32,0.00104506,0.00170536,0.000304318,6.10259e-05,0
33,0.00101138,0.00175476,0.000316332,6.05547e-05,0
34,0.000978789,0.00180246,0.000328241,5.99711e-05,0
35,0.000947263,0.00184841,0.000340018,5.92921e-05,0
36,0.000916768,0.00189258,0.000351642,5.85327e-05,0
37,0.000887273,0.00193496,0.000363097,5.7706e-05,0
38,0.000858746,0.00197554,0.000374367,5.68237e-05,0
39,0.00083116,0.00201431,0.000385442,5.58962e-05,0
40,0.000804485,0.00205129,0.00039631,5.49324e-05,0
41,0.000778694,0.00208648,0.000406967,5.39402e-05,0
42,0.000753761,0.00211991,0.000417406,5.29268e-05,0
43,0.000729662,0.00215161,0.000427623,5.18981e-05,0
44,0.000706371,0.00218159,0.000437616,5.08597e-05,0
45,0.000683702,0.00220989,0.000447385,4.9816e-05,0
46,0.000661688,0.00223654,0.000456928,4.87704e-05,0
47,0.000640375,0.00226158,0.000466247,4.7726e-05,0
48,0.00061974,0.00228503,0.000475343,4.66858e-05,0
49,0.000599763,0.00230694,0.000484217,4.56523e-05,0
50,0.000580423,0.00232734,0.000492873,4.46278e-05,0
51,0.0005617,0.00234628,0.000501313,4.36143e-05,0
52,0.000543576,0.00236379,0.00050954,4.26132e-05,0
53,0.000526031,0.00237991,0.000517559,4.1626e-05,0
54,0.000509049,0.00239469,0.000525372,4.06538e-05,0
55,0.000492613,0.00240816,0.000532984,3.96976e-05,0
56,0.000476707,0.00242036,0.000540398,3.87582e-05,0
57,0.000461313,0.00243134,0.000547621,3.78362e-05,0
58,0.000446418,0.00244114,0.000554655,3.6932e-05,0
59,0.000432006,0.00244979,0.000561505,3.60462e-05,0
60,0.000418047,0.00245733,0.000568175,3.51788e-05,0
61,0.000404538,0.0024638,0.000574671,3.43302e-05,0
62,0.000391464,0.00246923,0.000580996,3.35003e-05,0
63,0.000378813,0.00247367,0.000587155,3.26891e-05,0
