"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000131424,0.000615529,0.000104491,1.15908e-05,1
2,0.000127314,0.00061989,0.000106502,1.12492e-05,1
3,0.000121869,0.000623843,0.000108452,1.09216e-05,1
4,0.000116629,0.000627374,0.000110343,1.05997e-05,1
5,0.000111614,0.000630498,0.000112177,1.02837e-05,1
6,0.000106815,0.000633229,0.000113955,9.97429e-06,1
7,0.000102223,0.000635582,0.000115677,9.6717e-06,1
8,9.7829e-05,0.00063757,0.000117346,9.37624e-06,1
9,9.36239e-05,0.00063921,0.000118963,9.08812e-06,1
10,8.95999e-05,0.000640513,0.000120529,8.80751e-06,1
11,8.57492e-05,0.000641496,0.000122045,8.53449e-06,1
12,8.20641e-05,0.00064217,0.000123514,8.26913e-06,1
13,7.85378e-05,0.00064255,0.000124935,8.01143e-06,1
14,7.51633e-05,0.000642647,0.000126312,7.76138e-06,1
15,7.19341e-05,0.000642476,0.000127644,7.51892e-06,1
16,6.88441e-05,0.000642049,0.000128934,7.28398e-06,1
17,6.58869e-05,0.000641376,0.000130183,7.05646e-06,1
18,6.30608e-05,0.000640471,0.000131392,6.83625e-06,1
19,6.03562e-05,0.000639344,0.000132562,6.62323e-06,1
20,5.77679e-05,0.000638007,0.000133696,6.41727e-06,1
21,5.52908e-05,0.000636469,0.000134793,6.2182e-06,1
22,5.29201e-05,0.000634741,0.000135856,6.02586e-06,1
23,5.06514e-05,0.000632834,0.000136886,5.84009e-06,1
24,4.84802e-05,0.000630756,0.000137883,5.66071e-06,1
25,4.64024e-05,0.000628517,0.000138849,5.48755e-06,1
26,4.44139e-05,0.000626125,0.000139786,5.32042e-06,1
27,4.25109e-05,0.000623589,0.000140693,5.15916e-06,1
28,4.06897e-05,0.000620918,0.000141572,5.00359e-06,1
29,3.89468e-05,0.000618118,0.000142425,4.85352e-06,1
30,3.72788e-05,0.000615198,0.000143251,4.70879e-06,1
31,3.56826e-05,0.000612165,0.000144053,4.56921e-06,1
32,3.41549e-05,0.000609026,0.00014483,4.43463e-06,1
33,3.2693e-05,0.000605787,0.000145584,4.30486e-06,1
34,3.12938e-05,0.000602455,0.000146316,4.17975e-06,1
35,2.99549e-05,0.000599036,0.000147027,4.05914e-06,1
36,2.86734e-05,0.000595536,0.000147717,3.94286e-06,1
37,2.74471e-05,0.00059196,0.000148386,3.83077e-06,1
38,2.62734e-05,0.000588314,0.000149037,3.7227e-06,1
39,2.51502e-05,0.000584604,0.000149669,3.61853e-06,1
40,2.40753e-05,0.000580832,0.000150283,3.5181e-06,1
41,2.30466e-05,0.000577006,0.00015088,3.42128e-06,1
42,2.2062e-05,0.000573129,0.00015146,3.32793e-06,1
43,2.11198e-05,0.000569204,0.000152025,3.23793e-06,1
44,2.0218e-05,0.000565238,0.000152573,3.15115e-06,1
45,1.93561e-05,0.000561232,0.000153108,3.06746e-06,1
46,1.85312e-05,0.000557192,0.000153627,2.98676e-06,1
47,1.77416e-05,0.00055312,0.000154133,2.90893e-06,1
48,1.69855e-05,0.000549021,0.000154626,2.83387e-06,1
49,1.62618e-05,0.000544896,0.000155106,2.76145e-06,1
50,1.55691e-05,0.00054075,0.000155573,2.69159e-06,1
51,1.49073e-05,0.000536585,0.000156029,2.62418e-06,1
52,1.42738e-05,0.000532404,0.000156473,2.55913e-06,1
53,1.36674e-05,0.00052821,0.000156906,2.49635e-06,1
54,1.3087e-05,0.000524005,0.000157329,2.43576e-06,1
55,1.25313e-05,0.000519791,0.000157741,2.37726e-06,1
56,1.19994e-05,0.000515571,0.000158143,2.32077e-06,1
57,1.14903e-05,0.000511348,0.000158535,2.26621e-06,1
58,1.10029e-05,0.000507122,0.000158918,2.21352e-06,1
59,1.05363e-05,0.000502896,0.000159292,2.16261e-06,1
60,1.00897e-05,0.000498672,0.000159658,2.11342e-06,1
61,9.66212e-06,0.000494452,0.000160015,2.06587e-06,1
62,9.25284e-06,0.000490237,0.000160364,2.01991e-06,1
63,8.86104e-06,0.000486029,0.000160705,1.97547e-06,1
64,8.48598e-06,0.000481829,0.000161039,1.93249e-06,1
65,8.12693e-06,0.000477638,0.000161366,1.89091e-06,1
66,7.78322e-06,0.000473459,0.000161685,1.85069e-06,1
67,7.45417e-06,0.000469292,0.000161998,1.81176e-06,1
68,7.13917e-06,0.000465138,0.000162303,1.77408e-06,1
69,6.83762e-06,0.000460999,0.000162603,1.7376e-06,1
70,6.54893e-06,0.000456875,0.000162896,1.70226e-06,1
71,6.27256e-06,0.000452768,0.000163184,1.66804e-06,1
72,6.00767e-06,0.000448679,0.000163465,1.63488e-06,1
73,5.76495e-06,0.000444607,0.000163741,1.60274e-06,1
74,5.53212e-06,0.000440556,0.000164012,1.57165e-06,1
75,5.30878e-06,0.000436524,0.000164277,1.54154e-06,1
76,5.09454e-06,0.000432513,0.000164537,1.51237e-06,1
77,4.88902e-06,0.000428524,0.000164792,1.48411e-06,1
78,4.69187e-06,0.000424557,0.000165042,1.45672e-06,1
79,4.50275e-06,0.000420613,0.000165288,1.43015e-06,1
80,4.32132e-06,0.000416692,0.000165529,1.40437e-06,1
81,4.14727e-06,0.000412796,0.000165766,1.37934e-06,1
82,3.9803e-06,0.000408923,0.000165999,1.35504e-06,1
83,3.82012e-06,0.000405075,0.000166227,1.33144e-06,1
84,3.66645e-06,0.000401252,0.000166452,1.3085e-06,1
85,3.51903e-06,0.000397455,0.000166673,1.2862e-06,1
86,3.37753e-06,0.000393683,0.000166889,1.26452e-06,1
87,3.24388e-06,0.000389938,0.000167103,1.24342e-06,1
88,3.11557e-06,0.000386219,0.000167312,1.2229e-06,1
89,2.99277e-06,0.000382526,0.000167518,1.20294e-06,1
90,2.87485e-06,0.000378861,0.000167721,1.1835e-06,1
91,2.76164e-06,0.000375222,0.000167921,1.16458e-06,1
92,2.65293e-06,0.000371611,0.000168117,1.14615e-06,1
