"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,5.24189e-05,0.000367892,0.0010776,1.27687e-05,0
238,5.74002e-05,0.000360023,0.00107982,1.25048e-05,0
239,6.27493e-05,0.000352548,0.001082,1.22586e-05,0
240,6.84967e-05,0.000345471,0.00108413,1.203e-05,0
241,7.46739e-05,0.000338798,0.00108622,1.1819e-05,0
242,8.13172e-05,0.000332534,0.00108827,1.16258e-05,0
243,8.84646e-05,0.000326686,0.00109029,1.14505e-05,0
244,9.61573e-05,0.000321262,0.00109227,1.12934e-05,0
245,0.000104439,0.000316273,0.00109423,1.11549e-05,0
246,0.000113359,0.000311728,0.00109616,1.10353e-05,0
247,0.000122967,0.000307641,0.00109807,1.09353e-05,0
248,0.000133321,0.000304026,0.00109997,1.08553e-05,0
249,0.000144482,0.000300897,0.00110185,1.07961e-05,0
250,0.000156447,0.000298274,0.00110372,1.07585e-05,0
251,0.000169345,0.000296172,0.00110558,1.07432e-05,0
252,0.000183254,0.000294613,0.00110744,1.07512e-05,0
253,0.000198255,0.000293621,0.0011093,1.07837e-05,0
254,0.000214436,0.000293222,0.00111116,1.08417e-05,0
255,0.000231895,0.000293445,0.00111304,1.09268e-05,0
256,0.000250736,0.000294322,0.00111493,1.10404e-05,0
257,0.000271072,0.000295886,0.00111685,1.1184e-05,0
258,0.000293027,0.000298177,0.00111878,1.13595e-05,0
259,0.000316669,0.000301235,0.00112075,1.15689e-05,0
260,0.000342159,0.000305105,0.00112276,1.18141e-05,0
261,0.000369665,0.000309834,0.00112481,1.20975e-05,0
262,0.00039935,0.000315475,0.00112691,1.24214e-05,0
263,0.000431387,0.000322086,0.00112907,1.27886e-05,0
264,0.000465968,0.00032973,0.0011313,1.3202e-05,0
265,0.000503298,0.000338475,0.0011336,1.36648e-05,0
266,0.000543597,0.000348396,0.00113598,1.41805e-05,0
267,0.000587101,0.000359572,0.00113846,1.47527e-05,0
268,0.000634072,0.000372093,0.00114104,1.53857e-05,0
269,0.000684789,0.000386051,0.00114374,1.60837e-05,0
270,0.000739554,0.000401551,0.00114656,1.68514e-05,0
271,0.000798696,0.000418703,0.00114953,1.76942e-05,0
272,0.000862568,0.000437628,0.00115265,1.86174e-05,0
273,0.000931554,0.000458458,0.00115594,1.96272e-05,0
274,0.00100577,0.000481334,0.00115942,2.07301e-05,0
275,0.00108582,0.000506399,0.0011631,2.19324e-05,0
276,0.00117214,0.000533814,0.00116702,2.32416e-05,0
277,0.00126523,0.000563754,0.00117118,2.46655e-05,0
278,0.0013656,0.000596405,0.00117561,2.62127e-05,0
279,0.00147382,0.00063197,0.00118034,2.78922e-05,0
280,0.0015905,0.000670667,0.00118539,2.97138e-05,0
281,0.00171629,0.000712731,0.0011908,3.16883e-05,0
282,0.0016155,0.000758415,0.0011966,3.38268e-05,0
283,0.00152061,0.000799331,0.00120282,3.56451e-05,0
284,0.00143129,0.000835783,0.00120941,3.71769e-05,0
285,0.00134722,0.000868061,0.00121631,3.84523e-05,0
286,0.00126808,0.000896439,0.00122347,3.94987e-05,0
287,0.00119359,0.000921178,0.00123084,4.03405e-05,0
288,0.00112348,0.000942525,0.00123839,4.09997e-05,0
289,0.00105747,0.000960714,0.00124607,4.14963e-05,0
290,0.000995349,0.000975967,0.00125385,4.18479e-05,0
291,0.000936871,0.000988493,0.00126171,4.20706e-05,0
292,0.000881828,0.000998489,0.00126961,4.21788e-05,0
293,0.000830017,0.00100614,0.00127754,4.21853e-05,0
294,0.000781249,0.00101163,0.00128547,4.21018e-05,0
295,0.00073539,0.00101511,0.00129338,4.19387e-05,0
296,0.000692243,0.00101674,0.00130126,4.17054e-05,0
297,0.000651654,0.00101668,0.00130909,4.14103e-05,0
298,0.000613475,0.00101506,0.00131685,4.10612e-05,0
299,0.000577571,0.00101201,0.00132455,4.06647e-05,0
300,0.000543812,0.00100765,0.00133216,4.02269e-05,0
301,0.000512079,0.0010021,0.00133968,3.97535e-05,0
302,0.000482261,0.00099546,0.00134711,3.92495e-05,0
303,0.000454254,0.000987835,0.00135443,3.87191e-05,0
304,0.000427962,0.000979319,0.00136164,3.81666e-05,0
305,0.000403297,0.000970001,0.00136874,3.75956e-05,0
306,0.000380178,0.000959965,0.00137573,3.70094e-05,0
307,0.000358532,0.000949288,0.00138259,3.64109e-05,0
308,0.000338293,0.000938044,0.00138934,3.58029e-05,0
309,0.000319402,0.000926303,0.00139596,3.51879e-05,0
310,0.000301809,0.000914129,0.00140245,3.45681e-05,0
311,0.000284818,0.000901584,0.00140883,3.39456e-05,0
312,0.000268799,0.000888703,0.00141507,3.33211e-05,0
313,0.000253697,0.000875532,0.0014212,3.26958e-05,0
314,0.000239459,0.000862116,0.00142719,3.2071e-05,0
315,0.000226034,0.000848495,0.00143307,3.14478e-05,0
316,0.000213376,0.000834706,0.00143882,3.08272e-05,0
317,0.000201441,0.000820784,0.00144445,3.021e-05,0
318,0.000190186,0.000806762,0.00144995,2.95971e-05,0
319,0.000179573,0.000792668,0.00145534,2.89891e-05,0
320,0.000169565,0.00077853,0.00146061,2.83867e-05,0
321,0.000160126,0.000764373,0.00146576,2.77903e-05,0
322,0.000151224,0.00075022,0.00147079,2.72005e-05,0
323,0.000142828,0.000736093,0.00147571,2.66177e-05,0
324,0.000134908,0.00072201,0.00148052,2.60422e-05,0
325,0.000127438,0.00070799,0.00148521,2.54744e-05,0
326,0.000120392,0.000694049,0.0014898,2.49145e-05,0
327,0.000113745,0.000680201,0.00149428,2.43628e-05,0
328,0.000107476,0.00066646,0.00149865,2.38195e-05,0
329,0.000101563,0.000652838,0.00150292,2.32847e-05,0
330,9.59853e-05,0.000639346,0.00150709,2.27585e-05,0
331,9.07238e-05,0.000625994,0.00151116,2.22411e-05,0
332,8.57605e-05,0.000612791,0.00151513,2.17326e-05,0
333,8.10786e-05,0.000599745,0.001519,2.12329e-05,0
334,7.66622e-05,0.000586862,0.00152278,2.07423e-05,0
335,7.24964e-05,0.00057415,0.00152647,2.02605e-05,0
336,6.85671e-05,0.000561612,0.00153007,1.97878e-05,0
337,6.48612e-05,0.000549255,0.00153358,1.9324e-05,0
338,6.13662e-05,0.000537082,0.001537,1.88691e-05,0
339,5.80707e-05,0.000525096,0.00154034,1.84232e-05,0
340,5.49637e-05,0.000513301,0.00154359,1.79861e-05,0
341,5.20351e-05,0.000501699,0.00154677,1.75578e-05,0
342,4.92755e-05,0.000490292,0.00154986,1.71382e-05,0
343,4.66761e-05,0.000479082,0.00155288,1.67273e-05,0
344,4.42286e-05,0.000468069,0.00155582,1.6325e-05,0
345,4.1926e-05,0.000457254,0.00155869,1.59312e-05,0
346,3.9761e-05,0.000446638,0.00156149,1.55457e-05,0
347,3.77272e-05,0.000436221,0.00156421,1.51687e-05,0
348,3.58188e-05,0.000426002,0.00156687,1.47998e-05,0
349,3.40305e-05,0.000415982,0.00156946,1.44391e-05,0
350,3.23579e-05,0.00040616,0.00157198,1.40864e-05,0
351,3.07966e-05,0.000396535,0.00157444,1.37417e-05,0
352,3.39015e-05,0.000387106,0.00157684,1.34048e-05,0
353,3.77152e-05,0.000378039,0.00157918,1.30852e-05,0
354,4.127e-05,0.000369352,0.00158146,1.27836e-05,0
355,4.50774e-05,0.000361027,0.00158368,1.24985e-05,0
356,4.91585e-05,0.000353063,0.00158586,1.22296e-05,0
357,5.35364e-05,0.000345463,0.00158798,1.19767e-05,0
358,5.82358e-05,0.000338228,0.00159006,1.17398e-05,0
359,6.32835e-05,0.000331361,0.0015921,1.15188e-05,0
360,6.8708e-05,0.000324867,0.0015941,1.13137e-05,0
361,7.45405e-05,0.000318749,0.00159606,1.11246e-05,0
362,8.08141e-05,0.000313014,0.00159799,1.09516e-05,0
363,8.75554e-05,0.000307668,0.00159988,1.07951e-05,0
364,9.48001e-05,0.000302718,0.00160175,1.06553e-05,0
365,0.000102598,0.000298174,0.0016036,1.05324e-05,0
