"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,4.63945e-05,0.000248726,4.44153e-05,9.41605e-06,0
2,4.39141e-05,0.000244006,4.60391e-05,9.18177e-06,0
3,4.77585e-05,0.000239303,4.76215e-05,8.95437e-06,0
4,5.23655e-05,0.00023485,4.91637e-05,8.74647e-06,0
5,5.74952e-05,0.000230671,5.06693e-05,8.5583e-06,0
6,6.32187e-05,0.00022678,5.21417e-05,8.38961e-06,0
7,6.96181e-05,0.000223193,5.35844e-05,8.24037e-06,0
8,7.67889e-05,0.00021993,5.50008e-05,8.11079e-06,0
9,8.48418e-05,0.000217013,5.63945e-05,8.00129e-06,0
10,9.39055e-05,0.000214466,5.7769e-05,7.91252e-06,0
11,0.00010413,0.000212319,5.91279e-05,7.84543e-06,0
12,0.00011569,0.000210605,6.0475e-05,7.80125e-06,0
13,0.00012879,0.000209365,6.18144e-05,7.78152e-06,0
14,0.000143669,0.000208643,6.31503e-05,7.78817e-06,0
15,0.000160605,0.000208494,6.44874e-05,7.82355e-06,0
16,0.000179927,0.000208979,6.58306e-05,7.89049e-06,0
17,0.000202018,0.000210173,6.71857e-05,7.99236e-06,0
18,0.000224732,0.000212159,6.85586e-05,8.1332e-06,0
19,0.00024534,0.000214943,6.99562e-05,8.31232e-06,0
20,0.000267623,0.000218429,7.13853e-05,8.5234e-06,0
21,0.000291729,0.000222661,7.28516e-05,8.76845e-06,0
22,0.000317819,0.000227689,7.4361e-05,9.04971e-06,0
23,0.000346061,0.000233567,7.59201e-05,9.36963e-06,0
24,0.000376649,0.000240352,7.75356e-05,9.73091e-06,0
25,0.00040979,0.000248109,7.92152e-05,1.01365e-05,0
26,0.000445471,0.000256909,8.09667e-05,1.05897e-05,0
27,0.000484209,0.000266819,8.27987e-05,1.10936e-05,0
28,0.000526165,0.000277926,8.47206e-05,1.16521e-05,0
29,0.000571624,0.000290318,8.67423e-05,1.22694e-05,0
30,0.000620891,0.000304094,8.88747e-05,1.29501e-05,0
31,0.000673894,0.00031936,9.11296e-05,1.36991e-05,0
32,0.000730752,0.000336217,9.35197e-05,1.45208e-05,0
33,0.000792178,0.000354769,9.60588e-05,1.542e-05,0
34,0.000858545,0.000375143,9.87617e-05,1.64024e-05,0
35,0.000930256,0.000397476,0.000101644,1.74744e-05,0
36,0.00100774,0.000421918,0.000104724,1.86427e-05,0
37,0.00109148,0.00044863,0.000108021,1.99148e-05,0
38,0.00118196,0.000477787,0.000111554,2.12987e-05,0
39,0.00127973,0.000509577,0.000115346,2.28029e-05,0
40,0.00138539,0.000544206,0.000119423,2.44368e-05,0
41,0.00149956,0.000581895,0.00012381,2.62104e-05,0
42,0.00162292,0.000622881,0.000128538,2.81346e-05,0
43,0.00175621,0.000667425,0.000133639,3.02209e-05,0
44,0.00190022,0.000715804,0.000139148,3.2482e-05,0
45,0.00179052,0.00076832,0.000145103,3.49313e-05,0
46,0.00168715,0.000815579,0.000151548,3.70262e-05,0
47,0.00158975,0.000857909,0.000158417,3.88035e-05,0
48,0.00149797,0.000895622,0.000165647,4.02962e-05,0
49,0.0014115,0.000929015,0.000173184,4.15344e-05,0
50,0.00133002,0.000958372,0.000180977,4.25448e-05,0
51,0.00125325,0.00098396,0.00018898,4.33518e-05,0
52,0.00118091,0.00100603,0.000197151,4.3977e-05,0
53,0.00111275,0.00102483,0.000205453,4.44402e-05,0
54,0.00104852,0.00104059,0.000213852,4.47588e-05,0
55,0.000988012,0.00105351,0.000222318,4.49488e-05,0
56,0.000930995,0.00106381,0.000230824,4.50244e-05,0
57,0.000877273,0.00107167,0.000239346,4.49985e-05,0
58,0.000826654,0.00107728,0.000247863,4.48824e-05,0
59,0.00077896,0.00108081,0.000256355,4.46867e-05,0
60,0.000734022,0.00108241,0.000264806,4.44205e-05,0
61,0.00069168,0.00108225,0.000273201,4.40924e-05,0
62,0.000651785,0.00108045,0.000281527,4.37097e-05,0
63,0.000614196,0.00107716,0.000289773,4.32792e-05,0
64,0.00057878,0.0010725,0.000297929,4.28072e-05,0
65,0.000545411,0.00106658,0.000305987,4.22989e-05,0
66,0.000513972,0.00105953,0.000313939,4.17594e-05,0
67,0.000484352,0.00105143,0.000321778,4.11931e-05,0
68,0.000456445,0.0010424,0.0003295,4.0604e-05,0
69,0.000430155,0.00103251,0.000337101,3.99956e-05,0
70,0.000405387,0.00102185,0.000344576,3.93712e-05,0
71,0.000382056,0.0010105,0.000351923,3.87337e-05,0
72,0.000360056,0.000998543,0.000359139,3.80857e-05,0
73,0.000339327,0.000986035,0.000366223,3.74295e-05,0
74,0.000319794,0.000973044,0.000373173,3.67672e-05,0
75,0.00030139,0.00095963,0.000379989,3.61007e-05,0
76,0.000284048,0.000945847,0.000386669,3.54317e-05,0
77,0.000267707,0.000931747,0.000393215,3.47617e-05,0
78,0.000252309,0.000917378,0.000399626,3.40921e-05,0
79,0.000237801,0.000902783,0.000405903,3.3424e-05,0
80,0.00022413,0.000888004,0.000412046,3.27586e-05,0
81,0.000211248,0.000873079,0.000418057,3.20969e-05,0
82,0.00019911,0.000858042,0.000423936,3.14396e-05,0
83,0.000187672,0.000842927,0.000429685,3.07876e-05,0
84,0.000176894,0.000827762,0.000435305,3.01415e-05,0
85,0.000166739,0.000812575,0.000440798,2.9502e-05,0
86,0.00015717,0.000797392,0.000446165,2.88695e-05,0
87,0.000148153,0.000782235,0.000451409,2.82445e-05,0
88,0.000139656,0.000767126,0.000456531,2.76275e-05,0
89,0.000131653,0.000752084,0.000461534,2.70188e-05,0
90,0.000124112,0.000737128,0.000466418,2.64186e-05,0
91,0.000117009,0.000722272,0.000471186,2.58273e-05,0
92,0.000110316,0.000707532,0.00047584,2.5245e-05,0
93,0.000104012,0.000692921,0.000480382,2.46719e-05,0
94,9.80741e-05,0.000678452,0.000484815,2.41083e-05,0
95,9.2481e-05,0.000664134,0.00048914,2.35541e-05,0
96,8.72133e-05,0.000649978,0.000493359,2.30095e-05,0
97,8.22528e-05,0.000635991,0.000497475,2.24746e-05,0
98,7.75821e-05,0.000622183,0.000501489,2.19494e-05,0
99,7.31851e-05,0.000608559,0.000505404,2.14339e-05,0
100,6.91001e-05,0.000595126,0.000509222,2.09282e-05,0
101,6.52805e-05,0.000581891,0.000512945,2.04323e-05,0
102,6.1716e-05,0.000568858,0.000516575,1.99462e-05,0
103,5.83976e-05,0.000556034,0.000520114,1.947e-05,0
104,5.53181e-05,0.000543421,0.000523564,1.90037e-05,0
105,5.2472e-05,0.000531023,0.000526927,1.85472e-05,0
106,4.98555e-05,0.000518845,0.000530206,1.81005e-05,0
107,4.74668e-05,0.000506888,0.000533401,1.76637e-05,0
108,4.53064e-05,0.000495157,0.000536516,1.72368e-05,0
109,4.33768e-05,0.000483654,0.000539553,1.68197e-05,0
110,4.16838e-05,0.000472381,0.000542512,1.64125e-05,0
111,4.0236e-05,0.000461343,0.000545397,1.60153e-05,0
112,3.90458e-05,0.000450541,0.000548208,1.5628e-05,0
113,3.80387e-05,0.00043998,0.000550949,1.52508e-05,0
114,3.72934e-05,0.000429661,0.000553621,1.48837e-05,0
115,3.61185e-05,0.000419587,0.000556226,1.45267e-05,0
116,3.49807e-05,0.000409735,0.000558767,1.41785e-05,0
117,3.38511e-05,0.000400103,0.000561244,1.38389e-05,0
118,3.84516e-05,0.000390684,0.000563659,1.35075e-05,0
119,4.33673e-05,0.000381684,0.000566015,1.31959e-05,0
120,4.86168e-05,0.000373103,0.000568314,1.2904e-05,0
121,5.42297e-05,0.000364944,0.00057056,1.26314e-05,0
122,6.02378e-05,0.000357211,0.000572758,1.2378e-05,0
123,6.66756e-05,0.000349907,0.00057491,1.21437e-05,0
124,7.35695e-05,0.000343039,0.000577019,1.19284e-05,0
125,8.09569e-05,0.000336612,0.000579091,1.17324e-05,0
126,8.88893e-05,0.000330633,0.000581127,1.15557e-05,0
127,9.74125e-05,0.000325112,0.000583131,1.13987e-05,0
128,0.000106576,0.000320059,0.000585108,1.12618e-05,0
129,0.000116433,0.000315486,0.00058706,1.11453e-05,0
130,0.000127042,0.000311406,0.000588991,1.10499e-05,0
131,0.000138464,0.000307836,0.000590905,1.09763e-05,0
132,0.000150766,0.000304791,0.000592806,1.09251e-05,0
133,0.000164022,0.000302293,0.000594697,1.08973e-05,0
134,0.000178309,0.000300361,0.000596584,1.08939e-05,0
135,0.000193712,0.000299021,0.000598471,1.09158e-05,0
136,0.000210322,0.000298298,0.000600361,1.09645e-05,0
137,0.000228238,0.000298221,0.00060226,1.10412e-05,0
138,0.000247565,0.000298824,0.000604172,1.11474e-05,0
139,0.000268418,0.00030014,0.000606104,1.12848e-05,0
140,0.000290922,0.000302208,0.00060806,1.14552e-05,0
141,0.000315209,0.000305071,0.000610046,1.16606e-05,0
142,0.000341424,0.000308774,0.000612069,1.1903e-05,0
143,0.000369724,0.000313369,0.000614136,1.2185e-05,0
144,0.000399849,0.000318909,0.000616253,1.2509e-05,0
145,0.00043234,0.000325439,0.000618429,1.28769e-05,0
146,0.000467385,0.000333021,0.00062067,1.32918e-05,0
147,0.000505184,0.000341725,0.000622987,1.37567e-05,0
148,0.000545958,0.000351623,0.000625387,1.42751e-05,0
149,0.000589941,0.000362796,0.000627882,1.48507e-05,0
150,0.000637387,0.000375331,0.000630481,1.54877e-05,0
151,0.000688568,0.000389322,0.000633196,1.61903e-05,0
152,0.000743778,0.000404871,0.00063604,1.69633e-05,0
153,0.000803335,0.000422089,0.000639026,1.78118e-05,0
154,0.00086758,0.000441094,0.000642168,1.87412e-05,0
155,0.00093688,0.000462016,0.000645483,1.97575e-05,0
156,0.00101163,0.000484994,0.000648987,2.08671e-05,0
157,0.00109226,0.000510179,0.000652698,2.20768e-05,0
158,0.00117923,0.000537733,0.000656637,2.33941e-05,0
159,0.00127303,0.000567832,0.000660826,2.4827e-05,0
160,0.00137418,0.000600666,0.000665288,2.6384e-05,0
161,0.00148327,0.000636438,0.00067005,2.80745e-05,0
162,0.00160091,0.000675369,0.000675139,2.99083e-05,0
163,0.00172775,0.000717697,0.000680586,3.18962e-05,0
164,0.00162639,0.000763678,0.000686425,3.40496e-05,0
165,0.00153157,0.000804864,0.000692693,3.58808e-05,0
166,0.00144228,0.000841581,0.00069933,3.74248e-05,0
167,0.0013582,0.000874119,0.000706279,3.87119e-05,0
168,0.00127902,0.000902751,0.000713491,3.97693e-05,0
169,0.00120447,0.000927735,0.000720919,4.06215e-05,0
170,0.00113426,0.00094932,0.000728523,4.12905e-05,0
171,0.00106816,0.000967738,0.000736266,4.17962e-05,0
172,0.00100591,0.000983209,0.000744113,4.21564e-05,0
173,0.000947298,0.000995944,0.000752035,4.2387e-05,0
174,0.00089211,0.00100614,0.000760005,4.25025e-05,0
175,0.000840149,0.00101398,0.000767999,4.25158e-05,0
176,0.000791225,0.00101964,0.000775996,4.24384e-05,0
177,0.000745163,0.00102329,0.000783977,4.2281e-05,0
178,0.000701797,0.00102508,0.000791925,4.20528e-05,0
179,0.000660972,0.00102516,0.000799825,4.17622e-05,0
180,0.00062254,0.00102367,0.000807665,4.14169e-05,0
181,0.000586364,0.00102074,0.000815434,4.10237e-05,0
182,0.000552313,0.00101648,0.000823121,4.05886e-05,0
183,0.000520266,0.00101102,0.000830718,4.01173e-05,0
184,0.000490108,0.00100446,0.000838219,3.96146e-05,0
185,0.000461732,0.000996895,0.000845615,3.90851e-05,0
186,0.000435036,0.000988425,0.000852904,3.85327e-05,0
187,0.000409925,0.000979137,0.000860079,3.7961e-05,0
188,0.00038631,0.000969113,0.000867137,3.73733e-05,0
189,0.000364109,0.000958429,0.000874076,3.67726e-05,0
190,0.000343243,0.000947157,0.000880893,3.61614e-05,0
191,0.000323639,0.000935365,0.000887586,3.55422e-05,0
192,0.000305231,0.000923116,0.000894154,3.49171e-05,0
