"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,6.14331e-10,5.10212e-07,0.000107182,1.72776e-08,1
238,5.91369e-10,4.96548e-07,0.000107185,1.68148e-08,1
239,5.69278e-10,4.8325e-07,0.000107188,1.63644e-08,1
240,5.48023e-10,4.70307e-07,0.00010719,1.59261e-08,1
241,5.27572e-10,4.57711e-07,0.000107193,1.54995e-08,1
242,5.07894e-10,4.45452e-07,0.000107196,1.50843e-08,1
243,4.88959e-10,4.33522e-07,0.000107198,1.46802e-08,1
244,4.7074e-10,4.2191e-07,0.000107201,1.4287e-08,1
245,4.53208e-10,4.1061e-07,0.000107203,1.39043e-08,1
246,4.36337e-10,3.99612e-07,0.000107205,1.35318e-08,1
247,4.20102e-10,3.88908e-07,0.000107208,1.31693e-08,1
248,4.04479e-10,3.78491e-07,0.00010721,1.28165e-08,1
249,3.89443e-10,3.68352e-07,0.000107212,1.24731e-08,1
250,3.74974e-10,3.58485e-07,0.000107214,1.2139e-08,1
251,3.61049e-10,3.48883e-07,0.000107216,1.18138e-08,1
252,3.47647e-10,3.39537e-07,0.000107218,1.14973e-08,1
253,3.34748e-10,3.30441e-07,0.00010722,1.11892e-08,1
254,3.22333e-10,3.21589e-07,0.000107222,1.08894e-08,1
255,3.10385e-10,3.12974e-07,0.000107224,1.05977e-08,1
256,2.98884e-10,3.0459e-07,0.000107226,1.03138e-08,1
257,2.87815e-10,2.9643e-07,0.000107227,1.00374e-08,1
258,2.7716e-10,2.88489e-07,0.000107229,9.76848e-09,1
259,2.66904e-10,2.8076e-07,0.000107231,9.50675e-09,1
260,2.57031e-10,2.73238e-07,0.000107232,9.25202e-09,1
261,2.47528e-10,2.65918e-07,0.000107234,9.00412e-09,1
262,2.38381e-10,2.58794e-07,0.000107235,8.76286e-09,1
263,2.29575e-10,2.5186e-07,0.000107237,8.52805e-09,1
264,2.21097e-10,2.45112e-07,0.000107238,8.29954e-09,1
265,2.12937e-10,2.38545e-07,0.00010724,8.07715e-09,1
266,2.0508e-10,2.32153e-07,0.000107241,7.86071e-09,1
267,1.97517e-10,2.25933e-07,0.000107242,7.65007e-09,1
268,1.90235e-10,2.1988e-07,0.000107244,7.44507e-09,1
269,1.83225e-10,2.13988e-07,0.000107245,7.24557e-09,1
270,1.76476e-10,2.08254e-07,0.000107246,7.0514e-09,1
271,1.69978e-10,2.02674e-07,0.000107247,6.86244e-09,1
272,1.63722e-10,1.97243e-07,0.000107248,6.67854e-09,1
273,1.57698e-10,1.91958e-07,0.000107249,6.49957e-09,1
274,1.51898e-10,1.86814e-07,0.000107251,6.32539e-09,1
275,1.46314e-10,1.81809e-07,0.000107252,6.15587e-09,1
276,1.40937e-10,1.76937e-07,0.000107253,5.9909e-09,1
277,1.35759e-10,1.72195e-07,0.000107254,5.83035e-09,1
278,1.30774e-10,1.67581e-07,0.000107255,5.67409e-09,1
279,1.25973e-10,1.6309e-07,0.000107256,5.52203e-09,1
280,1.2135e-10,1.5872e-07,0.000107256,5.37403e-09,1
281,1.16899e-10,1.54466e-07,0.000107257,5.23e-09,1
282,1.12613e-10,1.50327e-07,0.000107258,5.08984e-09,1
283,1.08485e-10,1.46298e-07,0.000107259,4.95342e-09,1
284,1.0451e-10,1.42378e-07,0.00010726,4.82066e-09,1
285,1.00681e-10,1.38562e-07,0.000107261,4.69146e-09,1
286,9.69949e-11,1.34849e-07,0.000107262,4.56572e-09,1
287,9.34445e-11,1.31235e-07,0.000107262,4.44335e-09,1
288,9.00253e-11,1.27717e-07,0.000107263,4.32425e-09,1
289,8.67324e-11,1.24295e-07,0.000107264,4.20835e-09,1
290,8.35609e-11,1.20963e-07,0.000107265,4.09555e-09,1
291,8.05065e-11,1.17721e-07,0.000107265,3.98578e-09,1
