"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,4.63945e-05,0.000248726,4.44153e-05,9.41605e-06,1
2,4.39141e-05,0.000244006,4.60391e-05,9.18177e-06,1
3,4.11448e-05,0.000239303,4.76215e-05,8.95437e-06,1
4,3.86452e-05,0.000234608,4.91637e-05,8.73258e-06,1
5,3.63006e-05,0.000229931,5.06668e-05,8.5164e-06,1
6,3.41013e-05,0.000225279,5.21318e-05,8.30562e-06,1
7,3.20381e-05,0.000220657,5.35598e-05,8.10005e-06,1
8,3.01025e-05,0.000216072,5.49516e-05,7.89952e-06,1
9,2.82865e-05,0.000211527,5.63082e-05,7.70385e-06,1
10,2.65826e-05,0.000207026,5.76305e-05,7.51291e-06,1
11,2.49837e-05,0.000202575,5.89193e-05,7.32655e-06,1
12,2.34833e-05,0.000198175,6.01756e-05,7.14465e-06,1
13,2.20751e-05,0.000193829,6.14e-05,6.96707e-06,1
14,2.07535e-05,0.000189541,6.25934e-05,6.79371e-06,1
15,1.95131e-05,0.000185313,6.37565e-05,6.62446e-06,1
16,1.83487e-05,0.000181145,6.48902e-05,6.45922e-06,1
17,1.72556e-05,0.000177041,6.5995e-05,6.29788e-06,1
18,1.62293e-05,0.000173001,6.70718e-05,6.14036e-06,1
19,1.52658e-05,0.000169027,6.81212e-05,5.98656e-06,1
20,1.43611e-05,0.000165119,6.91439e-05,5.8364e-06,1
21,1.35115e-05,0.000161278,7.01405e-05,5.68979e-06,1
22,1.27136e-05,0.000157505,7.11117e-05,5.54666e-06,1
23,1.19642e-05,0.0001538,7.20581e-05,5.40693e-06,1
24,1.12603e-05,0.000150163,7.29803e-05,5.27052e-06,1
25,1.05991e-05,0.000146594,7.38788e-05,5.13737e-06,1
26,9.97783e-06,0.000143094,7.47544e-05,5.00739e-06,1
27,9.39416e-06,0.000139663,7.56075e-05,4.88052e-06,1
28,8.84572e-06,0.000136299,7.64386e-05,4.75669e-06,1
29,8.33033e-06,0.000133003,7.72485e-05,4.63584e-06,1
30,7.84594e-06,0.000129773,7.80374e-05,4.51789e-06,1
31,7.39066e-06,0.000126611,7.88061e-05,4.4028e-06,1
32,6.96269e-06,0.000123515,7.95549e-05,4.29049e-06,1
33,6.56035e-06,0.000120484,8.02844e-05,4.1809e-06,1
34,6.18206e-06,0.000117518,8.09951e-05,4.07398e-06,1
