"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,2.49926e-05,0.000317904,4.41675e-05,5.54662e-06,0
2,2.35969e-05,0.000316851,4.51139e-05,5.33113e-06,0
3,2.73467e-05,0.00031559,4.6023e-05,5.12749e-06,0
4,3.17505e-05,0.000314354,4.68968e-05,4.96506e-06,0
5,3.68516e-05,0.000313202,4.77426e-05,4.84376e-06,0
6,4.27617e-05,0.000312194,4.85675e-05,4.76385e-06,0
7,4.96108e-05,0.000311394,4.93785e-05,4.72622e-06,0
8,5.75498e-05,0.000310871,5.01831e-05,4.73251e-06,0
9,6.67542e-05,0.000310701,5.09888e-05,4.78512e-06,0
10,7.74283e-05,0.000310966,5.18035e-05,4.88733e-06,0
11,8.98101e-05,0.000311758,5.26359e-05,5.04332e-06,0
12,0.000104176,0.000313183,5.34952e-05,5.25837e-06,0
13,0.000120847,0.000315357,5.43916e-05,5.53893e-06,0
14,0.000140198,0.000318415,5.53367e-05,5.8928e-06,0
15,0.000162664,0.00032251,5.63431e-05,6.32932e-06,0
16,0.000188754,0.000327818,5.74254e-05,6.85961e-06,0
17,0.00021906,0.000334543,5.86e-05,7.49679e-06,0
18,0.00025422,0.000342918,5.98861e-05,8.25638e-06,0
19,0.000295012,0.000353211,6.13054e-05,9.15626e-06,0
20,0.000342398,0.000365734,6.28833e-05,1.02174e-05,0
21,0.000397458,0.000380847,6.46492e-05,1.14644e-05,0
22,0.000459928,0.000398969,6.66373e-05,1.29263e-05,0
23,0.000530965,0.000420524,6.8888e-05,1.46278e-05,0
24,0.000612813,0.000445992,7.14466e-05,1.65981e-05,0
25,0.000707115,0.000475964,7.43654e-05,1.88773e-05,0
26,0.000815738,0.000511121,7.77052e-05,2.15113e-05,0
27,0.000940958,0.000552243,8.1538e-05,2.45528e-05,0
28,0.00108522,0.000600233,8.59479e-05,2.80632e-05,0
29,0.0012513,0.000656129,9.10349e-05,3.21124e-05,0
30,0.0014425,0.000721119,9.69174e-05,3.67799e-05,0
31,0.00135081,0.000796571,0.000103736,4.21572e-05,0
32,0.001265,0.000870833,0.000111659,4.64949e-05,0
33,0.00118465,0.000943359,0.000120492,4.99286e-05,0
34,0.00110942,0.0010137,0.000130059,5.25788e-05,0
35,0.00103898,0.00108151,0.0001402,5.45526e-05,0
36,0.000973023,0.00114651,0.000150772,5.59445e-05,0
37,0.000911268,0.00120848,0.00016165,5.68382e-05,0
38,0.000853447,0.00126727,0.000172727,5.73072e-05,0
39,0.00079931,0.00132277,0.000183908,5.7416e-05,0
40,0.000748624,0.00137494,0.000195112,5.72211e-05,0
41,0.000701168,0.00142374,0.000206274,5.67721e-05,0
42,0.000656738,0.00146918,0.000217336,5.6112e-05,0
43,0.000615142,0.00151128,0.000228251,5.52782e-05,0
44,0.000576201,0.00155011,0.000238983,5.43035e-05,0
45,0.000539675,0.00158572,0.0002495,5.32159e-05,0
46,0.000505468,0.0016182,0.00025978,5.20394e-05,0
47,0.000473433,0.00164765,0.000269803,5.0795e-05,0
48,0.000443433,0.00167415,0.000279557,4.95006e-05,0
49,0.000415338,0.00169782,0.000289031,4.81717e-05,0
50,0.000389026,0.00171877,0.000298222,4.68215e-05,0
51,0.000364386,0.00173711,0.000307124,4.54609e-05,0
52,0.000341311,0.00175295,0.000315739,4.40996e-05,0
53,0.000319701,0.00176643,0.000324067,4.27453e-05,0
54,0.000299465,0.00177765,0.000332113,4.14047e-05,0
55,0.000280516,0.00178672,0.000339879,4.00831e-05,0
56,0.000262773,0.00179376,0.000347373,3.87852e-05,0
57,0.00024616,0.00179888,0.0003546,3.75143e-05,0
58,0.000230605,0.0018022,0.000361568,3.62735e-05,0
59,0.000216043,0.0018038,0.000368284,3.50649e-05,0
60,0.000202398,0.00180381,0.000374757,3.38901e-05,0
61,0.000189622,0.00180231,0.000380993,3.27504e-05,0
62,0.000177658,0.0017994,0.000387002,3.16465e-05,0
63,0.000166457,0.00179517,0.000392793,3.05788e-05,0
64,0.000155972,0.00178972,0.000398372,2.95475e-05,0
65,0.000146157,0.00178311,0.000403749,2.85525e-05,0
66,0.000136972,0.00177545,0.000408931,2.75935e-05,0
67,0.000128378,0.00176679,0.000413927,2.66701e-05,0
68,0.000120341,0.00175721,0.000418744,2.57817e-05,0
69,0.000112828,0.0017468,0.00042339,2.49276e-05,0
70,0.000105808,0.0017356,0.000427871,2.4107e-05,0
71,9.92553e-05,0.00172368,0.000432196,2.33191e-05,0
72,9.30672e-05,0.00171111,0.000436371,2.25631e-05,0
73,8.72689e-05,0.00169794,0.000440402,2.18376e-05,0
74,8.18356e-05,0.00168422,0.000444296,2.11415e-05,0
75,7.67499e-05,0.00167,0.000448059,2.04739e-05,0
76,7.19866e-05,0.00165533,0.000451697,1.98336e-05,0
77,6.75259e-05,0.00164025,0.000455215,1.92198e-05,0
78,6.33499e-05,0.0016248,0.000458619,1.86312e-05,0
79,5.94409e-05,0.00160903,0.000461913,1.80671e-05,0
80,5.57831e-05,0.00159298,0.000465103,1.75262e-05,0
81,5.23616e-05,0.00157666,0.000468192,1.70078e-05,0
82,4.9163e-05,0.00156013,0.000471186,1.65109e-05,0
83,4.61749e-05,0.0015434,0.000474089,1.60345e-05,0
84,4.3386e-05,0.00152652,0.000476905,1.55778e-05,0
85,4.07862e-05,0.0015095,0.000479636,1.51399e-05,0
86,3.83667e-05,0.00149237,0.000482288,1.47202e-05,0
87,3.61216e-05,0.00147516,0.000484864,1.43177e-05,0
88,3.39723e-05,0.00145789,0.000487366,1.39318e-05,0
89,3.94232e-05,0.00144058,0.000489798,1.35615e-05,0
90,4.57512e-05,0.00142355,0.000492164,1.32503e-05,0
91,5.30481e-05,0.0014069,0.000494473,1.29979e-05,0
92,6.14644e-05,0.0013907,0.000496736,1.28046e-05,0
93,7.11744e-05,0.00137503,0.000498965,1.26715e-05,0
94,8.23793e-05,0.00135999,0.00050117,1.26007e-05,0
95,9.52718e-05,0.00134568,0.000503362,1.25955e-05,0
96,0.000110095,0.0013322,0.000505553,1.26599e-05,0
97,0.000127139,0.00131967,0.000507755,1.27991e-05,0
98,0.000146703,0.00130823,0.000509983,1.30196e-05,0
