"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,2.49926e-05,0.000317904,4.41675e-05,5.54662e-06,1
2,2.35969e-05,0.000316851,4.51139e-05,5.33113e-06,1
3,2.19011e-05,0.00031559,4.6023e-05,5.12749e-06,1
4,2.03473e-05,0.000314123,4.68968e-05,4.93268e-06,1
5,1.89067e-05,0.000312466,4.7737e-05,4.74657e-06,1
6,1.75709e-05,0.000310636,4.85451e-05,4.56889e-06,1
7,1.63321e-05,0.000308646,4.93226e-05,4.39938e-06,1
8,1.51833e-05,0.00030651,5.00708e-05,4.23773e-06,1
9,1.41179e-05,0.000304242,5.07912e-05,4.08364e-06,1
10,1.31296e-05,0.000301854,5.14852e-05,3.93682e-06,1
11,1.22128e-05,0.000299356,5.21539e-05,3.79695e-06,1
12,1.13632e-05,0.000296761,5.27986e-05,3.66373e-06,1
13,1.05748e-05,0.000294077,5.34205e-05,3.53688e-06,1
14,9.84327e-06,0.000291315,5.40206e-05,3.4161e-06,1
15,9.16433e-06,0.000288483,5.46e-05,3.3011e-06,1
16,8.53416e-06,0.000285589,5.51597e-05,3.19159e-06,1
17,7.94911e-06,0.000282641,5.57007e-05,3.08732e-06,1
18,7.4092e-06,0.000279647,5.62239e-05,2.98802e-06,1
19,6.90772e-06,0.000276612,5.67301e-05,2.89345e-06,1
20,6.44188e-06,0.000273543,5.72202e-05,2.80336e-06,1
21,6.00908e-06,0.000270447,5.76949e-05,2.71752e-06,1
22,5.60694e-06,0.000267327,5.81549e-05,2.63571e-06,1
23,5.23321e-06,0.000264189,5.8601e-05,2.5577e-06,1
24,4.88586e-06,0.000261039,5.90338e-05,2.48329e-06,1
25,4.56296e-06,0.000257879,5.94539e-05,2.41229e-06,1
26,4.26275e-06,0.000254713,5.98619e-05,2.3445e-06,1
27,3.98359e-06,0.000251547,6.02584e-05,2.27976e-06,1
28,3.72396e-06,0.000248382,6.06438e-05,2.21789e-06,1
29,3.48246e-06,0.000245221,6.10188e-05,2.15874e-06,1
