"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,5.24268e-05,0.000296403,0.00154415,7.36219e-05,0
238,4.89419e-05,0.00028682,0.00155908,7.2995e-05,0
239,4.56911e-05,0.000277525,0.00157386,7.23417e-05,0
240,4.26659e-05,0.000268516,0.00158849,7.16646e-05,0
241,3.98472e-05,0.000259789,0.00160296,7.09657e-05,0
242,3.72217e-05,0.000251342,0.00161727,7.02472e-05,0
243,3.47776e-05,0.000243169,0.0016314,6.9511e-05,0
244,3.25035e-05,0.000235266,0.00164537,6.87592e-05,0
245,3.03898e-05,0.000227627,0.00165915,6.79934e-05,0
246,2.84261e-05,0.000220247,0.00167276,6.72154e-05,0
247,2.66049e-05,0.000213121,0.00168619,6.64267e-05,0
248,2.49225e-05,0.000206243,0.00169944,6.56289e-05,0
249,2.337e-05,0.000199607,0.0017125,6.48235e-05,0
250,2.19424e-05,0.000193207,0.00172538,6.40117e-05,0
251,2.06358e-05,0.000187037,0.00173807,6.3195e-05,0
252,1.94476e-05,0.000181093,0.00175058,6.23744e-05,0
253,1.83768e-05,0.000175368,0.0017629,6.15513e-05,0
254,1.74238e-05,0.000169857,0.00177503,6.07266e-05,0
255,1.65911e-05,0.000164557,0.00178698,5.99015e-05,0
256,1.58831e-05,0.000159462,0.00179874,5.90769e-05,0
257,1.53068e-05,0.00015457,0.00181031,5.82538e-05,0
258,1.48724e-05,0.000149876,0.00182171,5.74331e-05,0
259,1.42207e-05,0.00014538,0.00183292,5.66159e-05,0
260,1.35919e-05,0.000141056,0.00184394,5.58022e-05,0
261,1.30003e-05,0.000136895,0.00185479,5.49927e-05,0
262,1.24442e-05,0.000132891,0.00186546,5.41879e-05,0
263,1.19219e-05,0.000129037,0.00187595,5.33883e-05,0
264,1.14321e-05,0.000125326,0.00188627,5.25944e-05,0
265,1.09736e-05,0.000121754,0.00189642,5.18065e-05,0
266,1.05377e-05,0.000118315,0.00190639,5.10252e-05,0
267,1.01285e-05,0.000115002,0.00191619,5.02506e-05,0
268,9.7451e-06,0.000111811,0.00192583,4.94831e-05,0
269,9.38643e-06,0.000108737,0.0019353,4.8723e-05,0
270,9.05172e-06,0.000105774,0.00194461,4.79705e-05,0
271,8.74024e-06,0.000102919,0.00195376,4.72259e-05,0
272,8.45147e-06,0.000100167,0.00196274,4.64894e-05,0
273,8.18487e-06,9.75148e-05,0.00197158,4.57611e-05,0
274,7.93179e-06,9.49577e-05,0.00198026,4.50413e-05,0
275,7.69796e-06,9.24917e-05,0.00198878,4.433e-05,0
276,7.4828e-06,9.01135e-05,0.00199716,4.36275e-05,0
277,7.28634e-06,8.78196e-05,0.00200539,4.29337e-05,0
278,7.10845e-06,8.56069e-05,0.00201347,4.22487e-05,0
279,6.94704e-06,8.34724e-05,0.00202142,4.15728e-05,0
280,6.80376e-06,8.14133e-05,0.00202922,4.09058e-05,0
281,6.67871e-06,7.94268e-05,0.00203688,4.02479e-05,0
282,6.53877e-06,7.75104e-05,0.00204441,3.95991e-05,0
283,6.33146e-06,7.56596e-05,0.0020518,3.89595e-05,0
284,6.12797e-06,7.38667e-05,0.00205907,3.83287e-05,0
285,5.92861e-06,7.2129e-05,0.0020662,3.77069e-05,0
286,5.73362e-06,7.0444e-05,0.00207321,3.70939e-05,0
287,5.54324e-06,6.88096e-05,0.00208009,3.64898e-05,0
288,5.35766e-06,6.72235e-05,0.00208685,3.58944e-05,0
289,5.17702e-06,6.56839e-05,0.00209349,3.53077e-05,0
290,5.00013e-06,6.41887e-05,0.00210001,3.47296e-05,0
291,4.82798e-06,6.27363e-05,0.00210642,3.41602e-05,0
292,4.66059e-06,6.13248e-05,0.00211271,3.35992e-05,0
293,4.49798e-06,5.99527e-05,0.00211889,3.30467e-05,0
294,4.34015e-06,5.86185e-05,0.00212496,3.25025e-05,0
295,4.18873e-06,5.73208e-05,0.00213092,3.19665e-05,0
296,4.04255e-06,5.60584e-05,0.00213677,3.14388e-05,0
297,3.90166e-06,5.483e-05,0.00214252,3.09191e-05,0
298,3.76606e-06,5.36345e-05,0.00214817,3.04075e-05,0
299,3.63578e-06,5.24707e-05,0.00215371,2.99037e-05,0
300,3.51086e-06,5.13376e-05,0.00215916,2.94078e-05,0
301,3.39138e-06,5.02342e-05,0.00216451,2.89197e-05,0
302,3.27742e-06,4.91597e-05,0.00216976,2.84392e-05,0
303,3.1691e-06,4.8113e-05,0.00217492,2.79663e-05,0
304,3.06661e-06,4.70935e-05,0.00217999,2.75009e-05,0
305,2.97012e-06,4.61003e-05,0.00218497,2.70428e-05,0
306,2.87988e-06,4.51327e-05,0.00218986,2.65921e-05,0
307,2.79621e-06,4.419e-05,0.00219466,2.61485e-05,0
308,2.71951e-06,4.32717e-05,0.00219938,2.57121e-05,0
309,2.65363e-06,4.23773e-05,0.00220401,2.52827e-05,0
310,2.59695e-06,4.15063e-05,0.00220856,2.48603e-05,0
311,2.52565e-06,4.06585e-05,0.00221303,2.44448e-05,0
312,2.45992e-06,3.9832e-05,0.00221742,2.4036e-05,0
313,2.39873e-06,3.90262e-05,0.00222173,2.3634e-05,0
314,2.34258e-06,3.82406e-05,0.00222596,2.32384e-05,0
315,2.29212e-06,3.74748e-05,0.00223012,2.28494e-05,0
316,2.24809e-06,3.67284e-05,0.00223421,2.24668e-05,0
317,2.21142e-06,3.60009e-05,0.00223822,2.20906e-05,0
318,2.18322e-06,3.52923e-05,0.00224216,2.17205e-05,0
319,2.16483e-06,3.46022e-05,0.00224604,2.13567e-05,0
320,2.1579e-06,3.39306e-05,0.00224984,2.0999e-05,0
321,2.16617e-06,3.32775e-05,0.00225358,2.06473e-05,0
322,2.17463e-06,3.26433e-05,0.00225725,2.03015e-05,0
323,2.14872e-06,3.20271e-05,0.00226085,1.99617e-05,0
324,2.12234e-06,3.1426e-05,0.00226439,1.96276e-05,0
325,2.09589e-06,3.08393e-05,0.00226787,1.92992e-05,0
326,2.0731e-06,3.02666e-05,0.00227129,1.89764e-05,0
327,2.05146e-06,2.97076e-05,0.00227465,1.8659e-05,0
328,2.03168e-06,2.91619e-05,0.00227795,1.83471e-05,0
329,2.01406e-06,2.86291e-05,0.00228119,1.80404e-05,0
330,1.99919e-06,2.81089e-05,0.00228438,1.7739e-05,0
331,1.9877e-06,2.76011e-05,0.0022875,1.74428e-05,0
332,1.98035e-06,2.71054e-05,0.00229058,1.71516e-05,0
333,1.97798e-06,2.66218e-05,0.0022936,1.68655e-05,0
334,1.98161e-06,2.61501e-05,0.00229657,1.65843e-05,0
335,1.96892e-06,2.56904e-05,0.00229948,1.63079e-05,0
336,1.95657e-06,2.5241e-05,0.00230235,1.60363e-05,0
337,1.9424e-06,2.48017e-05,0.00230517,1.57694e-05,0
338,1.92846e-06,2.43721e-05,0.00230793,1.55071e-05,0
339,1.91507e-06,2.39518e-05,0.00231065,1.52493e-05,0
340,1.90254e-06,2.35407e-05,0.00231332,1.4996e-05,0
341,1.89117e-06,2.31384e-05,0.00231595,1.4747e-05,0
342,1.88129e-06,2.27448e-05,0.00231853,1.45023e-05,0
343,1.87321e-06,2.23598e-05,0.00232107,1.42619e-05,0
344,1.86728e-06,2.19831e-05,0.00232356,1.40256e-05,0
345,2.26045e-06,2.16147e-05,0.00232601,1.37934e-05,0
346,2.83837e-06,2.12809e-05,0.00232841,1.3566e-05,0
347,3.46522e-06,2.09924e-05,0.00233078,1.33438e-05,0
348,4.17433e-06,2.07499e-05,0.00233311,1.31268e-05,0
349,4.97685e-06,2.05567e-05,0.00233539,1.29153e-05,0
350,5.88539e-06,2.04164e-05,0.00233764,1.27095e-05,0
351,6.91421e-06,2.03333e-05,0.00233985,1.25097e-05,0
352,8.08007e-06,2.03125e-05,0.00234203,1.23163e-05,0
353,9.37798e-06,2.03598e-05,0.00234417,1.21295e-05,0
354,1.08068e-05,2.04805e-05,0.00234628,1.19497e-05,0
355,1.24105e-05,2.06794e-05,0.00234835,1.17773e-05,0
356,1.42018e-05,2.09641e-05,0.0023504,1.16128e-05,0
357,1.61982e-05,2.13426e-05,0.00235241,1.14566e-05,0
358,1.84368e-05,2.18234e-05,0.0023544,1.13093e-05,0
359,2.09462e-05,2.24174e-05,0.00235636,1.11716e-05,0
360,2.37588e-05,2.31366e-05,0.00235829,1.10442e-05,0
361,2.69103e-05,2.39945e-05,0.00236021,1.09279e-05,0
362,3.04409e-05,2.50062e-05,0.0023621,1.08236e-05,0
363,3.41207e-05,2.61888e-05,0.00236397,1.07325e-05,0
364,3.80225e-05,2.75431e-05,0.00236583,1.0655e-05,0
365,4.23423e-05,2.90747e-05,0.00236767,1.05921e-05,0
