"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,1.77533e-09,1.05414e-06,0.000408612,7.71775e-07,1
238,1.71299e-09,1.03615e-06,0.000408742,7.58675e-07,1
239,1.65284e-09,1.01847e-06,0.00040887,7.45797e-07,1
240,1.5948e-09,1.00109e-06,0.000408996,7.33138e-07,1
241,1.53881e-09,9.84014e-07,0.000409119,7.20695e-07,1
242,1.48479e-09,9.67228e-07,0.00040924,7.08462e-07,1
243,1.43267e-09,9.50729e-07,0.00040936,6.96437e-07,1
244,1.38239e-09,9.34514e-07,0.000409477,6.84616e-07,1
245,1.33387e-09,9.18577e-07,0.000409592,6.72996e-07,1
246,1.28705e-09,9.02912e-07,0.000409705,6.61573e-07,1
247,1.24189e-09,8.87517e-07,0.000409817,6.50343e-07,1
248,1.19831e-09,8.72385e-07,0.000409926,6.39305e-07,1
249,1.15626e-09,8.57512e-07,0.000410034,6.28454e-07,1
250,1.1157e-09,8.42894e-07,0.000410139,6.17787e-07,1
251,1.07656e-09,8.28527e-07,0.000410243,6.07301e-07,1
252,1.03879e-09,8.14406e-07,0.000410346,5.96993e-07,1
253,1.00235e-09,8.00526e-07,0.000410446,5.8686e-07,1
254,9.67196e-10,7.86884e-07,0.000410545,5.769e-07,1
255,9.33275e-10,7.73475e-07,0.000410642,5.67108e-07,1
256,9.00546e-10,7.60296e-07,0.000410737,5.57482e-07,1
257,8.68967e-10,7.47343e-07,0.000410831,5.4802e-07,1
258,8.38497e-10,7.34611e-07,0.000410923,5.38719e-07,1
259,8.09098e-10,7.22097e-07,0.000411014,5.29575e-07,1
260,7.80732e-10,7.09797e-07,0.000411103,5.20587e-07,1
261,7.53363e-10,6.97707e-07,0.000411191,5.11751e-07,1
262,7.26954e-10,6.85824e-07,0.000411277,5.03065e-07,1
263,7.01474e-10,6.74144e-07,0.000411361,4.94526e-07,1
264,6.76888e-10,6.62664e-07,0.000411445,4.86133e-07,1
265,6.53166e-10,6.5138e-07,0.000411526,4.77882e-07,1
266,6.30276e-10,6.40289e-07,0.000411607,4.69771e-07,1
267,6.08191e-10,6.29387e-07,0.000411686,4.61798e-07,1
268,5.86881e-10,6.18672e-07,0.000411763,4.5396e-07,1
269,5.66319e-10,6.08139e-07,0.00041184,4.46255e-07,1
270,5.46479e-10,5.97787e-07,0.000411915,4.38681e-07,1
271,5.27335e-10,5.87611e-07,0.000411989,4.31235e-07,1
272,5.08863e-10,5.77609e-07,0.000412061,4.23916e-07,1
273,4.9104e-10,5.67778e-07,0.000412133,4.16721e-07,1
274,4.73842e-10,5.58115e-07,0.000412203,4.09649e-07,1
275,4.57247e-10,5.48617e-07,0.000412272,4.02696e-07,1
276,4.41235e-10,5.39281e-07,0.000412339,3.95861e-07,1
277,4.25784e-10,5.30104e-07,0.000412406,3.89143e-07,1
278,4.10876e-10,5.21084e-07,0.000412471,3.82538e-07,1
279,3.9649e-10,5.12217e-07,0.000412536,3.76046e-07,1
280,3.8261e-10,5.03502e-07,0.000412599,3.69663e-07,1
281,3.69216e-10,4.94936e-07,0.000412661,3.63389e-07,1
282,3.56291e-10,4.86516e-07,0.000412722,3.57222e-07,1
283,3.4382e-10,4.78239e-07,0.000412782,3.51159e-07,1
284,3.31787e-10,4.70104e-07,0.000412841,3.45199e-07,1
285,3.20175e-10,4.62107e-07,0.000412899,3.3934e-07,1
286,3.0897e-10,4.54247e-07,0.000412956,3.33581e-07,1
287,2.98159e-10,4.46521e-07,0.000413012,3.2792e-07,1
288,2.87726e-10,4.38926e-07,0.000413068,3.22354e-07,1
289,2.77659e-10,4.31461e-07,0.000413122,3.16883e-07,1
290,2.67945e-10,4.24124e-07,0.000413175,3.11505e-07,1
291,2.58571e-10,4.16911e-07,0.000413227,3.06218e-07,1
292,2.49526e-10,4.09821e-07,0.000413279,3.01021e-07,1
293,2.40797e-10,4.02852e-07,0.00041333,2.95912e-07,1
294,2.32375e-10,3.96002e-07,0.000413379,2.9089e-07,1
295,2.24248e-10,3.89269e-07,0.000413428,2.85953e-07,1
296,2.16405e-10,3.8265e-07,0.000413476,2.811e-07,1
297,2.08837e-10,3.76144e-07,0.000413524,2.7633e-07,1
298,2.01534e-10,3.69749e-07,0.00041357,2.7164e-07,1
299,1.94487e-10,3.63463e-07,0.000413616,2.6703e-07,1
300,1.87687e-10,3.57284e-07,0.000413661,2.62498e-07,1
301,1.81125e-10,3.5121e-07,0.000413705,2.58043e-07,1
302,1.74793e-10,3.45239e-07,0.000413748,2.53663e-07,1
303,1.68683e-10,3.39371e-07,0.000413791,2.49358e-07,1
304,1.62786e-10,3.33602e-07,0.000413833,2.45126e-07,1
305,1.57096e-10,3.27931e-07,0.000413874,2.40966e-07,1
306,1.51605e-10,3.22357e-07,0.000413914,2.36877e-07,1
307,1.46307e-10,3.16878e-07,0.000413954,2.32857e-07,1
308,1.41194e-10,3.11492e-07,0.000413993,2.28905e-07,1
309,1.3626e-10,3.06198e-07,0.000414032,2.2502e-07,1
310,1.31498e-10,3.00994e-07,0.00041407,2.21201e-07,1
311,1.26903e-10,2.95879e-07,0.000414107,2.17447e-07,1
312,1.22469e-10,2.90851e-07,0.000414143,2.13757e-07,1
313,1.1819e-10,2.85908e-07,0.000414179,2.10129e-07,1
314,1.14061e-10,2.81049e-07,0.000414215,2.06563e-07,1
315,1.10077e-10,2.76273e-07,0.000414249,2.03057e-07,1
316,1.06231e-10,2.71579e-07,0.000414284,1.99611e-07,1
317,1.02521e-10,2.66964e-07,0.000414317,1.96223e-07,1
318,9.89399e-11,2.62428e-07,0.00041435,1.92893e-07,1
319,9.54843e-11,2.57969e-07,0.000414383,1.8962e-07,1
320,9.21495e-11,2.53585e-07,0.000414414,1.86402e-07,1
321,8.89314e-11,2.49277e-07,0.000414446,1.83238e-07,1
322,8.58258e-11,2.45042e-07,0.000414477,1.80129e-07,1
323,8.28288e-11,2.40878e-07,0.000414507,1.77072e-07,1
324,7.99367e-11,2.36786e-07,0.000414537,1.74067e-07,1
325,7.71456e-11,2.32763e-07,0.000414566,1.71113e-07,1
326,7.44522e-11,2.28809e-07,0.000414595,1.68209e-07,1
327,7.18529e-11,2.24921e-07,0.000414623,1.65354e-07,1
328,6.93445e-11,2.211e-07,0.000414651,1.62548e-07,1
329,6.69238e-11,2.17344e-07,0.000414678,1.59789e-07,1
330,6.45877e-11,2.13652e-07,0.000414705,1.57077e-07,1
331,6.23333e-11,2.10023e-07,0.000414731,1.54412e-07,1
332,6.01576e-11,2.06455e-07,0.000414757,1.51791e-07,1
333,5.8058e-11,2.02948e-07,0.000414783,1.49215e-07,1
334,5.60318e-11,1.99501e-07,0.000414808,1.46683e-07,1
335,5.40764e-11,1.96112e-07,0.000414832,1.44194e-07,1
336,5.21893e-11,1.92781e-07,0.000414857,1.41747e-07,1
337,5.03682e-11,1.89507e-07,0.00041488,1.39341e-07,1
338,4.86107e-11,1.86288e-07,0.000414904,1.36976e-07,1
339,4.69146e-11,1.83124e-07,0.000414927,1.34652e-07,1
340,4.52777e-11,1.80014e-07,0.00041495,1.32367e-07,1
341,4.36981e-11,1.76956e-07,0.000414972,1.3012e-07,1
342,4.21736e-11,1.73951e-07,0.000414994,1.27912e-07,1
343,4.07023e-11,1.70996e-07,0.000415015,1.25741e-07,1
344,3.92825e-11,1.68092e-07,0.000415036,1.23608e-07,1
345,3.79122e-11,1.65238e-07,0.000415057,1.2151e-07,1
346,3.65898e-11,1.62431e-07,0.000415077,1.19448e-07,1
347,3.53136e-11,1.59673e-07,0.000415098,1.17421e-07,1
348,3.4082e-11,1.56961e-07,0.000415117,1.15428e-07,1
349,3.28933e-11,1.54296e-07,0.000415137,1.13469e-07,1
350,3.17462e-11,1.51675e-07,0.000415156,1.11544e-07,1
351,3.06391e-11,1.491e-07,0.000415174,1.09651e-07,1
352,2.95707e-11,1.46568e-07,0.000415193,1.0779e-07,1
353,2.85396e-11,1.44079e-07,0.000415211,1.05961e-07,1
354,2.75445e-11,1.41632e-07,0.000415229,1.04162e-07,1
355,2.65841e-11,1.39227e-07,0.000415246,1.02395e-07,1
356,2.56572e-11,1.36863e-07,0.000415264,1.00657e-07,1
357,2.47627e-11,1.34539e-07,0.00041528,9.89489e-08,1
358,2.38994e-11,1.32254e-07,0.000415297,9.72697e-08,1
359,2.30663e-11,1.30009e-07,0.000415313,9.5619e-08,1
360,2.22622e-11,1.27801e-07,0.00041533,9.39963e-08,1
361,2.14862e-11,1.25631e-07,0.000415345,9.24012e-08,1
362,2.07372e-11,1.23498e-07,0.000415361,9.08331e-08,1
363,2.00144e-11,1.21401e-07,0.000415376,8.92917e-08,1
364,1.93168e-11,1.1934e-07,0.000415391,8.77764e-08,1
365,1.86436e-11,1.17313e-07,0.000415406,8.62868e-08,1
