"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,4.02998e-05,0.000387128,6.18785e-05,8.73883e-06,1
2,3.7774e-05,0.000367865,6.33827e-05,1.01538e-05,1
3,3.49591e-05,0.000349629,6.51374e-05,1.14546e-05,1
4,3.23602e-05,0.000332335,6.71238e-05,1.26472e-05,1
5,2.99573e-05,0.000315936,6.93242e-05,1.37382e-05,1
6,2.77356e-05,0.000300388,7.17215e-05,1.47337e-05,1
7,2.56814e-05,0.000285648,7.42995e-05,1.56397e-05,1
8,2.37819e-05,0.000271676,7.70426e-05,1.64616e-05,1
9,2.20255e-05,0.000258434,7.99364e-05,1.72049e-05,1
10,2.04012e-05,0.000245883,8.29668e-05,1.78744e-05,1
11,1.88991e-05,0.000233988,8.61209e-05,1.84749e-05,1
12,1.751e-05,0.000222716,8.93861e-05,1.90108e-05,1
13,1.62252e-05,0.000212034,9.27509e-05,1.94864e-05,1
14,1.50369e-05,0.000201913,9.62042e-05,1.99056e-05,1
15,1.39378e-05,0.000192322,9.97358e-05,2.02722e-05,1
16,1.2921e-05,0.000183234,0.000103336,2.05898e-05,1
17,1.19804e-05,0.000174623,0.000106996,2.08616e-05,1
18,1.11132e-05,0.000166463,0.000110706,2.10907e-05,1
19,1.03108e-05,0.000158731,0.00011446,2.12803e-05,1
20,9.56818e-06,0.000151404,0.000118249,2.1433e-05,1
21,8.88086e-06,0.000144461,0.000122067,2.15515e-05,1
22,8.24465e-06,0.000137881,0.000125908,2.16382e-05,1
23,7.65572e-06,0.000131645,0.000129764,2.16954e-05,1
24,7.11049e-06,0.000125734,0.000133632,2.17254e-05,1
25,6.60568e-06,0.000120131,0.000137505,2.17301e-05,1
26,6.13825e-06,0.00011482,0.000141379,2.17115e-05,1
27,5.70539e-06,0.000109784,0.000145249,2.16713e-05,1
28,5.30449e-06,0.000105009,0.000149112,2.16113e-05,1
29,4.93316e-06,0.00010048,0.000152964,2.15331e-05,1
30,4.58917e-06,9.6185e-05,0.000156801,2.1438e-05,1
31,4.27047e-06,9.21105e-05,0.00016062,2.13276e-05,1
32,3.97518e-06,8.82448e-05,0.000164418,2.1203e-05,1
33,3.70152e-06,8.45764e-05,0.000168193,2.10656e-05,1
34,3.44789e-06,8.10948e-05,0.000171942,2.09165e-05,1
35,3.21277e-06,7.77898e-05,0.000175663,2.07566e-05,1
36,2.9948e-06,7.46517e-05,0.000179354,2.05871e-05,1
37,2.79268e-06,7.16715e-05,0.000183013,2.04088e-05,1
38,2.60523e-06,6.88406e-05,0.000186638,2.02226e-05,1
39,2.43136e-06,6.6151e-05,0.000190229,2.00294e-05,1
40,2.27006e-06,6.35948e-05,0.000193784,1.98298e-05,1
41,2.12038e-06,6.11649e-05,0.000197301,1.96246e-05,1
42,1.98147e-06,5.88545e-05,0.00020078,1.94145e-05,1
43,1.85251e-06,5.66569e-05,0.00020422,1.92e-05,1
44,1.73278e-06,5.45662e-05,0.00020762,1.89817e-05,1
45,1.62179e-06,5.25766e-05,0.00021098,1.87601e-05,1
46,1.51868e-06,5.06825e-05,0.000214298,1.85358e-05,1
47,1.42287e-06,4.88788e-05,0.000217574,1.83092e-05,1
48,1.33383e-06,4.71606e-05,0.000220809,1.80807e-05,1
49,1.25105e-06,4.55233e-05,0.000224001,1.78507e-05,1
50,1.17357e-06,4.39626e-05,0.000227151,1.76195e-05,1
51,1.11467e-06,4.24743e-05,0.000230258,1.73876e-05,1
52,1.05914e-06,4.10555e-05,0.000233322,1.71553e-05,1
53,1.00676e-06,3.97022e-05,0.000236343,1.69227e-05,1
54,9.57343e-07,3.84109e-05,0.000239322,1.66903e-05,1
55,9.10699e-07,3.71782e-05,0.000242257,1.64582e-05,1
56,8.66657e-07,3.60009e-05,0.000245151,1.62267e-05,1
57,8.25058e-07,3.4876e-05,0.000248001,1.5996e-05,1
58,7.85751e-07,3.38006e-05,0.00025081,1.57662e-05,1
59,7.48595e-07,3.27722e-05,0.000253576,1.55375e-05,1
60,7.13461e-07,3.17882e-05,0.0002563,1.53102e-05,1
61,6.80227e-07,3.08462e-05,0.000258983,1.50843e-05,1
62,6.48777e-07,2.99439e-05,0.000261625,1.486e-05,1
63,6.19006e-07,2.90794e-05,0.000264226,1.46373e-05,1
64,5.90813e-07,2.82506e-05,0.000266786,1.44165e-05,1
65,5.64105e-07,2.74557e-05,0.000269307,1.41975e-05,1
66,5.38794e-07,2.66928e-05,0.000271787,1.39806e-05,1
67,5.148e-07,2.59604e-05,0.000274228,1.37657e-05,1
68,4.92044e-07,2.52569e-05,0.000276631,1.35529e-05,1
69,4.70456e-07,2.45808e-05,0.000278995,1.33424e-05,1
70,4.49969e-07,2.39307e-05,0.00028132,1.3134e-05,1
71,4.30518e-07,2.33053e-05,0.000283608,1.2928e-05,1
72,4.11875e-07,2.27034e-05,0.000285859,1.27244e-05,1
73,4.00082e-07,2.21237e-05,0.000288074,1.25231e-05,1
74,3.88487e-07,2.15657e-05,0.000290252,1.23242e-05,1
75,3.771e-07,2.10282e-05,0.000292394,1.21277e-05,1
76,3.65932e-07,2.05101e-05,0.000294501,1.19338e-05,1
77,3.5499e-07,2.00105e-05,0.000296573,1.17423e-05,1
78,3.4428e-07,1.95284e-05,0.000298611,1.15533e-05,1
79,3.33809e-07,1.90631e-05,0.000300615,1.13668e-05,1
80,3.23579e-07,1.86136e-05,0.000302586,1.11828e-05,1
81,3.13593e-07,1.81793e-05,0.000304524,1.10013e-05,1
82,3.03853e-07,1.77593e-05,0.000306429,1.08223e-05,1
83,2.94358e-07,1.73531e-05,0.000308303,1.06458e-05,1
84,2.8511e-07,1.69599e-05,0.000310145,1.04718e-05,1
85,2.76107e-07,1.65793e-05,0.000311956,1.03003e-05,1
86,2.67218e-07,1.62105e-05,0.000313737,1.01313e-05,1
