"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.000419837,0.000852257,0.00248704,1.46409e-05,0
238,0.00050675,0.000856853,0.0024896,1.57721e-05,0
239,0.000611298,0.00086701,0.00249237,1.72596e-05,0
240,0.000737057,0.000883743,0.00249541,1.91674e-05,0
241,0.000888242,0.000908278,0.00249881,2.15725e-05,0
242,0.00107006,0.000942083,0.00250265,2.45678e-05,0
243,0.00128869,0.000986931,0.00250706,2.82651e-05,0
244,0.00155152,0.00104495,0.00251219,3.27993e-05,0
245,0.00186744,0.00111871,0.00251821,3.83316e-05,0
246,0.00178727,0.00121128,0.00252534,4.50556e-05,0
247,0.00171118,0.00129724,0.00253387,5.0925e-05,0
248,0.00163833,0.00137688,0.00254366,5.60147e-05,0
249,0.00156858,0.00145048,0.00255455,6.03915e-05,0
250,0.00150182,0.00151827,0.00256642,6.41183e-05,0
251,0.00143791,0.00158051,0.00257914,6.72535e-05,0
252,0.00137675,0.00163744,0.00259258,6.98517e-05,0
253,0.00131823,0.00168929,0.00260662,7.19635e-05,0
254,0.00126224,0.00173631,0.00262116,7.3636e-05,0
255,0.00120868,0.00177871,0.0026361,7.49123e-05,0
256,0.00115748,0.00181671,0.00265134,7.58327e-05,0
257,0.00110854,0.00185053,0.0026668,7.64338e-05,0
258,0.00106178,0.00188039,0.0026824,7.67496e-05,0
259,0.00101712,0.00190648,0.00269808,7.68113e-05,0
260,0.000974183,0.001929,0.00271378,7.66474e-05,0
261,0.000933053,0.00194813,0.00272943,7.62825e-05,0
262,0.00089366,0.00196405,0.002745,7.57398e-05,0
263,0.000855932,0.00197693,0.00276044,7.50408e-05,0
264,0.000819799,0.00198693,0.00277571,7.42046e-05,0
265,0.000785198,0.00199422,0.00279078,7.32489e-05,0
266,0.00075204,0.00199895,0.00280563,7.21898e-05,0
267,0.00072028,0.00200127,0.00282022,7.10416e-05,0
268,0.000689861,0.00200133,0.00283454,6.98174e-05,0
269,0.000660728,0.00199925,0.00284858,6.85292e-05,0
270,0.000632826,0.00199517,0.00286231,6.71877e-05,0
271,0.000606105,0.00198922,0.00287573,6.58026e-05,0
272,0.000580531,0.00198151,0.00288884,6.43825e-05,0
273,0.000556049,0.00197218,0.00290161,6.29356e-05,0
274,0.000532611,0.00196132,0.00291406,6.14689e-05,0
275,0.000510167,0.00194904,0.00292618,5.99887e-05,0
276,0.000488665,0.00193545,0.00293796,5.85007e-05,0
277,0.000468081,0.00192064,0.0029494,5.70099e-05,0
278,0.000448381,0.0019047,0.00296052,5.55208e-05,0
279,0.000429515,0.00188773,0.0029713,5.40375e-05,0
280,0.000411462,0.0018698,0.00298176,5.25635e-05,0
281,0.000394194,0.00185099,0.0029919,5.11021e-05,0
282,0.000377681,0.00183139,0.00300172,4.96559e-05,0
283,0.000361897,0.00181107,0.00301123,4.82275e-05,0
284,0.000346818,0.00179009,0.00302043,4.6819e-05,0
285,0.00033242,0.00176852,0.00302934,4.54325e-05,0
