"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000421733,0.00160893,0.00080256,5.17774e-05,0
2,0.000405447,0.00159812,0.000812527,5.0421e-05,0
3,0.000389849,0.00158637,0.000822201,4.90775e-05,0
4,0.000374852,0.00157374,0.000831585,4.77491e-05,0
5,0.000360434,0.0015603,0.000840686,4.64377e-05,0
6,0.000346574,0.00154612,0.000849507,4.51447e-05,0
7,0.000333249,0.00153125,0.000858056,4.38716e-05,0
8,0.000320441,0.00151576,0.000866337,4.26194e-05,0
9,0.000308129,0.00149968,0.000874356,4.13892e-05,0
10,0.000296295,0.00148309,0.00088212,4.01817e-05,0
11,0.000284936,0.00146602,0.000889634,3.89977e-05,0
12,0.000274028,0.00144852,0.000896905,3.78377e-05,0
13,0.000263554,0.00143065,0.00090394,3.67022e-05,0
14,0.0002535,0.00141243,0.000910743,3.55916e-05,0
15,0.000243853,0.00139391,0.000917321,3.45063e-05,0
16,0.000234601,0.00137514,0.000923682,3.34462e-05,0
17,0.00022576,0.00135614,0.00092983,3.24118e-05,0
18,0.000217297,0.00133695,0.000935772,3.1403e-05,0
19,0.000209214,0.00131761,0.000941514,3.042e-05,0
20,0.000201507,0.00129815,0.000947063,2.94629e-05,0
21,0.000194173,0.0012786,0.000952423,2.85316e-05,0
22,0.000187176,0.00125899,0.000957602,2.76263e-05,0
23,0.000180541,0.00123935,0.000962604,2.67467e-05,0
24,0.000174272,0.0012197,0.000967436,2.58929e-05,0
25,0.000168377,0.00120008,0.000972103,2.50649e-05,0
26,0.000162869,0.00118052,0.000976611,2.42628e-05,0
27,0.000157765,0.00116103,0.000980966,2.34866e-05,0
28,0.000153089,0.00114164,0.000985172,2.27367e-05,0
29,0.000148187,0.0011224,0.000989237,2.20133e-05,0
30,0.000143434,0.00110327,0.000993164,2.13136e-05,0
31,0.000138805,0.00108427,0.00099696,2.06365e-05,0
32,0.000134315,0.00106542,0.00100063,1.99813e-05,0
33,0.000129959,0.00104671,0.00100417,1.93471e-05,0
34,0.000125735,0.00102815,0.0010076,1.87332e-05,0
35,0.00012164,0.00100976,0.00101091,1.81388e-05,0
36,0.000117671,0.000991539,0.00101412,1.75632e-05,0
37,0.000113824,0.000973491,0.00101721,1.70058e-05,0
38,0.000110098,0.000955625,0.00102021,1.6466e-05,0
39,0.000106488,0.000937945,0.0010231,1.59432e-05,0
40,0.000102993,0.000920457,0.0010259,1.54369e-05,0
41,9.96084e-05,0.000903164,0.00102861,1.49464e-05,0
42,9.63328e-05,0.000886071,0.00103122,1.44713e-05,0
43,9.31629e-05,0.000869181,0.00103375,1.40111e-05,0
44,9.00963e-05,0.000852499,0.0010362,1.35653e-05,0
45,0.000110452,0.000836026,0.00103857,1.31334e-05,0
46,0.000135148,0.000821243,0.00104085,1.28307e-05,0
47,0.000164926,0.000808398,0.00104309,1.267e-05,0
48,0.000200927,0.000797779,0.00104529,1.26673e-05,0
49,0.000244465,0.000789745,0.0010475,1.28432e-05,0
50,0.000297126,0.000784727,0.00104973,1.32232e-05,0
51,0.000360827,0.000783252,0.00105204,1.38392e-05,0
52,0.000437887,0.000785955,0.00105445,1.47305e-05,0
53,0.000531111,0.000793609,0.00105703,1.59452e-05,0
54,0.000643887,0.000807149,0.00105983,1.75421e-05,0
55,0.000780312,0.000827708,0.00106292,1.95927e-05,0
56,0.000945244,0.000856658,0.00106639,2.21841e-05,0
57,0.00114467,0.000895654,0.00107035,2.54212e-05,0
58,0.00138578,0.0009467,0.00107493,2.94314e-05,0
59,0.00167727,0.00101222,0.00108029,3.43686e-05,0
60,0.00160942,0.00109514,0.00108662,4.04182e-05,0
61,0.00154477,0.00117239,0.00109418,4.57227e-05,0
62,0.0014827,0.00124421,0.00110285,5.03453e-05,0
63,0.0014231,0.00131081,0.00111251,5.43431e-05,0
64,0.00136588,0.00137239,0.00112304,5.77697e-05,0
65,0.00131096,0.00142915,0.00113432,6.0675e-05,0
66,0.00125822,0.00148128,0.00114625,6.31058e-05,0
67,0.0012076,0.00152899,0.00115874,6.51053e-05,0
68,0.001159,0.00157245,0.00117168,6.67138e-05,0
69,0.00111236,0.00161186,0.001185,6.79684e-05,0
70,0.00106758,0.00164739,0.0011986,6.89036e-05,0
71,0.0010246,0.00167922,0.00121242,6.95509e-05,0
72,0.00098333,0.00170753,0.0012264,6.99397e-05,0
73,0.000943713,0.00173247,0.00124046,7.00965e-05,0
74,0.000905683,0.00175422,0.00125456,7.0046e-05,0
75,0.000869235,0.00177293,0.00126865,6.98107e-05,0
76,0.000834279,0.00178875,0.00128268,6.94115e-05,0
77,0.00080076,0.00180184,0.00129662,6.88673e-05,0
78,0.000768646,0.00181235,0.00131044,6.81955e-05,0
79,0.000737881,0.0018204,0.00132409,6.74121e-05,0
80,0.000708425,0.00182615,0.00133757,6.65315e-05,0
81,0.000680239,0.00182972,0.00135084,6.55671e-05,0
82,0.000653291,0.00183124,0.00136389,6.45308e-05,0
83,0.000627552,0.00183085,0.0013767,6.34339e-05,0
