"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,2.79679e-08,4.70095e-06,0.00109007,4.97509e-09,1
238,2.69754e-08,4.56884e-06,0.00109007,4.795e-09,1
239,2.60184e-08,4.44043e-06,0.00109007,4.62153e-09,1
240,2.50955e-08,4.3156e-06,0.00109007,4.45444e-09,1
241,2.42055e-08,4.19427e-06,0.00109008,4.29347e-09,1
242,2.33473e-08,4.07633e-06,0.00109008,4.13841e-09,1
243,2.25197e-08,3.96169e-06,0.00109008,3.98903e-09,1
244,2.17216e-08,3.85025e-06,0.00109008,3.84512e-09,1
245,2.09519e-08,3.74194e-06,0.00109008,3.70647e-09,1
246,2.02096e-08,3.63666e-06,0.00109008,3.57289e-09,1
247,1.94938e-08,3.53432e-06,0.00109008,3.44419e-09,1
248,1.88035e-08,3.43485e-06,0.00109008,3.32018e-09,1
249,1.81377e-08,3.33817e-06,0.00109008,3.2007e-09,1
250,1.74956e-08,3.24419e-06,0.00109008,3.08558e-09,1
251,1.68764e-08,3.15285e-06,0.00109008,2.97465e-09,1
252,1.62792e-08,3.06407e-06,0.00109008,2.86776e-09,1
253,1.57032e-08,2.97778e-06,0.00109008,2.76475e-09,1
254,1.51477e-08,2.8939e-06,0.00109008,2.66549e-09,1
255,1.46119e-08,2.81238e-06,0.00109008,2.56983e-09,1
256,1.40952e-08,2.73314e-06,0.00109008,2.47765e-09,1
257,1.35968e-08,2.65613e-06,0.00109008,2.38881e-09,1
258,1.31161e-08,2.58128e-06,0.00109008,2.3032e-09,1
259,1.26525e-08,2.50852e-06,0.00109009,2.22068e-09,1
260,1.22054e-08,2.43781e-06,0.00109009,2.14116e-09,1
261,1.17741e-08,2.36909e-06,0.00109009,2.06451e-09,1
262,1.13581e-08,2.30229e-06,0.00109009,1.99064e-09,1
263,1.09569e-08,2.23737e-06,0.00109009,1.91943e-09,1
264,1.05699e-08,2.17427e-06,0.00109009,1.8508e-09,1
265,1.01966e-08,2.11294e-06,0.00109009,1.78465e-09,1
266,9.83654e-09,2.05334e-06,0.00109009,1.72089e-09,1
267,9.48925e-09,1.99541e-06,0.00109009,1.65942e-09,1
268,9.15427e-09,1.93911e-06,0.00109009,1.60017e-09,1
269,8.83115e-09,1.88439e-06,0.00109009,1.54306e-09,1
270,8.51948e-09,1.83121e-06,0.00109009,1.488e-09,1
271,8.21885e-09,1.77952e-06,0.00109009,1.43493e-09,1
272,7.92886e-09,1.72929e-06,0.00109009,1.38377e-09,1
273,7.64914e-09,1.68047e-06,0.00109009,1.33444e-09,1
274,7.37932e-09,1.63302e-06,0.00109009,1.28689e-09,1
275,7.11905e-09,1.58691e-06,0.00109009,1.24105e-09,1
