"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000421733,0.00160893,0.00080256,5.17774e-05,1
2,0.000405447,0.00159812,0.000812527,5.0421e-05,1
3,0.000389845,0.00158637,0.000822201,4.90775e-05,1
4,0.000374844,0.00157374,0.000831585,4.77491e-05,1
5,0.00036042,0.0015603,0.000840686,4.64376e-05,1
6,0.000346552,0.00154612,0.000849507,4.51446e-05,1
7,0.000333219,0.00153125,0.000858056,4.38714e-05,1
8,0.000320399,0.00151575,0.000866337,4.26191e-05,1
9,0.000308074,0.00149968,0.000874356,4.13887e-05,1
10,0.000296224,0.00148308,0.00088212,4.01809e-05,1
11,0.000284831,0.001466,0.000889634,3.89966e-05,1
12,0.000273877,0.0014485,0.000896905,3.78361e-05,1
13,0.000263345,0.00143062,0.000903939,3.67e-05,1
14,0.00025322,0.00141239,0.000910741,3.55886e-05,1
15,0.000243485,0.00139385,0.000917319,3.4502e-05,1
16,0.000234127,0.00137505,0.000923679,3.34405e-05,1
17,0.000225128,0.00135602,0.000929826,3.2404e-05,1
18,0.000216477,0.0013368,0.000935767,3.13927e-05,1
19,0.000208159,0.00131741,0.000941507,3.04063e-05,1
20,0.000200161,0.00129788,0.000947052,2.94449e-05,1
21,0.000192473,0.00127825,0.000952409,2.85082e-05,1
22,0.000185081,0.00125854,0.000957583,2.7596e-05,1
23,0.000177974,0.00123878,0.00096258,2.6708e-05,1
24,0.000171142,0.00121898,0.000967404,2.58441e-05,1
25,0.000164574,0.00119918,0.000972062,2.50038e-05,1
26,0.000158259,0.00117938,0.000976558,2.41869e-05,1
27,0.000152189,0.00115962,0.000980898,2.3393e-05,1
28,0.000146352,0.00113991,0.000985087,2.26217e-05,1
29,0.000140742,0.00112027,0.00098913,2.18725e-05,1
30,0.000135348,0.00110071,0.000993031,2.11452e-05,1
31,0.000130162,0.00108124,0.000996795,2.04393e-05,1
32,0.000125177,0.00106189,0.00100043,1.97542e-05,1
33,0.000120384,0.00104267,0.00100393,1.90898e-05,1
34,0.000115777,0.00102358,0.00100731,1.84453e-05,1
35,0.000111348,0.00100464,0.00101057,1.78205e-05,1
36,0.000107089,0.000985862,0.00101371,1.72149e-05,1
37,0.000102996,0.000967249,0.00101674,1.6628e-05,1
38,9.90601e-05,0.000948813,0.00101967,1.60594e-05,1
39,9.52767e-05,0.000930562,0.00102249,1.55086e-05,1
40,9.16394e-05,0.000912503,0.00102521,1.49752e-05,1
41,8.81426e-05,0.000894642,0.00102783,1.44588e-05,1
42,8.47809e-05,0.000876986,0.00103036,1.39588e-05,1
43,8.1549e-05,0.000859541,0.0010328,1.34749e-05,1
44,7.72679e-05,0.00084231,0.00103515,1.30066e-05,1
45,7.31359e-05,0.000825224,0.00103741,1.25478e-05,1
46,6.92286e-05,0.00080829,0.00103959,1.20984e-05,1
47,6.55338e-05,0.00079152,0.00104169,1.1659e-05,1
48,6.20394e-05,0.000774923,0.00104372,1.12299e-05,1
49,5.87349e-05,0.000758509,0.00104566,1.08116e-05,1
50,5.56098e-05,0.000742287,0.00104754,1.0404e-05,1
51,5.26533e-05,0.000726264,0.00104933,1.00076e-05,1
52,4.98573e-05,0.000710447,0.00105106,9.62226e-06,1
53,4.7213e-05,0.000694843,0.00105272,9.24814e-06,1
54,4.47121e-05,0.000679456,0.00105432,8.88525e-06,1
55,4.23467e-05,0.000664291,0.00105585,8.53353e-06,1
56,4.01095e-05,0.000649353,0.00105732,8.19293e-06,1
57,3.79934e-05,0.000634645,0.00105872,7.86334e-06,1
58,3.59918e-05,0.00062017,0.00106007,7.54465e-06,1
59,3.40984e-05,0.000605929,0.00106137,7.2367e-06,1
60,3.23074e-05,0.000591926,0.00106261,6.93933e-06,1
61,3.06131e-05,0.000578161,0.0010638,6.65234e-06,1
62,2.90103e-05,0.000564636,0.00106494,6.37554e-06,1
63,2.74939e-05,0.000551351,0.00106603,6.10871e-06,1
64,2.60592e-05,0.000538307,0.00106707,5.85162e-06,1
65,2.47018e-05,0.000525503,0.00106807,5.60406e-06,1
66,2.34175e-05,0.000512938,0.00106903,5.36577e-06,1
67,2.22022e-05,0.000500613,0.00106994,5.13651e-06,1
68,2.10523e-05,0.000488526,0.00107082,4.91605e-06,1
69,1.9964e-05,0.000476676,0.00107165,4.70412e-06,1
70,1.89342e-05,0.000465061,0.00107246,4.50048e-06,1
71,1.79595e-05,0.00045368,0.00107322,4.30488e-06,1
72,1.70342e-05,0.000442532,0.00107395,4.11707e-06,1
73,1.62731e-05,0.000431613,0.00107465,3.93678e-06,1
74,1.55478e-05,0.000420928,0.00107532,3.76435e-06,1
75,1.48564e-05,0.000410476,0.00107596,3.59945e-06,1
76,1.41973e-05,0.000400251,0.00107657,3.44174e-06,1
77,1.3569e-05,0.000390252,0.00107715,3.29093e-06,1
78,1.29699e-05,0.000380475,0.00107771,3.14672e-06,1
79,1.23986e-05,0.000370915,0.00107825,3.00883e-06,1
80,1.18537e-05,0.000361571,0.00107876,2.87699e-06,1
81,1.13341e-05,0.000352438,0.00107924,2.75093e-06,1
82,1.08384e-05,0.000343513,0.00107971,2.63041e-06,1
83,1.03655e-05,0.000334793,0.00108015,2.5152e-06,1
84,9.91429e-06,0.000326273,0.00108058,2.40505e-06,1
85,9.48378e-06,0.00031795,0.00108099,2.29975e-06,1
86,9.07272e-06,0.000309821,0.00108138,2.19909e-06,1
87,8.68721e-06,0.000301883,0.00108175,2.10287e-06,1
