"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.00030903,0.000804793,0.000241932,1.12737e-05,0
2,0.000296964,0.000792237,0.000243885,1.10998e-05,0
3,0.000332921,0.000779557,0.000245808,1.09238e-05,0
4,0.000373125,0.000768883,0.0002477,1.07781e-05,0
5,0.000418092,0.000760338,0.000249566,1.06644e-05,0
6,0.000468387,0.000754063,0.000251411,1.05849e-05,0
7,0.000524643,0.00075022,0.000253242,1.05419e-05,0
8,0.000587567,0.000748994,0.000255066,1.05381e-05,0
9,0.000657948,0.000750595,0.000256888,1.05765e-05,0
10,0.000736669,0.000755261,0.000258718,1.06608e-05,0
11,0.000824718,0.000763261,0.000260563,1.07947e-05,0
12,0.000923188,0.000774901,0.000262431,1.09829e-05,0
13,0.00103332,0.000790522,0.000264333,1.12304e-05,0
14,0.00115647,0.000810511,0.00026628,1.1543e-05,0
15,0.00129418,0.000835303,0.000268282,1.1927e-05,0
16,0.00144816,0.000865386,0.000270353,1.23897e-05,0
17,0.00162053,0.000901308,0.000272507,1.29393e-05,0
18,0.0018075,0.000943693,0.00027476,1.35849e-05,0
19,0.00201616,0.000992976,0.000277129,1.43329e-05,0
20,0.00224904,0.00104989,0.000279634,1.51943e-05,0
21,0.00250899,0.00111527,0.000282296,1.61811e-05,0
22,0.00279915,0.00119003,0.000285138,1.7307e-05,0
23,0.00312313,0.0012752,0.000288187,1.85872e-05,0
24,0.00348486,0.00137195,0.000291472,2.00389e-05,0
25,0.0038888,0.00148156,0.000295029,2.16809e-05,0
26,0.00433993,0.00160548,0.000298893,2.35346e-05,0
27,0.00484387,0.00174535,0.000303108,2.56238e-05,0
28,0.00540682,0.00190298,0.000307723,2.79749e-05,0
29,0.00602711,0.0020804,0.000312792,3.06177e-05,0
30,0.00673426,0.00227951,0.000318379,3.35794e-05,0
31,0.00645414,0.00250344,0.000324553,3.69059e-05,0
32,0.00618556,0.00270767,0.000331396,3.99145e-05,0
33,0.00592802,0.00289334,0.000338854,4.26253e-05,0
34,0.00568107,0.00306155,0.000346873,4.50572e-05,0
35,0.00544429,0.00321334,0.000355401,4.72282e-05,0
36,0.00521727,0.00334969,0.000364389,4.91557e-05,0
37,0.0049996,0.00347154,0.000373788,5.08558e-05,0
38,0.0047909,0.00357978,0.000383553,5.2344e-05,0
39,0.00459082,0.00367524,0.00039364,5.3635e-05,0
40,0.004399,0.00375873,0.000404009,5.47425e-05,0
41,0.00421511,0.00383101,0.000414621,5.56796e-05,0
42,0.00403882,0.00389278,0.000425439,5.64584e-05,0
43,0.00386982,0.00394472,0.00043643,5.70907e-05,0
44,0.00370782,0.00398749,0.00044756,5.75872e-05,0
45,0.00355253,0.00402169,0.0004588,5.79581e-05,0
46,0.00340367,0.0040479,0.000470124,5.8213e-05,0
47,0.00326099,0.00406666,0.000481504,5.83609e-05,0
