"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,5.87173e-09,6.96741e-07,0.000321926,9.53369e-09,1
238,5.6363e-09,6.74282e-07,0.000321927,9.22622e-09,1
239,5.41058e-09,6.52545e-07,0.000321929,8.92865e-09,1
240,5.19416e-09,6.31507e-07,0.00032193,8.64064e-09,1
241,4.98664e-09,6.11145e-07,0.000321932,8.36191e-09,1
242,4.78765e-09,5.91438e-07,0.000321933,8.09214e-09,1
243,4.59683e-09,5.72365e-07,0.000321935,7.83105e-09,1
244,4.41383e-09,5.53905e-07,0.000321936,7.57837e-09,1
245,4.23833e-09,5.36039e-07,0.000321937,7.33382e-09,1
246,4.07e-09,5.18748e-07,0.000321938,7.09715e-09,1
247,3.90854e-09,5.02013e-07,0.00032194,6.86809e-09,1
248,3.75367e-09,4.85817e-07,0.000321941,6.64641e-09,1
249,3.60511e-09,4.70142e-07,0.000321942,6.43187e-09,1
250,3.4626e-09,4.54972e-07,0.000321943,6.22424e-09,1
251,3.32587e-09,4.4029e-07,0.000321944,6.02329e-09,1
252,3.1947e-09,4.2608e-07,0.000321945,5.82882e-09,1
253,3.06884e-09,4.12329e-07,0.000321946,5.64062e-09,1
254,2.94807e-09,3.9902e-07,0.000321947,5.45848e-09,1
255,2.8322e-09,3.86139e-07,0.000321948,5.28221e-09,1
256,2.721e-09,3.73674e-07,0.000321949,5.11162e-09,1
257,2.61428e-09,3.6161e-07,0.00032195,4.94652e-09,1
258,2.51187e-09,3.49934e-07,0.00032195,4.78675e-09,1
259,2.41357e-09,3.38635e-07,0.000321951,4.63213e-09,1
260,2.31923e-09,3.277e-07,0.000321952,4.4825e-09,1
261,2.22868e-09,3.17117e-07,0.000321953,4.33769e-09,1
262,2.14175e-09,3.06876e-07,0.000321954,4.19755e-09,1
263,2.05831e-09,2.96964e-07,0.000321954,4.06192e-09,1
264,1.9782e-09,2.87372e-07,0.000321955,3.93068e-09,1
265,1.90129e-09,2.78089e-07,0.000321956,3.80366e-09,1
266,1.82745e-09,2.69106e-07,0.000321956,3.68074e-09,1
267,1.75656e-09,2.60412e-07,0.000321957,3.56179e-09,1
268,1.68848e-09,2.51998e-07,0.000321957,3.44667e-09,1
269,1.62312e-09,2.43856e-07,0.000321958,3.33527e-09,1
270,1.56035e-09,2.35976e-07,0.000321959,3.22747e-09,1
271,1.50007e-09,2.28351e-07,0.000321959,3.12314e-09,1
272,1.44217e-09,2.20972e-07,0.00032196,3.02218e-09,1
273,1.38657e-09,2.1383e-07,0.00032196,2.92448e-09,1
274,1.33317e-09,2.06919e-07,0.000321961,2.82993e-09,1
275,1.28187e-09,2.00231e-07,0.000321961,2.73843e-09,1
276,1.2326e-09,1.93759e-07,0.000321962,2.64989e-09,1
277,1.18527e-09,1.87495e-07,0.000321962,2.5642e-09,1
278,1.1398e-09,1.81434e-07,0.000321962,2.48128e-09,1
279,1.09612e-09,1.75569e-07,0.000321963,2.40104e-09,1
280,1.05415e-09,1.69892e-07,0.000321963,2.32339e-09,1
281,1.01383e-09,1.64399e-07,0.000321964,2.24825e-09,1
282,9.75092e-10,1.59084e-07,0.000321964,2.17553e-09,1
283,9.37866e-10,1.53939e-07,0.000321964,2.10517e-09,1
284,9.02095e-10,1.48961e-07,0.000321965,2.03707e-09,1
285,8.67721e-10,1.44144e-07,0.000321965,1.97118e-09,1
286,8.34688e-10,1.39482e-07,0.000321965,1.90741e-09,1
287,8.02942e-10,1.34971e-07,0.000321966,1.84571e-09,1
288,7.72431e-10,1.30606e-07,0.000321966,1.78599e-09,1
289,7.43106e-10,1.26381e-07,0.000321966,1.72821e-09,1
290,7.1492e-10,1.22293e-07,0.000321967,1.67229e-09,1
291,6.87827e-10,1.18337e-07,0.000321967,1.61818e-09,1
292,6.61784e-10,1.14509e-07,0.000321967,1.56582e-09,1
293,6.36749e-10,1.10805e-07,0.000321967,1.51515e-09,1
294,6.12683e-10,1.0722e-07,0.000321968,1.46612e-09,1
295,5.89546e-10,1.03751e-07,0.000321968,1.41868e-09,1
296,5.67302e-10,1.00394e-07,0.000321968,1.37276e-09,1
297,5.45915e-10,9.71453e-08,0.000321968,1.32834e-09,1
298,5.25352e-10,9.40018e-08,0.000321969,1.28534e-09,1
299,5.0558e-10,9.09599e-08,0.000321969,1.24374e-09,1
300,4.86569e-10,8.80164e-08,0.000321969,1.20348e-09,1
301,4.68287e-10,8.51679e-08,0.000321969,1.16453e-09,1
302,4.50706e-10,8.24116e-08,0.000321969,1.12683e-09,1
303,4.33799e-10,7.97443e-08,0.00032197,1.09035e-09,1
304,4.1754e-10,7.71633e-08,0.00032197,1.05505e-09,1
305,4.01902e-10,7.46657e-08,0.00032197,1.0209e-09,1
306,3.86862e-10,7.22488e-08,0.00032197,9.87845e-10,1
307,3.72396e-10,6.99101e-08,0.00032197,9.55862e-10,1
308,3.58482e-10,6.7647e-08,0.000321971,9.24913e-10,1
309,3.45098e-10,6.54571e-08,0.000321971,8.94965e-10,1
310,3.32223e-10,6.3338e-08,0.000321971,8.65986e-10,1
311,3.19838e-10,6.12875e-08,0.000321971,8.37944e-10,1
312,3.07924e-10,5.93032e-08,0.000321971,8.1081e-10,1
313,2.96461e-10,5.73831e-08,0.000321971,7.84553e-10,1
314,2.85434e-10,5.55251e-08,0.000321971,7.59145e-10,1
315,2.74825e-10,5.37273e-08,0.000321972,7.3456e-10,1
316,2.64617e-10,5.19875e-08,0.000321972,7.1077e-10,1
317,2.54795e-10,5.03041e-08,0.000321972,6.8775e-10,1
318,2.45345e-10,4.86751e-08,0.000321972,6.65475e-10,1
319,2.36251e-10,4.70988e-08,0.000321972,6.4392e-10,1
320,2.27501e-10,4.55735e-08,0.000321972,6.23063e-10,1
321,2.1908e-10,4.40975e-08,0.000321972,6.02881e-10,1
322,2.10977e-10,4.26693e-08,0.000321972,5.83352e-10,1
323,2.03178e-10,4.12873e-08,0.000321972,5.64455e-10,1
324,1.95673e-10,3.99501e-08,0.000321972,5.4617e-10,1
325,1.8845e-10,3.86561e-08,0.000321973,5.28476e-10,1
326,1.81497e-10,3.74039e-08,0.000321973,5.11355e-10,1
327,1.74806e-10,3.61923e-08,0.000321973,4.94789e-10,1
328,1.68366e-10,3.50199e-08,0.000321973,4.78758e-10,1
329,1.62166e-10,3.38855e-08,0.000321973,4.63247e-10,1
330,1.56199e-10,3.27878e-08,0.000321973,4.48237e-10,1
331,1.50455e-10,3.17256e-08,0.000321973,4.33714e-10,1
332,1.44925e-10,3.06977e-08,0.000321973,4.19661e-10,1
333,1.39602e-10,2.97032e-08,0.000321973,4.06062e-10,1
334,1.34477e-10,2.87408e-08,0.000321973,3.92904e-10,1
335,1.29544e-10,2.78096e-08,0.000321973,3.80172e-10,1
336,1.24794e-10,2.69086e-08,0.000321973,3.67853e-10,1
337,1.20221e-10,2.60367e-08,0.000321973,3.55932e-10,1
338,1.15818e-10,2.5193e-08,0.000321974,3.44397e-10,1
339,1.11579e-10,2.43767e-08,0.000321974,3.33236e-10,1
340,1.07497e-10,2.35867e-08,0.000321974,3.22436e-10,1
341,1.03567e-10,2.28224e-08,0.000321974,3.11986e-10,1
342,9.97828e-11,2.20828e-08,0.000321974,3.01874e-10,1
343,9.61386e-11,2.13672e-08,0.000321974,2.9209e-10,1
344,9.26293e-11,2.06747e-08,0.000321974,2.82623e-10,1
345,8.925e-11,2.00047e-08,0.000321974,2.73462e-10,1
346,8.59956e-11,1.93563e-08,0.000321974,2.64598e-10,1
347,8.28616e-11,1.8729e-08,0.000321974,2.56021e-10,1
348,7.98433e-11,1.81219e-08,0.000321974,2.47722e-10,1
349,7.69364e-11,1.75346e-08,0.000321974,2.39692e-10,1
350,7.41368e-11,1.69662e-08,0.000321974,2.31922e-10,1
351,7.14404e-11,1.64163e-08,0.000321974,2.24403e-10,1
352,6.88433e-11,1.58841e-08,0.000321974,2.17129e-10,1
353,6.63419e-11,1.53693e-08,0.000321974,2.10089e-10,1
354,6.39325e-11,1.4871e-08,0.000321974,2.03278e-10,1
355,6.16117e-11,1.4389e-08,0.000321974,1.96688e-10,1
356,5.93762e-11,1.39225e-08,0.000321974,1.90311e-10,1
357,5.72228e-11,1.34712e-08,0.000321974,1.84141e-10,1
358,5.51485e-11,1.30344e-08,0.000321974,1.7817e-10,1
359,5.31503e-11,1.26119e-08,0.000321974,1.72393e-10,1
360,5.12253e-11,1.2203e-08,0.000321974,1.66804e-10,1
361,4.93709e-11,1.18073e-08,0.000321974,1.61395e-10,1
362,4.75843e-11,1.14245e-08,0.000321975,1.56162e-10,1
363,4.58632e-11,1.10541e-08,0.000321975,1.51098e-10,1
364,4.42051e-11,1.06957e-08,0.000321975,1.46198e-10,1
365,4.26075e-11,1.03489e-08,0.000321975,1.41458e-10,1
