"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.00030903,0.000804793,0.000241932,1.12737e-05,1
2,0.000296964,0.000792237,0.000243885,1.10998e-05,1
3,0.000282727,0.000779557,0.000245808,1.09238e-05,1
4,0.000269171,0.00076666,0.0002477,1.07441e-05,1
5,0.000256267,0.000753583,0.00024956,1.05614e-05,1
6,0.000243984,0.000740361,0.000251387,1.03763e-05,1
7,0.000232292,0.000727026,0.000253181,1.01892e-05,1
8,0.000221163,0.000713608,0.000254941,1.00007e-05,1
9,0.000210568,0.000700135,0.000256669,9.81111e-06,1
10,0.000200483,0.000686631,0.000258362,9.62091e-06,1
11,0.000190883,0.000673122,0.000260022,9.43046e-06,1
12,0.000181744,0.000659627,0.000261649,9.2401e-06,1
13,0.000173044,0.000646168,0.000263241,9.05012e-06,1
14,0.000164763,0.000632762,0.000264801,8.86082e-06,1
15,0.000156879,0.000619427,0.000266326,8.67246e-06,1
16,0.000149374,0.000606177,0.000267819,8.48527e-06,1
17,0.000142219,0.000593027,0.000269278,8.29946e-06,1
18,0.000135552,0.000579989,0.000270705,8.11522e-06,1
19,0.000129194,0.000567081,0.0002721,7.93282e-06,1
20,0.000123133,0.000554312,0.000273462,7.75241e-06,1
21,0.000117353,0.000541691,0.000274793,7.57411e-06,1
22,0.000111842,0.000529226,0.000276092,7.39805e-06,1
23,0.000106588,0.000516923,0.000277361,7.22431e-06,1
24,0.000101579,0.000504788,0.000278599,7.05298e-06,1
25,9.68032e-05,0.000492827,0.000279808,6.88416e-06,1
26,9.22503e-05,0.000481045,0.000280987,6.7179e-06,1
27,8.791e-05,0.000469445,0.000282137,6.55427e-06,1
28,8.37723e-05,0.000458031,0.000283258,6.3933e-06,1
29,7.9828e-05,0.000446806,0.000284351,6.23506e-06,1
30,7.60681e-05,0.000435773,0.000285417,6.07956e-06,1
31,7.2484e-05,0.000424933,0.000286456,5.92683e-06,1
32,6.90677e-05,0.000414287,0.000287468,5.77691e-06,1
33,6.58113e-05,0.000403837,0.000288455,5.62979e-06,1
34,6.27075e-05,0.000393584,0.000289415,5.48549e-06,1
35,5.97491e-05,0.000383528,0.000290351,5.34401e-06,1
36,5.69294e-05,0.000373668,0.000291262,5.20535e-06,1
37,5.4242e-05,0.000364005,0.00029215,5.0695e-06,1
38,5.16807e-05,0.000354538,0.000293013,4.93647e-06,1
39,4.92397e-05,0.000345267,0.000293854,4.80622e-06,1
40,4.69133e-05,0.000336189,0.000294673,4.67874e-06,1
41,4.46962e-05,0.000327305,0.000295469,4.55402e-06,1
42,4.25834e-05,0.000318612,0.000296244,4.43204e-06,1
43,4.05699e-05,0.000310109,0.000296998,4.31276e-06,1
44,3.86511e-05,0.000301794,0.000297731,4.19616e-06,1
45,3.68235e-05,0.000293665,0.000298444,4.08221e-06,1
46,3.50819e-05,0.000285721,0.000299138,3.97088e-06,1
47,3.34223e-05,0.000277958,0.000299813,3.86214e-06,1
48,3.18409e-05,0.000270375,0.000300468,3.75595e-06,1
49,3.0334e-05,0.000262969,0.000301106,3.65228e-06,1
50,2.88981e-05,0.000255737,0.000301726,3.55109e-06,1
51,2.75303e-05,0.000248678,0.000302329,3.45234e-06,1
52,2.62271e-05,0.000241789,0.000302914,3.35599e-06,1
53,2.49853e-05,0.000235067,0.000303483,3.26201e-06,1
54,2.38021e-05,0.000228508,0.000304036,3.17035e-06,1
55,2.26748e-05,0.000222111,0.000304574,3.08098e-06,1
56,2.16007e-05,0.000215873,0.000305096,2.99386e-06,1
57,2.05773e-05,0.000209791,0.000305603,2.90893e-06,1
58,1.96022e-05,0.000203862,0.000306096,2.82617e-06,1
59,1.86733e-05,0.000198082,0.000306574,2.74552e-06,1
60,1.77882e-05,0.00019245,0.000307039,2.66696e-06,1
61,1.6945e-05,0.000186963,0.00030749,2.59043e-06,1
62,1.61416e-05,0.000181617,0.000307929,2.5159e-06,1
63,1.53763e-05,0.00017641,0.000308354,2.44332e-06,1
64,1.46472e-05,0.000171339,0.000308768,2.37266e-06,1
65,1.39526e-05,0.000166401,0.000309169,2.30387e-06,1
66,1.32909e-05,0.000161593,0.000309559,2.23691e-06,1
67,1.26605e-05,0.000156912,0.000309937,2.17175e-06,1
68,1.206e-05,0.000152356,0.000310304,2.10833e-06,1
69,1.14879e-05,0.000147923,0.00031066,2.04664e-06,1
70,1.09429e-05,0.000143608,0.000311006,1.98661e-06,1
71,1.04238e-05,0.00013941,0.000311342,1.92822e-06,1
72,9.92914e-06,0.000135326,0.000311667,1.87143e-06,1
73,9.46245e-06,0.000131353,0.000311983,1.8162e-06,1
74,9.01784e-06,0.000127489,0.00031229,1.7625e-06,1
75,8.59427e-06,0.000123731,0.000312588,1.71028e-06,1
76,8.19074e-06,0.000120078,0.000312876,1.65952e-06,1
77,7.8063e-06,0.000116525,0.000313156,1.61018e-06,1
78,7.44003e-06,0.000113071,0.000313428,1.56222e-06,1
79,7.09109e-06,0.000109714,0.000313692,1.51562e-06,1
80,6.75863e-06,0.00010645,0.000313947,1.47032e-06,1
81,6.44188e-06,0.000103279,0.000314195,1.42631e-06,1
82,6.1401e-06,0.000100196,0.000314436,1.38355e-06,1
83,5.85257e-06,9.72011e-05,0.000314669,1.342e-06,1
84,5.57862e-06,9.42908e-05,0.000314896,1.30165e-06,1
85,5.31759e-06,9.14633e-05,0.000315115,1.26244e-06,1
86,5.06889e-06,8.87164e-05,0.000315328,1.22437e-06,1
87,4.83198e-06,8.60481e-05,0.000315534,1.18739e-06,1
88,4.60627e-06,8.34564e-05,0.000315735,1.15147e-06,1
89,4.39121e-06,8.09391e-05,0.000315929,1.1166e-06,1
90,4.1863e-06,7.84944e-05,0.000316117,1.08274e-06,1
91,3.99106e-06,7.61203e-05,0.000316299,1.04986e-06,1
92,3.80503e-06,7.3815e-05,0.000316476,1.01794e-06,1
