"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,1.94963e-08,1.61586e-05,0.00039039,5.86633e-07,1
238,1.87927e-08,1.58778e-05,0.000390489,5.76424e-07,1
239,1.81147e-08,1.56018e-05,0.000390586,5.66391e-07,1
240,1.74615e-08,1.53306e-05,0.000390681,5.56533e-07,1
241,1.6832e-08,1.50641e-05,0.000390775,5.46845e-07,1
242,1.62254e-08,1.48022e-05,0.000390867,5.37326e-07,1
243,1.56408e-08,1.45449e-05,0.000390957,5.27972e-07,1
244,1.50775e-08,1.4292e-05,0.000391046,5.1878e-07,1
245,1.45347e-08,1.40435e-05,0.000391133,5.09748e-07,1
246,1.40116e-08,1.37993e-05,0.000391219,5.00873e-07,1
247,1.35074e-08,1.35593e-05,0.000391303,4.92152e-07,1
248,1.30216e-08,1.33234e-05,0.000391386,4.83582e-07,1
249,1.25534e-08,1.30917e-05,0.000391467,4.75161e-07,1
250,1.21021e-08,1.2864e-05,0.000391547,4.66886e-07,1
251,1.16672e-08,1.26402e-05,0.000391626,4.58756e-07,1
252,1.12481e-08,1.24203e-05,0.000391703,4.50766e-07,1
253,1.08442e-08,1.22042e-05,0.000391779,4.42915e-07,1
254,1.04549e-08,1.19919e-05,0.000391853,4.35201e-07,1
255,1.00796e-08,1.17832e-05,0.000391926,4.2762e-07,1
256,9.71798e-09,1.15781e-05,0.000391998,4.20172e-07,1
257,9.36941e-09,1.13767e-05,0.000392069,4.12852e-07,1
258,9.03345e-09,1.11787e-05,0.000392139,4.0566e-07,1
259,8.70962e-09,1.09841e-05,0.000392207,3.98594e-07,1
260,8.3975e-09,1.07929e-05,0.000392274,3.91649e-07,1
261,8.09665e-09,1.06051e-05,0.00039234,3.84826e-07,1
262,7.80666e-09,1.04205e-05,0.000392404,3.78121e-07,1
263,7.52714e-09,1.0239e-05,0.000392468,3.71533e-07,1
264,7.2577e-09,1.00608e-05,0.00039253,3.6506e-07,1
265,6.99799e-09,9.88564e-06,0.000392592,3.58699e-07,1
266,6.74763e-09,9.71352e-06,0.000392652,3.52448e-07,1
267,6.5063e-09,9.54439e-06,0.000392711,3.46307e-07,1
268,6.27367e-09,9.3782e-06,0.00039277,3.40272e-07,1
269,6.04941e-09,9.21489e-06,0.000392827,3.34342e-07,1
