"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000124531,0.000505011,8.19856e-05,2.5123e-05,1
2,0.000121031,0.000506048,8.65049e-05,2.47505e-05,1
3,0.000117569,0.000506572,9.09528e-05,2.44061e-05,1
4,0.000114204,0.000506638,9.53348e-05,2.40844e-05,1
5,0.000110934,0.000506297,9.96554e-05,2.37815e-05,1
6,0.000107756,0.000505592,0.000103918,2.34941e-05,1
7,0.000104669,0.00050456,0.000108126,2.32192e-05,1
8,0.000101668,0.000503233,0.000112282,2.29548e-05,1
9,9.87528e-05,0.000501639,0.000116388,2.26988e-05,1
10,9.59202e-05,0.000499804,0.000120445,2.24497e-05,1
11,9.31673e-05,0.000497749,0.000124455,2.22062e-05,1
12,9.04925e-05,0.000495494,0.000128419,2.19674e-05,1
13,8.78937e-05,0.000493056,0.000132338,2.17324e-05,1
14,8.53689e-05,0.000490451,0.000136212,2.15004e-05,1
15,8.29158e-05,0.000487691,0.000140043,2.12709e-05,1
16,8.05327e-05,0.000484791,0.000143831,2.10435e-05,1
17,7.82173e-05,0.000481761,0.000147576,2.08178e-05,1
18,7.5968e-05,0.000478611,0.000151278,2.05935e-05,1
19,7.37828e-05,0.000475352,0.000154938,2.03705e-05,1
20,7.16601e-05,0.000471991,0.000158557,2.01486e-05,1
21,6.9598e-05,0.000468537,0.000162134,1.99276e-05,1
22,6.75949e-05,0.000464997,0.00016567,1.97074e-05,1
23,6.56492e-05,0.000461378,0.000169164,1.94881e-05,1
24,6.37592e-05,0.000457686,0.000172618,1.92695e-05,1
25,6.19234e-05,0.000453929,0.000176031,1.90518e-05,1
26,6.01403e-05,0.00045011,0.000179403,1.88347e-05,1
27,5.84083e-05,0.000446236,0.000182735,1.86185e-05,1
28,5.6726e-05,0.000442312,0.000186027,1.8403e-05,1
29,5.5092e-05,0.000438342,0.000189279,1.81884e-05,1
30,5.35051e-05,0.00043433,0.000192491,1.79746e-05,1
31,5.19637e-05,0.000430282,0.000195664,1.77617e-05,1
