"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000678866,0.00179539,0.000763556,4.73353e-05,0
2,0.000668031,0.00178498,0.000772567,4.74689e-05,0
3,0.000657873,0.00177495,0.000781608,4.74855e-05,0
4,0.000647855,0.0017652,0.000790651,4.74067e-05,0
5,0.000637975,0.0017556,0.000799678,4.72461e-05,0
6,0.000628232,0.00174608,0.000808671,4.70159e-05,0
7,0.000618625,0.00173657,0.000817615,4.67263e-05,0
8,0.000609152,0.001727,0.000826498,4.63865e-05,0
9,0.000599812,0.00171733,0.000835308,4.60042e-05,0
10,0.000590604,0.00170752,0.000844037,4.55862e-05,0
11,0.000581553,0.00169755,0.000852678,4.51384e-05,0
12,0.000572645,0.00168739,0.000861225,4.46661e-05,0
13,0.00056388,0.00167702,0.000869672,4.41739e-05,0
14,0.00055526,0.00166644,0.000878016,4.36655e-05,0
15,0.000546787,0.00165564,0.000886254,4.31445e-05,0
16,0.000538462,0.00164462,0.000894382,4.26137e-05,0
17,0.00053029,0.00163337,0.0009024,4.20759e-05,0
18,0.000522271,0.00162189,0.000910306,4.15333e-05,0
19,0.000514411,0.00161021,0.000918099,4.09879e-05,0
20,0.000506717,0.00159831,0.000925779,4.04416e-05,0
21,0.000499196,0.00158621,0.000933347,3.98959e-05,0
22,0.000491844,0.00157392,0.000940802,3.93523e-05,0
23,0.00048468,0.00156145,0.000948145,3.8812e-05,0
24,0.000477715,0.00154882,0.000955378,3.82764e-05,0
25,0.000470967,0.00153602,0.000962501,3.77466e-05,0
26,0.000464449,0.00152309,0.000969516,3.72239e-05,0
27,0.000458187,0.00151004,0.000976425,3.67093e-05,0
28,0.000452206,0.00149687,0.000983229,3.62042e-05,0
29,0.000445912,0.00148361,0.000989932,3.57099e-05,0
30,0.000439658,0.00147026,0.000996534,3.52221e-05,0
31,0.00043345,0.00145685,0.00100304,3.47402e-05,0
32,0.000427288,0.00144337,0.00100944,3.4264e-05,0
33,0.000421175,0.00142983,0.00101576,3.3793e-05,0
34,0.000415113,0.00141625,0.00102197,3.33271e-05,0
35,0.000409105,0.00140263,0.0010281,3.2866e-05,0
36,0.000403151,0.00138898,0.00103413,3.24095e-05,0
37,0.000397254,0.0013753,0.00104007,3.19576e-05,0
38,0.000391414,0.00136159,0.00104592,3.15101e-05,0
39,0.000385634,0.00134788,0.00105169,3.10671e-05,0
40,0.000379914,0.00133415,0.00105736,3.06283e-05,0
41,0.000374255,0.00132043,0.00106295,3.01939e-05,0
42,0.000368658,0.0013067,0.00106845,2.97638e-05,0
43,0.000363124,0.00129298,0.00107387,2.93379e-05,0
44,0.000357653,0.00127927,0.00107921,2.89164e-05,0
45,0.000352248,0.00126558,0.00108446,2.84992e-05,0
46,0.000346905,0.00125191,0.00108963,2.80863e-05,0
47,0.000341627,0.00123826,0.00109473,2.76777e-05,0
48,0.000336414,0.00122464,0.00109974,2.72735e-05,0
49,0.000331266,0.00121106,0.00110467,2.68737e-05,0
50,0.000326184,0.00119751,0.00110953,2.64782e-05,0
51,0.000321169,0.00118401,0.00111431,2.60872e-05,0
52,0.000316221,0.00117054,0.00111901,2.57006e-05,0
53,0.00031134,0.00115713,0.00112364,2.53184e-05,0
54,0.000306527,0.00114377,0.0011282,2.49408e-05,0
55,0.000301784,0.00113046,0.00113268,2.45677e-05,0
56,0.000297111,0.00111721,0.0011371,2.41991e-05,0
57,0.000292507,0.00110402,0.00114144,2.38352e-05,0
58,0.000287975,0.0010909,0.00114571,2.34759e-05,0
59,0.000283517,0.00107784,0.00114992,2.31213e-05,0
60,0.000279099,0.00106486,0.00115405,2.27714e-05,0
61,0.000274744,0.00105194,0.00115812,2.24261e-05,0
62,0.000270451,0.00103911,0.00116213,2.20852e-05,0
63,0.000266221,0.00102635,0.00116607,2.17488e-05,0
64,0.000262054,0.00101368,0.00116995,2.14168e-05,0
65,0.00025795,0.00100108,0.00117376,2.10893e-05,0
66,0.00025391,0.000988574,0.00117752,2.07662e-05,0
67,0.000249936,0.000976153,0.00118121,2.04476e-05,0
68,0.000246027,0.000963822,0.00118484,2.01335e-05,0
69,0.000242187,0.000951582,0.00118842,1.98239e-05,0
70,0.000238418,0.000939435,0.00119193,1.95187e-05,0
71,0.000234721,0.000927383,0.00119539,1.92182e-05,0
72,0.000231042,0.000915428,0.00119879,1.89224e-05,0
73,0.000227416,0.000903572,0.00120214,1.86307e-05,0
74,0.000223841,0.000891815,0.00120544,1.83433e-05,0
75,0.000220328,0.000880159,0.00120868,1.80599e-05,0
76,0.00021687,0.000868605,0.00121187,1.77806e-05,0
77,0.000213467,0.000857154,0.001215,1.75054e-05,0
78,0.000210152,0.000845806,0.00121809,1.72342e-05,0
79,0.000206909,0.000834564,0.00122112,1.69675e-05,0
80,0.000203742,0.000823429,0.00122411,1.67051e-05,0
81,0.000200655,0.000812401,0.00122705,1.64473e-05,0
82,0.000197653,0.000801482,0.00122994,1.61942e-05,0
83,0.000194743,0.000790675,0.00123278,1.5946e-05,0
84,0.000191932,0.000779981,0.00123558,1.57029e-05,0
85,0.00018923,0.000769402,0.00123834,1.54651e-05,0
86,0.000186648,0.000758941,0.00124105,1.5233e-05,0
87,0.000184254,0.0007486,0.00124372,1.50069e-05,0
88,0.000181902,0.000738382,0.00124635,1.47877e-05,0
89,0.000179697,0.000728292,0.00124893,1.4575e-05,0
90,0.00017766,0.000718333,0.00125148,1.43693e-05,0
91,0.000175817,0.000708508,0.00125399,1.41713e-05,0
92,0.000216651,0.000698823,0.00125647,1.39816e-05,0
93,0.000270798,0.000689776,0.00125891,1.41913e-05,0
94,0.000338036,0.000681897,0.00126139,1.48715e-05,0
95,0.000419551,0.000675767,0.00126399,1.60822e-05,0
96,0.000517267,0.000672017,0.00126682,1.78864e-05,0
97,0.000635771,0.000671342,0.00126997,2.03568e-05,0
98,0.000778274,0.000674537,0.00127359,2.35982e-05,0
99,0.00095194,0.00068251,0.00127782,2.77312e-05,0
100,0.00116358,0.000696339,0.00128284,3.29257e-05,0
101,0.00142146,0.000717313,0.00128888,3.93913e-05,0
102,0.0013982,0.000746978,0.00129624,4.73845e-05,0
103,0.00137527,0.000783281,0.00130526,5.41187e-05,0
104,0.00135268,0.000824726,0.00131574,5.9757e-05,0
105,0.00133042,0.000870032,0.00132746,6.44433e-05,0
106,0.00130848,0.000918111,0.00134025,6.8304e-05,0
107,0.00128687,0.000968038,0.00135393,7.145e-05,0
108,0.00126556,0.00101904,0.00136835,7.39781e-05,0
109,0.00124457,0.00107045,0.00138337,7.5973e-05,0
110,0.00122389,0.00112174,0.00139886,7.75082e-05,0
111,0.00120352,0.00117244,0.00141472,7.86479e-05,0
112,0.00118345,0.0012222,0.00143086,7.94477e-05,0
113,0.00116368,0.00127071,0.00144719,7.99558e-05,0
114,0.0011442,0.00131772,0.00146365,8.02142e-05,0
115,0.00112502,0.00136304,0.00148017,8.0259e-05,0
116,0.00110612,0.00140654,0.00149669,8.01216e-05,0
117,0.00108752,0.00144808,0.00151319,7.98291e-05,0
118,0.00106919,0.0014876,0.00152962,7.9405e-05,0
119,0.00105114,0.00152504,0.00154594,7.88694e-05,0
120,0.00103337,0.00156036,0.00156213,7.824e-05,0
121,0.00101587,0.00159356,0.00157817,7.75317e-05,0
