"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,1.01211e-06,1.66074e-05,0.00131716,1.0006e-07,1
238,9.77918e-07,1.61122e-05,0.00131718,9.66819e-08,1
239,9.44881e-07,1.56313e-05,0.0013172,9.34173e-08,1
240,9.12959e-07,1.51643e-05,0.00131721,9.02629e-08,1
241,8.82114e-07,1.47109e-05,0.00131723,8.72148e-08,1
242,8.5231e-07,1.42707e-05,0.00131724,8.42695e-08,1
243,8.23512e-07,1.38432e-05,0.00131726,8.14235e-08,1
244,7.95686e-07,1.34283e-05,0.00131727,7.86736e-08,1
245,7.68799e-07,1.30253e-05,0.00131728,7.60164e-08,1
246,7.4282e-07,1.26342e-05,0.0013173,7.34489e-08,1
247,7.17717e-07,1.22545e-05,0.00131731,7.09679e-08,1
248,6.93462e-07,1.18859e-05,0.00131732,6.85707e-08,1
249,6.70026e-07,1.15281e-05,0.00131733,6.62544e-08,1
250,6.47381e-07,1.11807e-05,0.00131734,6.40162e-08,1
251,6.255e-07,1.08436e-05,0.00131735,6.18535e-08,1
252,6.04359e-07,1.05164e-05,0.00131737,5.97638e-08,1
253,5.83931e-07,1.01988e-05,0.00131738,5.77446e-08,1
254,5.64192e-07,9.89052e-06,0.00131739,5.57936e-08,1
255,5.45121e-07,9.59136e-06,0.00131739,5.39084e-08,1
256,5.26693e-07,9.30102e-06,0.0013174,5.20868e-08,1
257,5.08888e-07,9.01926e-06,0.00131741,5.03268e-08,1
258,4.91684e-07,8.74584e-06,0.00131742,4.86261e-08,1
259,4.75061e-07,8.4805e-06,0.00131743,4.69828e-08,1
260,4.58999e-07,8.22303e-06,0.00131744,4.5395e-08,1
261,4.4348e-07,7.9732e-06,0.00131744,4.38608e-08,1
262,4.28485e-07,7.73078e-06,0.00131745,4.23784e-08,1
263,4.13996e-07,7.49557e-06,0.00131746,4.09461e-08,1
264,3.99997e-07,7.26735e-06,0.00131747,3.95621e-08,1
265,3.86471e-07,7.04593e-06,0.00131747,3.82248e-08,1
266,3.73402e-07,6.83111e-06,0.00131748,3.69327e-08,1
267,3.60774e-07,6.62269e-06,0.00131749,3.56842e-08,1
268,3.48573e-07,6.4205e-06,0.00131749,3.44779e-08,1
269,3.36784e-07,6.22435e-06,0.0013175,3.33123e-08,1
270,3.25393e-07,6.03407e-06,0.0013175,3.2186e-08,1
271,3.14387e-07,5.84948e-06,0.00131751,3.10979e-08,1
272,3.03754e-07,5.67043e-06,0.00131751,3.00464e-08,1
273,2.93479e-07,5.49674e-06,0.00131752,2.90305e-08,1
274,2.83552e-07,5.32827e-06,0.00131752,2.80489e-08,1
275,2.7396e-07,5.16486e-06,0.00131753,2.71004e-08,1
276,2.64692e-07,5.00636e-06,0.00131753,2.6184e-08,1
277,2.55738e-07,4.85263e-06,0.00131754,2.52986e-08,1
278,2.47086e-07,4.70353e-06,0.00131754,2.4443e-08,1
279,2.38726e-07,4.55892e-06,0.00131755,2.36164e-08,1
280,2.30649e-07,4.41868e-06,0.00131755,2.28176e-08,1
281,2.22845e-07,4.28267e-06,0.00131755,2.20459e-08,1
282,2.15305e-07,4.15077e-06,0.00131756,2.13003e-08,1
283,2.0802e-07,4.02285e-06,0.00131756,2.05798e-08,1
284,2.00981e-07,3.89881e-06,0.00131756,1.98837e-08,1
285,1.9418e-07,3.77852e-06,0.00131757,1.92111e-08,1
286,1.87609e-07,3.66188e-06,0.00131757,1.85612e-08,1
287,1.8126e-07,3.54877e-06,0.00131757,1.79333e-08,1
288,1.75126e-07,3.4391e-06,0.00131758,1.73266e-08,1
289,1.69199e-07,3.33276e-06,0.00131758,1.67405e-08,1
290,1.63472e-07,3.22965e-06,0.00131758,1.61741e-08,1
291,1.57939e-07,3.12968e-06,0.00131758,1.56269e-08,1
292,1.52594e-07,3.03274e-06,0.00131759,1.50981e-08,1
293,1.47429e-07,2.93876e-06,0.00131759,1.45873e-08,1
294,1.42438e-07,2.84765e-06,0.00131759,1.40937e-08,1
295,1.37617e-07,2.75931e-06,0.00131759,1.36168e-08,1
296,1.32958e-07,2.67367e-06,0.0013176,1.3156e-08,1
297,1.28457e-07,2.59065e-06,0.0013176,1.27108e-08,1
298,1.24109e-07,2.51016e-06,0.0013176,1.22806e-08,1
299,1.19907e-07,2.43213e-06,0.0013176,1.1865e-08,1
300,1.15847e-07,2.35649e-06,0.00131761,1.14635e-08,1
301,1.11925e-07,2.28317e-06,0.00131761,1.10755e-08,1
302,1.08136e-07,2.21209e-06,0.00131761,1.07006e-08,1
303,1.04474e-07,2.1432e-06,0.00131761,1.03384e-08,1
304,1.00937e-07,2.07641e-06,0.00131761,9.98851e-09,1
305,9.75189e-08,2.01168e-06,0.00131761,9.6504e-09,1
306,9.42167e-08,1.94893e-06,0.00131762,9.32373e-09,1
307,9.10263e-08,1.88811e-06,0.00131762,9.00811e-09,1
308,8.79437e-08,1.82917e-06,0.00131762,8.70316e-09,1
309,8.49655e-08,1.77203e-06,0.00131762,8.40853e-09,1
310,8.2088e-08,1.71666e-06,0.00131762,8.12386e-09,1
311,7.93079e-08,1.66299e-06,0.00131762,7.84882e-09,1
312,7.66218e-08,1.61098e-06,0.00131762,7.58308e-09,1
313,7.40267e-08,1.56057e-06,0.00131763,7.32633e-09,1
314,7.15194e-08,1.51171e-06,0.00131763,7.07826e-09,1
315,6.90969e-08,1.46437e-06,0.00131763,6.83859e-09,1
316,6.67564e-08,1.41849e-06,0.00131763,6.60703e-09,1
317,6.44951e-08,1.37402e-06,0.00131763,6.3833e-09,1
318,6.23103e-08,1.33093e-06,0.00131763,6.16714e-09,1
319,6.01995e-08,1.28918e-06,0.00131763,5.95829e-09,1
320,5.81601e-08,1.24871e-06,0.00131763,5.75651e-09,1
321,5.61898e-08,1.2095e-06,0.00131763,5.56155e-09,1
322,5.42861e-08,1.17151e-06,0.00131764,5.37319e-09,1
323,5.24469e-08,1.13469e-06,0.00131764,5.19121e-09,1
324,5.067e-08,1.09902e-06,0.00131764,5.01538e-09,1
325,4.89532e-08,1.06445e-06,0.00131764,4.84551e-09,1
326,4.72945e-08,1.03096e-06,0.00131764,4.68138e-09,1
327,4.5692e-08,9.98508e-07,0.00131764,4.52281e-09,1
328,4.41437e-08,9.67065e-07,0.00131764,4.3696e-09,1
329,4.26478e-08,9.366e-07,0.00131764,4.22158e-09,1
330,4.12026e-08,9.07083e-07,0.00131764,4.07857e-09,1
331,3.98064e-08,8.78486e-07,0.00131764,3.9404e-09,1
332,3.84574e-08,8.50779e-07,0.00131764,3.80691e-09,1
333,3.7154e-08,8.23936e-07,0.00131764,3.67793e-09,1
334,3.58948e-08,7.9793e-07,0.00131764,3.55332e-09,1
335,3.46783e-08,7.72735e-07,0.00131765,3.43293e-09,1
336,3.35029e-08,7.48326e-07,0.00131765,3.31661e-09,1
337,3.23674e-08,7.2468e-07,0.00131765,3.20424e-09,1
338,3.12703e-08,7.01772e-07,0.00131765,3.09566e-09,1
339,3.02104e-08,6.79581e-07,0.00131765,2.99076e-09,1
340,2.91863e-08,6.58083e-07,0.00131765,2.88942e-09,1
341,2.8197e-08,6.37258e-07,0.00131765,2.7915e-09,1
342,2.72411e-08,6.17085e-07,0.00131765,2.6969e-09,1
343,2.63176e-08,5.97543e-07,0.00131765,2.60551e-09,1
344,2.54254e-08,5.78613e-07,0.00131765,2.5172e-09,1
345,2.45635e-08,5.60277e-07,0.00131765,2.43189e-09,1
346,2.37307e-08,5.42516e-07,0.00131765,2.34947e-09,1
347,2.29261e-08,5.25311e-07,0.00131765,2.26984e-09,1
348,2.21488e-08,5.08647e-07,0.00131765,2.1929e-09,1
349,2.13979e-08,4.92505e-07,0.00131765,2.11857e-09,1
350,2.06723e-08,4.76871e-07,0.00131765,2.04676e-09,1
351,1.99714e-08,4.61728e-07,0.00131765,1.97738e-09,1
352,1.92942e-08,4.47061e-07,0.00131765,1.91035e-09,1
353,1.86399e-08,4.32855e-07,0.00131765,1.84559e-09,1
354,1.80078e-08,4.19095e-07,0.00131765,1.78303e-09,1
355,1.73972e-08,4.05769e-07,0.00131765,1.72258e-09,1
356,1.68072e-08,3.92863e-07,0.00131765,1.66418e-09,1
357,1.62372e-08,3.80363e-07,0.00131765,1.60776e-09,1
358,1.56865e-08,3.68256e-07,0.00131765,1.55325e-09,1
359,1.51545e-08,3.56532e-07,0.00131765,1.50059e-09,1
360,1.46405e-08,3.45177e-07,0.00131766,1.44971e-09,1
361,1.4144e-08,3.3418e-07,0.00131766,1.40055e-09,1
362,1.36642e-08,3.2353e-07,0.00131766,1.35306e-09,1
363,1.32007e-08,3.13217e-07,0.00131766,1.30718e-09,1
364,1.2753e-08,3.03229e-07,0.00131766,1.26285e-09,1
365,1.23204e-08,2.93556e-07,0.00131766,1.22003e-09,1
