"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000678866,0.00179539,0.000763556,4.73353e-05,1
2,0.000668031,0.00178498,0.000772567,4.74689e-05,1
3,0.000657872,0.00177495,0.000781608,4.74855e-05,1
4,0.000647852,0.0017652,0.000790651,4.74067e-05,1
5,0.00063797,0.0017556,0.000799678,4.72461e-05,1
6,0.000628224,0.00174608,0.000808671,4.70158e-05,1
7,0.000618614,0.00173657,0.000817615,4.67262e-05,1
8,0.000609136,0.001727,0.000826498,4.63863e-05,1
9,0.000599791,0.00171733,0.000835308,4.60039e-05,1
10,0.000590577,0.00170752,0.000844037,4.55858e-05,1
11,0.00058149,0.00169755,0.000852678,4.51378e-05,1
12,0.000572531,0.00168739,0.000861225,4.4665e-05,1
13,0.000563698,0.00167702,0.000869672,4.41718e-05,1
14,0.000554989,0.00166643,0.000878015,4.36621e-05,1
15,0.000546404,0.00165563,0.000886252,4.3139e-05,1
16,0.000537941,0.00164459,0.000894379,4.26055e-05,1
17,0.000529598,0.00163333,0.000902395,4.20639e-05,1
18,0.000521375,0.00162184,0.000910299,4.15166e-05,1
19,0.000513269,0.00161012,0.000918088,4.09651e-05,1
20,0.00050528,0.00159819,0.000925764,4.04113e-05,1
21,0.000497406,0.00158605,0.000933325,3.98563e-05,1
22,0.000489645,0.00157371,0.000940772,3.93014e-05,1
23,0.000481997,0.00156117,0.000948105,3.87476e-05,1
24,0.000474459,0.00154845,0.000955325,3.81957e-05,1
25,0.000467032,0.00153555,0.000962431,3.76466e-05,1
26,0.000459712,0.00152249,0.000969426,3.71007e-05,1
27,0.0004525,0.00150928,0.00097631,3.65587e-05,1
28,0.000445393,0.00149592,0.000983084,3.60209e-05,1
29,0.000438391,0.00148243,0.000989749,3.54879e-05,1
30,0.000431491,0.00146882,0.000996306,3.49598e-05,1
31,0.000424694,0.0014551,0.00100276,3.44371e-05,1
32,0.000417996,0.00144128,0.0010091,3.39198e-05,1
33,0.000411398,0.00142737,0.00101535,3.34082e-05,1
34,0.000404898,0.00141338,0.00102149,3.29024e-05,1
35,0.000398494,0.00139932,0.00102753,3.24026e-05,1
36,0.000392186,0.0013852,0.00103347,3.19088e-05,1
37,0.000385971,0.00137103,0.00103931,3.14211e-05,1
38,0.00037985,0.00135682,0.00104505,3.09396e-05,1
39,0.00037382,0.00134257,0.0010507,3.04643e-05,1
40,0.000367881,0.0013283,0.00105626,2.99951e-05,1
41,0.000362031,0.00131402,0.00106173,2.95322e-05,1
42,0.000356269,0.00129972,0.0010671,2.90755e-05,1
43,0.000350594,0.00128543,0.00107238,2.8625e-05,1
44,0.000345005,0.00127114,0.00107758,2.81806e-05,1
45,0.0003395,0.00125686,0.00108269,2.77424e-05,1
46,0.000334079,0.0012426,0.00108771,2.73103e-05,1
47,0.00032874,0.00122837,0.00109266,2.68843e-05,1
48,0.000323482,0.00121417,0.00109751,2.64642e-05,1
49,0.000318304,0.00120001,0.00110229,2.60502e-05,1
50,0.000313205,0.00118589,0.00110699,2.5642e-05,1
51,0.000308184,0.00117182,0.00111161,2.52397e-05,1
52,0.000303239,0.00115781,0.00111615,2.48433e-05,1
53,0.000298371,0.00114385,0.00112061,2.44525e-05,1
54,0.000293577,0.00112996,0.001125,2.40675e-05,1
55,0.000288857,0.00111613,0.00112932,2.36881e-05,1
56,0.000284209,0.00110237,0.00113357,2.33142e-05,1
57,0.000279633,0.00108869,0.00113774,2.29458e-05,1
58,0.000275127,0.00107509,0.00114184,2.25829e-05,1
59,0.000270691,0.00106157,0.00114588,2.22253e-05,1
60,0.000266324,0.00104814,0.00114985,2.18731e-05,1
61,0.000262024,0.00103479,0.00115375,2.15261e-05,1
62,0.000257791,0.00102153,0.00115758,2.11842e-05,1
63,0.000253623,0.00100837,0.00116135,2.08475e-05,1
