"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000669049,0.00291057,0.00137765,7.1477e-05,0
2,0.000653385,0.00291296,0.00139208,6.97631e-05,0
3,0.000638179,0.00291458,0.0014061,6.80981e-05,0
4,0.000623321,0.00291545,0.00141974,6.64803e-05,0
5,0.000608805,0.00291561,0.001433,6.49078e-05,0
6,0.000594624,0.00291508,0.00144589,6.33785e-05,0
7,0.000580771,0.00291388,0.00145844,6.18908e-05,0
8,0.000567238,0.00291204,0.00147065,6.04429e-05,0
9,0.000554019,0.00290958,0.00148254,5.90333e-05,0
10,0.000541109,0.00290652,0.0014941,5.76606e-05,0
11,0.000528501,0.00290289,0.00150536,5.63235e-05,0
12,0.00051619,0.0028987,0.00151633,5.50205e-05,0
13,0.00050417,0.00289398,0.001527,5.37506e-05,0
14,0.000492437,0.00288875,0.0015374,5.25127e-05,0
15,0.000480985,0.00288302,0.00154752,5.13057e-05,0
16,0.000469811,0.00287681,0.00155739,5.01286e-05,0
17,0.00045894,0.00287014,0.001567,4.89805e-05,0
18,0.000448323,0.00286303,0.00157636,4.78607e-05,0
19,0.000437978,0.00285549,0.00158549,4.67684e-05,0
20,0.000427904,0.00284755,0.00159438,4.57029e-05,0
21,0.0004181,0.00283922,0.00160305,4.46633e-05,0
22,0.000408532,0.0028305,0.00161149,4.36492e-05,0
23,0.000399225,0.00282143,0.00161973,4.26599e-05,0
24,0.000390181,0.00281201,0.00162776,4.16946e-05,0
25,0.000381405,0.00280226,0.00163558,4.07531e-05,0
26,0.0003729,0.0027922,0.00164322,3.98348e-05,0
27,0.000364677,0.00278183,0.00165066,3.89395e-05,0
28,0.00035675,0.00277117,0.00165792,3.80668e-05,0
29,0.000348766,0.00276024,0.001665,3.72166e-05,0
30,0.000340961,0.00274905,0.00167191,3.63868e-05,0
31,0.000333309,0.0027376,0.00167865,3.55768e-05,0
32,0.000325824,0.0027259,0.00168522,3.47858e-05,0
33,0.000318503,0.00271398,0.00169164,3.40133e-05,0
34,0.000311341,0.00270183,0.0016979,3.32587e-05,0
35,0.000304337,0.00268946,0.00170401,3.25215e-05,0
36,0.000297487,0.0026769,0.00170997,3.18012e-05,0
37,0.000290789,0.00266414,0.00171579,3.10973e-05,0
38,0.00028424,0.00265119,0.00172148,3.04095e-05,0
39,0.000277838,0.00263808,0.00172702,2.97371e-05,0
40,0.00027158,0.00262479,0.00173244,2.908e-05,0
41,0.000265463,0.00261134,0.00173772,2.84376e-05,0
42,0.000259486,0.00259775,0.00174288,2.78096e-05,0
43,0.000253645,0.00258401,0.00174792,2.71956e-05,0
44,0.00024794,0.00257013,0.00175284,2.65954e-05,0
45,0.00024239,0.00255613,0.00175764,2.60086e-05,0
46,0.000236949,0.00254201,0.00176233,2.5435e-05,0
47,0.00023164,0.00252778,0.00176691,2.48742e-05,0
48,0.000226462,0.00251344,0.00177138,2.4326e-05,0
49,0.000221416,0.002499,0.00177575,2.37901e-05,0
50,0.000216503,0.00248447,0.00178001,2.32662e-05,0
51,0.000211725,0.00246986,0.00178418,2.27543e-05,0
52,0.000207085,0.00245516,0.00178825,2.22541e-05,0
53,0.000202586,0.00244039,0.00179222,2.17655e-05,0
54,0.000198234,0.00242556,0.0017961,2.12885e-05,0
55,0.000194036,0.00241066,0.00179989,2.08228e-05,0
56,0.00019,0.00239572,0.00180359,2.03685e-05,0
57,0.000186111,0.00238072,0.00180721,1.99257e-05,0
58,0.000182402,0.00236569,0.00181075,1.94943e-05,0
59,0.00017889,0.00235062,0.0018142,1.90744e-05,0
60,0.000175189,0.00233553,0.00181758,1.86663e-05,0
61,0.000171555,0.0023204,0.00182088,1.82679e-05,0
62,0.000167987,0.00230526,0.00182411,1.7879e-05,0
63,0.000164486,0.0022901,0.00182726,1.74992e-05,0
64,0.000161051,0.00227492,0.00183035,1.71281e-05,0
65,0.000157684,0.00225973,0.00183336,1.67655e-05,0
66,0.000154384,0.00224454,0.00183631,1.64111e-05,0
67,0.000151151,0.00222934,0.0018392,1.60646e-05,0
68,0.000147987,0.00221414,0.00184202,1.57259e-05,0
69,0.000144893,0.00219894,0.00184478,1.53947e-05,0
70,0.00014187,0.00218375,0.00184748,1.50708e-05,0
71,0.000138921,0.00216856,0.00185011,1.47541e-05,0
72,0.000135993,0.0021534,0.0018527,1.44445e-05,0
73,0.00013312,0.00213824,0.00185522,1.41415e-05,0
74,0.0001303,0.0021231,0.00185769,1.38449e-05,0
75,0.000159102,0.00210799,0.00186011,1.35546e-05,0
76,0.000194067,0.00209347,0.00186247,1.34462e-05,0
77,0.000236514,0.00207972,0.00186482,1.35405e-05,0
78,0.000288051,0.00206691,0.00186718,1.38643e-05,0
79,0.000350618,0.00205526,0.0018696,1.4451e-05,0
80,0.000426586,0.00204504,0.00187213,1.53427e-05,0
81,0.000518826,0.00203656,0.00187481,1.65913e-05,0
82,0.000630821,0.0020302,0.00187773,1.82609e-05,0
83,0.000766795,0.00202641,0.00188096,2.043e-05,0
84,0.000931869,0.00202574,0.00188459,2.31946e-05,0
85,0.00113225,0.00202886,0.00188874,2.66716e-05,0
86,0.00137546,0.00203657,0.00189356,3.10035e-05,0
87,0.00167064,0.00204984,0.00189922,3.63628e-05,0
88,0.00162905,0.00206985,0.00190595,4.29591e-05,0
89,0.00158917,0.00209067,0.00191404,4.88193e-05,0
90,0.00155029,0.00211211,0.00192337,5.40059e-05,0
91,0.0015124,0.00213402,0.00193383,5.85735e-05,0
92,0.00147549,0.00215624,0.00194529,6.25737e-05,0
93,0.00143954,0.00217863,0.00195765,6.60545e-05,0
94,0.00140456,0.00220107,0.00197082,6.90608e-05,0
95,0.00137055,0.00222344,0.00198467,7.16345e-05,0
96,0.00133752,0.00224566,0.00199914,7.38145e-05,0
97,0.00130507,0.00226763,0.00201412,7.5637e-05,0
98,0.00127342,0.00228927,0.00202953,7.71334e-05,0
99,0.00124255,0.00231052,0.0020453,7.83339e-05,0
100,0.00121244,0.0023313,0.00206137,7.92664e-05,0
101,0.00118308,0.00235158,0.00207765,7.99564e-05,0
102,0.00115446,0.0023713,0.00209411,8.04276e-05,0
103,0.00112657,0.00239042,0.00211068,8.07016e-05,0
104,0.00109939,0.00240891,0.00212732,8.07982e-05,0
105,0.00107294,0.00242673,0.00214399,8.07357e-05,0
106,0.00104719,0.00244388,0.00216063,8.0531e-05,0
