"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.000178301,0.00101042,0.00130739,1.05477e-05,0
238,0.00018458,0.00100573,0.00130921,1.07569e-05,0
239,0.000191247,0.00100125,0.00131107,1.09815e-05,0
240,0.000198357,0.000996968,0.00131297,1.12221e-05,0
241,0.000205964,0.000992902,0.00131492,1.14799e-05,0
242,0.000214154,0.000989059,0.00131691,1.17561e-05,0
243,0.000223016,0.00098545,0.00131895,1.20523e-05,0
244,0.000232659,0.000982084,0.00132104,1.23705e-05,0
245,0.000243211,0.000978975,0.00132319,1.27131e-05,0
246,0.000252576,0.000976136,0.00132541,1.30831e-05,0
247,0.000260838,0.000973582,0.00132768,1.3471e-05,0
248,0.00026932,0.000971323,0.00133003,1.38692e-05,0
249,0.00027803,0.000969361,0.00133245,1.42778e-05,0
250,0.000286979,0.0009677,0.00133495,1.46972e-05,0
251,0.000296174,0.000966344,0.00133752,1.51279e-05,0
252,0.000305627,0.000965298,0.00134017,1.55701e-05,0
253,0.000315349,0.000964565,0.0013429,1.60244e-05,0
254,0.000325349,0.00096415,0.00134571,1.64911e-05,0
255,0.000335642,0.000964058,0.00134861,1.69706e-05,0
256,0.000346239,0.000964294,0.0013516,1.74636e-05,0
257,0.000357156,0.000964862,0.00135468,1.79704e-05,0
258,0.000368409,0.000965769,0.00135785,1.84917e-05,0
259,0.000379961,0.00096702,0.00136111,1.90279e-05,0
260,0.000391777,0.000968622,0.00136448,1.95795e-05,0
261,0.000403899,0.000970581,0.00136795,2.01466e-05,0
262,0.000416366,0.000972903,0.00137153,2.07293e-05,0
263,0.000429188,0.000975594,0.00137521,2.13283e-05,0
264,0.000442376,0.000978662,0.00137901,2.19441e-05,0
265,0.000455943,0.000982113,0.00138292,2.25771e-05,0
266,0.000469883,0.000985955,0.00138696,2.3228e-05,0
267,0.000484211,0.000990195,0.00139111,2.38972e-05,0
268,0.000498946,0.000994841,0.0013954,2.45852e-05,0
269,0.000514102,0.000999901,0.00139981,2.52925e-05,0
270,0.00052969,0.00100538,0.00140436,2.60198e-05,0
271,0.000545724,0.0010113,0.00140905,2.67677e-05,0
272,0.000562219,0.00101765,0.00141389,2.75366e-05,0
273,0.000579162,0.00102445,0.00141887,2.83273e-05,0
274,0.000596594,0.00103171,0.00142401,2.91404e-05,0
275,0.000614525,0.00103944,0.00142931,2.99763e-05,0
276,0.000568851,0.00104765,0.00143477,3.08359e-05,0
277,0.000526588,0.00105634,0.00144039,3.13558e-05,0
278,0.000487472,0.00106529,0.00144613,3.15878e-05,0
279,0.000451269,0.00107429,0.0014519,3.15772e-05,0
280,0.000417763,0.00108318,0.00145768,3.13637e-05,0
281,0.000386753,0.00109182,0.00146341,3.09819e-05,0
282,0.000358054,0.0011001,0.00146907,3.04619e-05,0
283,0.000331494,0.00110793,0.00147462,2.983e-05,0
284,0.000306914,0.00111523,0.00148005,2.91089e-05,0
285,0.000284167,0.00112196,0.00148534,2.8318e-05,0
286,0.000263118,0.00112807,0.00149048,2.74744e-05,0
287,0.000243641,0.00113353,0.00149545,2.65925e-05,0
288,0.00022562,0.00113833,0.00150025,2.56846e-05,0
289,0.000208948,0.00114245,0.00150488,2.47614e-05,0
290,0.000193487,0.0011459,0.00150933,2.38316e-05,0
291,0.000179175,0.00114867,0.0015136,2.29027e-05,0
292,0.000165924,0.00115078,0.00151769,2.19808e-05,0
293,0.000153658,0.00115223,0.00152161,2.10712e-05,0
294,0.000142302,0.00115305,0.00152536,2.0178e-05,0
295,0.000131789,0.00115325,0.00152895,1.93046e-05,0
296,0.000122056,0.00115285,0.00153236,1.8454e-05,0
297,0.000113046,0.00115188,0.00153563,1.7628e-05,0
298,0.000104705,0.00115036,0.00153873,1.68284e-05,0
299,9.69837e-05,0.00114831,0.00154169,1.60563e-05,0
300,8.98351e-05,0.00114576,0.00154451,1.53125e-05,0
301,8.32169e-05,0.00114273,0.0015472,1.45975e-05,0
302,7.709e-05,0.00113925,0.00154975,1.39113e-05,0
303,7.14177e-05,0.00113535,0.00155218,1.32541e-05,0
304,7.36558e-05,0.00113104,0.00155449,1.26255e-05,0
305,7.59474e-05,0.00112635,0.00155668,1.20677e-05,0
306,7.8304e-05,0.00112134,0.00155878,1.15742e-05,0
307,8.07283e-05,0.00111606,0.00156079,1.11394e-05,0
308,8.32225e-05,0.00111054,0.00156272,1.07579e-05,0
309,8.57917e-05,0.00110482,0.00156458,1.04253e-05,0
310,8.84454e-05,0.00109894,0.00156638,1.01374e-05,0
311,9.11792e-05,0.00109294,0.00156813,9.89028e-06,0
312,9.39889e-05,0.00108684,0.00156984,9.68072e-06,0
313,9.68852e-05,0.00108067,0.00157151,9.50559e-06,0
314,9.98721e-05,0.00107445,0.00157315,9.36215e-06,0
315,0.000102954,0.00106821,0.00157476,9.24796e-06,0
316,0.000106136,0.00106196,0.00157636,9.16081e-06,0
317,0.000109423,0.00105573,0.00157794,9.09876e-06,0
318,0.000112821,0.00104953,0.0015795,9.06006e-06,0
319,0.000116336,0.00104337,0.00158107,9.04317e-06,0
320,0.000119977,0.00103728,0.00158262,9.04674e-06,0
321,0.000123782,0.00103126,0.00158418,9.06958e-06,0
322,0.000127822,0.00102532,0.00158574,9.11084e-06,0
323,0.000131982,0.00101949,0.00158731,9.17015e-06,0
324,0.000136265,0.00101376,0.00158889,9.24653e-06,0
325,0.000140759,0.00100815,0.00159049,9.33911e-06,0
326,0.000145486,0.00100267,0.0015921,9.44759e-06,0
327,0.000150475,0.000997328,0.00159373,9.57183e-06,0
328,0.000155758,0.000992133,0.00159538,9.71188e-06,0
329,0.000161372,0.000987096,0.00159705,9.86795e-06,0
330,0.000167364,0.000982224,0.00159876,1.00405e-05,0
331,0.000173788,0.000977526,0.00160049,1.023e-05,0
332,0.000180707,0.000973013,0.00160226,1.04376e-05,0
333,0.000188196,0.000968694,0.00160407,1.06643e-05,0
334,0.000196348,0.00096458,0.00160591,1.09115e-05,0
335,0.000205224,0.000960683,0.0016078,1.11813e-05,0
336,0.000214942,0.000957015,0.00160974,1.14755e-05,0
337,0.000223499,0.000953591,0.00161173,1.17968e-05,0
338,0.000230965,0.000950426,0.00161377,1.21361e-05,0
339,0.000238645,0.000947529,0.00161588,1.24855e-05,0
340,0.000246549,0.000944904,0.00161805,1.28453e-05,0
341,0.000254688,0.000942555,0.00162029,1.32159e-05,0
342,0.000263072,0.000940486,0.00162259,1.35975e-05,0
343,0.000271713,0.000938701,0.00162496,1.39907e-05,0
344,0.000280624,0.000937205,0.00162741,1.43959e-05,0
345,0.000289816,0.000936002,0.00162992,1.48134e-05,0
346,0.0002993,0.000935098,0.00163252,1.52437e-05,0
347,0.000309094,0.000934498,0.00163519,1.56874e-05,0
348,0.000319211,0.000934206,0.00163794,1.61449e-05,0
349,0.000329668,0.00093423,0.00164077,1.66169e-05,0
350,0.000340483,0.000934575,0.00164369,1.7104e-05,0
351,0.000351675,0.000935248,0.00164671,1.76068e-05,0
352,0.000363264,0.000936255,0.00164981,1.81259e-05,0
353,0.000375272,0.000937604,0.00165301,1.86622e-05,0
354,0.000387721,0.000939302,0.00165631,1.92165e-05,0
355,0.000400513,0.000941358,0.00165971,1.97896e-05,0
356,0.000413687,0.00094378,0.00166322,2.03816e-05,0
357,0.000427322,0.000946577,0.00166684,2.09931e-05,0
358,0.000441442,0.000949757,0.00167058,2.16249e-05,0
359,0.000456068,0.00095333,0.00167443,2.22777e-05,0
360,0.000471225,0.000957306,0.00167841,2.29526e-05,0
361,0.000486937,0.000961695,0.00168251,2.36504e-05,0
362,0.000503232,0.000966507,0.00168675,2.43722e-05,0
363,0.000520137,0.000971755,0.00169112,2.51191e-05,0
364,0.000537665,0.000977449,0.00169564,2.58922e-05,0
365,0.000555861,0.000983603,0.0017003,2.66925e-05,0
