"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000204208,0.00180558,0.000597271,2.99619e-05,0
2,0.000189418,0.00180478,0.000602728,2.86273e-05,0
3,0.000175522,0.00180308,0.000607923,2.73356e-05,0
4,0.00016265,0.00180052,0.000612868,2.60873e-05,0
5,0.000150726,0.00179714,0.000617572,2.4884e-05,0
6,0.000139681,0.00179298,0.000622044,2.37263e-05,0
7,0.000129449,0.00178808,0.000626296,2.26148e-05,0
8,0.00011997,0.00178249,0.000630336,2.15494e-05,0
9,0.000111189,0.00177623,0.000634175,2.05298e-05,0
10,0.000103055,0.00176935,0.000637823,1.95554e-05,0
11,9.55216e-05,0.00176189,0.000641288,1.86255e-05,0
12,8.85434e-05,0.00175388,0.000644581,1.7739e-05,0
13,8.20799e-05,0.00174536,0.00064771,1.68949e-05,0
14,7.60932e-05,0.00173637,0.000650682,1.60919e-05,0
15,7.05487e-05,0.00172694,0.000653508,1.53287e-05,0
16,6.54139e-05,0.0017171,0.000656194,1.46041e-05,0
17,6.06603e-05,0.00170688,0.000658748,1.39165e-05,0
18,5.62589e-05,0.00169631,0.000661177,1.32645e-05,0
19,5.81472e-05,0.00168542,0.000663489,1.26468e-05,0
20,6.01642e-05,0.00167424,0.000665689,1.20956e-05,0
21,6.22617e-05,0.00166281,0.00066779,1.16055e-05,0
22,6.4423e-05,0.00165119,0.000669803,1.11711e-05,0
23,6.66502e-05,0.0016394,0.000671739,1.07875e-05,0
24,6.89687e-05,0.0016275,0.000673606,1.04503e-05,0
25,7.13865e-05,0.0016155,0.000675413,1.01557e-05,0
26,7.39108e-05,0.00160344,0.000677168,9.90016e-06,0
27,7.65511e-05,0.00159136,0.000678877,9.68071e-06,0
28,7.93228e-05,0.00157926,0.000680548,9.49459e-06,0
29,8.20522e-05,0.00156718,0.000682185,9.33946e-06,0
30,8.47365e-05,0.00155513,0.000683795,9.21217e-06,0
31,8.74976e-05,0.00154314,0.000685383,9.10988e-06,0
32,9.03379e-05,0.00153122,0.000686953,9.03071e-06,0
33,9.32609e-05,0.00151939,0.000688508,8.97296e-06,0
34,9.62694e-05,0.00150766,0.000690054,8.93511e-06,0
35,9.93661e-05,0.00149604,0.000691592,8.91583e-06,0
36,0.000102554,0.00148454,0.000693128,8.91389e-06,0
37,0.000105837,0.00147317,0.000694663,8.92822e-06,0
38,0.000109216,0.00146195,0.0006962,8.95787e-06,0
39,0.000112697,0.00145089,0.000697743,9.00199e-06,0
40,0.000116281,0.00143998,0.000699294,9.05982e-06,0
41,0.000119973,0.00142923,0.000700854,9.1307e-06,0
42,0.000123776,0.00141867,0.000702428,9.21406e-06,0
43,0.000127693,0.00140828,0.000704016,9.3094e-06,0
44,0.000131729,0.00139808,0.00070562,9.41628e-06,0
45,0.00013592,0.00138808,0.000707244,9.53432e-06,0
46,0.000140321,0.00137827,0.000708889,9.6634e-06,0
47,0.000144907,0.00136866,0.000710556,9.80372e-06,0
48,0.000149572,0.00135926,0.000712249,9.95532e-06,0
49,0.000154458,0.00135008,0.000713968,1.01176e-05,0
50,0.000159593,0.00134112,0.000715716,1.02909e-05,0
51,0.000165004,0.00133237,0.000717495,1.04756e-05,0
52,0.000170728,0.00132386,0.000719306,1.06723e-05,0
53,0.000176805,0.00131558,0.000721153,1.08816e-05,0
54,0.000183284,0.00130754,0.000723037,1.11044e-05,0
55,0.000190227,0.00129975,0.00072496,1.13418e-05,0
56,0.000197697,0.00129221,0.000726927,1.15951e-05,0
57,0.000205784,0.00128493,0.000728938,1.18658e-05,0
58,0.000214589,0.00127792,0.000730998,1.21559e-05,0
59,0.000224237,0.00127119,0.00073311,1.24676e-05,0
60,0.000232844,0.00126475,0.000735277,1.28037e-05,0
61,0.000240475,0.00125862,0.000737506,1.31562e-05,0
62,0.000248318,0.00125279,0.000739798,1.35179e-05,0
63,0.000256383,0.00124729,0.000742155,1.38893e-05,0
64,0.000264679,0.0012421,0.000744579,1.42707e-05,0
65,0.000273216,0.00123723,0.000747073,1.46626e-05,0
66,0.000282005,0.00123269,0.000749637,1.50654e-05,0
67,0.000291056,0.00122847,0.000752275,1.54795e-05,0
68,0.000300382,0.00122458,0.000754989,1.59055e-05,0
69,0.000309996,0.00122103,0.00075778,1.63437e-05,0
70,0.000319913,0.00121782,0.000760652,1.67948e-05,0
71,0.00033015,0.00121496,0.000763606,1.72592e-05,0
72,0.00034066,0.00121245,0.000766646,1.77376e-05,0
73,0.000351438,0.00121029,0.000769775,1.82303e-05,0
74,0.00036254,0.00120849,0.000772994,1.87375e-05,0
75,0.00037398,0.00120706,0.000776307,1.92597e-05,0
76,0.000385765,0.001206,0.000779718,1.97974e-05,0
77,0.000397914,0.00120532,0.000783229,2.03512e-05,0
78,0.000410443,0.00120502,0.000786843,2.09216e-05,0
79,0.000423352,0.00120512,0.000790564,2.15094e-05,0
80,0.000436671,0.00120561,0.000794396,2.21149e-05,0
81,0.000450418,0.00120651,0.000798342,2.27391e-05,0
82,0.000464611,0.00120783,0.000802406,2.33824e-05,0
83,0.00047927,0.00120957,0.000806592,2.40458e-05,0
84,0.000494416,0.00121174,0.000810904,2.473e-05,0
85,0.000510071,0.00121435,0.000815347,2.54357e-05,0
86,0.000526261,0.00121741,0.000819925,2.6164e-05,0
87,0.00054301,0.00122093,0.000824643,2.69156e-05,0
88,0.000560251,0.00122493,0.000829507,2.76917e-05,0
89,0.00057803,0.0012294,0.00083452,2.84927e-05,0
90,0.00059641,0.00123437,0.00083969,2.93193e-05,0
91,0.000615418,0.00123984,0.000845021,3.01726e-05,0
92,0.000570548,0.00124582,0.000850519,3.10535e-05,0
93,0.000528618,0.00125234,0.000856191,3.15969e-05,0
94,0.000489828,0.00125915,0.00086197,3.18516e-05,0
95,0.000453909,0.00126606,0.000867799,3.18631e-05,0
96,0.000420676,0.00127289,0.000873631,3.16708e-05,0
97,0.000389932,0.00127951,0.000879424,3.13093e-05,0
98,0.000361496,0.0012858,0.000885146,3.08089e-05,0
99,0.000335197,0.00129169,0.00089077,3.01959e-05,0
100,0.00031088,0.00129708,0.000896272,2.9493e-05,0
101,0.000288401,0.00130193,0.000901637,2.87199e-05,0
102,0.000267626,0.0013062,0.000906851,2.78935e-05,0
103,0.000248432,0.00130986,0.000911904,2.70285e-05,0
104,0.000230706,0.00131288,0.000916789,2.61372e-05,0
105,0.000214342,0.00131526,0.000921502,2.52304e-05,0
106,0.000199244,0.001317,0.000926041,2.4317e-05,0
107,0.000185322,0.00131809,0.000930405,2.34047e-05,0
108,0.000172481,0.00131855,0.000934595,2.24998e-05,0
109,0.000160655,0.00131839,0.000938614,2.16076e-05,0
110,0.000149772,0.00131762,0.000942464,2.07325e-05,0
111,0.000139769,0.00131627,0.00094615,1.9878e-05,0
112,0.000130586,0.00131435,0.000949676,1.90471e-05,0
113,0.000122168,0.00131188,0.000953047,1.82419e-05,0
114,0.000114465,0.0013089,0.000956268,1.74643e-05,0
115,0.000107431,0.00130542,0.000959346,1.67155e-05,0
116,0.000101025,0.00130147,0.000962286,1.59965e-05,0
117,9.43769e-05,0.00129708,0.000965094,1.5308e-05,0
118,8.81627e-05,0.00129228,0.000967776,1.46455e-05,0
119,8.23541e-05,0.00128707,0.000970338,1.40091e-05,0
120,7.69251e-05,0.0012815,0.000972784,1.33984e-05,0
121,8.04855e-05,0.00127557,0.000975119,1.2813e-05,0
122,8.4092e-05,0.00126932,0.000977349,1.23017e-05,0
123,8.773e-05,0.00126279,0.000979487,1.18575e-05,0
124,9.14045e-05,0.00125603,0.000981546,1.14743e-05,0
