"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,8.29769e-10,0.000188058,0.000742711,3.99853e-07,1
238,8.00253e-10,0.000186121,0.000742778,3.95735e-07,1
239,7.71795e-10,0.000184205,0.000742845,3.91659e-07,1
240,7.44357e-10,0.000182308,0.000742911,3.87626e-07,1
241,7.17901e-10,0.000180431,0.000742976,3.83634e-07,1
242,6.92393e-10,0.000178574,0.00074304,3.79683e-07,1
243,6.67798e-10,0.000176735,0.000743104,3.75773e-07,1
244,6.44082e-10,0.000174915,0.000743167,3.71903e-07,1
245,6.21215e-10,0.000173114,0.00074323,3.68073e-07,1
246,5.99165e-10,0.000171332,0.000743292,3.64283e-07,1
247,5.77902e-10,0.000169568,0.000743353,3.60532e-07,1
248,5.574e-10,0.000167822,0.000743414,3.56819e-07,1
249,5.37629e-10,0.000166094,0.000743474,3.53144e-07,1
250,5.18564e-10,0.000164384,0.000743533,3.49508e-07,1
251,5.00179e-10,0.000162691,0.000743592,3.45909e-07,1
252,4.8245e-10,0.000161016,0.00074365,3.42347e-07,1
253,4.65353e-10,0.000159358,0.000743708,3.38821e-07,1
254,4.48865e-10,0.000157717,0.000743765,3.35332e-07,1
255,4.32965e-10,0.000156093,0.000743821,3.31879e-07,1
256,4.17631e-10,0.000154486,0.000743877,3.28462e-07,1
257,4.02843e-10,0.000152896,0.000743932,3.25079e-07,1
258,3.88582e-10,0.000151321,0.000743987,3.21732e-07,1
259,3.74828e-10,0.000149763,0.000744041,3.18419e-07,1
260,3.61564e-10,0.000148221,0.000744094,3.1514e-07,1
261,3.48771e-10,0.000146695,0.000744147,3.11895e-07,1
262,3.36433e-10,0.000145185,0.0007442,3.08684e-07,1
263,3.24534e-10,0.00014369,0.000744252,3.05505e-07,1
264,3.13057e-10,0.00014221,0.000744303,3.02359e-07,1
265,3.01989e-10,0.000140746,0.000744354,2.99246e-07,1
266,2.91313e-10,0.000139297,0.000744404,2.96165e-07,1
267,2.81017e-10,0.000137863,0.000744454,2.93115e-07,1
268,2.71086e-10,0.000136443,0.000744503,2.90097e-07,1
269,2.61507e-10,0.000135038,0.000744552,2.8711e-07,1
270,2.52269e-10,0.000133648,0.0007446,2.84154e-07,1
271,2.43358e-10,0.000132272,0.000744648,2.81228e-07,1
272,2.34763e-10,0.00013091,0.000744695,2.78332e-07,1
273,2.26473e-10,0.000129562,0.000744742,2.75466e-07,1
274,2.18477e-10,0.000128228,0.000744789,2.7263e-07,1
275,2.10764e-10,0.000126908,0.000744834,2.69823e-07,1
276,2.03325e-10,0.000125601,0.00074488,2.67045e-07,1
277,1.96149e-10,0.000124308,0.000744925,2.64295e-07,1
278,1.89227e-10,0.000123028,0.000744969,2.61574e-07,1
279,1.82551e-10,0.000121761,0.000745013,2.58881e-07,1
280,1.76111e-10,0.000120508,0.000745057,2.56215e-07,1
281,1.69899e-10,0.000119267,0.0007451,2.53577e-07,1
282,1.63906e-10,0.000118039,0.000745142,2.50966e-07,1
283,1.58126e-10,0.000116823,0.000745184,2.48382e-07,1
284,1.52551e-10,0.000115621,0.000745226,2.45825e-07,1
285,1.47172e-10,0.00011443,0.000745268,2.43294e-07,1
286,1.41984e-10,0.000113252,0.000745308,2.40789e-07,1
287,1.36979e-10,0.000112086,0.000745349,2.38309e-07,1
288,1.32152e-10,0.000110932,0.000745389,2.35856e-07,1
289,1.27495e-10,0.00010979,0.000745429,2.33427e-07,1
290,1.23002e-10,0.000108659,0.000745468,2.31024e-07,1
291,1.18668e-10,0.00010754,0.000745507,2.28645e-07,1
292,1.14488e-10,0.000106433,0.000745545,2.26291e-07,1
293,1.10455e-10,0.000105337,0.000745583,2.23961e-07,1
294,1.06565e-10,0.000104253,0.000745621,2.21655e-07,1
295,1.02812e-10,0.000103179,0.000745658,2.19373e-07,1
296,9.91912e-11,0.000102117,0.000745695,2.17115e-07,1
297,9.56986e-11,0.000101065,0.000745732,2.14879e-07,1
298,9.23293e-11,0.000100025,0.000745768,2.12667e-07,1
299,8.90789e-11,9.8995e-05,0.000745803,2.10477e-07,1
300,8.59433e-11,9.79757e-05,0.000745839,2.0831e-07,1
301,8.29183e-11,9.69669e-05,0.000745874,2.06165e-07,1
302,8e-11,9.59685e-05,0.000745908,2.04043e-07,1
303,7.71848e-11,9.49804e-05,0.000745943,2.01942e-07,1
304,7.44688e-11,9.40024e-05,0.000745977,1.99863e-07,1
305,7.18486e-11,9.30346e-05,0.00074601,1.97805e-07,1
306,6.93208e-11,9.20766e-05,0.000746044,1.95768e-07,1
307,6.68822e-11,9.11286e-05,0.000746076,1.93753e-07,1
308,6.45296e-11,9.01903e-05,0.000746109,1.91758e-07,1
309,6.22599e-11,8.92617e-05,0.000746141,1.89784e-07,1
310,6.00702e-11,8.83426e-05,0.000746173,1.8783e-07,1
311,5.79577e-11,8.7433e-05,0.000746205,1.85896e-07,1
312,5.59196e-11,8.65328e-05,0.000746236,1.83982e-07,1
313,5.39534e-11,8.56418e-05,0.000746267,1.82088e-07,1
314,5.20565e-11,8.476e-05,0.000746297,1.80213e-07,1
315,5.02263e-11,8.38873e-05,0.000746328,1.78357e-07,1
316,4.84607e-11,8.30236e-05,0.000746358,1.76521e-07,1
317,4.67573e-11,8.21687e-05,0.000746387,1.74704e-07,1
318,4.51138e-11,8.13227e-05,0.000746417,1.72905e-07,1
319,4.35282e-11,8.04854e-05,0.000746446,1.71125e-07,1
320,4.19985e-11,7.96567e-05,0.000746475,1.69363e-07,1
321,4.05226e-11,7.88365e-05,0.000746503,1.67619e-07,1
322,3.90987e-11,7.80248e-05,0.000746531,1.65893e-07,1
323,3.7725e-11,7.72214e-05,0.000746559,1.64185e-07,1
324,3.63995e-11,7.64263e-05,0.000746587,1.62495e-07,1
325,3.51208e-11,7.56394e-05,0.000746614,1.60822e-07,1
326,3.3887e-11,7.48606e-05,0.000746641,1.59166e-07,1
327,3.26967e-11,7.40898e-05,0.000746668,1.57527e-07,1
328,3.15482e-11,7.3327e-05,0.000746694,1.55905e-07,1
329,3.04402e-11,7.2572e-05,0.000746721,1.543e-07,1
330,2.93711e-11,7.18248e-05,0.000746746,1.52712e-07,1
331,2.83397e-11,7.10852e-05,0.000746772,1.51139e-07,1
332,2.73445e-11,7.03533e-05,0.000746798,1.49583e-07,1
333,2.63843e-11,6.96289e-05,0.000746823,1.48043e-07,1
334,2.5458e-11,6.8912e-05,0.000746848,1.46519e-07,1
335,2.45641e-11,6.82025e-05,0.000746872,1.45011e-07,1
336,2.37018e-11,6.75003e-05,0.000746897,1.43518e-07,1
337,2.28697e-11,6.68053e-05,0.000746921,1.4204e-07,1
338,2.20669e-11,6.61174e-05,0.000746945,1.40577e-07,1
339,2.12923e-11,6.54366e-05,0.000746968,1.3913e-07,1
340,2.0545e-11,6.47629e-05,0.000746992,1.37698e-07,1
341,1.98239e-11,6.40961e-05,0.000747015,1.3628e-07,1
342,1.91282e-11,6.34361e-05,0.000747038,1.34877e-07,1
343,1.84569e-11,6.2783e-05,0.00074706,1.33488e-07,1
344,1.78093e-11,6.21365e-05,0.000747083,1.32114e-07,1
345,1.71843e-11,6.14968e-05,0.000747105,1.30754e-07,1
346,1.65814e-11,6.08636e-05,0.000747127,1.29407e-07,1
