"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000204208,0.00180558,0.000597271,2.99619e-05,1
2,0.000189418,0.00180478,0.000602728,2.86273e-05,1
3,0.000175521,0.00180308,0.000607923,2.73356e-05,1
4,0.000162648,0.00180052,0.000612868,2.60873e-05,1
5,0.000150723,0.00179714,0.000617572,2.4884e-05,1
6,0.000139677,0.00179298,0.000622044,2.37263e-05,1
7,0.000129443,0.00178808,0.000626296,2.26148e-05,1
8,0.000119963,0.00178249,0.000630336,2.15493e-05,1
9,0.00011118,0.00177623,0.000634175,2.05297e-05,1
10,0.000103043,0.00176935,0.000637823,1.95553e-05,1
11,9.55052e-05,0.00176189,0.000641288,1.86253e-05,1
12,8.85216e-05,0.00175388,0.000644581,1.77387e-05,1
13,8.20515e-05,0.00174536,0.000647709,1.68945e-05,1
14,7.6057e-05,0.00173637,0.000650682,1.60914e-05,1
15,7.05032e-05,0.00172694,0.000653508,1.53281e-05,1
16,6.53574e-05,0.00171709,0.000656194,1.46032e-05,1
17,6.05897e-05,0.00170687,0.000658747,1.39154e-05,1
18,5.61721e-05,0.0016963,0.000661177,1.32631e-05,1
19,5.17816e-05,0.00168542,0.000663488,1.2645e-05,1
20,4.77351e-05,0.00167423,0.000665687,1.20579e-05,1
21,4.40074e-05,0.00166278,0.000667782,1.15007e-05,1
22,4.05731e-05,0.00165109,0.000669776,1.09725e-05,1
23,3.74092e-05,0.00163917,0.000671676,1.0472e-05,1
24,3.44942e-05,0.00162705,0.000673487,9.99827e-06,1
25,3.18084e-05,0.00161475,0.000675214,9.55004e-06,1
26,2.93339e-05,0.00160229,0.000676862,9.12621e-06,1
27,2.70538e-05,0.00158969,0.000678434,8.72567e-06,1
28,2.49529e-05,0.00157696,0.000679936,8.3473e-06,1
29,2.30169e-05,0.00156413,0.000681371,7.99003e-06,1
30,2.12329e-05,0.0015512,0.000682743,7.6528e-06,1
31,1.95889e-05,0.00153819,0.000684057,7.33456e-06,1
