"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.000226026,0.00524156,0.00109794,2.12011e-05,0
238,0.000209955,0.00519733,0.00110171,2.03053e-05,0
239,0.000195031,0.0051522,0.00110532,1.94366e-05,0
240,0.000181177,0.00510629,0.00110876,1.85954e-05,0
241,0.000168314,0.00505968,0.00111205,1.77818e-05,0
242,0.000156372,0.00501246,0.00111519,1.69958e-05,0
243,0.000145285,0.00496471,0.00111818,1.62371e-05,0
244,0.000134994,0.00491652,0.00112103,1.55056e-05,0
245,0.000125442,0.00486794,0.00112375,1.4801e-05,0
246,0.000116576,0.00481905,0.00112634,1.41229e-05,0
247,0.00010835,0.00476992,0.00112881,1.34708e-05,0
248,0.000118925,0.00472059,0.00113116,1.28441e-05,0
249,0.000130567,0.00467234,0.00113339,1.22746e-05,0
250,0.000143341,0.00462527,0.00113553,1.17607e-05,0
251,0.000157365,0.00457945,0.00113757,1.13008e-05,0
252,0.000172771,0.00453497,0.00113953,1.08939e-05,0
253,0.000189707,0.00449194,0.00114141,1.05391e-05,0
254,0.000208338,0.00445046,0.00114323,1.0236e-05,0
255,0.00022885,0.00441065,0.001145,9.98442e-06,0
256,0.000251452,0.00437263,0.00114673,9.78446e-06,0
257,0.000276382,0.00433654,0.00114842,9.63671e-06,0
258,0.000303907,0.00430254,0.00115008,9.54209e-06,0
259,0.000333394,0.0042708,0.00115173,9.50194e-06,0
260,0.000365255,0.00424145,0.00115337,9.51643e-06,0
261,0.000400095,0.00421463,0.00115501,9.5864e-06,0
262,0.000438191,0.00419054,0.00115666,9.71376e-06,0
263,0.000479847,0.00416938,0.00115834,9.90075e-06,0
264,0.000525396,0.00415139,0.00116005,1.015e-05,0
265,0.000575202,0.00413681,0.0011618,1.04647e-05,0
266,0.00062966,0.00412592,0.00116361,1.08483e-05,0
267,0.000689203,0.004119,0.00116549,1.13048e-05,0
268,0.000754303,0.00411638,0.00116745,1.18387e-05,0
269,0.000825477,0.00411841,0.0011695,1.24551e-05,0
270,0.000903287,0.00412547,0.00117167,1.31597e-05,0
271,0.000988345,0.00413799,0.00117396,1.39588e-05,0
272,0.00108132,0.00415642,0.0011764,1.48594e-05,0
273,0.00118295,0.00418126,0.001179,1.58691e-05,0
274,0.00129401,0.00421306,0.00118178,1.69964e-05,0
275,0.00141538,0.00425241,0.00118478,1.82507e-05,0
276,0.001548,0.00429997,0.001188,1.96424e-05,0
277,0.00169291,0.00435643,0.00119148,2.11825e-05,0
278,0.00185122,0.00442259,0.00119525,2.28835e-05,0
279,0.00202415,0.00449928,0.00119934,2.47588e-05,0
280,0.00221301,0.00458743,0.00120379,2.68232e-05,0
281,0.00241923,0.00468803,0.00120864,2.90926e-05,0
282,0.00264437,0.0048022,0.00121393,3.15844e-05,0
283,0.002453,0.00493111,0.0012197,3.43178e-05,0
284,0.00227548,0.00504663,0.00122603,3.65396e-05,0
285,0.00211079,0.00514964,0.00123279,3.83063e-05,0
286,0.00195802,0.00524097,0.00123992,3.96692e-05,0
287,0.0018163,0.00532141,0.00124733,4.06748e-05,0
288,0.00168483,0.00539169,0.00125495,4.13653e-05,0
289,0.00156287,0.00545248,0.0012627,4.1779e-05,0
290,0.00144974,0.00550445,0.00127055,4.19504e-05,0
291,0.00134479,0.00554819,0.00127843,4.19107e-05,0
292,0.00124743,0.00558427,0.0012863,4.16877e-05,0
293,0.00115712,0.00561322,0.00129412,4.13068e-05,0
294,0.00107334,0.00563555,0.00130187,4.07905e-05,0
295,0.000995632,0.00565172,0.0013095,4.01589e-05,0
296,0.000923554,0.00566216,0.00131701,3.94303e-05,0
297,0.000856702,0.0056673,0.00132437,3.86206e-05,0
298,0.000794697,0.00566752,0.00133156,3.77443e-05,0
299,0.000737191,0.00566318,0.00133858,3.68142e-05,0
300,0.000683858,0.00565462,0.0013454,3.58415e-05,0
301,0.000634399,0.00564216,0.00135203,3.48362e-05,0
302,0.000588535,0.0056261,0.00135846,3.38072e-05,0
303,0.00054601,0.00560671,0.00136468,3.27622e-05,0
304,0.000506585,0.00558426,0.00137069,3.17081e-05,0
305,0.000470038,0.00555898,0.00137649,3.06508e-05,0
306,0.000436167,0.00553113,0.00138208,2.95956e-05,0
307,0.000404782,0.00550089,0.00138747,2.85468e-05,0
308,0.000375709,0.00546849,0.00139265,2.75084e-05,0
309,0.000348787,0.0054341,0.00139763,2.64838e-05,0
310,0.00032387,0.0053979,0.00140241,2.54757e-05,0
311,0.000300713,0.00536006,0.00140699,2.44866e-05,0
312,0.000279225,0.00532073,0.00141139,2.35184e-05,0
313,0.000259287,0.00528005,0.0014156,2.25725e-05,0
314,0.000240788,0.00523815,0.00141964,2.16503e-05,0
315,0.000223623,0.00519515,0.0014235,2.07527e-05,0
316,0.000207697,0.00515117,0.00142719,1.98805e-05,0
317,0.00019292,0.00510631,0.00143071,1.90342e-05,0
318,0.00017921,0.00506068,0.00143408,1.82142e-05,0
319,0.000166489,0.00501437,0.0014373,1.74207e-05,0
320,0.000154688,0.00496747,0.00144037,1.66537e-05,0
321,0.00014374,0.00492005,0.0014433,1.59132e-05,0
322,0.000133584,0.0048722,0.00144609,1.51989e-05,0
323,0.000124163,0.00482397,0.00144875,1.45107e-05,0
324,0.000115423,0.00477545,0.00145129,1.38482e-05,0
325,0.000107317,0.00472669,0.00145371,1.32109e-05,0
326,0.000117786,0.00467774,0.00145601,1.25984e-05,0
327,0.000129124,0.00462987,0.0014582,1.20419e-05,0
328,0.000141484,0.00458316,0.00146029,1.15397e-05,0
329,0.00015496,0.00453767,0.00146229,1.10901e-05,0
330,0.000169653,0.00449349,0.00146421,1.06918e-05,0
331,0.000185674,0.0044507,0.00146606,1.03439e-05,0
332,0.000203145,0.0044094,0.00146785,1.00456e-05,0
333,0.000222197,0.00436969,0.00146959,9.79638e-06,0
334,0.000242973,0.00433168,0.00147128,9.59613e-06,0
335,0.000265631,0.00429548,0.00147293,9.44487e-06,0
336,0.000290341,0.00426121,0.00147456,9.34293e-06,0
337,0.000317284,0.00422901,0.00147617,9.29093e-06,0
338,0.000346662,0.00419903,0.00147778,9.28978e-06,0
339,0.000378697,0.00417141,0.00147938,9.34068e-06,0
340,0.00041363,0.00414634,0.00148099,9.44517e-06,0
341,0.000451719,0.00412399,0.00148262,9.60509e-06,0
342,0.000493249,0.00410458,0.00148427,9.82265e-06,0
343,0.000538529,0.0040883,0.00148597,1.01004e-05,0
344,0.000587895,0.00407541,0.00148771,1.04414e-05,0
345,0.000641713,0.00406617,0.00148952,1.08488e-05,0
346,0.0006988,0.00406084,0.0014914,1.13266e-05,0
347,0.00076089,0.00405964,0.00149336,1.18762e-05,0
348,0.000828417,0.00406287,0.00149542,1.2502e-05,0
349,0.000901852,0.00407088,0.0014976,1.32089e-05,0
350,0.000981705,0.00408404,0.0014999,1.40024e-05,0
351,0.00106853,0.00410275,0.00150234,1.48885e-05,0
352,0.00116293,0.00412744,0.00150495,1.58738e-05,0
353,0.00126553,0.0041586,0.00150774,1.69654e-05,0
354,0.00137705,0.00419673,0.00151072,1.81713e-05,0
355,0.00149826,0.0042424,0.00151393,1.95e-05,0
356,0.00162997,0.00429621,0.00151739,2.09609e-05,0
357,0.00177309,0.00435882,0.00152112,2.25643e-05,0
358,0.00192856,0.00443095,0.00152515,2.43213e-05,0
359,0.00209743,0.00451336,0.00152951,2.62438e-05,0
360,0.00228084,0.0046069,0.00153425,2.8345e-05,0
361,0.00247998,0.00471248,0.00153939,3.06389e-05,0
362,0.00269617,0.00483108,0.00154498,3.3141e-05,0
363,0.00249833,0.00496378,0.00155106,3.58676e-05,0
364,0.00231682,0.0050826,0.0015577,3.80714e-05,0
365,0.0021487,0.00518858,0.00156478,3.98138e-05,0
