"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,4.36952e-05,0.000562796,6.87135e-05,5.88972e-06,0
2,4.09643e-05,0.00056092,6.97193e-05,5.61133e-06,0
3,4.53612e-05,0.000558765,7.06769e-05,5.34498e-06,0
4,5.03581e-05,0.000556818,7.15883e-05,5.10257e-06,0
5,5.591e-05,0.000555129,7.24579e-05,4.88369e-06,0
6,6.20842e-05,0.000553741,7.32896e-05,4.6879e-06,0
7,6.89568e-05,0.000552702,7.40875e-05,4.5149e-06,0
8,7.6614e-05,0.000552065,7.48557e-05,4.36453e-06,0
9,8.51535e-05,0.000551886,7.55979e-05,4.23681e-06,0
10,9.46861e-05,0.00055223,7.63182e-05,4.13193e-06,0
11,0.000105338,0.000553166,7.70204e-05,4.05027e-06,0
12,0.000117253,0.000554772,7.77086e-05,3.9924e-06,0
13,0.000130593,0.000557134,7.83868e-05,3.95911e-06,0
14,0.000145547,0.00056035,7.90594e-05,3.95145e-06,0
15,0.000162328,0.000564527,7.97306e-05,3.9707e-06,0
16,0.000181179,0.000569788,8.04051e-05,4.01849e-06,0
17,0.00020238,0.000576271,8.10879e-05,4.09674e-06,0
18,0.000225813,0.000584131,8.1784e-05,4.20777e-06,0
19,0.000249784,0.000593514,8.24993e-05,4.35355e-06,0
20,0.000276168,0.000604453,8.32397e-05,4.53293e-06,0
21,0.000305216,0.000617103,8.40109e-05,4.74813e-06,0
22,0.000337201,0.000631637,8.48192e-05,5.0017e-06,0
23,0.000372424,0.000648245,8.56713e-05,5.2965e-06,0
24,0.000411215,0.000667136,8.65744e-05,5.63577e-06,0
25,0.000453939,0.000688539,8.75362e-05,6.0231e-06,0
26,0.000500772,0.000712707,8.85652e-05,6.46254e-06,0
27,0.000552519,0.000739904,8.96706e-05,6.95816e-06,0
28,0.000609439,0.000770445,9.08625e-05,7.51525e-06,0
29,0.00067205,0.000804662,9.21517e-05,8.13918e-06,0
30,0.000740928,0.000842917,9.35504e-05,8.83593e-06,0
31,0.000816696,0.000885614,9.50717e-05,9.61211e-06,0
32,0.000900048,0.00093319,9.67302e-05,1.0475e-05,0
33,0.000991746,0.000986132,9.85418e-05,1.14327e-05,0
34,0.00109262,0.00104497,0.000100524,1.24941e-05,0
35,0.00120359,0.0011103,0.000102697,1.3669e-05,0
36,0.00132566,0.00118275,0.000105082,1.49682e-05,0
37,0.00145993,0.00126304,0.000107702,1.64035e-05,0
38,0.00160761,0.00135194,0.000110585,1.7988e-05,0
39,0.00177002,0.00145031,0.00011376,1.9736e-05,0
40,0.00194861,0.00155909,0.000117259,2.16631e-05,0
41,0.00214497,0.00167931,0.00012112,2.37867e-05,0
42,0.00236083,0.0018121,0.000125384,2.61254e-05,0
43,0.00259811,0.00195871,0.000130095,2.87001e-05,0
44,0.00285887,0.00212049,0.000135306,3.15331e-05,0
45,0.00314538,0.00229895,0.000141073,3.46492e-05,0
46,0.00292519,0.00249572,0.000147461,3.80752e-05,0
47,0.00272045,0.00267656,0.000154543,4.08938e-05,0
48,0.00253004,0.00284247,0.000162203,4.31702e-05,0
49,0.00235295,0.00299436,0.000170336,4.49637e-05,0
50,0.00218826,0.00313312,0.000178844,4.63286e-05,0
51,0.0020351,0.00325955,0.000187641,4.73142e-05,0
52,0.00189266,0.00337444,0.000196647,4.79651e-05,0
53,0.00176019,0.00347851,0.000205792,4.83219e-05,0
54,0.001637,0.00357246,0.000215013,4.84212e-05,0
55,0.00152243,0.00365691,0.000224255,4.82961e-05,0
56,0.0014159,0.00373249,0.000233471,4.79764e-05,0
57,0.00131683,0.00379977,0.000242618,4.74889e-05,0
58,0.0012247,0.00385928,0.000251661,4.68575e-05,0
59,0.00113903,0.00391153,0.00026057,4.61039e-05,0
60,0.00105937,0.003957,0.00026932,4.52474e-05,0
61,0.000985303,0.00399614,0.000277888,4.4305e-05,0
62,0.000916438,0.00402937,0.000286259,4.32923e-05,0
63,0.000852416,0.00405708,0.000294417,4.22227e-05,0
64,0.000792901,0.00407966,0.000302352,4.11085e-05,0
65,0.000737584,0.00409745,0.000310057,3.99604e-05,0
66,0.000686177,0.00411078,0.000317524,3.87878e-05,0
67,0.000638415,0.00411997,0.000324751,3.75991e-05,0
68,0.000594051,0.00412531,0.000331736,3.64016e-05,0
69,0.00055286,0.00412707,0.000338477,3.52018e-05,0
70,0.000514634,0.00412551,0.000344976,3.40053e-05,0
71,0.000479182,0.00412088,0.000351235,3.2817e-05,0
72,0.000445991,0.00411341,0.000357257,3.16412e-05,0
73,0.000415129,0.00410329,0.000363046,3.04809e-05,0
74,0.000386435,0.00409072,0.000368605,2.93391e-05,0
75,0.000359758,0.00407589,0.000373941,2.82185e-05,0
76,0.000334958,0.00405897,0.000379058,2.7121e-05,0
77,0.000311905,0.00404012,0.000383961,2.60485e-05,0
78,0.000290478,0.00401951,0.000388658,2.50024e-05,0
79,0.000270566,0.00399727,0.000393154,2.39838e-05,0
80,0.000252063,0.00397354,0.000397455,2.29936e-05,0
81,0.000234872,0.00394844,0.000401567,2.20323e-05,0
82,0.000218905,0.0039221,0.000405498,2.11005e-05,0
83,0.000204076,0.00389462,0.000409253,2.01983e-05,0
84,0.000190309,0.00386612,0.000412839,1.93259e-05,0
85,0.000177531,0.00383668,0.000416262,1.84832e-05,0
86,0.000165675,0.0038064,0.000419529,1.76701e-05,0
87,0.000154681,0.00377537,0.000422645,1.68862e-05,0
88,0.000144489,0.00374366,0.000425617,1.61313e-05,0
89,0.000135047,0.00371135,0.00042845,1.5405e-05,0
90,0.000126305,0.00367852,0.00043115,1.47066e-05,0
91,0.000118219,0.00364523,0.000433723,1.40358e-05,0
92,0.000110743,0.00361154,0.000436174,1.33919e-05,0
93,0.000122892,0.0035775,0.000438508,1.27743e-05,0
94,0.000138165,0.00354446,0.000440731,1.22161e-05,0
95,0.000155148,0.00351264,0.000442854,1.17192e-05,0
96,0.000174027,0.00348217,0.000444888,1.12827e-05,0
97,0.000195006,0.00345318,0.000446843,1.09064e-05,0
98,0.000218309,0.00342582,0.000448732,1.05902e-05,0
99,0.000244184,0.00340025,0.000450564,1.03346e-05,0
100,0.000272912,0.00337664,0.000452351,1.01404e-05,0
101,0.000304625,0.0033552,0.000454103,1.00088e-05,0
102,0.000339813,0.00333612,0.000455832,9.94146e-06,0
