"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.00110132,0.00292376,0.00253836,6.62846e-05,0
238,0.00107778,0.00295006,0.00255157,6.51979e-05,0
239,0.00105472,0.00297421,0.00256454,6.40936e-05,0
240,0.00103214,0.00299625,0.00257725,6.29776e-05,0
241,0.00101003,0.00301621,0.00258971,6.18545e-05,0
242,0.00098838,0.00303414,0.00260191,6.07286e-05,0
243,0.000967178,0.0030501,0.00261385,5.96033e-05,0
244,0.00094642,0.00306414,0.00262555,5.84817e-05,0
245,0.000926097,0.00307631,0.00263699,5.73662e-05,0
246,0.000906188,0.00308668,0.00264819,5.6259e-05,0
247,0.000886691,0.00309528,0.00265914,5.51618e-05,0
248,0.0008676,0.00310219,0.00266984,5.40759e-05,0
249,0.000848906,0.00310746,0.00268031,5.30027e-05,0
250,0.000830604,0.00311115,0.00269055,5.1943e-05,0
251,0.000812685,0.00311331,0.00270055,5.08977e-05,0
252,0.000795143,0.00311399,0.00271033,4.98675e-05,0
253,0.000777973,0.00311326,0.00271988,4.88529e-05,0
254,0.000761167,0.00311116,0.00272922,4.78542e-05,0
255,0.00074472,0.00310775,0.00273834,4.68718e-05,0
256,0.000728627,0.00310309,0.00274725,4.5906e-05,0
257,0.000712883,0.00309722,0.00275596,4.49569e-05,0
258,0.000697485,0.00309019,0.00276447,4.40247e-05,0
259,0.000682403,0.00308206,0.00277279,4.31093e-05,0
260,0.000667625,0.00307287,0.00278091,4.22108e-05,0
261,0.000653159,0.00306266,0.00278884,4.13289e-05,0
262,0.000638999,0.00305149,0.00279659,4.04635e-05,0
263,0.000625139,0.00303939,0.00280417,3.96144e-05,0
264,0.000611575,0.00302641,0.00281157,3.87816e-05,0
265,0.000598301,0.0030126,0.00281879,3.79648e-05,0
266,0.000585295,0.00299798,0.00282585,3.71639e-05,0
267,0.000572563,0.0029826,0.00283275,3.63787e-05,0
268,0.0005601,0.0029665,0.00283949,3.56087e-05,0
269,0.0005479,0.00294972,0.00284607,3.4854e-05,0
270,0.000535958,0.00293228,0.0028525,3.41141e-05,0
271,0.000524269,0.00291423,0.00285878,3.3389e-05,0
272,0.000512828,0.0028956,0.00286492,3.26783e-05,0
273,0.00050163,0.00287642,0.00287091,3.19819e-05,0
274,0.000490669,0.00285672,0.00287677,3.12994e-05,0
275,0.000479937,0.00283653,0.00288249,3.06307e-05,0
276,0.000469433,0.00281588,0.00288808,2.99756e-05,0
277,0.000459152,0.0027948,0.00289354,2.93336e-05,0
278,0.00044909,0.00277332,0.00289888,2.87047e-05,0
279,0.000439242,0.00275146,0.00290409,2.80886e-05,0
280,0.000429604,0.00272925,0.00290918,2.74851e-05,0
281,0.000420171,0.00270671,0.00291416,2.68939e-05,0
282,0.000410941,0.00268387,0.00291902,2.63148e-05,0
283,0.000401908,0.00266075,0.00292377,2.57476e-05,0
284,0.000393068,0.00263737,0.00292841,2.51921e-05,0
285,0.000384419,0.00261375,0.00293294,2.46481e-05,0
286,0.000375956,0.00258992,0.00293737,2.41153e-05,0
287,0.000367675,0.00256589,0.00294169,2.35935e-05,0
288,0.000359573,0.00254169,0.00294592,2.30826e-05,0
289,0.000351647,0.00251733,0.00295005,2.25823e-05,0
290,0.00034389,0.00249282,0.00295409,2.20924e-05,0
291,0.0003363,0.0024682,0.00295803,2.16128e-05,0
292,0.000328874,0.00244346,0.00296188,2.11432e-05,0
293,0.000321608,0.00241864,0.00296565,2.06835e-05,0
294,0.000314499,0.00239374,0.00296932,2.02333e-05,0
295,0.000307544,0.00236878,0.00297292,1.97927e-05,0
296,0.000300739,0.00234377,0.00297643,1.93613e-05,0
297,0.000294083,0.00231872,0.00297986,1.89389e-05,0
298,0.00028757,0.00229366,0.00298321,1.85255e-05,0
299,0.0002812,0.00226858,0.00298648,1.81208e-05,0
300,0.000274968,0.00224351,0.00298968,1.77247e-05,0
301,0.000268872,0.00221846,0.00299281,1.7337e-05,0
302,0.000262909,0.00219343,0.00299586,1.69575e-05,0
303,0.000257076,0.00216844,0.00299885,1.6586e-05,0
304,0.000251371,0.00214349,0.00300176,1.62225e-05,0
305,0.000245792,0.0021186,0.00300461,1.58667e-05,0
306,0.000240335,0.00209377,0.0030074,1.55185e-05,0
307,0.000234999,0.00206902,0.00301012,1.51778e-05,0
308,0.00022978,0.00204435,0.00301278,1.48444e-05,0
309,0.000224764,0.00201978,0.00301538,1.45181e-05,0
310,0.000219895,0.0019953,0.00301792,1.41995e-05,0
311,0.000215173,0.00197093,0.0030204,1.38885e-05,0
312,0.000263198,0.00194667,0.00302282,1.35852e-05,0
313,0.00032185,0.00192366,0.00302519,1.3661e-05,0
314,0.000393488,0.00190247,0.00302757,1.41409e-05,0
315,0.000480978,0.00188374,0.00303004,1.50633e-05,0
316,0.000587815,0.00186819,0.00303268,1.64818e-05,0
317,0.000718258,0.00185667,0.00303558,1.84672e-05,0
318,0.000877499,0.00185015,0.00303884,2.11111e-05,0
319,0.00107186,0.00184979,0.0030426,2.45292e-05,0
320,0.00130903,0.00185699,0.00304701,2.88659e-05,0
321,0.00159839,0.0018734,0.00305225,3.43e-05,0
322,0.00156498,0.00190104,0.00305857,4.10513e-05,0
323,0.00152973,0.00193412,0.00306626,4.66612e-05,0
324,0.00149524,0.00197134,0.00307513,5.12665e-05,0
325,0.0014615,0.00201163,0.00308499,5.50055e-05,0
326,0.0014285,0.00205407,0.00309566,5.79994e-05,0
327,0.00139621,0.00209788,0.003107,6.03532e-05,0
328,0.00136463,0.00214241,0.00311886,6.21587e-05,0
329,0.00133374,0.00218711,0.00313113,6.34949e-05,0
330,0.00130354,0.00223153,0.00314371,6.44307e-05,0
331,0.001274,0.00227527,0.0031565,6.50253e-05,0
332,0.00124511,0.00231804,0.00316942,6.53301e-05,0
333,0.00121686,0.00235957,0.00318242,6.53892e-05,0
334,0.00118925,0.00239966,0.00319543,6.52408e-05,0
335,0.00116223,0.00243814,0.0032084,6.49177e-05,0
336,0.00113581,0.0024749,0.0032213,6.44481e-05,0
337,0.00110996,0.00250983,0.00323409,6.38561e-05,0
338,0.00108468,0.00254286,0.00324675,6.31625e-05,0
339,0.00105996,0.00257394,0.00325925,6.23851e-05,0
340,0.00103578,0.00260305,0.00327157,6.15393e-05,0
341,0.00101213,0.00263017,0.0032837,6.06382e-05,0
342,0.000989012,0.0026553,0.00329563,5.9693e-05,0
343,0.000966401,0.00267845,0.00330735,5.87133e-05,0
344,0.000944291,0.00269963,0.00331884,5.77074e-05,0
345,0.000922672,0.00271889,0.00333011,5.66822e-05,0
346,0.000901547,0.00273624,0.00334115,5.56439e-05,0
347,0.000880899,0.00275172,0.00335197,5.45974e-05,0
348,0.000860719,0.00276539,0.00336255,5.35473e-05,0
349,0.000841001,0.00277729,0.0033729,5.24972e-05,0
350,0.000821737,0.00278745,0.00338303,5.14502e-05,0
351,0.000802922,0.00279594,0.00339292,5.04091e-05,0
352,0.00078455,0.00280281,0.00340259,4.93761e-05,0
353,0.000766615,0.0028081,0.00341204,4.83531e-05,0
354,0.000749114,0.00281188,0.00342127,4.73418e-05,0
355,0.000732044,0.00281419,0.00343029,4.63435e-05,0
356,0.000715268,0.00281509,0.00343909,4.53595e-05,0
357,0.000698864,0.00281463,0.00344768,4.43898e-05,0
358,0.000682826,0.00281286,0.00345607,4.3435e-05,0
359,0.000667145,0.00280984,0.00346426,4.24956e-05,0
360,0.000651813,0.00280561,0.00347226,4.1572e-05,0
361,0.000636824,0.00280022,0.00348006,4.06644e-05,0
362,0.00062217,0.00279372,0.00348767,3.9773e-05,0
363,0.000607844,0.00278616,0.0034951,3.88979e-05,0
364,0.00059384,0.00277759,0.00350235,3.80392e-05,0
365,0.00058015,0.00276804,0.00350943,3.71968e-05,0
