"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,1.05494e-06,0.000117112,0.00131246,7.77421e-08,1
238,1.01826e-06,0.000114674,0.00131247,7.50396e-08,1
239,9.82855e-07,0.000112286,0.00131248,7.2431e-08,1
240,9.48683e-07,0.000109946,0.00131249,6.9913e-08,1
241,9.15698e-07,0.000107654,0.00131251,6.74826e-08,1
242,8.8386e-07,0.000105408,0.00131252,6.51366e-08,1
243,8.53129e-07,0.000103207,0.00131253,6.28722e-08,1
244,8.23466e-07,0.000101052,0.00131254,6.06864e-08,1
245,7.94835e-07,9.89403e-05,0.00131255,5.85766e-08,1
246,7.67198e-07,9.68717e-05,0.00131256,5.65402e-08,1
247,7.40523e-07,9.48454e-05,0.00131257,5.45745e-08,1
248,7.14775e-07,9.28604e-05,0.00131258,5.26772e-08,1
249,6.89922e-07,9.09159e-05,0.00131259,5.08458e-08,1
250,6.65933e-07,8.90113e-05,0.0013126,4.9078e-08,1
251,6.42778e-07,8.71456e-05,0.0013126,4.73717e-08,1
252,6.20428e-07,8.53182e-05,0.00131261,4.57247e-08,1
253,5.98855e-07,8.35283e-05,0.00131262,4.4135e-08,1
254,5.78032e-07,8.17751e-05,0.00131263,4.26005e-08,1
255,5.57933e-07,8.00579e-05,0.00131263,4.11194e-08,1
256,5.38533e-07,7.8376e-05,0.00131264,3.96897e-08,1
257,5.19807e-07,7.67287e-05,0.00131265,3.83097e-08,1
258,5.01733e-07,7.51154e-05,0.00131265,3.69778e-08,1
259,4.84287e-07,7.35352e-05,0.00131266,3.56921e-08,1
260,4.67447e-07,7.19877e-05,0.00131267,3.44511e-08,1
261,4.51193e-07,7.04721e-05,0.00131267,3.32532e-08,1
262,4.35504e-07,6.89878e-05,0.00131268,3.2097e-08,1
263,4.20361e-07,6.75342e-05,0.00131268,3.0981e-08,1
264,4.05744e-07,6.61106e-05,0.00131269,2.99038e-08,1
265,3.91635e-07,6.47166e-05,0.00131269,2.8864e-08,1
266,3.78017e-07,6.33513e-05,0.0013127,2.78604e-08,1
267,3.64872e-07,6.20144e-05,0.0013127,2.68917e-08,1
268,3.52185e-07,6.07052e-05,0.00131271,2.59567e-08,1
269,3.39938e-07,5.94231e-05,0.00131271,2.50541e-08,1
270,3.28118e-07,5.81677e-05,0.00131272,2.4183e-08,1
271,3.16708e-07,5.69384e-05,0.00131272,2.33421e-08,1
272,3.05695e-07,5.57346e-05,0.00131272,2.25305e-08,1
273,2.95066e-07,5.45558e-05,0.00131273,2.17471e-08,1
274,2.84805e-07,5.34016e-05,0.00131273,2.09909e-08,1
275,2.74902e-07,5.22715e-05,0.00131273,2.0261e-08,1
276,2.65343e-07,5.11648e-05,0.00131274,1.95565e-08,1
277,2.56116e-07,5.00813e-05,0.00131274,1.88765e-08,1
278,2.4721e-07,4.90204e-05,0.00131274,1.82201e-08,1
279,2.38614e-07,4.79816e-05,0.00131275,1.75866e-08,1
280,2.30316e-07,4.69644e-05,0.00131275,1.6975e-08,1
281,2.22307e-07,4.59686e-05,0.00131275,1.63848e-08,1
282,2.14577e-07,4.49936e-05,0.00131276,1.5815e-08,1
283,2.07116e-07,4.40389e-05,0.00131276,1.52651e-08,1
284,1.99913e-07,4.31043e-05,0.00131276,1.47343e-08,1
285,1.92962e-07,4.21892e-05,0.00131276,1.4222e-08,1
286,1.86252e-07,4.12933e-05,0.00131277,1.37274e-08,1
287,1.79775e-07,4.04161e-05,0.00131277,1.32501e-08,1
288,1.73524e-07,3.95574e-05,0.00131277,1.27894e-08,1
289,1.6749e-07,3.87166e-05,0.00131277,1.23446e-08,1
290,1.61666e-07,3.78936e-05,0.00131278,1.19154e-08,1
291,1.56044e-07,3.70878e-05,0.00131278,1.15011e-08,1
292,1.50618e-07,3.62989e-05,0.00131278,1.11011e-08,1
293,1.45381e-07,3.55266e-05,0.00131278,1.07151e-08,1
294,1.40325e-07,3.47705e-05,0.00131278,1.03425e-08,1
295,1.35446e-07,3.40304e-05,0.00131278,9.98288e-09,1
296,1.30736e-07,3.33058e-05,0.00131279,9.63575e-09,1
297,1.2619e-07,3.25965e-05,0.00131279,9.30068e-09,1
298,1.21802e-07,3.19021e-05,0.00131279,8.97727e-09,1
299,1.17566e-07,3.12223e-05,0.00131279,8.66511e-09,1
300,1.13478e-07,3.05569e-05,0.00131279,8.3638e-09,1
301,1.09532e-07,2.99055e-05,0.00131279,8.07297e-09,1
