"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.00105321,0.00295611,0.000710907,6.16104e-05,1
2,0.00103368,0.00297602,0.000723054,6.08227e-05,1
3,0.00101559,0.00299429,0.000735023,6.00044e-05,1
4,0.000997796,0.00301097,0.000746807,5.917e-05,1
5,0.000980291,0.00302607,0.000758405,5.83236e-05,1
6,0.000963074,0.00303963,0.000769813,5.74688e-05,1
7,0.000946138,0.00305168,0.00078103,5.66087e-05,1
8,0.00092948,0.00306224,0.000792057,5.5746e-05,1
9,0.000913097,0.00307136,0.000802893,5.48829e-05,1
10,0.000896984,0.00307907,0.000813539,5.40214e-05,1
11,0.000881136,0.00308541,0.000823995,5.3163e-05,1
12,0.000865551,0.00309042,0.000834264,5.23091e-05,1
13,0.000850224,0.00309413,0.000844347,5.1461e-05,1
14,0.000835152,0.00309659,0.000854246,5.06195e-05,1
15,0.000820331,0.00309784,0.000863962,4.97856e-05,1
16,0.000805756,0.00309791,0.000873499,4.89599e-05,1
17,0.000791425,0.00309684,0.000882859,4.81429e-05,1
18,0.000777334,0.00309468,0.000892044,4.73352e-05,1
19,0.000763478,0.00309145,0.000901056,4.65371e-05,1
20,0.000749856,0.0030872,0.000909899,4.57489e-05,1
21,0.000736462,0.00308197,0.000918576,4.49709e-05,1
22,0.000723294,0.00307579,0.000927088,4.42032e-05,1
23,0.000710348,0.0030687,0.000935438,4.34461e-05,1
24,0.000697621,0.00306072,0.000943631,4.26995e-05,1
25,0.000685109,0.00305191,0.000951667,4.19636e-05,1
26,0.000672809,0.00304228,0.00095955,4.12384e-05,1
27,0.000660719,0.00303187,0.000967283,4.05239e-05,1
28,0.000648834,0.00302072,0.000974868,3.98201e-05,1
29,0.000637151,0.00300886,0.000982308,3.91269e-05,1
30,0.000625668,0.00299631,0.000989606,3.84444e-05,1
31,0.000614382,0.0029831,0.000996764,3.77724e-05,1
32,0.000603288,0.00296928,0.00100378,3.71108e-05,1
33,0.000592385,0.00295485,0.00101067,3.64597e-05,1
34,0.000581669,0.00293985,0.00101743,3.58189e-05,1
35,0.000571137,0.00292431,0.00102405,3.51883e-05,1
36,0.000560787,0.00290826,0.00103055,3.45677e-05,1
37,0.000550616,0.00289171,0.00103692,3.39572e-05,1
38,0.00054062,0.00287469,0.00104317,3.33565e-05,1
39,0.000530797,0.00285723,0.0010493,3.27656e-05,1
40,0.000521144,0.00283935,0.00105531,3.21844e-05,1
41,0.000511659,0.00282106,0.00106121,3.16127e-05,1
42,0.000502339,0.00280241,0.001067,3.10504e-05,1
43,0.000493181,0.00278339,0.00107267,3.04973e-05,1
44,0.000484182,0.00276404,0.00107823,2.99535e-05,1
45,0.000475341,0.00274438,0.00108369,2.94186e-05,1
46,0.000466654,0.00272442,0.00108904,2.88927e-05,1
47,0.000458119,0.00270418,0.00109429,2.83755e-05,1
48,0.000449734,0.00268368,0.00109944,2.78671e-05,1
49,0.000441496,0.00266294,0.00110449,2.73671e-05,1
50,0.000433402,0.00264197,0.00110944,2.68756e-05,1
51,0.000425451,0.0026208,0.0011143,2.63924e-05,1
52,0.00041764,0.00259943,0.00111906,2.59173e-05,1
53,0.000409967,0.00257788,0.00112373,2.54503e-05,1
54,0.000402429,0.00255617,0.00112831,2.49913e-05,1
55,0.000395025,0.00253432,0.00113281,2.454e-05,1
56,0.000387751,0.00251232,0.00113722,2.40964e-05,1
57,0.000380607,0.00249021,0.00114154,2.36605e-05,1
58,0.000373589,0.00246799,0.00114578,2.3232e-05,1
59,0.000366696,0.00244567,0.00114994,2.28108e-05,1
60,0.000359926,0.00242327,0.00115401,2.23969e-05,1
61,0.000353276,0.00240079,0.00115801,2.19901e-05,1
62,0.000346745,0.00237826,0.00116194,2.15903e-05,1
63,0.00034033,0.00235567,0.00116579,2.11975e-05,1
