"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.000136499,0.00219659,0.00118641,3.45089e-05,0
238,0.000127225,0.00216467,0.00119277,3.39327e-05,0
239,0.000118589,0.00213267,0.00119901,3.33619e-05,0
240,0.000110551,0.00210066,0.00120514,3.27969e-05,0
241,0.00010307,0.00206867,0.00121116,3.22381e-05,0
242,9.61087e-05,0.00203675,0.00121707,3.16855e-05,0
243,8.96326e-05,0.00200494,0.00122286,3.11395e-05,0
244,8.36109e-05,0.00197326,0.00122855,3.06003e-05,0
245,7.80151e-05,0.00194174,0.00123414,3.00679e-05,0
246,7.279e-05,0.00191042,0.00123961,2.95426e-05,0
247,6.79302e-05,0.00187932,0.00124499,2.90243e-05,0
248,6.34129e-05,0.00184846,0.00125026,2.85132e-05,0
249,5.92173e-05,0.00181786,0.00125544,2.80094e-05,0
250,5.53246e-05,0.00178753,0.00126051,2.75129e-05,0
251,5.17179e-05,0.0017575,0.00126549,2.70237e-05,0
252,4.83825e-05,0.00172779,0.00127038,2.65419e-05,0
253,4.53056e-05,0.00169839,0.00127517,2.60675e-05,0
254,4.24767e-05,0.00166933,0.00127987,2.56005e-05,0
255,3.98877e-05,0.00164063,0.00128448,2.5141e-05,0
256,3.75327e-05,0.00161227,0.001289,2.4689e-05,0
257,3.54089e-05,0.00158429,0.00129344,2.42446e-05,0
258,3.35165e-05,0.00155669,0.00129779,2.38076e-05,0
259,3.15959e-05,0.00152947,0.00130206,2.33783e-05,0
260,2.97552e-05,0.00150264,0.00130624,2.29562e-05,0
261,2.80312e-05,0.00147618,0.00131035,2.25411e-05,0
262,2.64164e-05,0.0014501,0.00131438,2.2133e-05,0
263,2.49039e-05,0.0014244,0.00131833,2.17317e-05,0
264,2.34872e-05,0.00139908,0.0013222,2.13372e-05,0
265,2.21603e-05,0.00137415,0.001326,2.09494e-05,0
266,2.09108e-05,0.00134959,0.00132973,2.05682e-05,0
267,1.97384e-05,0.00132541,0.00133338,2.01935e-05,0
268,1.86379e-05,0.00130161,0.00133697,1.98252e-05,0
269,1.76048e-05,0.00127818,0.00134048,1.94632e-05,0
270,1.66346e-05,0.00125512,0.00134393,1.91075e-05,0
271,1.57234e-05,0.00123244,0.00134732,1.87579e-05,0
272,1.48682e-05,0.00121012,0.00135063,1.84144e-05,0
273,1.4065e-05,0.00118816,0.00135389,1.80768e-05,0
274,1.33104e-05,0.00116657,0.00135708,1.77452e-05,0
275,1.26014e-05,0.00114533,0.00136021,1.74193e-05,0
276,1.19351e-05,0.00112445,0.00136328,1.70992e-05,0
277,1.13091e-05,0.00110392,0.00136629,1.67847e-05,0
278,1.07207e-05,0.00108373,0.00136924,1.64757e-05,0
279,1.01678e-05,0.00106389,0.00137214,1.61723e-05,0
280,9.64818e-06,0.00104438,0.00137498,1.58742e-05,0
281,9.16001e-06,0.00102521,0.00137776,1.55814e-05,0
282,8.70149e-06,0.00100637,0.0013805,1.52938e-05,0
283,8.27101e-06,0.000987862,0.00138318,1.50113e-05,0
284,7.86711e-06,0.00096967,0.0013858,1.47339e-05,0
285,7.48848e-06,0.000951796,0.00138838,1.44615e-05,0
286,7.13395e-06,0.000934236,0.00139091,1.4194e-05,0
287,6.80253e-06,0.000916985,0.00139339,1.39313e-05,0
288,7.76168e-06,0.000900039,0.00139582,1.36733e-05,0
289,8.90792e-06,0.000883478,0.00139821,1.34222e-05,0
290,1.01239e-05,0.000867307,0.00140055,1.31781e-05,0
291,1.13882e-05,0.000851524,0.00140284,1.29409e-05,0
292,1.27712e-05,0.000836125,0.0014051,1.27103e-05,0
293,1.42851e-05,0.000821113,0.00140731,1.24864e-05,0
294,1.59433e-05,0.000806488,0.00140948,1.22692e-05,0
295,1.7761e-05,0.000792253,0.00141161,1.20588e-05,0
296,1.97557e-05,0.000778412,0.00141371,1.18551e-05,0
297,2.19443e-05,0.00076497,0.00141577,1.16582e-05,0
298,2.43467e-05,0.000751932,0.00141779,1.14684e-05,0
299,2.69848e-05,0.000739305,0.00141978,1.12857e-05,0
300,2.98825e-05,0.000727098,0.00142173,1.11104e-05,0
301,3.30663e-05,0.000715321,0.00142366,1.09425e-05,0
302,3.65654e-05,0.000703985,0.00142555,1.07825e-05,0
303,4.04118e-05,0.000693103,0.00142742,1.06305e-05,0
304,4.46408e-05,0.00068269,0.00142926,1.04869e-05,0
305,4.92912e-05,0.000672763,0.00143107,1.03521e-05,0
306,5.44059e-05,0.000663343,0.00143286,1.02265e-05,0
307,6.00321e-05,0.00065445,0.00143463,1.01105e-05,0
308,6.62217e-05,0.00064611,0.00143638,1.00048e-05,0
309,7.30444e-05,0.000638351,0.0014381,9.90989e-06,0
310,8.0613e-05,0.000631205,0.00143982,9.82649e-06,0
311,8.89555e-05,0.00062471,0.00144151,9.75547e-06,0
312,9.81521e-05,0.000618908,0.0014432,9.69768e-06,0
313,0.000108317,0.000613844,0.00144487,9.65409e-06,0
314,0.000119548,0.000609568,0.00144654,9.62581e-06,0
315,0.000131961,0.00060614,0.0014482,9.61408e-06,0
316,0.000145689,0.000603622,0.00144986,9.62028e-06,0
317,0.000160879,0.000602089,0.00145152,9.64594e-06,0
318,0.000177697,0.000601619,0.00145318,9.69279e-06,0
319,0.000196329,0.000602305,0.00145485,9.76277e-06,0
320,0.000216985,0.000604247,0.00145654,9.85803e-06,0
321,0.000239908,0.00060756,0.00145824,9.98101e-06,0
