"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,3.68457e-05,0.000395221,7.13593e-05,5.85512e-06,0
2,3.47096e-05,0.000390066,7.23591e-05,5.82317e-06,0
3,3.85553e-05,0.000384897,7.33534e-05,5.7835e-06,0
4,4.28034e-05,0.000380105,7.43409e-05,5.74746e-06,0
5,4.74943e-05,0.000375707,7.5322e-05,5.71589e-06,0
6,5.26749e-05,0.000371726,7.62977e-05,5.68963e-06,0
7,5.83969e-05,0.000368184,7.72689e-05,5.66954e-06,0
8,6.47177e-05,0.000365109,7.82366e-05,5.65649e-06,0
9,7.17008e-05,0.000362531,7.9202e-05,5.6514e-06,0
10,7.94162e-05,0.000360486,8.01665e-05,5.65523e-06,0
11,8.79424e-05,0.000359012,8.11317e-05,5.66901e-06,0
12,9.73662e-05,0.000358152,8.20993e-05,5.69384e-06,0
13,0.000107782,0.000357955,8.30711e-05,5.7309e-06,0
14,0.000119296,0.000358476,8.40494e-05,5.78149e-06,0
15,0.000132023,0.000359776,8.50365e-05,5.84699e-06,0
16,0.000146095,0.000361921,8.6035e-05,5.92894e-06,0
17,0.000161658,0.000364987,8.70476e-05,6.02902e-06,0
18,0.000178878,0.000369058,8.80777e-05,6.14906e-06,0
19,0.000197912,0.000374228,8.91286e-05,6.29111e-06,0
20,0.000218969,0.000380597,9.02042e-05,6.45739e-06,0
21,0.000242267,0.000388282,9.13087e-05,6.65037e-06,0
22,0.000268019,0.00039741,9.24469e-05,6.87279e-06,0
23,0.000296478,0.000408121,9.36238e-05,7.12761e-06,0
24,0.000327963,0.000420568,9.48453e-05,7.4181e-06,0
25,0.000362801,0.000434925,9.61175e-05,7.74793e-06,0
26,0.000401341,0.000451384,9.74475e-05,8.12117e-06,0
27,0.000444001,0.000470157,9.8843e-05,8.5423e-06,0
28,0.000491225,0.00049148,0.000100313,9.0163e-06,0
29,0.000543217,0.000515616,0.000101866,9.5487e-06,0
30,0.000600428,0.000542837,0.000103513,1.01451e-05,0
31,0.000663615,0.00057344,0.000105266,1.08117e-05,0
32,0.000733398,0.000607767,0.000107138,1.15556e-05,0
33,0.000810464,0.000646199,0.000109142,1.23847e-05,0
34,0.000895569,0.000689151,0.000111295,1.33077e-05,0
35,0.000989545,0.000737087,0.000113614,1.43343e-05,0
36,0.00109331,0.000790517,0.00011612,1.5475e-05,0
37,0.00120788,0.000850001,0.000118833,1.67415e-05,0
38,0.00133436,0.000916162,0.000121778,1.81466e-05,0
39,0.00147398,0.000989683,0.000124982,1.97046e-05,0
40,0.00162809,0.00107132,0.000128476,2.14309e-05,0
41,0.00179817,0.00116191,0.000132293,2.33427e-05,0
42,0.00198586,0.00126236,0.000136472,2.54589e-05,0
43,0.00219293,0.00137369,0.000141055,2.78002e-05,0
44,0.00242137,0.00149701,0.000146091,3.03892e-05,0
45,0.00267333,0.00163355,0.000151632,3.3251e-05,0
46,0.00249213,0.00178465,0.000157741,3.6413e-05,0
47,0.00232327,0.00192145,0.000164485,3.91026e-05,0
48,0.00216585,0.00204487,0.000171776,4.13764e-05,0
49,0.00201908,0.00215579,0.000179536,4.32842e-05,0
50,0.00188226,0.00225504,0.000187693,4.487e-05,0
51,0.00175471,0.00234341,0.000196182,4.61726e-05,0
52,0.0016358,0.00242164,0.000204947,4.72262e-05,0
53,0.00152494,0.00249043,0.000213934,4.80609e-05,0
54,0.0014216,0.00255046,0.0002231,4.87033e-05,0
55,0.00132527,0.00260235,0.000232403,4.91769e-05,0
56,0.00123547,0.00264668,0.000241807,4.95022e-05,0
57,0.00115177,0.00268401,0.000251281,4.96976e-05,0
58,0.00107375,0.00271487,0.000260797,4.97789e-05,0
59,0.00100103,0.00273974,0.00027033,4.97604e-05,0
60,0.000933227,0.00275908,0.00027986,4.96545e-05,0
61,0.000870029,0.00277331,0.000289367,4.94723e-05,0
62,0.000811125,0.00278285,0.000298834,4.92234e-05,0
63,0.000756229,0.00278806,0.000308248,4.89164e-05,0
64,0.000705073,0.00278931,0.000317597,4.8559e-05,0
65,0.000657409,0.0027869,0.000326869,4.81578e-05,0
66,0.000613005,0.00278117,0.000336055,4.77189e-05,0
67,0.000571648,0.00277238,0.000345147,4.72474e-05,0
68,0.000533142,0.00276081,0.000354139,4.67481e-05,0
69,0.000497303,0.00274671,0.000363026,4.62252e-05,0
70,0.000463964,0.00273032,0.000371801,4.56824e-05,0
71,0.000432972,0.00271185,0.000380461,4.51229e-05,0
72,0.000403875,0.0026915,0.000389004,4.45499e-05,0
73,0.000376742,0.00266945,0.000397426,4.39653e-05,0
74,0.000351441,0.00264586,0.000405725,4.33714e-05,0
75,0.000327862,0.00262091,0.0004139,4.27703e-05,0
76,0.00030588,0.00259472,0.00042195,4.21636e-05,0
77,0.000285388,0.00256745,0.000429873,4.15531e-05,0
78,0.000266289,0.00253922,0.00043767,4.094e-05,0
79,0.000248488,0.00251014,0.00044534,4.03257e-05,0
80,0.000231901,0.00248033,0.000452883,3.97113e-05,0
81,0.000216447,0.00244989,0.000460299,3.90977e-05,0
82,0.000202054,0.00241891,0.00046759,3.84859e-05,0
83,0.000188654,0.00238747,0.000474755,3.78766e-05,0
84,0.000176183,0.00235567,0.000481796,3.72705e-05,0
85,0.000164585,0.00232356,0.000488714,3.66684e-05,0
86,0.000153808,0.00229122,0.000495509,3.60707e-05,0
87,0.000143807,0.00225872,0.000502184,3.54779e-05,0
88,0.000134368,0.00222611,0.000508739,3.48906e-05,0
89,0.000125565,0.00219344,0.000515175,3.43089e-05,0
90,0.000117355,0.00216075,0.000521495,3.3733e-05,0
91,0.000109699,0.00212809,0.0005277,3.31633e-05,0
92,0.000102562,0.0020955,0.000533791,3.25999e-05,0
93,9.59084e-05,0.00206301,0.00053977,3.20431e-05,0
94,8.97082e-05,0.00203065,0.000545638,3.14931e-05,0
95,8.39184e-05,0.00199847,0.000551398,3.095e-05,0
96,7.85222e-05,0.00196647,0.00055705,3.04139e-05,0
97,7.34747e-05,0.0019347,0.000562596,2.98849e-05,0
98,6.87657e-05,0.00190317,0.000568039,2.93631e-05,0
99,6.43732e-05,0.00187189,0.000573379,2.88486e-05,0
100,6.02769e-05,0.00184089,0.000578619,2.83413e-05,0
101,5.64581e-05,0.00181019,0.00058376,2.78413e-05,0
102,5.28968e-05,0.0017798,0.000588803,2.73487e-05,0
103,4.95788e-05,0.00174973,0.000593751,2.68634e-05,0
104,4.64895e-05,0.00171999,0.000598605,2.63854e-05,0
105,4.36156e-05,0.00169059,0.000603367,2.59148e-05,0
106,4.09453e-05,0.00166155,0.000608038,2.54515e-05,0
107,3.8468e-05,0.00163287,0.00061262,2.49956e-05,0
108,3.6111e-05,0.00160455,0.000617114,2.45469e-05,0
109,3.39068e-05,0.00157661,0.000621523,2.41054e-05,0
110,3.18454e-05,0.00154904,0.000625847,2.3671e-05,0
111,2.99175e-05,0.00152184,0.000630088,2.32436e-05,0
112,2.81142e-05,0.00149503,0.000634249,2.28233e-05,0
113,2.64275e-05,0.0014686,0.000638329,2.24098e-05,0
114,2.48498e-05,0.00144255,0.000642331,2.20032e-05,0
115,2.33706e-05,0.00141688,0.000646256,2.16034e-05,0
116,2.19858e-05,0.00139159,0.000650106,2.12102e-05,0
117,2.06891e-05,0.00136669,0.000653882,2.08237e-05,0
118,1.94747e-05,0.00134217,0.000657585,2.04438e-05,0
119,1.83372e-05,0.00131803,0.000661217,2.00703e-05,0
120,1.72715e-05,0.00129427,0.000664779,1.97032e-05,0
121,1.6273e-05,0.00127088,0.000668273,1.93424e-05,0
122,1.53372e-05,0.00124787,0.000671699,1.89878e-05,0
123,1.446e-05,0.00122523,0.000675059,1.86393e-05,0
124,1.36376e-05,0.00120296,0.000678355,1.82969e-05,0
125,1.28664e-05,0.00118105,0.000681587,1.79605e-05,0
126,1.21431e-05,0.00115951,0.000684757,1.76299e-05,0
127,1.14646e-05,0.00113832,0.000687865,1.73052e-05,0
128,1.0828e-05,0.00111749,0.000690914,1.69861e-05,0
129,1.02304e-05,0.00109701,0.000693904,1.66727e-05,0
130,9.66968e-06,0.00107688,0.000696837,1.63649e-05,0
131,9.14321e-06,0.0010571,0.000699712,1.60625e-05,0
132,8.64883e-06,0.00103765,0.000702533,1.57655e-05,0
133,8.18448e-06,0.00101854,0.000705299,1.54737e-05,0
134,7.74826e-06,0.000999756,0.000708011,1.51872e-05,0
135,7.33837e-06,0.000981301,0.000710672,1.49058e-05,0
136,6.95315e-06,0.000963169,0.000713281,1.46295e-05,0
137,6.59266e-06,0.000945354,0.00071584,1.43581e-05,0
138,6.25446e-06,0.000927854,0.000718349,1.40917e-05,0
139,7.09116e-06,0.000910662,0.000720811,1.383e-05,0
140,8.0324e-06,0.000893852,0.000723224,1.35751e-05,0
141,9.07204e-06,0.000877423,0.000725592,1.33269e-05,0
142,1.02217e-05,0.000861376,0.000727915,1.30853e-05,0
143,1.14955e-05,0.00084571,0.000730194,1.28504e-05,0
144,1.29129e-05,0.000830428,0.000732431,1.2622e-05,0
145,1.44874e-05,0.000815531,0.000734627,1.24003e-05,0
146,1.62384e-05,0.000801025,0.000736783,1.21853e-05,0
147,1.8188e-05,0.000786913,0.0007389,1.19771e-05,0
148,2.03614e-05,0.000773201,0.00074098,1.17758e-05,0
149,2.27872e-05,0.000759897,0.000743024,1.15816e-05,0
150,2.54983e-05,0.000747012,0.000745033,1.13948e-05,0
151,2.85106e-05,0.000734555,0.000747008,1.12154e-05,0
152,3.18516e-05,0.000722541,0.000748952,1.10439e-05,0
153,3.54771e-05,0.000710982,0.000750865,1.08806e-05,0
154,3.93568e-05,0.00069989,0.000752749,1.07256e-05,0
155,4.36391e-05,0.000689274,0.000754605,1.05791e-05,0
156,4.83676e-05,0.000679151,0.000756435,1.04415e-05,0
157,5.35902e-05,0.000669543,0.000758241,1.03132e-05,0
158,5.93604e-05,0.000660474,0.000760024,1.01949e-05,0
159,6.57376e-05,0.000651971,0.000761786,1.0087e-05,0
160,7.27292e-05,0.000644065,0.000763528,9.99034e-06,0
161,8.03748e-05,0.000636785,0.000765254,9.90545e-06,0
162,8.87996e-05,0.000630166,0.000766964,9.83303e-06,0
163,9.80838e-05,0.000624246,0.000768662,9.77397e-06,0
164,0.000108316,0.000619073,0.000770349,9.72924e-06,0
165,0.000119593,0.000614695,0.000772028,9.69991e-06,0
166,0.000132023,0.00061117,0.000773702,9.68719e-06,0
167,0.000145724,0.000608559,0.000775374,9.69239e-06,0
168,0.000160826,0.000606933,0.000777047,9.71698e-06,0
169,0.000177474,0.000606366,0.000778724,9.7626e-06,0
170,0.000195825,0.000606946,0.000780409,9.83105e-06,0
171,0.000216055,0.000608765,0.000782106,9.92431e-06,0
172,0.000238361,0.00061193,0.00078382,1.00446e-05,0
173,0.000262957,0.000616554,0.000785555,1.01943e-05,0
174,0.000290078,0.000622768,0.000787317,1.03763e-05,0
175,0.000319986,0.000630712,0.000789111,1.05933e-05,0
176,0.000352968,0.000640544,0.000790944,1.08488e-05,0
177,0.000389339,0.000652437,0.000792822,1.11464e-05,0
178,0.000429452,0.000666584,0.000794753,1.14901e-05,0
179,0.00047369,0.000683196,0.000796746,1.18843e-05,0
180,0.000522482,0.000702507,0.000798809,1.2334e-05,0
181,0.000576297,0.000724777,0.000800953,1.28445e-05,0
182,0.000635655,0.000750292,0.000803189,1.34219e-05,0
183,0.000701129,0.000779367,0.000805529,1.40727e-05,0
184,0.000773353,0.000812353,0.000807987,1.48041e-05,0
185,0.00085282,0.000849633,0.000810578,1.56243e-05,0
186,0.000940266,0.000891621,0.000813318,1.65417e-05,0
187,0.00103662,0.000938772,0.000816226,1.75656e-05,0
188,0.00114277,0.000991593,0.000819323,1.87067e-05,0
189,0.00125972,0.00105065,0.000822631,1.99764e-05,0
190,0.00138854,0.00111655,0.000826175,2.13875e-05,0
191,0.00153043,0.00118997,0.000829985,2.2954e-05,0
192,0.0016867,0.00127167,0.00083409,2.46911e-05,0
193,0.00185879,0.00136247,0.000838526,2.66159e-05,0
194,0.00204826,0.00146327,0.000843332,2.87466e-05,0
195,0.00225682,0.00157506,0.000848552,3.11036e-05,0
196,0.00248543,0.00169894,0.000854234,3.37091e-05,0
197,0.00231482,0.00183604,0.000860434,3.65857e-05,0
198,0.00215623,0.00195976,0.000867213,3.90219e-05,0
199,0.00200851,0.00207099,0.000874488,4.10713e-05,0
200,0.00187092,0.00217057,0.000882185,4.27806e-05,0
201,0.00174277,0.00225928,0.000890237,4.41911e-05,0
202,0.00162341,0.00233787,0.000898583,4.53392e-05,0
203,0.00151225,0.00240705,0.000907172,4.62568e-05,0
204,0.00140873,0.00246749,0.000915954,4.69722e-05,0
205,0.00131232,0.0025198,0.000924887,4.75102e-05,0
206,0.00122256,0.00256458,0.000933935,4.78927e-05,0
207,0.001139,0.00260239,0.000943065,4.81389e-05,0
208,0.00106105,0.00263376,0.000952247,4.82659e-05,0
209,0.000988443,0.00265915,0.000961456,4.82884e-05,0
210,0.000920811,0.00267903,0.00097067,4.82195e-05,0
211,0.000857814,0.00269382,0.00097987,4.80708e-05,0
212,0.000799135,0.00270394,0.000989037,4.78524e-05,0
213,0.000744478,0.00270975,0.000998158,4.75735e-05,0
214,0.000693571,0.0027116,0.00100722,4.7242e-05,0
215,0.000646138,0.00270983,0.00101621,4.68649e-05,0
216,0.000601954,0.00270473,0.00102512,4.64483e-05,0
217,0.000560798,0.00269659,0.00103394,4.59978e-05,0
218,0.000522462,0.00268568,0.00104267,4.55182e-05,0
219,0.000486753,0.00267225,0.0010513,4.50138e-05,0
220,0.000453492,0.00265652,0.00105982,4.44884e-05,0
221,0.000422513,0.00263871,0.00106823,4.39453e-05,0
222,0.000393658,0.00261902,0.00107652,4.33875e-05,0
223,0.000366784,0.00259762,0.0010847,4.28177e-05,0
224,0.000341737,0.00257471,0.00109276,4.22382e-05,0
225,0.000318404,0.00255043,0.0011007,4.16511e-05,0
226,0.000296668,0.00252492,0.00110851,4.10581e-05,0
227,0.00027642,0.00249834,0.00111621,4.0461e-05,0
228,0.000257558,0.0024708,0.00112378,3.98611e-05,0
229,0.000239987,0.00244242,0.00113123,3.92597e-05,0
230,0.00022362,0.00241331,0.00113855,3.86581e-05,0
231,0.000208374,0.00238357,0.00114575,3.80571e-05,0
232,0.000194172,0.00235329,0.00115283,3.74577e-05,0
233,0.000180944,0.00232256,0.00115979,3.68606e-05,0
234,0.000168622,0.00229145,0.00116662,3.62667e-05,0
235,0.000157145,0.00226005,0.00117333,3.56764e-05,0
236,0.000146456,0.00222841,0.00117993,3.50903e-05,0
237,0.000136499,0.00219659,0.00118641,3.45089e-05,0
238,0.000127225,0.00216467,0.00119277,3.39327e-05,0
239,0.000118589,0.00213267,0.00119901,3.33619e-05,0
240,0.000110551,0.00210066,0.00120514,3.27969e-05,0
241,0.00010307,0.00206867,0.00121116,3.22381e-05,0
242,9.61087e-05,0.00203675,0.00121707,3.16855e-05,0
243,8.96326e-05,0.00200494,0.00122286,3.11395e-05,0
244,8.36109e-05,0.00197326,0.00122855,3.06003e-05,0
245,7.80151e-05,0.00194174,0.00123414,3.00679e-05,0
246,7.279e-05,0.00191042,0.00123961,2.95426e-05,0
247,6.79302e-05,0.00187932,0.00124499,2.90243e-05,0
248,6.34129e-05,0.00184846,0.00125026,2.85132e-05,0
249,5.92173e-05,0.00181786,0.00125544,2.80094e-05,0
250,5.53246e-05,0.00178753,0.00126051,2.75129e-05,0
251,5.17179e-05,0.0017575,0.00126549,2.70237e-05,0
252,4.83825e-05,0.00172779,0.00127038,2.65419e-05,0
253,4.53056e-05,0.00169839,0.00127517,2.60675e-05,0
254,4.24767e-05,0.00166933,0.00127987,2.56005e-05,0
255,3.98877e-05,0.00164063,0.00128448,2.5141e-05,0
256,3.75327e-05,0.00161227,0.001289,2.4689e-05,0
257,3.54089e-05,0.00158429,0.00129344,2.42446e-05,0
258,3.35165e-05,0.00155669,0.00129779,2.38076e-05,0
259,3.15959e-05,0.00152947,0.00130206,2.33783e-05,0
260,2.97552e-05,0.00150264,0.00130624,2.29562e-05,0
261,2.80312e-05,0.00147618,0.00131035,2.25411e-05,0
262,2.64164e-05,0.0014501,0.00131438,2.2133e-05,0
263,2.49039e-05,0.0014244,0.00131833,2.17317e-05,0
264,2.34872e-05,0.00139908,0.0013222,2.13372e-05,0
265,2.21603e-05,0.00137415,0.001326,2.09494e-05,0
