"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,3.24618e-09,5.04987e-06,0.000129964,7.69257e-08,1
238,3.13202e-09,4.95441e-06,0.000129977,7.54712e-08,1
239,3.02188e-09,4.86076e-06,0.00012999,7.40442e-08,1
240,2.91562e-09,4.76887e-06,0.000130002,7.26441e-08,1
241,2.81309e-09,4.67871e-06,0.000130014,7.12705e-08,1
242,2.71418e-09,4.59026e-06,0.000130026,6.99228e-08,1
243,2.61875e-09,4.50347e-06,0.000130038,6.86005e-08,1
244,2.52667e-09,4.41833e-06,0.00013005,6.73031e-08,1
245,2.43784e-09,4.33479e-06,0.000130061,6.60303e-08,1
246,2.35213e-09,4.25282e-06,0.000130072,6.47815e-08,1
247,2.26944e-09,4.17241e-06,0.000130083,6.35563e-08,1
248,2.18966e-09,4.09351e-06,0.000130094,6.23542e-08,1
249,2.11269e-09,4.0161e-06,0.000130104,6.11748e-08,1
250,2.03843e-09,3.94015e-06,0.000130114,6.00177e-08,1
251,1.96678e-09,3.86564e-06,0.000130124,5.88825e-08,1
252,1.89765e-09,3.79253e-06,0.000130134,5.77687e-08,1
253,1.83095e-09,3.7208e-06,0.000130144,5.66759e-08,1
254,1.76661e-09,3.65043e-06,0.000130154,5.56037e-08,1
255,1.70452e-09,3.58139e-06,0.000130163,5.45519e-08,1
256,1.64462e-09,3.51365e-06,0.000130172,5.35199e-08,1
257,1.58683e-09,3.44719e-06,0.000130181,5.25073e-08,1
258,1.53107e-09,3.38198e-06,0.00013019,5.1514e-08,1
259,1.47727e-09,3.31801e-06,0.000130199,5.05393e-08,1
260,1.42537e-09,3.25524e-06,0.000130207,4.95831e-08,1
261,1.37529e-09,3.19366e-06,0.000130215,4.8645e-08,1
262,1.32697e-09,3.13325e-06,0.000130224,4.77246e-08,1
263,1.28035e-09,3.07397e-06,0.000130232,4.68216e-08,1
264,1.23538e-09,3.01582e-06,0.000130239,4.59357e-08,1
265,1.19198e-09,2.95876e-06,0.000130247,4.50665e-08,1
266,1.15011e-09,2.90278e-06,0.000130255,4.42137e-08,1
267,1.10971e-09,2.84786e-06,0.000130262,4.3377e-08,1
268,1.07074e-09,2.79398e-06,0.000130269,4.25562e-08,1
269,1.03313e-09,2.74111e-06,0.000130277,4.17509e-08,1
270,9.96848e-10,2.68925e-06,0.000130284,4.09608e-08,1
271,9.61841e-10,2.63836e-06,0.000130291,4.01856e-08,1
272,9.28065e-10,2.58844e-06,0.000130297,3.94251e-08,1
273,8.95476e-10,2.53946e-06,0.000130304,3.86789e-08,1
274,8.64033e-10,2.4914e-06,0.00013031,3.79469e-08,1
275,8.33695e-10,2.44426e-06,0.000130317,3.72287e-08,1
276,8.04424e-10,2.398e-06,0.000130323,3.65241e-08,1
277,7.76182e-10,2.35262e-06,0.000130329,3.58328e-08,1
278,7.48933e-10,2.3081e-06,0.000130335,3.51546e-08,1
279,7.22641e-10,2.26442e-06,0.000130341,3.44892e-08,1
280,6.97274e-10,2.22156e-06,0.000130347,3.38364e-08,1
281,6.72798e-10,2.17952e-06,0.000130353,3.3196e-08,1
282,6.49183e-10,2.13827e-06,0.000130358,3.25676e-08,1
283,6.26397e-10,2.0978e-06,0.000130364,3.19511e-08,1
284,6.04412e-10,2.05809e-06,0.000130369,3.13463e-08,1
285,5.832e-10,2.01914e-06,0.000130374,3.0753e-08,1
286,5.62733e-10,1.98092e-06,0.000130379,3.01708e-08,1
287,5.42985e-10,1.94343e-06,0.000130384,2.95997e-08,1
288,5.23931e-10,1.90664e-06,0.000130389,2.90394e-08,1
289,5.05547e-10,1.87055e-06,0.000130394,2.84896e-08,1
290,4.87808e-10,1.83514e-06,0.000130399,2.79503e-08,1
291,4.70693e-10,1.8004e-06,0.000130404,2.74211e-08,1
292,4.54179e-10,1.76632e-06,0.000130408,2.6902e-08,1
293,4.38245e-10,1.73289e-06,0.000130413,2.63927e-08,1
294,4.2287e-10,1.70008e-06,0.000130417,2.58931e-08,1
295,4.08036e-10,1.6679e-06,0.000130422,2.54028e-08,1
296,3.93723e-10,1.63633e-06,0.000130426,2.49219e-08,1
297,3.79912e-10,1.60535e-06,0.00013043,2.44501e-08,1
298,3.66587e-10,1.57496e-06,0.000130434,2.39871e-08,1
299,3.53729e-10,1.54514e-06,0.000130438,2.3533e-08,1
300,3.41323e-10,1.51589e-06,0.000130442,2.30874e-08,1
301,3.29352e-10,1.48719e-06,0.000130446,2.26503e-08,1
302,3.17802e-10,1.45903e-06,0.00013045,2.22214e-08,1
303,3.06657e-10,1.43141e-06,0.000130454,2.18007e-08,1
304,2.95904e-10,1.40431e-06,0.000130457,2.13879e-08,1
305,2.85528e-10,1.37772e-06,0.000130461,2.09829e-08,1
306,2.75516e-10,1.35164e-06,0.000130464,2.05856e-08,1
